year, MIROC-ES2L, UKESM1-0-LL, MPI-ESM1-2-LR, CNRM-ESM2-1, IPSL-CM6A-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, EC-Earth3-Veg, CESM2-WACCM
2.027000000000000000e+03, 3.220799736109559164e-01, 9.062266547512902340e-05, 1.173965123998970128e-01, 3.799341605496373009e-03, 1.251504629727475879e-02, 4.415687489063081436e-03, 6.476662377440292606e-02, 2.705971735749117951e-02, 3.508488879545339917e-02
2.028000000000000000e+03, 3.259533093876239018e-01, 7.937525116644440488e-05, 1.250709319711774403e-01, 3.626546354613229863e-03, 1.286240389801012948e-02, 6.134967180179672248e-03, 6.352022185045022584e-02, 2.628199720971287345e-02, 3.452189613528348217e-02
2.029000000000000000e+03, 3.279121684626506439e-01, 6.615185698682045368e-05, 1.259313902450823475e-01, 3.469439680853577020e-03, 1.317774063894199162e-02, 8.087057083041204048e-03, 6.248555358990214720e-02, 2.556003862862186657e-02, 3.513760632615158669e-02
2.030000000000000000e+03, 3.270823870192457461e-01, 5.350313305695169984e-05, 1.198182091527170839e-01, 3.348299527020781076e-03, 1.346660126013249185e-02, 9.744336910290841980e-03, 6.150598066426966881e-02, 2.488516810433363119e-02, 3.461883710012583076e-02
2.031000000000000000e+03, 3.277275669170867656e-01, 5.436033627032048246e-05, 1.158472262964857641e-01, 3.223686248220499189e-03, 1.327292609937808475e-02, 1.114290953081636081e-02, 6.066663519586941444e-02, 2.420504443990216178e-02, 3.821861072949316041e-02
2.032000000000000000e+03, 3.307521033527337506e-01, 5.193040442187384396e-05, 1.207301834817495062e-01, 3.099535959919166774e-03, 1.289071051301230071e-02, 1.224599890651651042e-02, 5.975694442532759193e-02, 2.357621365145809791e-02, 3.955466603558721594e-02
2.033000000000000000e+03, 3.342927162573982036e-01, 5.014347876696817274e-05, 1.274166980425406048e-01, 2.982928064605015490e-03, 1.270662480849134995e-02, 1.311309087546753786e-02, 5.900847390680907800e-02, 2.301820070407186239e-02, 3.479043811386903218e-02
2.034000000000000000e+03, 3.348608856814021539e-01, 5.796600396617502464e-05, 1.298958897660142386e-01, 2.872333051805357231e-03, 1.241556887093427618e-02, 1.379594902022205673e-02, 5.818094056647649115e-02, 2.249370415710759061e-02, 3.506020814558892529e-02
2.035000000000000000e+03, 3.337754212366323414e-01, 5.714886952193993976e-05, 1.332350087137401107e-01, 2.775751513347053147e-03, 1.216192639723793351e-02, 1.424654341749274390e-02, 5.744248012302015371e-02, 2.198327504735652846e-02, 3.492668638482995802e-02
2.036000000000000000e+03, 3.348494165175844861e-01, 5.500526453520627351e-05, 1.306102549169144977e-01, 2.845491582964942284e-03, 1.295959374354490462e-02, 1.442164254437261484e-02, 5.655058489424805851e-02, 2.129775304827926513e-02, 3.740178508970130877e-02
2.037000000000000000e+03, 3.354260135330812131e-01, 5.965657411263423622e-05, 1.293759218912652331e-01, 2.921424416415171164e-03, 1.369469490817387669e-02, 1.438888606818492302e-02, 5.575826980465446031e-02, 2.069973000652606046e-02, 3.988609369472724542e-02
2.038000000000000000e+03, 3.353746281944189334e-01, 6.355006890379980694e-05, 1.279537370693963338e-01, 2.986546101534699998e-03, 1.447382300010070788e-02, 1.422856471689474926e-02, 5.500118787711984203e-02, 2.015840937638776337e-02, 4.087749010037314973e-02
2.039000000000000000e+03, 3.358218349221354648e-01, 5.951591400198869323e-05, 1.325605446871188642e-01, 3.033388292762979801e-03, 1.540097380924134070e-02, 1.399185984389286590e-02, 5.427520970925239774e-02, 1.969031388271760483e-02, 4.421965208611754183e-02
2.040000000000000000e+03, 3.357234950532213547e-01, 6.768919275197008768e-05, 1.307789240325716307e-01, 3.057942427205164165e-03, 1.629635683556484443e-02, 1.372440310757576734e-02, 5.357735201223315369e-02, 1.926733083001552424e-02, 4.370027251179133682e-02
2.041000000000000000e+03, 3.372439635452307849e-01, 8.184965649305556417e-05, 1.236965554533510925e-01, 3.277633731233013225e-03, 1.723575613062456116e-02, 1.342410465822667029e-02, 5.290253291891564014e-02, 1.877673513550504394e-02, 4.677888657960882490e-02
2.042000000000000000e+03, 3.407089209343404090e-01, 6.755893042606776733e-05, 1.185410746336760246e-01, 3.466579293957248748e-03, 1.792525860082715486e-02, 1.308802753965490097e-02, 5.225178295154670610e-02, 1.831801545152535529e-02, 4.376893817429690359e-02
2.043000000000000000e+03, 3.439748086614532463e-01, 6.733762707502932232e-05, 1.282915574439829065e-01, 3.599247000503120845e-03, 1.850924227354784971e-02, 1.277413442290700578e-02, 5.162298397884070023e-02, 1.788394238479400905e-02, 4.035440950791589071e-02
2.044000000000000000e+03, 3.464912158659019803e-01, 7.020228478140805317e-05, 1.369635385591562171e-01, 3.728839692201782290e-03, 1.916399077304658041e-02, 1.250287329588248807e-02, 5.101445150101852760e-02, 1.748496234932150548e-02, 4.149431720724584827e-02
2.045000000000000000e+03, 3.496951874698565610e-01, 6.903696143126732978e-05, 1.384092042015845903e-01, 3.812992426772988334e-03, 1.959338223474076102e-02, 1.227594363365295572e-02, 5.042465007468345528e-02, 1.711112901323499913e-02, 4.527940667618897408e-02
2.046000000000000000e+03, 3.536778199913822585e-01, 7.406985231447354057e-05, 1.343031672288588219e-01, 3.884430682186916246e-03, 1.983560162597989771e-02, 1.208742172568323670e-02, 4.987367027606932207e-02, 1.670855165162921790e-02, 5.075201111731100778e-02
2.047000000000000000e+03, 3.572019392849642427e-01, 7.292277838595043942e-05, 1.284614275579882836e-01, 3.958809387019045049e-03, 2.010524200008913243e-02, 1.192828776059515032e-02, 4.933578020134797570e-02, 1.632752217014786164e-02, 4.435122695967103762e-02
2.048000000000000000e+03, 3.599482293957669832e-01, 7.200081077433322498e-05, 1.308047232325270370e-01, 4.147625704553177355e-03, 2.036631103165547144e-02, 1.177854072014072537e-02, 4.881107575938132409e-02, 1.598393695852936766e-02, 4.212500536261145484e-02
2.049000000000000000e+03, 3.624288458417768144e-01, 7.616524732969516304e-05, 1.308118903214971207e-01, 4.297771971512796135e-03, 2.056720061284487630e-02, 1.160965813030118317e-02, 4.829928482024597319e-02, 1.567088755794692964e-02, 4.562618444250650385e-02
2.050000000000000000e+03, 3.658896411648118185e-01, 7.359707001911072863e-05, 1.292598274074190923e-01, 4.377584450082574845e-03, 2.076963410150679118e-02, 1.135916015162144119e-02, 4.779973263301137004e-02, 1.537832339126527295e-02, 4.644132553943376013e-02
2.051000000000000000e+03, 3.693089336581906745e-01, 6.725886763832793604e-05, 1.320010468742410237e-01, 4.931498872548825164e-03, 2.044162779567909247e-02, 1.103396721995682575e-02, 4.729580006960557720e-02, 1.506112390369971493e-02, 4.328822460440330533e-02
2.052000000000000000e+03, 3.701545442235907313e-01, 6.753586383807792901e-05, 1.338530531229604748e-01, 5.329858200068472024e-03, 2.024166180714564306e-02, 1.068203248689231916e-02, 4.680480076863152705e-02, 1.479765226213861085e-02, 5.226374191063076768e-02
2.053000000000000000e+03, 3.688776052933426808e-01, 7.564929983703746195e-05, 1.325168940885632085e-01, 5.575363842093778236e-03, 1.996040830548863679e-02, 1.035311073026165193e-02, 4.632497588922305370e-02, 1.456787093389629723e-02, 4.918005725593988658e-02
2.054000000000000000e+03, 3.665433472191493847e-01, 6.908342749125536927e-05, 1.274904749013693050e-01, 5.691685572552026770e-03, 1.983428010717670081e-02, 1.005766177565869252e-02, 4.585534347676734762e-02, 1.438563043708267555e-02, 3.944179741138757050e-02
2.055000000000000000e+03, 3.630160905915501557e-01, 6.325881238259524573e-05, 1.311993167712597053e-01, 5.730965598902161562e-03, 1.981527480763750279e-02, 9.788288362747298368e-03, 4.539531860551025005e-02, 1.421696555031319066e-02, 4.742444837077396808e-02
2.056000000000000000e+03, 3.615427101141314714e-01, 5.244792137147008071e-05, 1.402642701341591525e-01, 5.464938058452219541e-03, 1.951602068819749056e-02, 9.542812120471541940e-03, 4.523748495961554122e-02, 1.387896722479476687e-02, 5.834907721686435900e-02
2.057000000000000000e+03, 3.614420663803070144e-01, 5.027752216030425940e-05, 1.369808239872001843e-01, 5.210428883165754525e-03, 1.920510008725674622e-02, 9.318243019152645107e-03, 4.494535790502839079e-02, 1.357925256313440715e-02, 4.727169118618321231e-02
2.058000000000000000e+03, 3.628691164804845881e-01, 5.609822286941333093e-05, 1.296949858251065513e-01, 5.016678824926029505e-03, 1.898573495651124585e-02, 9.113695993398457026e-03, 4.465388123523852254e-02, 1.329972671915814926e-02, 4.964005781058174888e-02
2.059000000000000000e+03, 3.651729568908120283e-01, 5.577559768075571108e-05, 1.274941153428548468e-01, 4.818776197153293132e-03, 1.892442338674990565e-02, 8.930202927122897483e-03, 4.436361376203213497e-02, 1.304762318667101149e-02, 5.455248206055993837e-02
2.060000000000000000e+03, 3.682146428725535103e-01, 5.202502949185219507e-05, 1.323072239123826155e-01, 4.631734122309725914e-03, 1.881752397893943912e-02, 8.777121183859456013e-03, 4.407685600538792381e-02, 1.280957346881080559e-02, 4.862787181119662683e-02
2.061000000000000000e+03, 3.698630512156010908e-01, 5.645353882758210424e-05, 1.488192946309612186e-01, 4.809460051067476413e-03, 1.893177862790104346e-02, 8.645443908177095210e-03, 4.393198606506491799e-02, 1.269879093803698289e-02, 4.590883806609588613e-02
2.062000000000000000e+03, 3.706629181821348706e-01, 6.461122210994147742e-05, 1.556648056192934670e-01, 4.982768481412670411e-03, 1.906716796702261421e-02, 8.523523787214441066e-03, 4.377001905460079639e-02, 1.263759099436038806e-02, 5.902235092312213549e-02
2.063000000000000000e+03, 3.718857379178614475e-01, 7.037076729553344459e-05, 1.465548713437426764e-01, 5.157594805199761621e-03, 1.914016125760102660e-02, 8.410547625224706197e-03, 4.360029107622916122e-02, 1.256504847579585984e-02, 5.810739146819606654e-02
2.064000000000000000e+03, 3.736114268066414446e-01, 6.416516624431699799e-05, 1.463199522379986239e-01, 5.305726035541123188e-03, 1.930784301271819964e-02, 8.304592788518727273e-03, 4.342652650629513778e-02, 1.248567403413022511e-02, 5.484668518755069638e-02
2.065000000000000000e+03, 3.757539349659823058e-01, 6.684943916488271932e-05, 1.508611518980711996e-01, 5.477924165366988667e-03, 1.949391446840968017e-02, 8.205893648356511402e-03, 4.324979836705603042e-02, 1.243963545040172904e-02, 4.956198359033778256e-02
2.066000000000000000e+03, 3.762390910463245808e-01, 7.120701581642705034e-05, 1.499682448848846938e-01, 5.586430349622539121e-03, 1.975704419295072622e-02, 8.114271110584086316e-03, 4.336425206504110341e-02, 1.230943355032083041e-02, 5.390498337675653923e-02
2.067000000000000000e+03, 3.762989739806006373e-01, 7.476604271241142966e-05, 1.463949670756553301e-01, 5.657870168949748896e-03, 2.008729388181016567e-02, 8.030283398379169102e-03, 4.358024672686373890e-02, 1.218687998326752585e-02, 5.368049691923361399e-02
2.068000000000000000e+03, 3.761462844112984372e-01, 7.446030891181100941e-05, 1.423255059770448805e-01, 5.705465713502975295e-03, 2.011199776291033511e-02, 7.952343827885885452e-03, 4.375314203240875111e-02, 1.214633502622069865e-02, 4.724048177521433800e-02
2.069000000000000000e+03, 3.756755464803594458e-01, 8.203623792341745711e-05, 1.392957470244875207e-01, 5.677872280422905857e-03, 2.027741685620495712e-02, 7.879239107480257021e-03, 4.389891272773434328e-02, 1.214247626736023912e-02, 6.242802984988353454e-02
2.070000000000000000e+03, 3.761595109331524189e-01, 7.706338792694497901e-05, 1.459925719703840385e-01, 5.633964876899503517e-03, 2.039511547162901201e-02, 7.797721123550888783e-03, 4.402672496438918975e-02, 1.214846489466465430e-02, 5.569341633082972032e-02
2.071000000000000000e+03, 3.770089137648279798e-01, 7.381311684295124137e-05, 1.517168280734300934e-01, 5.527324726739898421e-03, 2.097447148227386468e-02, 7.715721317582940886e-03, 4.393778011519795107e-02, 1.212188989397448846e-02, 6.229058243045127591e-02
2.072000000000000000e+03, 3.774291157218089277e-01, 8.297682411077830322e-05, 1.409964375007154713e-01, 5.421677827410679648e-03, 2.147357544536895868e-02, 7.641068118422062079e-03, 4.386548473630619976e-02, 1.210101942328117505e-02, 6.435419971342840051e-02
2.073000000000000000e+03, 3.753608852182620526e-01, 8.659142339750348395e-05, 1.442248621841115408e-01, 5.417297367256533082e-03, 2.206905280484528983e-02, 7.562906644180019539e-03, 4.379843694676823634e-02, 1.212199273639825471e-02, 5.292904439068563116e-02
2.074000000000000000e+03, 3.720610802558413366e-01, 8.361918049041643607e-05, 1.518988841548868929e-01, 5.532833476756886595e-03, 2.256189163422600563e-02, 7.466499499591916153e-03, 4.373023503660180417e-02, 1.218431014468805695e-02, 5.380448687769921745e-02
2.075000000000000000e+03, 3.715795582562636534e-01, 8.110723111220694893e-05, 1.550662463972541372e-01, 5.631694876666338938e-03, 2.306416204680038565e-02, 7.386509163314631220e-03, 4.366100307673562858e-02, 1.225292335734926193e-02, 6.039785224515518969e-02
2.076000000000000000e+03, 3.772384199673941008e-01, 8.331909517303749397e-05, 1.496544743121992205e-01, 5.396769837164982347e-03, 2.279162417552093797e-02, 7.317987434567757403e-03, 4.321436424263826875e-02, 1.200445924029655380e-02, 5.498381561120970623e-02
2.077000000000000000e+03, 3.832802315499065915e-01, 7.042411240741630347e-05, 1.465803588559488613e-01, 5.189988928239974014e-03, 2.240886544751636081e-02, 7.277734750897767689e-03, 4.281948880507606414e-02, 1.176855590786488916e-02, 5.593518986084650840e-02
2.078000000000000000e+03, 3.868390174169520357e-01, 6.233934479976842237e-05, 1.483036711534330421e-01, 4.991455244226535373e-03, 2.199551705653223291e-02, 7.262108918362024206e-03, 4.245160575931600927e-02, 1.150812157334481396e-02, 5.882272846774173197e-02
2.079000000000000000e+03, 3.888604108365261158e-01, 6.258217449846457882e-05, 1.541246510902415656e-01, 4.810598780093465650e-03, 2.160833370777033927e-02, 7.224863825101786145e-03, 4.210164164852517321e-02, 1.125427347402552410e-02, 5.064324700532196744e-02
2.080000000000000000e+03, 3.915355108965810071e-01, 6.117628012883980079e-05, 1.597741061134891061e-01, 4.630721732379185912e-03, 2.128488920769054313e-02, 7.172356479804792642e-03, 4.176519661201758687e-02, 1.103589341752504206e-02, 5.270264197491029284e-02
2.081000000000000000e+03, 3.959351202756598020e-01, 7.313320653988349585e-05, 1.570755972234822995e-01, 4.838156417506208132e-03, 2.192871914120909232e-02, 7.117265742497281764e-03, 4.124504092390909177e-02, 1.099673715629657066e-02, 6.273275286577183196e-02
2.082000000000000000e+03, 4.003443106964690301e-01, 7.757300171521353991e-05, 1.562675692031566255e-01, 5.138469966604291075e-03, 2.259226894397339119e-02, 7.067346748821460960e-03, 4.076064831806838068e-02, 1.096154221745213216e-02, 6.265285972338978382e-02
2.083000000000000000e+03, 4.022299546178422225e-01, 7.787216111144162737e-05, 1.532564853339792033e-01, 5.354583367251071133e-03, 2.312846330084534011e-02, 7.024609517572177192e-03, 4.029839305904898972e-02, 1.090734471889109360e-02, 6.430967471619013220e-02
2.084000000000000000e+03, 4.029084948803053345e-01, 7.908368835926442037e-05, 1.559624408961296782e-01, 5.540215260553410688e-03, 2.371155794022127700e-02, 6.981181444507178827e-03, 3.985228221383584762e-02, 1.087968186432638346e-02, 6.131319628322593612e-02
2.085000000000000000e+03, 4.048387385973961639e-01, 7.869656694072131847e-05, 1.654332426817217427e-01, 5.692016607540751477e-03, 2.436699897670903739e-02, 6.949379101740026446e-03, 3.941973784782751983e-02, 1.087666505148601574e-02, 6.850901972715126020e-02
2.086000000000000000e+03, 4.089184050021976713e-01, 7.557216182174519999e-05, 1.615314057743293952e-01, 5.947195761697835620e-03, 2.440085225702846514e-02, 6.925448562534956831e-03, 3.948726978033032659e-02, 1.067722030961975113e-02, 6.741334264590924386e-02
2.087000000000000000e+03, 4.126077698482555900e-01, 6.463254283932172515e-05, 1.647345178969783497e-01, 6.228144480519018367e-03, 2.440080648456087464e-02, 6.899348212336190757e-03, 3.949412876381391130e-02, 1.048237900491818392e-02, 6.689059891944354463e-02
2.088000000000000000e+03, 4.147235635168923240e-01, 6.098494033189326083e-05, 1.622850705123294324e-01, 6.579554844355580724e-03, 2.450984891570794078e-02, 6.872672176451719364e-03, 3.947683818273219070e-02, 1.030911690645660433e-02, 7.347816688497917081e-02
2.089000000000000000e+03, 4.154712291138417668e-01, 6.130617814163832099e-05, 1.708414300819754428e-01, 6.773956038322453965e-03, 2.445809968060288359e-02, 6.848468964244013545e-03, 3.944778055469105177e-02, 1.016120555015836632e-02, 7.258423832154629884e-02
2.090000000000000000e+03, 4.147415528422710440e-01, 7.292130393920904867e-05, 1.770456319074816265e-01, 6.817894866176552049e-03, 2.444365555629320758e-02, 6.843857230344354767e-03, 3.941004558083551629e-02, 1.004878081289390518e-02, 6.912711622678709145e-02
2.091000000000000000e+03, 4.125701247679912087e-01, 8.645870624614358931e-05, 1.771336077070651271e-01, 6.693486768344260839e-03, 2.379557466483768480e-02, 6.847385451449175889e-03, 3.927049235955077516e-02, 1.008450328005081921e-02, 6.825225621343868065e-02
2.092000000000000000e+03, 4.084298977495116612e-01, 7.701029629070858470e-05, 1.745998568222437430e-01, 6.535855587576655003e-03, 2.295974253146113031e-02, 6.843239379136581597e-03, 3.912631569404664833e-02, 1.009902994871729291e-02, 5.429275046277053790e-02
2.093000000000000000e+03, 4.060874363602314796e-01, 6.783923932612909017e-05, 1.725116734369485372e-01, 6.382758456164826059e-03, 2.244000340067902471e-02, 6.845222664306649385e-03, 3.897492641991016221e-02, 1.011693798820779977e-02, 6.192966995112109130e-02
2.094000000000000000e+03, 4.065155168256920359e-01, 7.515339171759189286e-05, 1.819442939281373239e-01, 6.186643810759761761e-03, 2.190533578811310056e-02, 6.860434469376621228e-03, 3.880245691489959958e-02, 1.014050866848369148e-02, 6.636223048258854673e-02
2.095000000000000000e+03, 4.070807569900486977e-01, 8.730228533629980677e-05, 1.880487711890934388e-01, 6.016797200934976067e-03, 2.146533744315291467e-02, 6.866117344849881864e-03, 3.845936673566437147e-02, 1.018517673761222195e-02, 6.410390722950863596e-02
2.096000000000000000e+03, 4.077767009001614928e-01, 8.813265542749808507e-05, 1.854566142558634334e-01, 6.159967546875117807e-03, 2.152584641044214681e-02, 6.847892181957866697e-03, 3.815835683790787941e-02, 1.029078269758127231e-02, 6.650263440609005539e-02
2.097000000000000000e+03, 4.086738991876817106e-01, 9.756482670465428046e-05, 1.869978918897001741e-01, 6.177261204394116079e-03, 2.157905298205620159e-02, 6.819938986634143524e-03, 3.789074393694942533e-02, 1.042180465872117635e-02, 6.318261038823962117e-02
2.098000000000000000e+03, 4.128374742985950752e-01, 1.021143104218534699e-04, 1.878391744280705489e-01, 6.113644345692688560e-03, 2.158430408354006583e-02, 6.790795178949527583e-03, 3.762315163595788409e-02, 1.058457238247638432e-02, 7.253712196358196029e-02
2.099000000000000000e+03, 4.172025537504165937e-01, 1.010296487325104307e-04, 1.815359929763405988e-01, 5.983369696520016677e-03, 2.195423297853459771e-02, 6.761808912948899866e-03, 3.735545594774203337e-02, 1.075757101125529233e-02, 7.489451672161816231e-02
2.100000000000000000e+03, 4.165667150088261383e-01, 1.007045466581798810e-04, 1.711583148302166790e-01, 5.763590981503400983e-03, 2.200520300363126291e-02, 6.536062683372623715e-03, 3.708730431704539143e-02, 1.095886676860339387e-02, 6.595786786471065366e-02
