year, MIROC-ES2L, UKESM1-0-LL, MPI-ESM1-2-LR, CNRM-ESM2-1, IPSL-CM6A-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, EC-Earth3-Veg, CESM2-WACCM
2.015000000000000000e+03, 3.016096306408471706e-01, 6.115717591009372633e-05, 1.152316704972520395e-01, 4.316549207193633164e-03, 8.957243316289343824e-03, 4.697867348873044704e-03, 5.472191991852583953e-02, 3.369156489894595263e-02, 2.909448658553739908e-02
2.016000000000000000e+03, 3.029801279303583339e-01, 7.284079501602818958e-05, 1.164364523218955755e-01, 4.468628837177979381e-03, 9.745141643397665573e-03, 4.560452801847175892e-03, 7.333980612467165539e-02, 3.314422686846217603e-02, 3.228540316939122745e-02
2.017000000000000000e+03, 3.045520579921838777e-01, 8.271755470749970194e-05, 1.199727677738354065e-01, 4.611750365973828897e-03, 1.046995258812664226e-02, 4.444408654264574328e-03, 7.030590285186874566e-02, 3.273211410197195137e-02, 3.269922262150359860e-02
2.018000000000000000e+03, 3.071466648878715677e-01, 7.859887876313639084e-05, 1.173424035167531382e-01, 4.761388086437612355e-03, 1.099185122671816721e-02, 4.345616675862247306e-03, 6.855595712073764281e-02, 3.220254077208411364e-02, 3.247186873652862377e-02
2.019000000000000000e+03, 3.089290796838577990e-01, 8.690222783292739911e-05, 1.118037063810251031e-01, 4.839931184942085525e-03, 1.151406075273528340e-02, 4.260590216241708431e-03, 6.732895823892665055e-02, 3.179882644462315999e-02, 3.285605716590794118e-02
2.020000000000000000e+03, 3.086748639628404955e-01, 1.033126167154135898e-04, 1.146251209793761883e-01, 4.898492108631111001e-03, 1.195104518050871430e-02, 4.170582920611711798e-03, 6.615385968630761726e-02, 3.141681131238995006e-02, 3.053511640245400866e-02
2.021000000000000000e+03, 3.080174005134664328e-01, 1.111133592085156120e-04, 1.162879427765330792e-01, 4.747704285728185196e-03, 1.185543740075177890e-02, 4.077028427227378377e-03, 6.668682630181932414e-02, 3.069540369092494184e-02, 3.307359920218150284e-02
2.022000000000000000e+03, 3.083254657858505166e-01, 1.053518443877033279e-04, 1.145877691011849275e-01, 4.585044698546208650e-03, 1.179694933538496388e-02, 3.996842073349317521e-03, 6.697341897164971192e-02, 3.003952838040815573e-02, 3.264935918383124469e-02
2.023000000000000000e+03, 3.096690277404439140e-01, 1.026613920153517106e-04, 1.106442535212636552e-01, 4.463459717387990508e-03, 1.164785610592321621e-02, 3.927591268936422852e-03, 6.722538173479296331e-02, 2.950988634277745132e-02, 3.334881997356674982e-02
2.024000000000000000e+03, 3.106815138713823199e-01, 1.139319252362626638e-04, 1.104459723320553310e-01, 4.338075746462884824e-03, 1.163777490369999508e-02, 3.867807121858754440e-03, 6.746656379615818822e-02, 2.908448649931367688e-02, 3.800462944652639036e-02
2.025000000000000000e+03, 3.110678547426538598e-01, 1.303344728749175976e-04, 1.125325861565732721e-01, 4.185307934385809267e-03, 1.144718024052556078e-02, 3.813575295310713421e-03, 6.767680494242193923e-02, 2.869213087078618593e-02, 3.395826934005534425e-02
2.026000000000000000e+03, 3.160395107154334027e-01, 1.063201920574544519e-04, 1.144393508779979196e-01, 3.994529312278126236e-03, 1.196889514708646997e-02, 3.764420122645282477e-03, 6.603159590953672220e-02, 2.788568196280804407e-02, 3.594275834410687320e-02
