year, NorESM2-MM, CESM2-WACCM, MIROC-ES2L, CMCC-ESM2, IPSL-CM6A-LR, UKESM1-0-LL, EC-Earth3-Veg, MPI-ESM1-2-LR, CNRM-ESM2-1, CanESM5, ACCESS-ESM1-5, INM-CM4-8, INM-CM5-0, NorESM2-LM, GFDL-ESM4, TaiESM1
2.015000000000000000e+03, 3.156045553565908213e-01, 3.042837968232038892e-01, 2.051763343589327604e-01, 2.111065224296576615e-01, 2.273096699741905813e-01, 9.956340802035036353e-01, 7.551268039465024451e-01, 5.706642890388295974e-01, 4.384075471966652482e-01, 1.856317885042428895e-01, 3.578713323238500998e-01, 4.735878500987655282e-01, 6.044375165606425959e-01, 3.131714767026324564e-01, 3.541024120202149739e-01, 2.413127937277689539e-01
2.016000000000000000e+03, 3.405635942033392038e-01, 3.667196358674735257e-01, 2.102925254753176265e-01, 2.087947427149961510e-01, 2.184492484548167801e-01, 1.013483065979537301e+00, 8.704495358116347559e-01, 5.778909594759715773e-01, 4.581058734589403825e-01, 1.845040889027430853e-01, 3.516562690327447172e-01, 4.870196622888610105e-01, 5.847583168075466409e-01, 2.879252409183477579e-01, 3.703866428440161784e-01, 2.731326103909380576e-01
2.017000000000000000e+03, 2.664692518536872501e-01, 3.799606851852947442e-01, 2.050360757648868326e-01, 2.334722493264256571e-01, 2.478945318400532227e-01, 9.740234649200806283e-01, 1.039306065650186017e+00, 5.650603240916078907e-01, 4.750087519616151277e-01, 1.842007218892495191e-01, 3.508821809663509317e-01, 5.448470576024717626e-01, 5.443319865254373502e-01, 3.115775301620845039e-01, 3.811653604738515777e-01, 2.633270032320803589e-01
2.018000000000000000e+03, 3.143485707519301786e-01, 3.733390514205026101e-01, 2.297668034567342255e-01, 2.109785220141223439e-01, 2.583240360692665161e-01, 9.953866575800949246e-01, 7.955319033455725553e-01, 5.318602723504414209e-01, 4.483541724508127713e-01, 1.834475204738218179e-01, 3.441319937463848122e-01, 5.416859771084776565e-01, 6.635401677030891010e-01, 3.348744891609348184e-01, 3.570250151134507499e-01, 2.287733595149994692e-01
2.019000000000000000e+03, 3.593168895657683493e-01, 3.493125129048842425e-01, 1.975189358657185035e-01, 2.116483988205589140e-01, 2.557080411822097998e-01, 9.929645108534712605e-01, 6.462967227898319678e-01, 5.698461338057451142e-01, 4.690050330340435059e-01, 1.916971123195448934e-01, 3.462756767418787018e-01, 4.784712806573337418e-01, 6.046165046629746742e-01, 2.841443741052180338e-01, 3.722175082042366578e-01, 2.549306721517527463e-01
2.020000000000000000e+03, 2.865964565563740574e-01, 3.210169914601921359e-01, 1.972125323306524181e-01, 2.242238699161339943e-01, 2.583574003915490858e-01, 1.027067829478399030e+00, 8.157429267373568216e-01, 5.755958050795808578e-01, 4.208408579258560711e-01, 1.933056693174010354e-01, 3.352082749779568549e-01, 4.728966207115277154e-01, 6.140704317436133097e-01, 3.247099039956218292e-01, 3.791706749838563706e-01, 2.756180483904399070e-01
2.021000000000000000e+03, 3.178661066006549518e-01, 2.925897111733796185e-01, 1.779635262271055951e-01, 2.375104759720360059e-01, 2.554820617624203871e-01, 1.065125983665758724e+00, 9.190414193760088057e-01, 5.594537615585184476e-01, 4.226481306997510456e-01, 1.837814859363963993e-01, 3.505666272303852860e-01, 5.145772068777815234e-01, 5.861835205312245778e-01, 3.612329308736967892e-01, 3.736398988698770296e-01, 2.522532281867843618e-01
2.022000000000000000e+03, 2.571579272194540189e-01, 3.017197821909433086e-01, 2.183554018492269433e-01, 2.750061391158215018e-01, 2.521879417111146937e-01, 9.872706843560439260e-01, 1.013978915896633914e+00, 5.441807479245599488e-01, 4.616674730163726204e-01, 1.912426991216344963e-01, 3.418961547086232788e-01, 5.235094493015841621e-01, 6.398486713754889532e-01, 3.446233731310405779e-01, 3.797062456699631383e-01, 2.259288638670008398e-01
2.023000000000000000e+03, 2.506074291916820518e-01, 3.722943502004020799e-01, 1.982888347358412462e-01, 2.739768337173968948e-01, 2.660096045062850800e-01, 9.676886977530338996e-01, 8.947828954877750096e-01, 5.235269247180009966e-01, 4.216783556589741577e-01, 1.992711338993284065e-01, 3.483711691747617967e-01, 5.073253432325968149e-01, 6.321945477867633167e-01, 2.884321599015658433e-01, 3.684712527539382165e-01, 2.387685901640777264e-01
2.024000000000000000e+03, 2.989164615364814925e-01, 4.154963637325009285e-01, 2.100246625429189606e-01, 2.408725228069595881e-01, 2.397999197088923062e-01, 1.076418103127830816e+00, 8.225029672845663997e-01, 5.623624150949350087e-01, 4.364486304288042184e-01, 1.905981315653189345e-01, 3.699213052027773285e-01, 5.512976887932860004e-01, 6.039058727916126745e-01, 2.182237458271959474e-01, 3.730224924068339387e-01, 2.380182897329536362e-01
