year, CESM2-WACCM, UKESM1-0-LL, CMCC-CM2-SR5, ACCESS-ESM1-5, TaiESM1, IPSL-CM6A-LR, INM-CM5-0, GFDL-ESM4, NorESM2-LM, NorESM2-MM, CNRM-ESM2-1, MIROC-ES2L, INM-CM4-8, MPI-ESM1-2-LR, CanESM5, EC-Earth3-Veg
2.034000000000000000e+03, 5.064755304674888325e-01, 7.156348430003872663e-01, 7.248424885676089113e-01, 9.454129264656864207e-01, 5.423633446273404823e-01, 1.051275292824812579e+00, 7.288322286045844089e-01, 6.197933791314247376e-01, 6.407885331272744622e-01, 4.580825655307843025e-01, 1.130903334215501710e+00, 7.059131828075135839e-01, 6.448791566287938037e-01, 7.215840150976936540e-01, 6.830195210601940348e-01, 5.789317184611891820e-01
2.035000000000000000e+03, 5.032133116065775624e-01, 5.915012490702895587e-01, 5.351506873391183028e-01, 6.973217530304873790e-01, 5.986360194031093984e-01, 1.078325495994767236e+00, 7.637900263503601961e-01, 8.690798277083752188e-01, 5.452608605716162682e-01, 5.634254165779069012e-01, 9.791486443242075621e-01, 9.323206177419269824e-01, 6.655697941598271994e-01, 6.173703485849731942e-01, 7.865596196081046099e-01, 6.562544957826992320e-01
2.036000000000000000e+03, 5.855886499465962070e-01, 6.344333672601072394e-01, 5.938853792479564797e-01, 1.015601945334061007e+00, 6.572943581692254345e-01, 9.640600854273490006e-01, 9.763637315941184891e-01, 8.096839804075409708e-01, 4.994185871523326159e-01, 6.283868410023227824e-01, 7.952897333750565956e-01, 8.794424073100542971e-01, 8.560113673463798367e-01, 6.236663343125307124e-01, 6.145953111835907867e-01, 7.782992758151324741e-01
2.037000000000000000e+03, 7.109198425558698187e-01, 5.878243566826487632e-01, 7.658680313985632981e-01, 9.991452303981173122e-01, 6.106268348186577599e-01, 8.479022002900223898e-01, 8.520586345608390788e-01, 6.283356872581552510e-01, 4.877195895959313687e-01, 6.066954734550843442e-01, 9.722484399487131279e-01, 8.794493031045803599e-01, 6.872106810129331445e-01, 7.005265770497761668e-01, 7.275477920951373134e-01, 6.227182546832940035e-01
2.038000000000000000e+03, 6.921306235103574789e-01, 5.929887172588965694e-01, 9.061722790020616536e-01, 9.214253867399528897e-01, 5.868195025518004870e-01, 9.910490891976349026e-01, 8.397940075079131095e-01, 7.964829834299105293e-01, 5.018144079063280305e-01, 4.814879452613114452e-01, 1.044398303232516367e+00, 8.599043013559407589e-01, 7.300517948822415892e-01, 6.535727476989261486e-01, 6.828811624433442917e-01, 6.136706220682225377e-01
2.039000000000000000e+03, 6.558494916941900454e-01, 5.854071525434118017e-01, 6.906240027408424575e-01, 8.229038708770731736e-01, 6.084273689619029701e-01, 9.259754870036028818e-01, 7.654431597320550118e-01, 8.077014697759679063e-01, 4.293221495458960368e-01, 4.399300523925111506e-01, 9.876035577459267856e-01, 8.673057434371289620e-01, 6.002681025386096270e-01, 7.023388702047133059e-01, 5.743715121264333368e-01, 6.820788799136038305e-01
2.040000000000000000e+03, 6.293909613365250566e-01, 7.482472006009593946e-01, 5.498362519477900667e-01, 7.356445151829356099e-01, 7.433051483472461474e-01, 8.866527269566129021e-01, 8.348737384057666189e-01, 8.570247310835897858e-01, 5.123216415274973734e-01, 4.740410687452664695e-01, 8.880607467971965985e-01, 8.292895640366829690e-01, 5.584850329990425077e-01, 5.240357455577006052e-01, 4.682415466657588454e-01, 7.841139589985186564e-01
2.041000000000000000e+03, 6.466049526866552988e-01, 4.837458952488845054e-01, 7.568978652311854072e-01, 8.484600615233371945e-01, 6.112796321898720242e-01, 9.842492752482280283e-01, 7.311816805058977131e-01, 9.122741566256971080e-01, 4.757665556575711441e-01, 6.831563290078850326e-01, 1.088474948716247725e+00, 9.690975620603108354e-01, 6.521168531829443227e-01, 4.829672541648639128e-01, 6.871441356461291949e-01, 6.678544930178453853e-01
2.042000000000000000e+03, 6.168125449854324760e-01, 5.558316820690288873e-01, 7.264222125444330658e-01, 8.638533939164301234e-01, 5.887612380546205504e-01, 9.170259393568643835e-01, 7.044589169270796258e-01, 7.460567754559511711e-01, 7.470720955222494020e-01, 6.652768334108529746e-01, 8.788911720996969157e-01, 1.088795503399162312e+00, 6.560962829590167855e-01, 6.972896908281800421e-01, 5.649213813424784902e-01, 6.629112877322488329e-01
2.043000000000000000e+03, 6.031338747617563945e-01, 6.347196896266000810e-01, 7.690509388227284582e-01, 8.676305263093537778e-01, 5.187278205429777245e-01, 8.868530634882364483e-01, 8.543905674245897419e-01, 7.476060746935563328e-01, 5.357611586770443246e-01, 5.697596052619380291e-01, 9.764677631021906334e-01, 7.599200800100711639e-01, 6.624924602921674621e-01, 6.756096884793600932e-01, 6.242920577513670910e-01, 6.069248651265289896e-01
