year, CESM2-WACCM, MIROC-ES2L, EC-Earth3-Veg, TaiESM1, NorESM2-MM, CMCC-CM2-SR5, CanESM5, MPI-ESM1-2-LR, GFDL-ESM4, ACCESS-ESM1-5, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, NorESM2-LM
2.015000000000000000e+03, 7.764178730622606217e-01, 7.377318832992534325e-01, 1.766715799998377356e+00, 4.952431316553148610e-01, 6.551177445954380341e-01, 6.124841440472845733e-01, 1.883760504783948964e+00, 1.269629650656572073e+00, 5.088600828178071467e-01, 1.161012596531681096e+00, 9.696123020584043184e-01, 9.414895672620312572e-01, 5.461657131099061369e-01, 5.718552723071854693e-01
2.016000000000000000e+03, 7.981041132995464471e-01, 7.039295202280559938e-01, 1.715353744827341931e+00, 4.783676810126687440e-01, 6.583998053586823662e-01, 6.180566038435462151e-01, 1.878668417285716430e+00, 1.298866421474004884e+00, 5.128853640053876450e-01, 1.202665125146970215e+00, 9.821571316477378799e-01, 1.020612744077606937e+00, 5.378837617776229818e-01, 5.320168185666762639e-01
2.017000000000000000e+03, 7.309893300772227764e-01, 7.117072318765788053e-01, 1.740632802416516745e+00, 4.996802263329598870e-01, 6.026936069775169491e-01, 5.943476459929054601e-01, 1.868059570021523896e+00, 1.125176221069071447e+00, 5.401900914717409075e-01, 1.180025152245260056e+00, 9.068391825528077099e-01, 1.029744243269520521e+00, 5.543680812922063827e-01, 6.379472575094901066e-01
2.018000000000000000e+03, 7.059126120323028220e-01, 7.364518115385920716e-01, 1.928374863836306963e+00, 5.095507732648302257e-01, 6.482280547517690339e-01, 5.763696586646149811e-01, 2.003073450733082961e+00, 1.110918370326941185e+00, 5.135041850910576633e-01, 1.167890270865435953e+00, 9.479586549578632448e-01, 9.972174900253653052e-01, 5.909520465655599963e-01, 5.921743495307005833e-01
2.019000000000000000e+03, 7.252424293232433428e-01, 7.404161937256058534e-01, 2.087450689556356487e+00, 4.765405014541770901e-01, 6.637093153968848247e-01, 6.394963190276999887e-01, 2.053410370337684032e+00, 1.295302623434039679e+00, 5.124513892847362140e-01, 1.170732243828405350e+00, 9.894029486996774869e-01, 1.042803473872973008e+00, 5.931370302513638837e-01, 5.845926750334042854e-01
2.020000000000000000e+03, 6.973096691308063866e-01, 7.381948600700832808e-01, 1.752398586359874555e+00, 4.863656066279823942e-01, 6.028308190675568667e-01, 5.748544947634931512e-01, 1.956945756961355753e+00, 1.228291549785665016e+00, 5.345758148440711288e-01, 1.150146362239937270e+00, 1.040568817590006745e+00, 9.373294785732285694e-01, 6.134774991410318901e-01, 6.567981765639165914e-01
2.021000000000000000e+03, 7.504270658316480880e-01, 7.515394690892537310e-01, 1.601147756562717239e+00, 5.254915599758124278e-01, 6.405997964304627201e-01, 6.467554910825695780e-01, 1.910255414998563328e+00, 1.110755192022008009e+00, 5.337243965665130485e-01, 1.177566888028289904e+00, 1.019482891072081010e+00, 8.921414130234243123e-01, 6.157247335156654788e-01, 6.466439713657227140e-01
2.022000000000000000e+03, 7.099353367932798031e-01, 7.561257739955181689e-01, 1.728065088338809119e+00, 4.926946839644877341e-01, 6.095813470302665626e-01, 6.204664856440149645e-01, 2.020640317787242513e+00, 1.096807704678174122e+00, 5.311835714854493684e-01, 1.186091414855000359e+00, 9.379978133388102712e-01, 9.933844418167014911e-01, 5.907778222381072641e-01, 6.819964207779871668e-01
2.023000000000000000e+03, 7.628604615388895338e-01, 7.407005801213333296e-01, 1.973444007169839587e+00, 4.665106931383997679e-01, 6.459985051477334927e-01, 5.953049760484890873e-01, 2.210161001262108016e+00, 1.011579021634655406e+00, 5.161330956353631372e-01, 1.157372993028663810e+00, 9.595833315315009937e-01, 9.228187499048243758e-01, 6.070230526699674778e-01, 5.558343541277254163e-01
2.024000000000000000e+03, 7.726182761848721103e-01, 7.429623968707823600e-01, 2.018760897148940803e+00, 4.918578173493232675e-01, 6.427822800914889667e-01, 6.035431381479627877e-01, 2.083757139707284711e+00, 1.296789995004980600e+00, 5.408181883549372237e-01, 1.190989675458283825e+00, 1.059445399445500424e+00, 9.286777468516179690e-01, 5.961805086834313094e-01, 4.764318115437772838e-01
