year, GFDL-ESM4, CNRM-ESM2-1, NorESM2-MM, EC-Earth3-Veg, CNRM-ESM2-1, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, TaiESM1, GFDL-ESM4, NorESM2-LM, CESM2-WACCM
2.025000000000000000e+03, 8.199727023189540805e-11, 1.451129537355969285e-10, 1.013360640376363545e-10, 1.925099687238176454e-10, 1.451129537355969285e-10, 4.470387027419386959e-10, 2.974198730057853431e-11, 1.013360640376363545e-10, 2.974198730057853431e-11, 7.933480736635161282e-11, 1.305015474400754240e-10, 1.459421868756655948e-10
2.026000000000000000e+03, 5.840089848498886749e-11, 1.904676417471185679e-10, 8.877964800828443973e-11, 3.871005157189309041e-10, 1.904676417471185679e-10, 4.886857368366802280e-10, 2.796304456750349494e-11, 8.877964800828443973e-11, 2.796304456750349494e-11, 5.572553822926924378e-11, 9.011724484010061161e-11, 1.128449423333887267e-10
2.027000000000000000e+03, 7.912576849754495293e-11, 1.459783222481871905e-10, 9.302200663159886226e-11, 2.740526653960015320e-10, 1.459783222481871905e-10, 3.412263855697078203e-10, 2.600792091803878425e-11, 9.302200663159886226e-11, 2.600792091803878425e-11, 7.644325710658495817e-11, 9.957092453418830424e-11, 1.236190706121972517e-10
2.028000000000000000e+03, 7.691429435078113144e-11, 2.433636719745034762e-10, 1.060747778673971129e-10, 1.758729249874509312e-10, 2.433636719745034762e-10, 4.897312826084449280e-10, 1.971924753713240849e-11, 1.060747778673971129e-10, 1.971924753713240849e-11, 7.419075698806748860e-11, 8.512219580046431341e-11, 1.321894098810216170e-10
2.029000000000000000e+03, 8.068032505213098989e-11, 1.979404813581781266e-10, 1.580572184181931315e-10, 2.506165317050671994e-10, 1.979404813581781266e-10, 4.978460774727909722e-10, 2.091318055334670598e-11, 1.580572184181931315e-10, 2.091318055334670598e-11, 7.799400623287810231e-11, 1.273466142953234104e-10, 1.322431475775025435e-10
2.030000000000000000e+03, 8.868423623509376473e-11, 2.082078033336815337e-10, 1.439530430712664275e-10, 3.836215193368062517e-10, 2.082078033336815337e-10, 5.303057397292158592e-10, 2.268769014302432846e-11, 1.439530430712664275e-10, 2.268769014302432846e-11, 8.597608972150699124e-11, 1.160520512347146094e-10, 1.470698398671843141e-10
2.031000000000000000e+03, 9.542876978802452600e-11, 2.316684067246448133e-10, 9.381474581932556594e-11, 1.961208109023729130e-10, 2.316684067246448133e-10, 5.084321249095924948e-10, 3.134954117284824917e-11, 9.381474581932556594e-11, 3.134954117284824917e-11, 9.276053490081050125e-11, 1.152140802856903719e-10, 1.215095154135713201e-10
2.032000000000000000e+03, 7.339245917237801194e-11, 1.976106154330928238e-10, 1.122983652754859459e-10, 1.154339547000108123e-10, 1.976106154330928238e-10, 5.428463516871381708e-10, 2.511677175363820410e-11, 1.122983652754859459e-10, 2.511677175363820410e-11, 7.091918310917885743e-11, 1.061624143625667907e-10, 1.612738141809156126e-10
2.033000000000000000e+03, 8.163898601623582168e-11, 1.532367193875109608e-10, 1.390834817348316220e-10, 3.878799744928715423e-10, 1.532367193875109608e-10, 4.457062327227802354e-10, 2.763105157881423278e-11, 1.390834817348316220e-10, 2.763105157881423278e-11, 7.911563167677362383e-11, 1.011214081404197063e-10, 1.385733781351240028e-10
2.034000000000000000e+03, 1.010160383339671068e-10, 2.019018018565954601e-10, 1.687119103147318403e-10, 3.238756350694184617e-10, 2.019018018565954601e-10, 4.207401740267892745e-10, 2.515691921122030651e-11, 1.687119103147318403e-10, 2.515691921122030651e-11, 9.841510196674559223e-11, 7.968465727619728325e-11, 1.435607875918108559e-10
2.035000000000000000e+03, 9.226669399749825646e-11, 2.153493257337015030e-10, 1.269092015139250417e-10, 1.287712035781416700e-10, 2.153493257337015030e-10, 6.395681050640959827e-10, 2.574025800623151999e-11, 1.269092015139250417e-10, 2.574025800623151999e-11, 8.958060316970493822e-11, 1.152386466133952158e-10, 1.362600638992029383e-10
2.036000000000000000e+03, 6.822743634370626206e-11, 1.836698427291881411e-10, 9.096489062135284123e-11, 1.112416623982864681e-10, 1.836698427291881411e-10, 4.501868426728095795e-10, 2.004084561127702403e-11, 9.096489062135284123e-11, 2.004084561127702403e-11, 6.567345593872147397e-11, 1.149572368823061035e-10, 1.306703932223646183e-10
2.037000000000000000e+03, 8.805031689695138163e-11, 1.449987407752251783e-10, 1.095095009052013742e-10, 2.033733047270501527e-10, 1.449987407752251783e-10, 4.975831648109320387e-10, 2.649273701486719861e-11, 1.095095009052013742e-10, 2.649273701486719861e-11, 8.524661205619313071e-11, 1.287999730996513154e-10, 1.047739425654136383e-10
