year, CESM2-WACCM, IPSL-CM6A-LR, UKESM1-0-LL, CNRM-ESM2-1
2.067000000000000000e+03, 1.699980110543832817e-12, -6.692245217964769181e-10, 2.473934939207958785e-10, 4.075983493284469419e-11
2.068000000000000000e+03, 1.638357375346632093e-12, -6.481697581183020515e-10, 2.397249865693596824e-10, 4.176436358281932138e-11
2.069000000000000000e+03, 1.523238083364109041e-12, -7.003631342849590797e-10, 2.876335077965134162e-10, 4.193817091456463446e-11
2.070000000000000000e+03, 1.657663053208088911e-12, -6.379226715038496211e-10, 2.236730893050529471e-10, 4.332214747255219656e-11
2.071000000000000000e+03, 1.435045959633135704e-12, -7.265868756151919097e-10, 2.013831698125258356e-10, 4.415554419511912940e-11
2.072000000000000000e+03, 1.497872411514213500e-12, -7.364580263920866025e-10, 2.632852037458153853e-10, 4.457016619279278818e-11
2.073000000000000000e+03, 1.683629098069842957e-12, -6.725806626298617437e-10, 2.450633080659819242e-10, 4.653806732302043068e-11
2.074000000000000000e+03, 1.511347485109505970e-12, -7.573521044803935162e-10, 2.151458808490393527e-10, 4.909631979433860024e-11
2.075000000000000000e+03, 1.576687142994568204e-12, -7.313404556176512550e-10, 2.444586581767940256e-10, 4.934076716966977938e-11
2.076000000000000000e+03, 1.949416381361415855e-12, -8.251253377704748108e-10, 2.935473364306531267e-10, 3.505250935650919458e-11
2.077000000000000000e+03, 1.943202057224191989e-12, -6.276712102759653171e-10, 2.305277111028832588e-10, 3.493641279336098516e-11
2.078000000000000000e+03, 1.979721011897909599e-12, -6.792453968046019020e-10, 2.153319395013436058e-10, 3.471877927909627392e-11
2.079000000000000000e+03, 2.170633479138483153e-12, -7.531471499816425368e-10, 2.264445049505796596e-10, 3.461113007336482974e-11
2.080000000000000000e+03, 2.100547125684293974e-12, -6.988773238974572121e-10, 2.281811645368778096e-10, 3.353748679343092384e-11
2.081000000000000000e+03, 2.565132692047311047e-12, -6.975598648843837630e-10, 3.055788200667617572e-10, 4.928186678538678343e-11
2.082000000000000000e+03, 2.966859751573741811e-12, -7.386057263936252915e-10, 2.589391903256865955e-10, 5.281702880041506582e-11
2.083000000000000000e+03, 2.884789716512216645e-12, -7.365930958788350134e-10, 2.484463560304053972e-10, 5.150110247864170198e-11
2.084000000000000000e+03, 3.117439363094885565e-12, -7.797150861193957055e-10, 2.757931768956017969e-10, 5.019007952996218851e-11
2.085000000000000000e+03, 3.250656616735544266e-12, -8.724919556658431450e-10, 3.197399698514827660e-10, 4.983597852265156015e-11
2.086000000000000000e+03, 2.265495600711262513e-12, -8.171086140368964664e-10, 2.908096267749514779e-10, 4.984091894237666615e-11
2.087000000000000000e+03, 2.241465926137892158e-12, -7.208497290336376511e-10, 2.315333804872707088e-10, 5.311327836840792094e-11
2.088000000000000000e+03, 2.276388666863328650e-12, -6.783977292288157662e-10, 2.412901032046740190e-10, 5.777766816672511969e-11
2.089000000000000000e+03, 2.417250313124843473e-12, -7.437949127065532932e-10, 2.691664323410699034e-10, 5.839370858382114208e-11
2.090000000000000000e+03, 2.471477267983755421e-12, -7.803708887484878298e-10, 3.389966966745598165e-10, 5.873551683639732252e-11
2.091000000000000000e+03, 2.419719909689050511e-12, -6.065229858008734263e-10, 3.215926200779761044e-10, 5.847244482951822000e-11
2.092000000000000000e+03, 2.750575200466031694e-12, -8.931111778800525302e-10, 2.265651491931086587e-10, 5.836679095367977605e-11
2.093000000000000000e+03, 2.487355649030191244e-12, -9.575450957836814949e-10, 2.398878241722629175e-10, 5.864493775071284817e-11
2.094000000000000000e+03, 2.709245243217665527e-12, -9.732960866413316544e-10, 2.951824604519058877e-10, 5.617455549102176984e-11
2.095000000000000000e+03, 2.690237519977163270e-12, -8.431778161387722746e-10, 3.274716254532172293e-10, 5.598641469472152809e-11
2.096000000000000000e+03, 3.435252460478495929e-12, -8.418744197754450227e-10, 2.512943721871990724e-10, 6.907745784254949370e-11
2.097000000000000000e+03, 3.747949188819890194e-12, -9.205938504497900143e-10, 3.199217775168720811e-10, 6.924574994390328209e-11
2.098000000000000000e+03, 3.491388983358836940e-12, -8.751008478902397303e-10, 3.434956515675134250e-10, 6.812997243781136781e-11
2.099000000000000000e+03, 3.814965299929090632e-12, -8.545393116980295944e-10, 3.300607968927374317e-10, 6.898944702082742203e-11
2.100000000000000000e+03, 3.690762875355492946e-12, -7.674514933521546966e-10, 3.313922275360561587e-10, 6.745448878061811477e-11
