year, INM-CM4-8, EC-Earth3-Veg, ACCESS-ESM1-5, CanESM5, TaiESM1, NorESM2-MM, MPI-ESM1-2-LR, MIROC-ES2L, INM-CM5-0, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL, CMCC-CM2-SR5, GFDL-ESM4, NorESM2-LM
2.025000000000000000e+03, 2.898525262572878205e+02, 2.892167148638251888e+02, 2.893243793793035366e+02, 2.898379286461257038e+02, 2.916848661714066111e+02, 2.902136596551582670e+02, 2.900946913115065513e+02, 2.927944857496688655e+02, 2.901174178213078108e+02, 2.880659419789512299e+02, 2.911538466169066623e+02, 2.893679740311588944e+02, 2.904000640515986902e+02, 2.912316078649895985e+02, 2.885349848427666188e+02, 2.901807918462213820e+02
2.026000000000000000e+03, 2.894985322500496068e+02, 2.896748215989698565e+02, 2.893793978452551983e+02, 2.896511811451554195e+02, 2.918330412773435683e+02, 2.897827256680541836e+02, 2.907156332754258301e+02, 2.931733564570223507e+02, 2.894159334086187982e+02, 2.883432958098757126e+02, 2.911385334469782720e+02, 2.897474792113451372e+02, 2.894968202598820994e+02, 2.918128668909352541e+02, 2.887981462034152287e+02, 2.909306509499627964e+02
2.027000000000000000e+03, 2.899288347849345087e+02, 2.895935168267709514e+02, 2.887536156248466455e+02, 2.892293989925094593e+02, 2.902515720605796332e+02, 2.902564757085119709e+02, 2.901984028365588415e+02, 2.933038185661385455e+02, 2.891925576575758328e+02, 2.878846157794727674e+02, 2.911361062545865366e+02, 2.894780702921879083e+02, 2.904095736693079743e+02, 2.905314689211649579e+02, 2.896331503956345159e+02, 2.915695775368860154e+02
2.028000000000000000e+03, 2.891247404193620127e+02, 2.894248214409574302e+02, 2.897971407087144371e+02, 2.906855231629884315e+02, 2.909041371720418852e+02, 2.900833484486660723e+02, 2.909132261242876325e+02, 2.935134488921981983e+02, 2.894201057418600840e+02, 2.882545756030277744e+02, 2.916443701539320728e+02, 2.900171515700299096e+02, 2.901773256092269548e+02, 2.907966302869555193e+02, 2.890817743396104333e+02, 2.909724820578343838e+02
2.029000000000000000e+03, 2.896099302955278745e+02, 2.896814373082101497e+02, 2.893793503100473004e+02, 2.898009990766112765e+02, 2.917593647348590480e+02, 2.903685070351625086e+02, 2.912751102689011873e+02, 2.924280487953935790e+02, 2.898937596368621712e+02, 2.880839260146388483e+02, 2.911496490448889176e+02, 2.899302115191621283e+02, 2.894623766831757621e+02, 2.907444131640081650e+02, 2.891521743227195884e+02, 2.911283298065511644e+02
2.030000000000000000e+03, 2.892404318697238068e+02, 2.896130637588145191e+02, 2.894212663077140064e+02, 2.900193855349413639e+02, 2.919876871671726803e+02, 2.903566329030202837e+02, 2.909513494477726567e+02, 2.935599232176443820e+02, 2.898883735362071548e+02, 2.878052823807307163e+02, 2.914805139855493508e+02, 2.898278838241740232e+02, 2.908968379751157727e+02, 2.910518194748012775e+02, 2.892362218403469569e+02, 2.906295081859682909e+02
2.031000000000000000e+03, 2.892574153326406758e+02, 2.898927610323673321e+02, 2.896188288143617342e+02, 2.900607657440538674e+02, 2.915671580476414420e+02, 2.901235776829737461e+02, 2.911319287934841213e+02, 2.929571080715720086e+02, 2.901520780555574675e+02, 2.880502267514871164e+02, 2.912729149906444945e+02, 2.898978062986409441e+02, 2.910551888327779011e+02, 2.908120116745337782e+02, 2.896818673217616151e+02, 2.908695447470944373e+02
2.032000000000000000e+03, 2.891306740174634911e+02, 2.898847906225359452e+02, 2.897796136189407434e+02, 2.907857855671204561e+02, 2.915089541849370107e+02, 2.906821123110618146e+02, 2.905385225056912759e+02, 2.935084068938243149e+02, 2.901773455995875111e+02, 2.882498287556570062e+02, 2.908570282782967524e+02, 2.903250259067017396e+02, 2.906055155046817617e+02, 2.917961115344438667e+02, 2.896788682056671860e+02, 2.912232541564863482e+02
2.033000000000000000e+03, 2.896383562829104221e+02, 2.893701619894922032e+02, 2.899991180485853874e+02, 2.894504011509220618e+02, 2.913076763730867356e+02, 2.909330274647055035e+02, 2.912148243762857760e+02, 2.927203188603140234e+02, 2.892759258513027589e+02, 2.887146671763526911e+02, 2.909527164151596708e+02, 2.900488307527175493e+02, 2.895266618090063275e+02, 2.917433503078237891e+02, 2.893125576366430778e+02, 2.911240890743286513e+02
2.034000000000000000e+03, 2.897398281507612410e+02, 2.892022704797412302e+02, 2.898853767610880823e+02, 2.907405397865609302e+02, 2.911829926413447538e+02, 2.905839550346173041e+02, 2.902240376388210734e+02, 2.933308129203562657e+02, 2.903243395879576951e+02, 2.886241046556554011e+02, 2.911418599250388297e+02, 2.904313160701090624e+02, 2.907389644289280568e+02, 2.911883256272142830e+02, 2.898447938549521723e+02, 2.912742755926615246e+02
2.035000000000000000e+03, 2.901874849189169367e+02, 2.890159102142328607e+02, 2.900548161313315063e+02, 2.900744096443780791e+02, 2.916557267158021318e+02, 2.906278205207303245e+02, 2.906042543046738160e+02, 2.933347395668569106e+02, 2.902182963645481664e+02, 2.885382962559876887e+02, 2.911850567905889875e+02, 2.899792707206524369e+02, 2.907987837825763222e+02, 2.917339424664946819e+02, 2.893818140307087674e+02, 2.918663493116222298e+02
2.036000000000000000e+03, 2.902769311689683036e+02, 2.893678274347801107e+02, 2.902658579421977834e+02, 2.906628871171267861e+02, 2.921222409943646312e+02, 2.907398336361251836e+02, 2.903763606221054374e+02, 2.937289808851821817e+02, 2.897994978200679839e+02, 2.894696232145975614e+02, 2.918086623889100224e+02, 2.897413351953259735e+02, 2.914124891348975552e+02, 2.909641337638231562e+02, 2.901042498039649331e+02, 2.913265028910511205e+02
