year, NorESM2-LM, TaiESM1, CanESM5, ACCESS-ESM1-5, EC-Earth3-Veg, CESM2-WACCM, MIROC-ES2L, MPI-ESM1-2-LR, IPSL-CM6A-LR, CMCC-CM2-SR5, GFDL-ESM4, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-MM
1.850000000000000000e+03, 5.195657963622577036e+00, 8.725681354175906179e+00, 1.518755940492385648e+01, 9.663500581018272584e+00, 9.923932123392694038e+00, 6.485712472888184976e+00, 1.104485435626178003e+01, 1.076269760028552014e+01, 1.011608464683605213e+01, 5.455882209453990939e+00, 9.169204383917646695e+00, 5.615897777748373620e+00, 1.085047106974652564e+01, 5.633074473163510731e+00
1.851000000000000000e+03, 5.265793343472343402e+00, 8.783250897169352811e+00, 1.475569276174090483e+01, 9.568832636054086294e+00, 9.919425145317338988e+00, 6.444924797157914220e+00, 1.123717550674116872e+01, 1.088716554608780207e+01, 1.022443203407621581e+01, 5.425880477189941153e+00, 9.153134564783933058e+00, 5.613073734224380829e+00, 1.035468353930988350e+01, 5.563384527661308532e+00
1.852000000000000000e+03, 5.351698485443716180e+00, 8.823759886237356298e+00, 1.486168768930325079e+01, 9.490401660156303265e+00, 9.925970863243449571e+00, 6.246158696574450886e+00, 1.096838015967065338e+01, 1.113388512018654097e+01, 1.017110229211529848e+01, 5.367627002860439589e+00, 9.271360927220921866e+00, 5.756163094880340836e+00, 1.024284476449379433e+01, 5.466975523541606208e+00
1.853000000000000000e+03, 4.830493672284827511e+00, 9.180369528898708609e+00, 1.500854611331272892e+01, 9.510669365606078784e+00, 1.019711220710788346e+01, 6.549011537879640521e+00, 1.077799118348419327e+01, 1.050075519239375765e+01, 1.012979681529747289e+01, 5.456805425534060561e+00, 9.399082475193971220e+00, 5.626346667704688720e+00, 1.074245886616111001e+01, 5.580893758117441372e+00
1.854000000000000000e+03, 5.056789509612030997e+00, 8.868473803553390766e+00, 1.528261551378548511e+01, 9.486760440811471184e+00, 1.033630512617790131e+01, 6.648583100227561715e+00, 1.072929557451187144e+01, 1.061619160950169416e+01, 1.025074782604958301e+01, 5.519331479669345342e+00, 9.335593331940687634e+00, 5.771026949377007220e+00, 1.055038532928030293e+01, 5.461703290772462083e+00
1.855000000000000000e+03, 5.304874108345497774e+00, 8.745779422849928153e+00, 1.504009926177900880e+01, 9.356401400265212942e+00, 9.930698288694369325e+00, 6.588928804703247266e+00, 1.107037579040365038e+01, 1.068799455886900951e+01, 1.012740140652178233e+01, 5.474946543638147034e+00, 9.337294331779501633e+00, 5.570884880471037803e+00, 1.084453148420032775e+01, 5.456800092310548855e+00
1.856000000000000000e+03, 5.127094691765867296e+00, 8.783516105132463281e+00, 1.482776157896813984e+01, 9.422580476817802975e+00, 9.610606518174183321e+00, 6.452364606522710488e+00, 1.097616506088340493e+01, 1.060120667696316055e+01, 1.013265753023991422e+01, 5.431510895293348185e+00, 9.578354406216691430e+00, 5.770046091180247139e+00, 1.029621197109343811e+01, 5.386651425201811172e+00
1.857000000000000000e+03, 5.168379008555122667e+00, 8.855039740824617311e+00, 1.503958386381682466e+01, 9.374390158347898350e+00, 9.753010113450901741e+00, 6.789492979342305112e+00, 1.097146250238373533e+01, 1.067295405642481398e+01, 1.007939967042881158e+01, 5.552166364054463621e+00, 9.361756984260297898e+00, 5.601421455768995195e+00, 1.039208123694816166e+01, 5.246278866525140749e+00
1.858000000000000000e+03, 5.432931128402493037e+00, 8.725370205636075127e+00, 1.502632177326157148e+01, 9.377082622137649537e+00, 1.018139269509286926e+01, 6.734186132138615832e+00, 1.089948206349347259e+01, 1.061777836572122347e+01, 1.030073497026049445e+01, 5.428465702651517510e+00, 9.300648539958192629e+00, 5.707726616514647411e+00, 1.046599289085817652e+01, 5.340795588449417153e+00
1.859000000000000000e+03, 5.232351921594505129e+00, 8.941399496494740973e+00, 1.491820162245975467e+01, 9.505000956555685221e+00, 9.751231741636035011e+00, 6.427390908685852722e+00, 1.074765564179038435e+01, 1.089235581185410418e+01, 1.029609291033409768e+01, 5.531309631095038704e+00, 9.316590565823382519e+00, 6.011838612164503104e+00, 1.016556137552024985e+01, 5.432998983102014456e+00
1.860000000000000000e+03, 4.997039423389733948e+00, 8.832261301769655404e+00, 1.516861792436467304e+01, 9.605089103726681898e+00, 9.906531836778622591e+00, 6.130326366756944978e+00, 1.098933309831273952e+01, 1.077855405585381909e+01, 1.048697275524310690e+01, 5.466019177176579369e+00, 9.235108024724000941e+00, 5.496141333344390034e+00, 1.045416078997243226e+01, 5.630522416032967215e+00
1.861000000000000000e+03, 4.690366036058735588e+00, 9.177568444418312765e+00, 1.500867613321439187e+01, 9.563920739948978067e+00, 9.989568521622214092e+00, 6.300984172560063712e+00, 1.084898240504550415e+01, 1.063432561993985992e+01, 1.035546828641320971e+01, 5.518920571925415075e+00, 9.388590158188366175e+00, 5.774059436411387303e+00, 9.445755517122712774e+00, 5.113415284668738181e+00
1.862000000000000000e+03, 5.000308251052355324e+00, 8.866581972420238600e+00, 1.477017274772275535e+01, 9.672613091628242898e+00, 9.936011079354932107e+00, 6.344722112705512451e+00, 1.077432621607345808e+01, 1.077044694954826198e+01, 9.996559551932245213e+00, 5.660470445394150119e+00, 9.327302235203601910e+00, 6.174535416894896933e+00, 1.006345114938841689e+01, 5.519560804739236382e+00
1.863000000000000000e+03, 5.028751837985420359e+00, 8.912471321924630985e+00, 1.510177705242085899e+01, 9.796166569764654497e+00, 9.951049668495970835e+00, 6.378375906712470567e+00, 1.073292040778544276e+01, 1.090045125463855769e+01, 1.037836687195913754e+01, 5.324687344095753616e+00, 9.350708129220183906e+00, 5.852134163218025265e+00, 1.042241767269268138e+01, 5.517023989274071560e+00
1.864000000000000000e+03, 5.121335204935691721e+00, 8.751166156901382109e+00, 1.516464452232932203e+01, 9.791232001707987465e+00, 1.008046176787255099e+01, 6.546179418529447069e+00, 1.089311945626468336e+01, 1.045892958891624147e+01, 1.033584798631772728e+01, 5.574102403928871574e+00, 9.321435462148967233e+00, 5.387985765593271026e+00, 1.054039489236524751e+01, 5.534708583988431130e+00
1.865000000000000000e+03, 5.085206838622250203e+00, 8.805820475982439888e+00, 1.488995201791579426e+01, 9.647799538623079485e+00, 9.980766122046778932e+00, 6.409709061843192224e+00, 1.102803547696356645e+01, 1.037583076907806934e+01, 1.036327755556742858e+01, 5.395828438547359163e+00, 9.255337478425335718e+00, 5.458468517905083139e+00, 1.098229393246922037e+01, 5.515540453084487815e+00
1.866000000000000000e+03, 5.044000084620731350e+00, 9.073229036940031023e+00, 1.501018563309524367e+01, 9.524599896404973620e+00, 9.602963588041282250e+00, 6.853094672851052671e+00, 1.092804108125590368e+01, 1.046838543288977341e+01, 1.055364172978227622e+01, 5.584351453203732163e+00, 9.133072164681776073e+00, 5.943848313512417825e+00, 9.989597048047683003e+00, 5.400125927943745019e+00
1.867000000000000000e+03, 5.155159978512098284e+00, 8.895752515046403630e+00, 1.530757990068330798e+01, 9.657282479320773660e+00, 9.591696692516416434e+00, 6.659635148912752101e+00, 1.057398881674512126e+01, 1.079175294345296443e+01, 1.018996436657156757e+01, 5.551991771415021759e+00, 9.178657559916251429e+00, 5.553930243405741152e+00, 1.039725250467659734e+01, 5.461229172987033031e+00
1.868000000000000000e+03, 5.336973243307680193e+00, 8.954524999617824221e+00, 1.524994467399073628e+01, 9.552597326185992443e+00, 9.573797787260922121e+00, 6.478304589167558802e+00, 1.065416770405511571e+01, 1.086956592281951117e+01, 1.021842775907762402e+01, 5.554468891051016932e+00, 9.289033227720514319e+00, 5.774938345869705003e+00, 1.104849167619085826e+01, 5.583025929047257030e+00
1.869000000000000000e+03, 5.028510013929099465e+00, 8.765198361233162316e+00, 1.515750173497337983e+01, 9.413423255792205069e+00, 9.548223602710814717e+00, 6.478540035768896033e+00, 1.061762357778682109e+01, 1.087258099604345318e+01, 1.041205378450147201e+01, 5.532136985565467846e+00, 9.227102618853187721e+00, 5.505393536530109877e+00, 1.101617476236220483e+01, 5.248123922211899384e+00
1.870000000000000000e+03, 4.917903035530868827e+00, 8.749864167251297786e+00, 1.505438486071277993e+01, 9.506592720149596332e+00, 9.853717253394732367e+00, 6.352367534731976129e+00, 1.076896719881036724e+01, 1.049948508824609839e+01, 1.029620319290979147e+01, 5.660020382154718810e+00, 9.238898204715384921e+00, 5.630937157765598222e+00, 9.877164114171595344e+00, 5.388178658113438324e+00
1.871000000000000000e+03, 5.015756782603901343e+00, 8.921634080901030828e+00, 1.516011189993080066e+01, 9.565270419122363421e+00, 1.016386207785122764e+01, 6.567915057374593246e+00, 1.091843833430662514e+01, 1.084636963368330065e+01, 1.014211430774449241e+01, 5.542023643818543732e+00, 9.388589233812300705e+00, 5.251862522315309256e+00, 9.707761080948959176e+00, 5.320129088639269810e+00
1.872000000000000000e+03, 5.387050062521559823e+00, 8.859430049540462093e+00, 1.514559324310364552e+01, 9.527945426812543417e+00, 1.011151494849613108e+01, 6.653253258653385238e+00, 1.098384759354186002e+01, 1.066562402959692157e+01, 1.011818990861985235e+01, 5.555865976528581385e+00, 9.143148825120411161e+00, 5.767956667998022091e+00, 1.077361749066815300e+01, 5.422396332551088882e+00
1.873000000000000000e+03, 5.297394203141766234e+00, 8.995968101037043141e+00, 1.522725572959320139e+01, 9.686952277925374943e+00, 9.756503365799719774e+00, 6.575587698655842139e+00, 1.060801949005702127e+01, 1.068583054938819998e+01, 1.018651371976497622e+01, 5.535212420052146420e+00, 9.034111630423121042e+00, 5.807107439624736855e+00, 1.030448767751543571e+01, 5.141444896952811483e+00
1.874000000000000000e+03, 4.959916588055100384e+00, 8.694531761518033974e+00, 1.516122555392995430e+01, 9.688944284023635944e+00, 9.522448361689129115e+00, 6.215078021368727335e+00, 1.064159525181960930e+01, 1.074460772930438957e+01, 1.017537048931997923e+01, 5.396571459389440939e+00, 9.105932862519681592e+00, 5.504346224255908915e+00, 1.034626882322858954e+01, 5.422058761500978541e+00
1.875000000000000000e+03, 4.826213752323170070e+00, 9.012329866146025381e+00, 1.513611655391163957e+01, 9.620491572671740599e+00, 9.870089496357694614e+00, 6.558844008269854697e+00, 1.082869722327434836e+01, 1.057311939549126834e+01, 1.025478496401026440e+01, 5.538064234687119836e+00, 8.998517200419863471e+00, 5.252203881493780813e+00, 1.028591896867659372e+01, 5.504019505117467403e+00
1.876000000000000000e+03, 5.070879626144857433e+00, 8.931168739376197152e+00, 1.522069770744526451e+01, 9.564408427751169839e+00, 1.020086746549833734e+01, 6.493264758017826210e+00, 1.099964117609492398e+01, 1.080215879321460370e+01, 1.030070526277105714e+01, 5.413049665021122614e+00, 9.189373504308143481e+00, 5.697670666276823503e+00, 9.899475874570009992e+00, 5.424181211341906561e+00
1.877000000000000000e+03, 5.064328995406357947e+00, 8.867892504953299948e+00, 1.513746830408181410e+01, 9.527594243063020940e+00, 9.780991434441704158e+00, 6.542882143235280168e+00, 1.081297877405684460e+01, 1.093200287807716009e+01, 1.041098374997107712e+01, 5.548764233948844549e+00, 9.155337478711505383e+00, 5.606161859709450468e+00, 1.063472006752358645e+01, 5.688975704121804533e+00
1.878000000000000000e+03, 5.212863440456684039e+00, 9.088815401368947278e+00, 1.536762039514648848e+01, 9.504567920425380123e+00, 9.577603252268884759e+00, 6.805273883585437389e+00, 1.059589367360904610e+01, 1.061968110023326695e+01, 1.050297758338957621e+01, 5.527419659692510479e+00, 9.037736375394759492e+00, 5.870811643305655636e+00, 1.041950110032970223e+01, 5.535601921454961882e+00
1.879000000000000000e+03, 4.793656526186089728e+00, 9.100390301305518292e+00, 1.517253365917401808e+01, 9.692103456479912893e+00, 9.593756971638145004e+00, 6.754171504255209513e+00, 1.062328967712058336e+01, 1.101539886058315432e+01, 1.022264972827057328e+01, 5.562169793846110544e+00, 9.130808197552099159e+00, 5.524134347176213211e+00, 1.093326750804150826e+01, 5.464855908827903619e+00
1.880000000000000000e+03, 5.076075901532565382e+00, 8.747444551004340596e+00, 1.542791112165880385e+01, 9.638907254742527186e+00, 9.884262863075317540e+00, 6.658210577242455130e+00, 1.074449065537690018e+01, 1.063193091802880197e+01, 1.024227691321082823e+01, 5.540074503236012582e+00, 9.205270262584747343e+00, 5.954099978354877365e+00, 1.042880772533487566e+01, 5.607659408647597488e+00
1.881000000000000000e+03, 4.948035536030465309e+00, 8.872403768445481731e+00, 1.509793333406056348e+01, 9.629776521959122704e+00, 9.635135336890813917e+00, 6.697959824473360690e+00, 1.072488116783557111e+01, 1.096024807112360655e+01, 1.021835917011069128e+01, 5.637628616359604550e+00, 9.101659172980188117e+00, 5.670489867999532585e+00, 1.000882170925550518e+01, 5.487521617240435745e+00
1.882000000000000000e+03, 4.874057161914789660e+00, 8.799621813262929138e+00, 1.536218274177418763e+01, 9.696865323858432362e+00, 9.751689598813237936e+00, 6.641409859227928258e+00, 1.081095120099770313e+01, 1.109676638109000102e+01, 1.025655344488413867e+01, 5.663713001698106986e+00, 9.102226345205666647e+00, 6.035970389644551126e+00, 1.019249005751414394e+01, 5.429813620132327046e+00
1.883000000000000000e+03, 4.919627289869853648e+00, 8.889374394071143826e+00, 1.550439323765129274e+01, 9.702464466130878762e+00, 1.006884310059961685e+01, 6.719244986854542745e+00, 1.063432873447217730e+01, 1.076313201631827887e+01, 1.013087622509097585e+01, 5.473603299169389480e+00, 9.280388307623107735e+00, 5.433237990778132520e+00, 1.041675998447615292e+01, 5.126076083612499446e+00
1.884000000000000000e+03, 4.653984915690714708e+00, 8.863298718566682055e+00, 1.495961893965670519e+01, 9.813078077009036448e+00, 9.841740426341193171e+00, 6.637518687845076926e+00, 1.028449835555683656e+01, 1.069559526822397544e+01, 1.005655504397304867e+01, 5.334835389271009198e+00, 9.333604632988551586e+00, 5.385500576285020102e+00, 1.029623730724625830e+01, 5.679741886972508702e+00
1.885000000000000000e+03, 4.894226718655737329e+00, 8.711392490425502899e+00, 1.538081673303725161e+01, 9.791134881907181509e+00, 9.683494984516123338e+00, 6.757821031117210886e+00, 1.053958729379114345e+01, 1.092158202029388470e+01, 1.008897698832401524e+01, 5.638975707184106234e+00, 9.509920049046387547e+00, 5.641106026912746430e+00, 1.029968349135486960e+01, 5.350468934054656955e+00
1.886000000000000000e+03, 4.975500306387869109e+00, 8.874876549125936265e+00, 1.517287264706557259e+01, 9.781648567001438366e+00, 9.507163625397886619e+00, 6.689764225804565534e+00, 1.063913050956802664e+01, 1.095061832975745197e+01, 1.025640685822109965e+01, 5.552815314165243876e+00, 9.584029771891399818e+00, 5.567073637724016422e+00, 1.037414516020053767e+01, 5.397233193297030773e+00
1.887000000000000000e+03, 5.070298011387539994e+00, 8.931042911990992650e+00, 1.504712877551921579e+01, 9.657375536036342467e+00, 9.603546579783762027e+00, 6.553266122275844374e+00, 1.076429549989264167e+01, 1.117384600724776433e+01, 1.033097604137093839e+01, 5.623880726860933876e+00, 9.592679694362912457e+00, 5.696912341676414471e+00, 1.033649129175302583e+01, 5.406131937826301304e+00
1.888000000000000000e+03, 5.206714644914025136e+00, 8.912112793401110622e+00, 1.549287129416076070e+01, 9.649641490797955967e+00, 9.647135421197267746e+00, 6.609006716371376378e+00, 1.090855655652116596e+01, 1.098480739431656339e+01, 1.027135480036371717e+01, 5.625909943476929520e+00, 9.791158514581651318e+00, 5.485910755138045936e+00, 1.106945719723131027e+01, 5.430085295127658362e+00
1.889000000000000000e+03, 5.379925055908588938e+00, 8.683972420569032735e+00, 1.516322515303186691e+01, 9.681266844315391751e+00, 9.975623503421374494e+00, 6.289846180341378101e+00, 1.054149599365176826e+01, 1.079057768908160675e+01, 1.032462655428709120e+01, 5.617245800161833280e+00, 9.536488300239160054e+00, 5.565074826077886172e+00, 1.069958881060989953e+01, 5.468048437107619009e+00
1.890000000000000000e+03, 5.376518743139289569e+00, 8.886221268752933611e+00, 1.529676631355101257e+01, 9.623558662161316946e+00, 9.904391319722320119e+00, 6.401662876442826722e+00, 1.048801219434443688e+01, 1.037920294249322239e+01, 1.039070841250679678e+01, 5.576853033347272337e+00, 9.425153769154315242e+00, 5.869312086743932788e+00, 1.064104035784602154e+01, 5.303455904910122420e+00
1.891000000000000000e+03, 5.413205028991806778e+00, 8.970615116048131554e+00, 1.498874744817716298e+01, 9.672762043791175657e+00, 9.672585875987552484e+00, 6.428924556860715178e+00, 1.074929371037797310e+01, 1.042050547080834555e+01, 1.023095074704549212e+01, 5.481675583908040217e+00, 9.465863569044737247e+00, 5.615964527919412141e+00, 1.043922192309639740e+01, 5.085975847751059042e+00
1.892000000000000000e+03, 5.330663883298521810e+00, 8.940184793013258968e+00, 1.543870194222068903e+01, 9.762227101360709369e+00, 9.782286854983677671e+00, 6.583191444992941399e+00, 1.084655282280773925e+01, 1.071179636064726282e+01, 1.037033916441765946e+01, 5.537498837024129372e+00, 9.386325422012188113e+00, 5.605753999176563696e+00, 1.063413669343835544e+01, 5.404537853766965938e+00
1.893000000000000000e+03, 5.012302649340105276e+00, 8.772794338660316882e+00, 1.542002247096708167e+01, 9.861130332490855466e+00, 1.004899456965885562e+01, 6.423691792135953982e+00, 1.083320510601501674e+01, 1.085399711919862220e+01, 1.036744575023936754e+01, 5.655976628867972700e+00, 9.306468045520542631e+00, 5.909518794142269549e+00, 1.008164889289677291e+01, 5.512762615873461058e+00
1.894000000000000000e+03, 5.028003713599674462e+00, 8.677834696275738224e+00, 1.541848756658728981e+01, 9.733423437629625141e+00, 1.010012875323468862e+01, 6.355922945446754291e+00, 1.053948053328652534e+01, 1.073458252477374231e+01, 1.034401252770502389e+01, 5.752254731488526396e+00, 9.412897470685212653e+00, 5.724938259265482721e+00, 1.061994981606709487e+01, 5.609360851384479041e+00
1.895000000000000000e+03, 5.202714891278109377e+00, 8.738277575307989764e+00, 1.557038559083150986e+01, 1.001659889667347869e+01, 9.760927494702167806e+00, 6.628559337244006144e+00, 1.050850483076869146e+01, 1.069546618649181369e+01, 1.031547599403065973e+01, 5.488992099435493266e+00, 9.438016278893197608e+00, 5.774713550099368042e+00, 1.081183672312120514e+01, 5.353703689273562105e+00
1.896000000000000000e+03, 5.022927682437738461e+00, 9.111208159372939264e+00, 1.546421294799526258e+01, 1.000957704537977655e+01, 9.743117974391971359e+00, 6.740624687393491854e+00, 1.054567528502260387e+01, 1.086921206215307478e+01, 1.000634160812346884e+01, 5.603554076927918182e+00, 9.266684323560530956e+00, 5.658058428737686718e+00, 1.071845903438772929e+01, 5.502188032322366418e+00
1.897000000000000000e+03, 4.962475381349269909e+00, 8.982904748768708814e+00, 1.525504294687380913e+01, 1.002090733202669526e+01, 9.900573466674122969e+00, 6.642455790774620006e+00, 1.086238590595182174e+01, 1.076329392590240097e+01, 1.032001268226741431e+01, 5.577095078449890941e+00, 9.192581486747807062e+00, 5.765647943361222438e+00, 1.081041557466698499e+01, 5.502126027826963472e+00
1.898000000000000000e+03, 5.252202182906606787e+00, 8.835090460098948384e+00, 1.539766523753710814e+01, 1.011485707827331204e+01, 1.005307067496793927e+01, 6.615395231083492256e+00, 1.090060864743171898e+01, 1.018441264128989587e+01, 1.030786265555006409e+01, 5.681089071919190658e+00, 9.296572003569030684e+00, 5.702884035357878467e+00, 1.151492899792236102e+01, 5.466142949863109557e+00
1.899000000000000000e+03, 5.281503757757027628e+00, 8.818595274578123977e+00, 1.556605966323273726e+01, 9.953822843545212962e+00, 9.901220065556527672e+00, 6.773789624004642462e+00, 1.068791619418929706e+01, 1.076686668592199858e+01, 1.031645627716369873e+01, 5.530216429626821473e+00, 9.227600185554388545e+00, 5.626867197081650396e+00, 1.051730109854663198e+01, 5.155151319364028595e+00
1.900000000000000000e+03, 5.166183634774016653e+00, 8.903975704486937204e+00, 1.551103571995591146e+01, 9.981476494837634661e+00, 9.511167086838991480e+00, 6.578459354105175905e+00, 1.067768965987119145e+01, 1.093835188238815803e+01, 1.012023770265281364e+01, 5.773251810323608346e+00, 9.154762001217962464e+00, 5.718607879746271827e+00, 1.066432617935361193e+01, 5.366581037438439061e+00
1.901000000000000000e+03, 5.201962938876200759e+00, 8.658893434068712480e+00, 1.555050061136215156e+01, 9.846462941150040393e+00, 9.815789283027907430e+00, 6.724219839119593090e+00, 1.086699011814831728e+01, 1.112496788015445937e+01, 1.037210386298326625e+01, 5.770014004024699439e+00, 9.005412454357802687e+00, 5.643876439060606209e+00, 1.043305456305529866e+01, 5.596769142485646498e+00
1.902000000000000000e+03, 5.322883699049951289e+00, 8.652274237706919280e+00, 1.532105210711327281e+01, 9.658797504262334854e+00, 9.928934745896198066e+00, 6.427007838374409587e+00, 1.101374550304428723e+01, 1.115033564990659620e+01, 1.032493916872576989e+01, 5.602319333397496770e+00, 9.074418114630292465e+00, 5.891154715345582993e+00, 1.024038412584590318e+01, 5.373411687313716101e+00
1.903000000000000000e+03, 5.170662059105014308e+00, 8.982465287871184145e+00, 1.555701710182720987e+01, 9.821450028493623918e+00, 9.617144777148203261e+00, 6.494702658925069372e+00, 1.060401963714642015e+01, 1.073182925058016046e+01, 1.039229507861378465e+01, 5.572203416472387261e+00, 9.267270583094820324e+00, 6.024126408708406544e+00, 1.072701159491976775e+01, 5.444900743287842459e+00
1.904000000000000000e+03, 5.003555925692309003e+00, 8.795064423776162599e+00, 1.541118740936319931e+01, 9.808358706094905344e+00, 9.429961956461351491e+00, 6.446256284179794349e+00, 1.061079829496615012e+01, 1.114701022084138771e+01, 1.022036373725995695e+01, 5.616749558231271422e+00, 9.350364414001878899e+00, 5.685463035354147543e+00, 1.022175124537646163e+01, 5.531217538285034152e+00
1.905000000000000000e+03, 4.932109929152101557e+00, 8.959505455676959329e+00, 1.535008023160201596e+01, 9.776521304725802608e+00, 9.741194472899845636e+00, 6.443944966020051623e+00, 1.077829976822122759e+01, 1.042362202647198721e+01, 1.007145366503588235e+01, 5.653991623092625041e+00, 9.262780733102198738e+00, 5.652103964442018125e+00, 1.050015153053198347e+01, 5.565841706874973482e+00
1.906000000000000000e+03, 5.029612790292903313e+00, 8.844300399843707083e+00, 1.548116957714148789e+01, 9.916486443791010075e+00, 9.977213942263588820e+00, 6.479754970115042312e+00, 1.074627681079108221e+01, 1.096869764271283287e+01, 1.014121580558052038e+01, 5.571315071835307720e+00, 9.348219487330059252e+00, 5.825826359609230565e+00, 1.050403552071864866e+01, 5.591868000627020940e+00
1.907000000000000000e+03, 5.048422445868166797e+00, 8.925611300313009977e+00, 1.569928849267233772e+01, 9.728731366670503533e+00, 9.859930132552856108e+00, 6.746383215702895342e+00, 1.092009289847774944e+01, 1.053001319181911022e+01, 1.030729742073588717e+01, 5.687339752717103458e+00, 9.483166365849223567e+00, 5.441862935927836098e+00, 1.114122178580084643e+01, 5.676846915349904599e+00
1.908000000000000000e+03, 5.043627226282109355e+00, 8.981430039249834962e+00, 1.577888614485945240e+01, 9.885243405856620313e+00, 9.706232359026229162e+00, 6.555468642629309173e+00, 1.083201774981980847e+01, 1.046243095169611159e+01, 1.030943563420643017e+01, 5.675583620381715377e+00, 9.610580412471595224e+00, 5.851043434604948246e+00, 1.079641843408358426e+01, 5.445553940241377511e+00
1.909000000000000000e+03, 5.242446821830708537e+00, 8.646972666101445881e+00, 1.556655732753188381e+01, 9.676196181559507892e+00, 9.596531829395253510e+00, 6.524132810595450138e+00, 1.071000648103571784e+01, 1.069006256083812367e+01, 1.029764360876370866e+01, 5.878311572145742403e+00, 9.433721877609892559e+00, 5.883036544985333904e+00, 1.050765295941393163e+01, 5.220185954164632491e+00
1.910000000000000000e+03, 5.253769673386719852e+00, 8.959449505793557478e+00, 1.583224319787417578e+01, 9.807431965558425446e+00, 9.634470248347353660e+00, 6.775223440534003494e+00, 1.076822338261158052e+01, 1.108374397343170514e+01, 1.048454069254885646e+01, 5.713298981606596882e+00, 9.512761593928681592e+00, 5.561571395952741526e+00, 1.065492797124460189e+01, 5.329171400584630014e+00
1.911000000000000000e+03, 4.988118630696103395e+00, 8.872775966532277181e+00, 1.594184785651270708e+01, 9.909518418692046637e+00, 1.003772631658963732e+01, 6.756741839498030089e+00, 1.095409406330926316e+01, 1.053469245861484538e+01, 1.045852965346123042e+01, 5.669522140094023221e+00, 9.275744910483103567e+00, 6.201054196506503580e+00, 9.854382539830508492e+00, 5.246586744386927847e+00
1.912000000000000000e+03, 5.155184495891817598e+00, 8.681787856811618909e+00, 1.568529358062545320e+01, 9.798428943237629696e+00, 1.007207612989511958e+01, 6.818870817964418407e+00, 1.108655876297938647e+01, 1.070569077606159070e+01, 1.038770698094926637e+01, 5.778292973199841143e+00, 9.255417578981418814e+00, 5.770948664524992111e+00, 1.030363774788887810e+01, 5.591369746483877634e+00
1.913000000000000000e+03, 5.145937328081229722e+00, 8.494922969966939519e+00, 1.560654773420943719e+01, 9.818458727653197826e+00, 9.968937775389562717e+00, 6.858166172290074414e+00, 1.069506270137830306e+01, 1.064361702676225718e+01, 1.032385818048781090e+01, 5.745550828218783934e+00, 9.301650076683841917e+00, 5.703599764634025071e+00, 1.035984749156836848e+01, 5.515695295378788998e+00
1.914000000000000000e+03, 4.889312786388992471e+00, 8.747056263072090943e+00, 1.561950524025012221e+01, 9.918548035042956457e+00, 9.496309478377311208e+00, 6.651246313764694662e+00, 1.066217513486742696e+01, 1.026258821479717120e+01, 1.033539883654652769e+01, 5.658469228434578113e+00, 9.510030658940452852e+00, 5.962355406141504943e+00, 1.088685223825380177e+01, 5.609565715167297739e+00
1.915000000000000000e+03, 5.261951189375447591e+00, 8.962546158882339853e+00, 1.569254103502435171e+01, 1.000220901829219855e+01, 9.477336314103798287e+00, 6.599517835539144173e+00, 1.073638501992430072e+01, 1.037054056783577849e+01, 1.055018747013821390e+01, 5.753506565567254150e+00, 9.506796532819640433e+00, 5.785573445588593877e+00, 1.009470545963633725e+01, 5.615056491281400497e+00
1.916000000000000000e+03, 5.211530213328213534e+00, 9.013635262366168632e+00, 1.599128229043491878e+01, 9.937630622294925331e+00, 9.613176704055648614e+00, 6.621616909753349489e+00, 1.106421194779044370e+01, 1.095983024438353581e+01, 1.029472530549071330e+01, 5.755966981002978322e+00, 9.465150172741488177e+00, 5.549301181524800342e+00, 1.054972066968622890e+01, 5.372336937319708738e+00
1.917000000000000000e+03, 5.470110864487460312e+00, 8.649660173452584644e+00, 1.580509200252747704e+01, 9.741368361197855208e+00, 9.385982871248074844e+00, 6.504770708935333268e+00, 1.101203689521124574e+01, 1.067984931714233987e+01, 1.035209486811953994e+01, 5.699706275933591471e+00, 9.345159234517879554e+00, 5.714204701518568186e+00, 1.034773135451253978e+01, 5.193795819103534939e+00
