year, CMCC-CM2-SR5, IPSL-CM6A-LR, NorESM2-LM, GFDL-ESM4, INM-CM4-8, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, TaiESM1, ACCESS-ESM1-5, CanESM5, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg, INM-CM5-0, MIROC-ES2L
1.860000000000000000e+03, 2.973642462365306187e+02, 2.946936382313146510e+02, 2.966430678056069610e+02, 2.954017164626554859e+02, 2.954739386332282152e+02, 2.962423949426681702e+02, 2.970280709086247271e+02, 2.967540597893815288e+02, 2.970881364729419829e+02, 2.969632471256453528e+02, 2.962026645544337953e+02, 2.964794839166241331e+02, 2.966078338696547689e+02, 2.948983705952539367e+02, 2.957782790531353498e+02, 2.976457411681233225e+02
1.861000000000000000e+03, 2.975471990271705067e+02, 2.946811374089566016e+02, 2.967411990057616435e+02, 2.953434935569948721e+02, 2.955357811197687852e+02, 2.964879883539562684e+02, 2.961318772944128455e+02, 2.965625815111789620e+02, 2.971317328812766618e+02, 2.965458888472049352e+02, 2.960153993262293852e+02, 2.959869803960081072e+02, 2.970700312790521593e+02, 2.951729927577468402e+02, 2.953642794699819660e+02, 2.971522827076516364e+02
1.862000000000000000e+03, 2.974281438640766737e+02, 2.941430058241639927e+02, 2.964963459912046915e+02, 2.952839815329623434e+02, 2.956068540713241077e+02, 2.964514841811212023e+02, 2.963532542562123808e+02, 2.968594940507494471e+02, 2.962691114837896862e+02, 2.964355761715544872e+02, 2.954927727221305531e+02, 2.961494875495687893e+02, 2.968984650321718846e+02, 2.945900380041874769e+02, 2.955312643727623936e+02, 2.969892291808492359e+02
1.863000000000000000e+03, 2.967826668706151167e+02, 2.945075212213203031e+02, 2.968888400020808263e+02, 2.954655570476300568e+02, 2.956127984843877243e+02, 2.960586490516072331e+02, 2.966469323118278680e+02, 2.966919078935404173e+02, 2.966387095955174686e+02, 2.967366832947646458e+02, 2.960083929624444181e+02, 2.964633426472413475e+02, 2.967927744677234614e+02, 2.950175119819939482e+02, 2.953284694821898029e+02, 2.970993380095497400e+02
1.864000000000000000e+03, 2.968046458637279557e+02, 2.945809926483061076e+02, 2.977115627191490717e+02, 2.956521664704778800e+02, 2.954551339843989126e+02, 2.967191955609392267e+02, 2.973094729618941301e+02, 2.969883275310992303e+02, 2.966434790127839847e+02, 2.971708604094758925e+02, 2.959187665290435234e+02, 2.965717357339652835e+02, 2.970021996543660521e+02, 2.948325946297237579e+02, 2.955132888843708656e+02, 2.973572205017570127e+02
1.865000000000000000e+03, 2.965989239484048881e+02, 2.947355813354196812e+02, 2.968328820783274296e+02, 2.959682783979400824e+02, 2.953339901733947954e+02, 2.965480820422155830e+02, 2.964707014196466162e+02, 2.968628989541958845e+02, 2.968661340306637157e+02, 2.967119448959938950e+02, 2.954278314782142161e+02, 2.967366285145073448e+02, 2.963622426762233317e+02, 2.951584352791873584e+02, 2.957059698265084648e+02, 2.979216716698124401e+02
1.866000000000000000e+03, 2.963404939566856342e+02, 2.950409562185517984e+02, 2.968808181740282066e+02, 2.959116245946152048e+02, 2.956085852810507504e+02, 2.961851582590178396e+02, 2.966549599866684730e+02, 2.972506627366449834e+02, 2.970504717661872292e+02, 2.964649363711617980e+02, 2.956573891477236771e+02, 2.968448457790372572e+02, 2.968283584210752224e+02, 2.948530214425402391e+02, 2.955113777990159178e+02, 2.971663598228271894e+02
1.867000000000000000e+03, 2.967059375379207609e+02, 2.947743805410541995e+02, 2.967841287777995376e+02, 2.958141213582554201e+02, 2.959748229382967111e+02, 2.959685063701258514e+02, 2.973207225961321001e+02, 2.971252144018893091e+02, 2.965076416112777338e+02, 2.967408182969040809e+02, 2.962966500831680605e+02, 2.972928626856071901e+02, 2.971755905101663870e+02, 2.952675118151954621e+02, 2.956939534007469774e+02, 2.965569336538844709e+02
1.868000000000000000e+03, 2.972663892078481354e+02, 2.946417367622049142e+02, 2.975825731697959782e+02, 2.958127663239434355e+02, 2.955238792722341259e+02, 2.960629319570649614e+02, 2.968202653843016492e+02, 2.970811731538021832e+02, 2.964161076963927144e+02, 2.967964016784491150e+02, 2.961588322487758660e+02, 2.964140367580602629e+02, 2.969322550892612753e+02, 2.950763840271126810e+02, 2.955094143964613522e+02, 2.968126330441596679e+02
1.869000000000000000e+03, 2.975445415711051282e+02, 2.944687564486989686e+02, 2.972383467590428836e+02, 2.955143680449573367e+02, 2.955355767800297713e+02, 2.961336033443579936e+02, 2.968905651275600803e+02, 2.969326440183260729e+02, 2.963630418406218041e+02, 2.966349228362905706e+02, 2.959522789320174638e+02, 2.961829598674310660e+02, 2.961318496131316351e+02, 2.949211242246973370e+02, 2.956174256064192036e+02, 2.969711217961157672e+02
