year, TaiESM1, GFDL-ESM4, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, CESM2-WACCM, CNRM-ESM2-1, NorESM2-MM, MPI-ESM1-2-LR, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM
1.870000000000000000e+03, 4.747893851212572556e-10, 1.155063901485629556e-09, 9.494095575841032535e-10, 1.142491927570941910e-09, 4.747893851212572556e-10, 7.344171856741639921e-10, 9.494095575841032535e-10, 7.606473713602975080e-10, 5.678806892949693348e-10, 1.813989985716315347e-09, 7.606473713602975080e-10, 5.403151791725403024e-10
1.871000000000000000e+03, 4.285627015517745431e-10, 1.625976931945518644e-09, 1.024945826228344779e-09, 1.613240373949507526e-09, 4.285627015517745431e-10, 6.493891225501726790e-10, 1.024945826228344779e-09, 7.996688598713392717e-10, 6.069606216152585488e-10, 1.767455482991081519e-09, 7.996688598713392717e-10, 5.087325679174268439e-10
1.872000000000000000e+03, 5.354276595287159133e-10, 1.389563708185754576e-09, 8.534395799259145944e-10, 1.376761434622336001e-09, 5.354276595287159133e-10, 7.576754387277387988e-10, 8.534395799259145944e-10, 5.898815271967668214e-10, 5.868835259378761252e-10, 1.820445631441461715e-09, 5.898815271967668214e-10, 5.566689695840543634e-10
1.873000000000000000e+03, 4.167607429806366192e-10, 1.646388017806732682e-09, 8.868329003074919036e-10, 1.633637682521221237e-09, 4.167607429806366192e-10, 8.167415878332453266e-10, 8.868329003074919036e-10, 7.938493104212071208e-10, 6.462288377696873416e-10, 1.419244801504857255e-09, 7.938493104212071208e-10, 5.418687426326210855e-10
1.874000000000000000e+03, 6.166295587371229626e-10, 1.009776633249542106e-09, 1.147266178357003049e-09, 9.967049256838409653e-10, 6.166295587371229626e-10, 1.084414455063676234e-09, 1.147266178357003049e-09, 5.723741045610542763e-10, 5.870202896834318325e-10, 1.409254912115994825e-09, 5.723741045610542763e-10, 5.097263384298766650e-10
1.875000000000000000e+03, 5.138181297440826574e-10, 1.180049286518499594e-09, 8.152567075779296162e-10, 1.167011274153262231e-09, 5.138181297440826574e-10, 5.797276751490381003e-10, 8.152567075779296162e-10, 5.462799469374086402e-10, 5.557880509388824617e-10, 1.694964033357650255e-09, 5.462799469374086402e-10, 7.091141547624377044e-10
1.876000000000000000e+03, 5.075187414879350631e-10, 1.474797720462453407e-09, 9.296136119189409527e-10, 1.461477653786571950e-09, 5.075187414879350631e-10, 8.293379907575321006e-10, 9.296136119189409527e-10, 4.885844043319593837e-10, 5.649527438900199064e-10, 2.255159710968703406e-09, 4.885844043319593837e-10, 5.895659166164844828e-10
1.877000000000000000e+03, 4.772601526517064454e-10, 1.182352394996301442e-09, 8.353003069323756098e-10, 1.168658003888260034e-09, 4.772601526517064454e-10, 7.330837552037910331e-10, 8.353003069323756098e-10, 7.757739118731495102e-10, 5.675686738500790795e-10, 1.337046151364799065e-09, 7.757739118731495102e-10, 4.795200777221046103e-10
1.878000000000000000e+03, 5.489517107319254078e-10, 1.237636379552460839e-09, 8.536735532968180850e-10, 1.224032909072659911e-09, 5.489517107319254078e-10, 5.718022972599665364e-10, 8.536735532968180850e-10, 7.177051299541585961e-10, 5.891129546173748655e-10, 1.169924698746380772e-09, 7.177051299541585961e-10, 5.244862599758358853e-10
1.879000000000000000e+03, 5.006441186621029710e-10, 1.447136685715745164e-09, 1.150393308226901605e-09, 1.433574736383430564e-09, 5.006441186621029710e-10, 7.579866371842781354e-10, 1.150393308226901605e-09, 7.004908672728624231e-10, 5.511004294957700774e-10, 1.498024495728787715e-09, 7.004908672728624231e-10, 7.797274853977850763e-10
