year, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, CNRM-ESM2-1, CanESM5, CMCC-ESM2
1.919000000000000000e+03, 1.111184011687743788e-10, -1.336813566404618873e-10, 4.165403368544279713e-10, 4.352907272092282691e-10, -2.716007813557570201e-10, -2.842400696432383401e-10, 6.103325696895894353e-11, 1.617015278454585421e-10
1.920000000000000000e+03, 2.068079458760499559e-10, 4.941999362820728398e-11, 2.393443977023237957e-10, 1.191550126687696525e-10, 3.352344400093986518e-10, 6.191244378428941741e-10, 5.885162028468416282e-10, 3.602344261719115658e-10
1.921000000000000000e+03, 2.265825069691366900e-10, -2.785396499413492693e-10, 1.694849721618790585e-10, -2.596038622253923774e-10, 1.095741263850386796e-09, -4.228383809945100278e-10, 4.287883651278573392e-10, -6.480862884198274654e-10
1.922000000000000000e+03, -1.825576234525580275e-10, -1.649126111782761990e-11, -2.052526308040803807e-11, -3.148371071047548627e-10, -7.405558759558240288e-11, -1.203981983601833376e-10, 7.504833027974613403e-10, -2.020985690173845704e-10
1.923000000000000000e+03, -6.425813479887866833e-11, 6.644181492396788419e-11, -1.622283861729376721e-10, 4.624531925571001172e-10, -5.949859250171153735e-10, 3.103825747246100144e-11, -8.735584592683903059e-11, 1.802600717833603596e-10
1.924000000000000000e+03, -4.499894366904867667e-10, -5.440921649288217880e-10, -5.218053799688248820e-10, 4.188726705326279815e-10, 7.604758983165986144e-10, 2.305098505907907382e-10, -4.138994268085109442e-10, 5.298505416466036177e-12
1.925000000000000000e+03, 2.833276848804336471e-10, 2.565479835732987597e-10, -1.115435352180533158e-10, 2.549425289759888661e-10, 2.351717836725344690e-10, -5.249297574255772896e-10, 2.880408190027123857e-10, -3.444803455681014485e-11
1.926000000000000000e+03, -2.565636380834139112e-10, -1.165351921878467030e-10, -8.630604601447062240e-11, 1.695627852436959960e-10, -1.081954457008052116e-10, 5.417104916822870441e-10, 9.707418587938458799e-10, -9.506297898626854327e-11
1.927000000000000000e+03, -4.007642236553567646e-11, 5.439010822198559163e-10, 2.494555968363752497e-11, 1.330402864546171048e-10, 3.595248289656949899e-10, -5.665050288408567413e-10, 3.868382832490007542e-10, -1.440651800379547263e-10
1.928000000000000000e+03, -4.935584677005408893e-10, -2.158153801528123443e-10, -8.443746281317751550e-10, -2.668094847789807143e-10, -4.756160873925588816e-11, -3.102231954972014175e-10, 1.380412113137476194e-10, -2.699950599604237662e-10
1.929000000000000000e+03, 8.799050428943476615e-11, -2.193369542468296105e-10, -4.363638216457814890e-10, -7.276598738965277341e-11, -2.401933340278295184e-09, 1.630065524085396330e-10, -4.895163963712991403e-10, 1.545667919517801253e-10
1.930000000000000000e+03, -1.752239531567730512e-10, -7.787723177682657616e-10, 1.651766484884699740e-10, 7.586949038777190078e-11, -2.655050045697196977e-10, 2.360928468794523888e-10, 3.853345593511950683e-11, -1.335899605427106444e-10
1.931000000000000000e+03, -1.424719023022611529e-10, 3.627850076155896875e-10, 2.824004072255992022e-10, 2.804259849565232677e-10, 8.788063553916405354e-10, -1.090530820411650402e-10, 3.133895260391799662e-10, -9.421737848841900058e-11
1.932000000000000000e+03, -1.137152658882628952e-10, 3.394937531791125946e-10, 6.571078068733939330e-11, -2.399094874712835397e-10, -2.711304735911215478e-10, 1.537197523740737937e-10, -3.168255017719073316e-11, 6.590296954974591660e-11
