year, IPSL-CM6A-LR, INM-CM5-0, NorESM2-MM, CMCC-CM2-SR5, TaiESM1, UKESM1-0-LL, NorESM2-LM, CanESM5, INM-CM4-8, CNRM-ESM2-1, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4, MIROC-ES2L, ACCESS-ESM1-5, CESM2-WACCM
1.860000000000000000e+03, 2.494416591927872773e+01, 3.146788039200606235e+01, 1.782418667596761708e+01, 1.503080423215785544e+01, 2.629260749581333911e+01, 2.097532374660980281e+01, 1.610599438052232557e+01, 2.755532787447921805e+01, 2.950369482050833980e+01, 1.493295052882931806e+01, 2.325994085702660996e+01, 2.982478970281805175e+01, 2.411265844036225303e+01, 2.166297923065539521e+01, 2.515026125395603529e+01, 1.929423090102689287e+01
1.861000000000000000e+03, 2.419855412611024548e+01, 2.991927533181425858e+01, 1.725949818758794763e+01, 1.477383782826434633e+01, 2.791496015213356685e+01, 1.672705385499574504e+01, 1.485484718518686442e+01, 2.788683694372782895e+01, 2.968115400463855025e+01, 1.670431813868730941e+01, 2.091853199319150747e+01, 3.066992832217205844e+01, 2.427385497224836541e+01, 2.134725096401235334e+01, 2.529642864664538493e+01, 1.909736568484391128e+01
1.862000000000000000e+03, 2.362176987198303024e+01, 3.150662734412968291e+01, 1.724318179702526521e+01, 1.509386710476520044e+01, 2.663182125339825390e+01, 1.872478323424095947e+01, 1.550699028664184276e+01, 2.823112043033723850e+01, 2.963380570357035992e+01, 1.794121401456073173e+01, 2.271612743524763189e+01, 2.939651846767477039e+01, 2.385748914478789118e+01, 2.171259219735794233e+01, 2.529971105969334033e+01, 1.945998392775678099e+01
1.863000000000000000e+03, 2.463219855558006088e+01, 3.026689287093584824e+01, 1.736593416081879226e+01, 1.456806461529379071e+01, 2.638117051549409098e+01, 2.048942586546429112e+01, 1.532528205642428354e+01, 2.716406033056745883e+01, 3.111312153554231230e+01, 1.614463409805337335e+01, 2.323942482896655193e+01, 2.876143432639333497e+01, 2.430269722789216047e+01, 2.149605326796359961e+01, 2.449216336447059206e+01, 1.928443798821230004e+01
1.864000000000000000e+03, 2.439651614026776727e+01, 3.110525985216551348e+01, 1.777245065522920697e+01, 1.508258081824839003e+01, 2.581577913457940454e+01, 2.107682519417913980e+01, 1.595330242010494182e+01, 2.733753790661805283e+01, 3.104370247038015052e+01, 1.387061918791557069e+01, 2.112754138275616356e+01, 2.859556717271982151e+01, 2.375491297845747596e+01, 2.169232674668517191e+01, 2.435922569296977969e+01, 2.034358447579545626e+01
1.865000000000000000e+03, 2.428133803873116392e+01, 3.132698120181303736e+01, 1.742312802853128417e+01, 1.527813812082496625e+01, 2.682535401001554831e+01, 2.360941874301984100e+01, 1.626095135126443125e+01, 2.761478671682112918e+01, 3.120785685849284974e+01, 1.515951458939799323e+01, 2.081866513902910398e+01, 2.885191904729146017e+01, 2.256212360246789217e+01, 2.179493406673068279e+01, 2.412631338158693239e+01, 1.957259030440010505e+01
1.866000000000000000e+03, 2.479895482300451093e+01, 3.124648609620620121e+01, 1.684474728895055051e+01, 1.480042909700537379e+01, 2.726767346124135827e+01, 1.974304470296370795e+01, 1.632235984453374300e+01, 2.756276839402564249e+01, 3.030607181620797874e+01, 1.627474032467868170e+01, 2.297143772539059015e+01, 2.939811546457253755e+01, 2.312014265139757896e+01, 2.104700087670606834e+01, 2.429420242238866834e+01, 2.046668800714406444e+01
1.867000000000000000e+03, 2.310481796176202707e+01, 3.050748181482018140e+01, 1.705483597734346901e+01, 1.489973945871583361e+01, 2.720838928078662633e+01, 1.993578311420772664e+01, 1.636727978396113414e+01, 2.773331428398818943e+01, 2.915383858366980618e+01, 1.404880792599179884e+01, 2.367020350382618687e+01, 2.883529486167709521e+01, 2.402910703336035425e+01, 2.107129517963618071e+01, 2.422091119977804397e+01, 1.988014585965157366e+01
1.868000000000000000e+03, 2.459394487968405230e+01, 2.994708406173792525e+01, 1.741237110768388874e+01, 1.557827862267438235e+01, 2.607369527705995083e+01, 2.107142140035943001e+01, 1.620865371882829820e+01, 2.793970870961562625e+01, 2.883915973807247468e+01, 1.601358929855193125e+01, 2.289593085386650628e+01, 2.982093860597050394e+01, 2.405028106987260728e+01, 2.183282744937702802e+01, 2.378495451177977316e+01, 1.974481400066354553e+01
1.869000000000000000e+03, 2.499360000505512502e+01, 3.100654171900351486e+01, 1.713375219866761157e+01, 1.500580862472189203e+01, 2.542050402433568479e+01, 2.413648523561151649e+01, 1.565454054871662493e+01, 2.812388482062591777e+01, 2.961829557809466351e+01, 1.454747684268266283e+01, 2.303492028632132005e+01, 3.049929754208779542e+01, 2.286650178194325989e+01, 2.141054128785623689e+01, 2.437383700147680088e+01, 1.990757378581233183e+01
