year, CNRM-ESM2-1, MIROC-ES2L, MPI-ESM1-2-LR, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-ESM2, IPSL-CM6A-LR
1.861000000000000000e+03, 7.999006761982569861e-13, 3.678526931140312405e-10, 2.853359904009383645e-10, 4.015787309583608608e-11, 4.089864547675042386e-12, 4.768105891424911286e-14, 1.698510517883455300e-12, 2.322764171013317619e-10
1.862000000000000000e+03, 7.943054632484669668e-13, 3.663766503703519188e-10, 2.832340277301591950e-10, 4.172064360613118133e-11, 4.122242681268098358e-12, 4.332244143242935326e-14, 1.756527051735405641e-12, 2.224191366899033319e-10
1.863000000000000000e+03, 7.981875856830898838e-13, 3.659385212474156644e-10, 2.828284960167273546e-10, 4.120098803889231884e-11, 4.311198670431340607e-12, 4.258295828678957823e-14, 1.809007216835973728e-12, 2.336049674588913479e-10
1.864000000000000000e+03, 7.944712598838426644e-13, 3.638545582139376479e-10, 2.810818687953742702e-10, 4.262209526802815264e-11, 4.461694540147830525e-12, 4.366693202092946608e-14, 1.856914248705148151e-12, 2.373591855607181653e-10
1.865000000000000000e+03, 7.866399438950397755e-13, 3.639283934365384162e-10, 2.763543798309799649e-10, 4.411784566676551050e-11, 4.385656421851877888e-12, 4.774310252602316465e-14, 1.901443253944736577e-12, 2.346431927854442950e-10
1.866000000000000000e+03, 7.652382445941220376e-13, 3.628109146759518951e-10, 2.765703469810238898e-10, 4.427293642253218795e-11, 4.517279463483481000e-12, 5.307285526846993801e-14, 1.943887452022463315e-12, 2.467509330098991191e-10
1.867000000000000000e+03, 8.002070509809337113e-13, 3.611327943971768409e-10, 2.810534294897900907e-10, 4.303484513892176329e-11, 4.628245258697011169e-12, 4.936839396526324919e-14, 1.982580983029487419e-12, 2.305098136453285764e-10
1.868000000000000000e+03, 8.513529105661223769e-13, 3.582535427469395111e-10, 2.816921991139547485e-10, 3.977145624593287663e-11, 4.783265462006078945e-12, 4.482981692729340223e-14, 2.020692673245474670e-12, 2.279687003687976115e-10
1.869000000000000000e+03, 9.006484412757399312e-13, 3.587260100494355920e-10, 2.803868364317926836e-10, 3.895233893170805731e-11, 4.838555515533842182e-12, 5.273424835584031598e-14, 2.059151683616199142e-12, 2.414656202065312042e-10
1.870000000000000000e+03, 9.485611231724266218e-13, 3.626200728933014242e-10, 2.775976746371410799e-10, 4.212041085578408824e-11, 4.855629152585226479e-12, 9.985523685009038536e-14, 2.212676155045667257e-12, 2.389543058295972561e-10
1.871000000000000000e+03, 1.012613891273561085e-12, 3.634834086079259199e-10, 2.748381960874032866e-10, 4.338999783518537806e-11, 5.281017313190043631e-12, 1.364668796215081772e-13, 2.442599465768020767e-12, 2.376588117580894748e-10
1.872000000000000000e+03, 1.101425227239509066e-12, 3.623560767779318423e-10, 2.762919802947147998e-10, 4.706406348030420286e-11, 5.494601514620417822e-12, 1.315190595951777593e-13, 2.626349284751457755e-12, 2.401468646873877013e-10
1.873000000000000000e+03, 1.184996798567760468e-12, 3.630014505940052580e-10, 2.778135429246325546e-10, 4.611743421199682350e-11, 5.649008901878759159e-12, 1.489215554723077499e-13, 2.782022674807338229e-12, 2.460182303468950630e-10
1.874000000000000000e+03, 1.283445478427415156e-12, 3.631354575487061820e-10, 2.738884110353264711e-10, 4.284512074830439802e-11, 5.725364714147930427e-12, 1.369646840113374775e-13, 2.915956555892874725e-12, 2.461802535484372192e-10
