year, ACCESS-ESM1-5, CMCC-CM2-SR5, GFDL-ESM4, CNRM-ESM2-1, MIROC-ES2L, CanESM5, TaiESM1, INM-CM4-8, EC-Earth3-Veg, INM-CM5-0, IPSL-CM6A-LR, NorESM2-MM, MPI-ESM1-2-LR, UKESM1-0-LL, CESM2-WACCM, NorESM2-LM
1.850000000000000000e+03, -5.545222407552640176e-01, -4.882260433355119222e-02, -9.091042549314815036e-01, -1.695601040125297165e-01, -2.695874252991538045e-01, -3.339884407902515284e-01, -1.752690792149735888e-02, -3.661627784687443432e-01, -8.768505429454453992e-02, -7.590087649044273688e-01, 1.027135362509770250e-01, 9.290649753614278750e-02, 8.453054852755087500e-01, 1.985210794825528202e-01, -3.059174842104085412e-01, 1.877914340805157678e-01
1.851000000000000000e+03, 1.043289565071320443e-03, 2.052048583930594083e-01, 1.158498462766534981e-01, 3.585901082497448128e-02, -5.556984303510021928e-01, 6.619672939475425011e-01, 6.338262660895427336e-01, -7.802503171976150620e-01, -4.616598134548635657e-02, -2.747415456008676649e-01, 1.053424633336849658e-01, 1.041211053704376860e-01, -2.642846746509369682e-01, -8.291117701973893528e-02, 1.797682839736223226e-01, -8.370304633268808858e-02
1.852000000000000000e+03, -1.896645528535405301e-01, 4.906096667602397599e-01, 2.547280312427383508e-01, -6.939304414311428526e-02, -1.796050293577561574e-01, 7.583686191625704787e-01, -2.615956342317132255e-01, 1.820673035177395593e-01, 7.625781599780527831e-01, -4.798904582072762159e-01, -1.211332068759280178e-01, -2.197115207242974211e-01, 1.876408675733927389e-01, -1.447429014854219598e-01, -2.030340669839228174e-01, 1.188937707671177402e-01
1.853000000000000000e+03, -5.870413087362849058e-01, 1.280248789295581058e-01, -5.360393581259917939e-01, 4.877902663298024910e-01, -1.928331011818982532e-01, 1.392967551308834095e-01, -2.143700003892834993e-01, -6.002275676661614767e-01, -3.238453185111722643e+00, -1.876559240439987508e-01, 2.875465171403251280e-02, 1.508281674500395741e-01, -8.609944498717458927e-01, -6.331150898742923198e-04, 6.262397486307427763e-02, -2.481323272308844086e-01
1.854000000000000000e+03, -5.127914449465322821e-01, 1.561674314635478344e-01, 5.023155691368712539e-01, -2.785130348864108263e-01, 1.455416556322211841e-01, -2.177119231127702947e-01, 4.159543334408388193e-01, -7.192001761582288433e-01, -1.285818747245625504e+00, -1.074541999866018394e+00, 9.487954660617232625e-03, -3.812843601332945309e-01, -1.195995702589151000e+00, 2.768742655851819667e-01, 1.673047584985889458e-01, -2.471224124837166358e-01
1.855000000000000000e+03, -5.777153669120850543e-02, 2.090303106875597006e-01, 2.937238547668536426e-01, 3.571373761770138544e-01, -4.929947977906142254e-01, -5.805104770423214627e-02, -6.649142243350123493e-01, 5.393797493937970700e-01, -4.703843761130955814e-01, 3.978581723704129880e-01, -4.528382657493663921e-02, -2.042260635585768647e-01, -3.899310688347453202e-01, 6.103991186591946061e-01, -3.852041553742619612e-02, 6.492628916449089127e-02
1.856000000000000000e+03, -2.938136866315974038e-01, -9.333799321386382353e-02, -2.496418046451420181e-01, 5.946583153274342254e-02, -3.007087500750147968e-01, 2.366403438026141309e-02, 1.567292852875712683e-01, -1.099603594221459035e+00, 7.368987091295459146e-01, -9.710007794984341911e-03, -3.473036085146927188e-01, 1.573829906529040090e-01, -3.146075969446079368e-01, -2.802258274560377460e-01, -6.409760730103003512e-02, 6.823251149762553369e-02
1.857000000000000000e+03, 3.393611389894824470e-01, 2.631362801635130921e-01, -5.914618340782379358e-01, -1.710392325256245016e-01, -1.509646503575261534e-01, -4.016232667886501240e-01, 1.809702973221462285e-01, 1.112422993800042947e-01, 2.300125762162803789e-01, 6.756241516595881125e-01, -2.449776213683855230e-01, -5.602179359273370962e-02, -7.464167907477913255e-01, 9.995132310806394138e-02, 5.209050175686308348e-02, 1.366070376302524203e-01
1.858000000000000000e+03, 9.071598237384188579e-01, 1.427994701347042317e-01, -9.022126101311721269e-03, 3.649017525180208166e-01, -3.793865358068304605e-01, -1.709463984197569508e-01, 2.639156375726985915e-01, -6.112585931200231748e-02, -7.620739126944776620e-01, -2.347304699501626679e-01, 4.670557185146834156e-01, -1.771044734799021581e-01, 2.137895410866087476e-01, -1.484814018752294851e-01, 1.038284436087286849e-01, 1.320778910358721969e-01
1.859000000000000000e+03, 1.108984067955379599e-01, 7.880584406261063879e-02, -1.391716730461794171e-01, 1.993998002694011284e-01, 3.366702272984802014e-02, -1.331171139424302541e-01, -1.081621992519888664e+00, 6.120031967579785404e-01, 4.587563237645714831e-01, -1.781389905084104774e-01, 2.528023845229470171e-02, 2.140859337958966532e-04, 2.511552632152450615e-01, -3.919964642800770616e-01, -3.632821691282099308e-01, 1.688211272857783607e-01
