year, TaiESM1, EC-Earth3-Veg, CMCC-ESM2, MPI-ESM1-2-LR, NorESM2-MM, IPSL-CM6A-LR, NorESM2-LM, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1
1.860000000000000000e+03, 2.362602350362266530e-11, 3.303588835645670969e-10, 3.984149038790778987e-12, 2.390334177458929039e-10, 4.992769742875608532e-11, 4.251169544269148295e-11, 3.844873633989959756e-11, 1.323645504281300075e-11, 4.736123061783446533e-14, 2.309913698853588573e-12
1.861000000000000000e+03, 2.355100272492825024e-11, 3.316600829644531001e-10, 4.062254646773129900e-12, 2.385825391309087414e-10, 4.471389295890984017e-11, 4.010932882115845735e-11, 3.619587163257006522e-11, 1.262563746013649867e-11, 4.768105844763585531e-14, 2.145287415257811035e-12
1.862000000000000000e+03, 2.338457547750390794e-11, 3.338378232914513481e-10, 4.136734966882938373e-12, 2.371607234087659520e-10, 4.758992436261931609e-11, 3.997662467658101804e-11, 3.954958539140321678e-11, 1.261850300526195206e-11, 4.332244135680946874e-14, 2.254552625450528507e-12
1.863000000000000000e+03, 2.319036739785474745e-11, 3.340453577287645512e-10, 4.227569648045532690e-12, 2.363405523731282402e-10, 4.840109001036603165e-11, 3.994009034313105535e-11, 3.541357183161494394e-11, 1.264877221802965685e-11, 4.258295872054577564e-14, 2.240941878130402236e-12
1.864000000000000000e+03, 2.300066337983209570e-11, 3.241049178450109161e-10, 4.211796740252756530e-12, 2.349284447925096377e-10, 4.745705997076057347e-11, 3.999787155777437813e-11, 3.688303516330038767e-11, 1.257029946287193356e-11, 4.366693182508693348e-14, 2.198297703749221490e-12
1.865000000000000000e+03, 2.284744334438274545e-11, 3.229315551241442899e-10, 4.258297767651148581e-12, 2.325165003980363488e-10, 4.599804416052450301e-11, 4.030495198230799749e-11, 3.648804577282226144e-11, 1.271138817182124808e-11, 4.774310246320788102e-14, 2.132924501378720185e-12
1.866000000000000000e+03, 2.277251810166880023e-11, 3.447652767422024634e-11, 4.323200779164323300e-12, 2.320579185080498325e-10, 4.357628518500102553e-11, 4.027651515665014615e-11, 4.063917182628906793e-11, 1.268994380850864163e-11, 5.307285506139064980e-14, 2.764144524209215496e-12
1.867000000000000000e+03, 2.266834223623476020e-11, 5.202851929639635709e-11, 4.394210538634757728e-12, 2.328375050366541257e-10, 4.322858367340813581e-11, 4.017394201914602213e-11, 4.068106891099387195e-11, 1.295050756520379142e-11, 4.936839397877873366e-14, 3.067680446536011516e-12
1.868000000000000000e+03, 2.256025633273283267e-11, 6.763274312160902098e-11, 4.436096834757999507e-12, 2.320609413185064554e-10, 4.718053898302164602e-11, 4.007785986639021806e-11, 3.922412131287591828e-11, 1.307983998317503944e-11, 4.482981670470721014e-14, 3.083199838070084090e-12
1.869000000000000000e+03, 2.241368273996844613e-11, 7.827622558150291577e-11, 4.416360413012008453e-12, 2.305759374456075668e-10, 4.596342325198035996e-11, 4.011754364360964365e-11, 4.064737177007122707e-11, 1.314292100276809577e-11, 5.273424755787408158e-14, 3.209878576886527595e-12
