year, NorESM2-LM, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, EC-Earth3-Veg, UKESM1-0-LL, CNRM-ESM2-1, CESM2-WACCM, INM-CM5-0, INM-CM4-8, IPSL-CM6A-LR, TaiESM1, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-MM, GFDL-ESM4
1.860000000000000000e+03, 5.559500312501588937e+00, 1.513913104116003261e+01, 1.102209312596791690e+01, 1.171594043871669300e+01, 1.223799601569976581e+01, 1.091339296462216346e+01, 5.938009559828029360e+00, 6.842056125926086807e+00, 1.454868288194788839e+01, 1.391639906436126140e+01, 1.088897430814362721e+01, 9.560456574378981998e+00, 6.236283757174278186e+00, 9.919534225065794075e+00, 6.413820966092829146e+00, 1.148247066507346226e+01
1.861000000000000000e+03, 5.055097351593700772e+00, 1.537896106585179545e+01, 1.089253587944689983e+01, 1.022661479572337306e+01, 1.285602133472038844e+01, 8.584109719111950199e+00, 7.572814688753219059e+00, 6.988417331180107439e+00, 1.383524955796386990e+01, 1.403940200422136719e+01, 1.042489686496566215e+01, 1.003147248389457680e+01, 6.104461302087677232e+00, 1.012223449415816567e+01, 5.756674637563438779e+00, 1.159642771474330480e+01
1.862000000000000000e+03, 5.600608502514893949e+00, 1.571290359435093542e+01, 1.118543944672039636e+01, 1.144673529482337493e+01, 1.209301820417366180e+01, 9.744689040035797944e+00, 7.875485744271408350e+00, 7.139306613457049089e+00, 1.471461282762318845e+01, 1.392224096510295617e+01, 1.024116726600709448e+01, 9.267790696880524592e+00, 6.386859577477873806e+00, 1.014789742367606529e+01, 6.128254543912631469e+00, 1.135741066992185822e+01
1.863000000000000000e+03, 5.494691063510316553e+00, 1.482045647931166066e+01, 1.102263789044513942e+01, 1.186648384234738174e+01, 1.154460162382699728e+01, 1.053069293379291516e+01, 6.608216971872611367e+00, 7.132649205156452510e+00, 1.418337765499496683e+01, 1.468891037527893140e+01, 1.080136157020703003e+01, 9.246647347339269629e+00, 6.038806886069014723e+00, 9.471205252491790461e+00, 6.243813841564963774e+00, 1.152622772659280947e+01
1.864000000000000000e+03, 5.583331678518486108e+00, 1.496739900664598544e+01, 1.109927234301600230e+01, 1.031093113726076638e+01, 1.147210949328688478e+01, 1.068709036005466118e+01, 5.574274713667979775e+00, 7.457711296337056872e+00, 1.460369818072497239e+01, 1.458283885258572354e+01, 1.062839239502944366e+01, 8.950116532367538014e+00, 6.368699520689110827e+00, 9.383121167119558237e+00, 6.204072502782794984e+00, 1.125687082649911730e+01
1.865000000000000000e+03, 5.705933711273940112e+00, 1.527893327228937892e+01, 1.106275959736755965e+01, 1.026690354685857365e+01, 1.143499137039117741e+01, 1.225506241110311123e+01, 6.624225897204451208e+00, 7.027522804157654512e+00, 1.445088163954917881e+01, 1.470650334009645199e+01, 1.051538615240820640e+01, 9.583909464195102146e+00, 6.299680302987910707e+00, 9.330140917921116994e+00, 6.098077013432154025e+00, 1.048776357843923002e+01
1.866000000000000000e+03, 5.659287592227638441e+00, 1.518096023239173142e+01, 1.065773567701000779e+01, 1.168364627339760808e+01, 1.215660771769458748e+01, 9.999690807648441648e+00, 7.179357784367351947e+00, 7.598546936149658038e+00, 1.450180978321550818e+01, 1.419406185803704012e+01, 1.078705570614051723e+01, 9.428479637183649231e+00, 6.086210629226052049e+00, 9.517975155010917732e+00, 5.855176259627521418e+00, 1.095613704747619366e+01
1.867000000000000000e+03, 5.732509071733104200e+00, 1.517168171306512647e+01, 1.085590170004688737e+01, 1.209217556918252079e+01, 1.149214913642911284e+01, 1.014494752013905376e+01, 5.641863807126476615e+00, 7.240640142178262906e+00, 1.422436211098087888e+01, 1.350622991363283099e+01, 9.883169403659124441e+00, 9.426214245756417753e+00, 6.190668398625302160e+00, 9.342869241507509415e+00, 5.972747138244037579e+00, 1.130631601284078336e+01
1.868000000000000000e+03, 5.754605853615826661e+00, 1.535185682506047300e+01, 1.130652067273459771e+01, 1.157476137326879950e+01, 1.220093505394230959e+01, 1.080127207838534353e+01, 7.103696625813226362e+00, 7.185436392368724334e+00, 1.388645912102884061e+01, 1.352927268461233545e+01, 1.080227167119883980e+01, 9.197546303975229876e+00, 6.462048096384431339e+00, 9.148343359522051799e+00, 6.326610512472854886e+00, 1.132895130842069342e+01
1.869000000000000000e+03, 5.482148000501507745e+00, 1.553872632501291839e+01, 1.100576675123055992e+01, 1.159267411432945671e+01, 1.277529674303197638e+01, 1.234556124517889941e+01, 6.060030357225947739e+00, 7.197874271010916480e+00, 1.451798522702664584e+01, 1.392215000860940677e+01, 1.097117190632321027e+01, 9.088152263641914530e+00, 6.001780208579869935e+00, 9.615046166160494678e+00, 5.983290341122062372e+00, 1.082419662516770131e+01
1.870000000000000000e+03, 5.598825284028882798e+00, 1.551663890025655945e+01, 1.096574604657652863e+01, 1.049494654510240110e+01, 1.208556604884972963e+01, 1.042218044505180785e+01, 6.701347536604842503e+00, 6.982869066459082674e+00, 1.500349597848853023e+01, 1.347870870481674643e+01, 1.053513122829921222e+01, 9.401180276274130776e+00, 5.993444929331102067e+00, 1.003010452574320688e+01, 6.136515157604470083e+00, 1.138689464481031166e+01
1.871000000000000000e+03, 5.512019307810264834e+00, 1.547112161579005551e+01, 1.099942799342055544e+01, 1.171850464929602964e+01, 1.151712160297232401e+01, 9.207310707977075737e+00, 5.884339973974670457e+00, 7.461864644109029499e+00, 1.449696116271218571e+01, 1.466279176814553864e+01, 9.828109163992875708e+00, 9.630211843314496534e+00, 6.296728080911607961e+00, 9.641036214801015802e+00, 5.986764900580487492e+00, 1.098769250935420061e+01
1.872000000000000000e+03, 5.999643617536557727e+00, 1.562659180507183621e+01, 1.076584607102017976e+01, 1.138276485452705700e+01, 1.152069047886651276e+01, 1.029844622189872005e+01, 7.025506440219154491e+00, 7.370076721641484419e+00, 1.438845076665958622e+01, 1.444860958515564420e+01, 1.022499134398755238e+01, 9.031357753444297032e+00, 6.005901001687755425e+00, 9.894365923018582976e+00, 6.215874656224166905e+00, 1.101214059815024626e+01
1.873000000000000000e+03, 5.876819636164067440e+00, 1.539603535563253800e+01, 1.096853902863106178e+01, 1.107516212763970209e+01, 1.251775860008971542e+01, 1.023205409721456860e+01, 6.534781586890575866e+00, 7.356212739902001196e+00, 1.435871047895700769e+01, 1.382619321753714381e+01, 1.039690725003761607e+01, 9.770225568387402859e+00, 6.199939520784004898e+00, 9.713319343128043570e+00, 5.715936190518188909e+00, 1.057603395885552544e+01
