year, MPI-ESM1-2-LR, EC-Earth3-Veg
1.850000000000000000e+03, 7.594844008034779631e-10, 2.446231333709186402e-10
1.851000000000000000e+03, 7.695631697230580027e-10, 2.369518788792699383e-10
1.852000000000000000e+03, 7.931101340985187635e-10, 2.423914676472606379e-10
1.853000000000000000e+03, 7.597834735835474043e-10, 2.596453752150175889e-10
1.854000000000000000e+03, 6.611955180151583556e-10, 2.364713157838271219e-10
1.855000000000000000e+03, 6.931471711129906816e-10, 2.394223857337097324e-10
1.856000000000000000e+03, 7.112187926243972092e-10, 2.459831346543279625e-10
1.857000000000000000e+03, 7.172106451497109295e-10, 2.513420975914525397e-10
1.858000000000000000e+03, 7.368213168598741559e-10, 2.548788104818858282e-10
1.859000000000000000e+03, 7.561346031625695331e-10, 2.554844139979541834e-10
1.860000000000000000e+03, 7.739001752228002081e-10, 2.546314877705694726e-10
1.861000000000000000e+03, 6.990407546861949210e-10, 2.491147993122655063e-10
1.862000000000000000e+03, 7.110273128013254009e-10, 2.598059753248827485e-10
1.863000000000000000e+03, 7.621806383857524911e-10, 2.500242369644904445e-10
1.864000000000000000e+03, 6.773819165953748124e-10, 2.422260022411677185e-10
1.865000000000000000e+03, 6.285368403675507451e-10, 2.381749528299005688e-10
1.866000000000000000e+03, 7.103055040894998986e-10, 2.371553721414673516e-10
1.867000000000000000e+03, 7.687340000607786721e-10, 2.462073836898963062e-10
1.868000000000000000e+03, 7.613120836972288060e-10, 2.392670552583934431e-10
1.869000000000000000e+03, 7.601409202475033859e-10, 2.555592056295753010e-10
1.870000000000000000e+03, 6.800146802040602611e-10, 2.726161817439893235e-10
1.871000000000000000e+03, 7.187968763761468594e-10, 2.603016632540272234e-10
1.872000000000000000e+03, 7.244970962266105326e-10, 2.395911130293366966e-10
1.873000000000000000e+03, 7.264247694058743306e-10, 2.448577097595878175e-10
1.874000000000000000e+03, 6.857236519913945296e-10, 2.756139862169883503e-10
1.875000000000000000e+03, 6.703718074025261423e-10, 2.708203601246290307e-10
1.876000000000000000e+03, 7.383009088685778550e-10, 2.548699047255346077e-10
1.877000000000000000e+03, 7.649773084389963329e-10, 2.474293954279118386e-10
1.878000000000000000e+03, 7.854780553690567437e-10, 2.654795793111547341e-10
1.879000000000000000e+03, 7.524152489495744126e-10, 2.661028107128135846e-10
1.880000000000000000e+03, 7.369307608463320483e-10, 2.660517957683111608e-10
1.881000000000000000e+03, 7.940069364512571858e-10, 2.702169516378403430e-10
1.882000000000000000e+03, 8.016591297014659182e-10, 2.837588704037953938e-10
1.883000000000000000e+03, 7.986904880621090445e-10, 2.768543084654592979e-10
1.884000000000000000e+03, 7.869266458674304317e-10, 2.514567208767532850e-10
1.885000000000000000e+03, 8.041148480610831876e-10, 2.420172557857586453e-10
1.886000000000000000e+03, 8.297407557869292012e-10, 2.548056347381414666e-10
1.887000000000000000e+03, 8.138029391461270844e-10, 2.738921756394960642e-10
1.888000000000000000e+03, 7.857822468464288636e-10, 2.709041187298760761e-10
