year, GFDL-ESM4, CESM2-WACCM, EC-Earth3-Veg, TaiESM1, CMCC-CM2-SR5, IPSL-CM6A-LR, CNRM-ESM2-1, MIROC-ES2L, ACCESS-ESM1-5, CanESM5, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, MPI-ESM1-2-LR
1.850000000000000000e+03, 1.946116515817271164e+01, 1.042301566563334347e+02, 1.576223315833031506e+02, 8.595985706975810103e+01, 1.823664394630535242e+02, 1.152120831177732185e+02, 1.283925862311926664e+02, 1.099775241169132016e+02, 1.135231075141478243e+02, 2.322449356756915506e+02, 2.347389935005485029e+02, 9.119372452632148907e+01, 9.274524564999074983e+01, 8.260116912101504738e+01
1.851000000000000000e+03, 1.938204029583199528e+01, 1.042430825519803506e+02, 1.575833347009813963e+02, 8.583155345956558335e+01, 1.823668197849288504e+02, 1.152228785188967777e+02, 1.283110693552405337e+02, 1.099385251204755605e+02, 1.134858551106215430e+02, 2.322616545450549381e+02, 2.347203036518845352e+02, 9.115580247060367469e+01, 9.276031599389064297e+01, 8.292070638307527020e+01
1.852000000000000000e+03, 1.947298879586751497e+01, 1.042642474996987971e+02, 1.575654128683084707e+02, 8.579768268119268271e+01, 1.823263545487297108e+02, 1.152442210047636735e+02, 1.282137503103093934e+02, 1.098164601399879530e+02, 1.134858028869650468e+02, 2.322662003060326299e+02, 2.346086379860961415e+02, 9.116178313560671143e+01, 9.274016996106877286e+01, 8.286080783791899762e+01
1.853000000000000000e+03, 1.942044833162524853e+01, 1.042398399679795773e+02, 1.575372865846911168e+02, 8.587615557167140423e+01, 1.822576763472590073e+02, 1.152491644393490589e+02, 1.282201620248933693e+02, 1.096608690874153922e+02, 1.134737727740767781e+02, 2.323344190068453656e+02, 2.345172697501626260e+02, 9.113576727599678406e+01, 9.275198015499624660e+01, 8.310649147090198596e+01
1.854000000000000000e+03, 1.945294058820898542e+01, 1.042127774546340078e+02, 1.575484111165246475e+02, 8.577438201883589386e+01, 1.822564186736691170e+02, 1.152264315414282123e+02, 1.283388576803965577e+02, 1.095260037576091037e+02, 1.134053739755839132e+02, 2.324073319259242396e+02, 2.345215928733401825e+02, 9.115647015238342021e+01, 9.277093641489500442e+01, 8.298948038499824520e+01
1.855000000000000000e+03, 1.947616047349348634e+01, 1.042174275327312500e+02, 1.575599628003742509e+02, 8.589313268465718920e+01, 1.822399819263864060e+02, 1.152241014692863530e+02, 1.283013735739364165e+02, 1.095537208148587922e+02, 1.133099020065766496e+02, 2.324619157340620461e+02, 2.347431476140378379e+02, 9.118517864185538713e+01, 9.273620835189812794e+01, 8.288721265077431610e+01
1.856000000000000000e+03, 1.952208239580823701e+01, 1.042124315155633951e+02, 1.574386389607247736e+02, 8.600034796981039165e+01, 1.822477787205650088e+02, 1.152272068263735889e+02, 1.283662433324693666e+02, 1.095614494967160084e+02, 1.132606278344976118e+02, 2.324720420538158123e+02, 2.348440627305144233e+02, 9.117153415931299776e+01, 9.270534182907979925e+01, 8.280324834603678141e+01
1.857000000000000000e+03, 1.939619894904818409e+01, 1.041969863035908901e+02, 1.573449980150040517e+02, 8.593418532148012901e+01, 1.822885268673390726e+02, 1.151810508275014513e+02, 1.283227991615222550e+02, 1.095088625648175196e+02, 1.132047438891490430e+02, 2.324866459899867266e+02, 2.346119594318467705e+02, 9.119573004439638453e+01, 9.270123956945924704e+01, 8.273822981127366916e+01
1.858000000000000000e+03, 1.932766506959151087e+01, 1.041775466441521587e+02, 1.573566928380300567e+02, 8.576729457450755945e+01, 1.822536211948143432e+02, 1.151626435265243344e+02, 1.282896666968251509e+02, 1.093758636616922786e+02, 1.132046989698005746e+02, 2.324969956613664408e+02, 2.346698963219471068e+02, 9.124080284993512180e+01, 9.270816277648471271e+01, 8.263545470766547396e+01
1.859000000000000000e+03, 1.937620837940977836e+01, 1.042052022053224078e+02, 1.573287350693044004e+02, 8.595018480528632665e+01, 1.822598770352717850e+02, 1.151951186602971262e+02, 1.283203737105964706e+02, 1.092567423289344646e+02, 1.132802382890073289e+02, 2.324678320163610010e+02, 2.345787412079774015e+02, 9.123094033663248581e+01, 9.268028270631305077e+01, 8.272312736649629983e+01
1.860000000000000000e+03, 1.940770857682845829e+01, 1.042512017534046862e+02, 1.573485644168125646e+02, 8.602784424701748378e+01, 1.822574406500848738e+02, 1.151892094120096743e+02, 1.282769212906980556e+02, 1.090743559732514569e+02, 1.133331441503127479e+02, 2.324329983906221457e+02, 2.345863465167257971e+02, 9.119108192527023959e+01, 9.270003984721334689e+01, 8.296277231737023783e+01
1.861000000000000000e+03, 1.942937045794543494e+01, 1.042957853419193839e+02, 1.573920081200057552e+02, 8.581417867494087659e+01, 1.822399872713005209e+02, 1.151962241413543069e+02, 1.283289238290523997e+02, 1.088842407392221219e+02, 1.134062468906355434e+02, 2.323884929131200465e+02, 2.346263149223164817e+02, 9.118392131550461954e+01, 9.276793576741685854e+01, 8.305179653253954086e+01
1.862000000000000000e+03, 1.945992739598345622e+01, 1.042575212485908196e+02, 1.574535240943629333e+02, 8.576399031931516959e+01, 1.822610454152444959e+02, 1.152189664751813751e+02, 1.282910877515564891e+02, 1.088018557738366212e+02, 1.135175316840600033e+02, 2.324014619398940908e+02, 2.343245553814485902e+02, 9.124813469349606976e+01, 9.279553695259238566e+01, 8.296070379517792048e+01
1.863000000000000000e+03, 1.950026104610080324e+01, 1.042475878306332930e+02, 1.574777792919096555e+02, 8.587996241901142014e+01, 1.822263758761399970e+02, 1.152419640255842808e+02, 1.283327142668082672e+02, 1.087170783418927300e+02, 1.136037689418859173e+02, 2.324731335600239106e+02, 2.342393377680473918e+02, 9.124220733279848616e+01, 9.278798976329626669e+01, 8.287265414750122261e+01
1.864000000000000000e+03, 1.935348062893780607e+01, 1.042106480725727096e+02, 1.575367381396456494e+02, 8.594225823678908682e+01, 1.822476092282669242e+02, 1.152423514632641570e+02, 1.283912687270829167e+02, 1.087078351059472681e+02, 1.136158720199714054e+02, 2.325159770413561091e+02, 2.342456813427102986e+02, 9.121673250914219011e+01, 9.273328821369211994e+01, 8.304171810584895752e+01
1.865000000000000000e+03, 1.932093831096219461e+01, 1.042215153068315914e+02, 1.575058821600213719e+02, 8.592999772724809304e+01, 1.821950222147274303e+02, 1.152646398929417586e+02, 1.283956214780651806e+02, 1.086028727177031499e+02, 1.135944435857368973e+02, 2.325757614074074127e+02, 2.344303215159412730e+02, 9.120600201046489985e+01, 9.272223744293461323e+01, 8.300938541654448954e+01
1.866000000000000000e+03, 1.922076470203737841e+01, 1.042425132070220712e+02, 1.573799245743741722e+02, 8.582984364780514852e+01, 1.822023101148091655e+02, 1.152373239048922215e+02, 1.284245700672395856e+02, 1.083689325193566759e+02, 1.135636100051050192e+02, 2.326555588877860714e+02, 2.349288392571561701e+02, 9.122203524429946242e+01, 9.272168618859457467e+01, 8.286557533429278521e+01
1.867000000000000000e+03, 1.929848129876155483e+01, 1.042121487253876637e+02, 1.572373345108904061e+02, 8.584813917838155817e+01, 1.822591044095626387e+02, 1.152156721506786994e+02, 1.284003531640921949e+02, 1.083639469242039866e+02, 1.135445811395941860e+02, 2.327224636701995450e+02, 2.347298098771333912e+02, 9.122348159702629289e+01, 9.270948048839579769e+01, 8.295963022809371523e+01
1.868000000000000000e+03, 1.923143492294983048e+01, 1.042030656230371477e+02, 1.571333194367200008e+02, 8.593881601336856590e+01, 1.822552528245122403e+02, 1.151970042088758817e+02, 1.284066034403595893e+02, 1.085281389998744999e+02, 1.134801447415388367e+02, 2.327195806477340625e+02, 2.343493473788384449e+02, 9.121138330009651440e+01, 9.269585350366321563e+01, 8.314134831548122406e+01
1.869000000000000000e+03, 1.917537798256577375e+01, 1.042282691873597145e+02, 1.571020779633552422e+02, 8.606111216967119049e+01, 1.822159608435740950e+02, 1.152339711074353517e+02, 1.283992154258800156e+02, 1.085116936411914850e+02, 1.134284060059231365e+02, 2.327465143537975791e+02, 2.344966453878615766e+02, 9.119376639263045092e+01, 9.268633482560164794e+01, 8.323030629276318848e+01
