year, MIROC-ES2L, TaiESM1, MPI-ESM1-2-LR, IPSL-CM6A-LR, CanESM5, GFDL-ESM4, NorESM2-LM, INM-CM5-0, UKESM1-0-LL, CMCC-CM2-SR5, CNRM-ESM2-1, ACCESS-ESM1-5, CESM2-WACCM, INM-CM4-8, NorESM2-MM, EC-Earth3-Veg
1.850000000000000000e+03, 2.816894546753618389e+00, 2.164728214486087765e+00, 1.889446188492832190e+00, 2.242837949241853313e+00, 2.450433850960179516e+00, 2.392212190802498917e+00, 1.835756572967564670e+00, 2.070974361268324682e+00, 1.942141009010200481e+00, 2.203949361701432519e+00, 1.553513213991095432e+00, 2.270797672101069420e+00, 2.173277415343938035e+00, 2.058862323181546383e+00, 1.901997111674790464e+00, 1.827519386878342145e+00
1.851000000000000000e+03, 2.834985716589430549e+00, 2.436550550446851648e+00, 1.713466399772932247e+00, 2.358470339133877491e+00, 2.537023511568258005e+00, 2.335675477870040151e+00, 1.943185715673186209e+00, 2.081122644463532900e+00, 1.885778690355806031e+00, 2.239652282180899956e+00, 1.563860685003878537e+00, 2.270053390317524844e+00, 2.045411068167110269e+00, 1.933373630515443864e+00, 1.819901434480327485e+00, 1.846512290685362601e+00
1.852000000000000000e+03, 2.667545496489988732e+00, 2.136535452561245663e+00, 1.875331347510479363e+00, 2.247536159452988791e+00, 2.506985753045840593e+00, 2.501983285273314817e+00, 1.928238161147709961e+00, 2.071166087361864250e+00, 1.833070448688046028e+00, 2.332869765926730121e+00, 1.592789656718586189e+00, 2.175420322523271999e+00, 1.948056295451801923e+00, 2.124333537208968892e+00, 1.842126691333810351e+00, 1.889425371993835645e+00
1.853000000000000000e+03, 2.611318606756299232e+00, 2.412609984704007449e+00, 1.534085304491023205e+00, 2.192545715946187634e+00, 2.391796508132907118e+00, 2.478287918928926636e+00, 1.610896337368774800e+00, 2.110184014698455623e+00, 1.981558845698588645e+00, 2.291183340449316042e+00, 1.501515240292397024e+00, 2.114344607785394459e+00, 2.279240631181012056e+00, 1.974111932669752933e+00, 1.897847507618201979e+00, 1.729842355726370684e+00
1.854000000000000000e+03, 2.888215180243514091e+00, 2.293244399209953155e+00, 1.626917106686472714e+00, 2.257215022199917431e+00, 2.393587682458294452e+00, 2.452139502961745876e+00, 1.708141001535866899e+00, 2.000100966607187392e+00, 1.878465499609865974e+00, 2.299519996347146211e+00, 1.527904670294714551e+00, 2.323490064836460256e+00, 2.259969081916620492e+00, 1.963924982001511443e+00, 1.718045615022779415e+00, 1.800227683523832889e+00
1.855000000000000000e+03, 2.906157889967156294e+00, 1.991273259926182426e+00, 1.697620838144010325e+00, 2.239093594327017822e+00, 2.408163414882599884e+00, 2.430777170161542600e+00, 1.904041354038399136e+00, 2.199491052272346536e+00, 1.936506141516256552e+00, 2.248934325625073782e+00, 1.537024575122116321e+00, 2.346508117721014752e+00, 2.176869711639160432e+00, 2.121196042255320879e+00, 1.774581919795255924e+00, 1.859120703563548860e+00
1.856000000000000000e+03, 2.835041523320392720e+00, 2.175138246643693041e+00, 1.724989906586995581e+00, 2.126410517565246128e+00, 2.322571882190482384e+00, 2.409198052285975944e+00, 1.743047182965454800e+00, 2.124403309647379334e+00, 1.856831031406465993e+00, 2.157450051048952488e+00, 1.609942080742097659e+00, 2.240125733070447822e+00, 2.119472612576958959e+00, 1.957395100735879190e+00, 1.812564531261846357e+00, 1.783364653694522239e+00
1.857000000000000000e+03, 2.767046522575649981e+00, 2.232431064627592221e+00, 1.673049445254741752e+00, 2.257560857451355929e+00, 2.335543492316743297e+00, 2.283290697188855134e+00, 1.854149303226668932e+00, 2.261860584030476407e+00, 1.808341075656063168e+00, 2.262165568829260565e+00, 1.556205827541673248e+00, 2.539330306018116268e+00, 2.399214133471494037e+00, 2.092642135434873207e+00, 1.737345939525632321e+00, 1.866800965246065536e+00
1.858000000000000000e+03, 2.797168602592928988e+00, 2.337867444985128884e+00, 1.745752864197951393e+00, 2.393844273772166353e+00, 2.348862479938528924e+00, 2.498313969538720425e+00, 1.975775010371314089e+00, 2.060954358764635508e+00, 1.851056324478387083e+00, 2.205763264885188146e+00, 1.600928675784994093e+00, 2.508034789285879640e+00, 2.212111311280345216e+00, 1.977006397027739171e+00, 1.794360914683859498e+00, 1.857977162910606106e+00
1.859000000000000000e+03, 2.797359021406524260e+00, 2.009101010457257530e+00, 1.865153761013562450e+00, 2.327936163072330977e+00, 2.393829094863902274e+00, 2.355154621780415791e+00, 1.791290244185765212e+00, 2.170232850428184701e+00, 1.786008568602472923e+00, 2.308788954118067505e+00, 1.767693425066845681e+00, 2.310067452457195802e+00, 2.022359078955933143e+00, 2.129405698096680677e+00, 1.795186678576993211e+00, 1.877793757723599022e+00
