year, GFDL-ESM4, ACCESS-ESM1-5, CNRM-ESM2-1, NorESM2-LM, CMCC-CM2-SR5, CESM2-WACCM, IPSL-CM6A-LR, TaiESM1, EC-Earth3-Veg, MIROC-ES2L, CanESM5, MPI-ESM1-2-LR, NorESM2-MM
1.850000000000000000e+03, 1.458894769457332607e+01, 5.548943083129294962e+00, 2.161771950098617978e+01, 2.674234136884397373e+00, 4.192874292699180216e+00, 3.364251392764980420e+00, 2.091685385585574863e+01, 2.052716565048705810e+00, 5.616784954677173758e+00, 3.816329909278154275e+01, 1.432721391040464098e+01, 3.344512561335152157e+01, 3.173939542528342983e+00
1.851000000000000000e+03, 1.433946152574659294e+01, 5.548231748996689916e+00, 2.149680307200094731e+01, 2.721318567727594395e+00, 4.061270846673558310e+00, 3.267514032031274329e+00, 2.090364013562427203e+01, 1.868586735293802370e+00, 5.578497521958087013e+00, 3.781508121715547333e+01, 1.405534632817801999e+01, 3.361660497611397602e+01, 3.113505533093362310e+00
1.852000000000000000e+03, 1.439829217760129687e+01, 5.566712679794629359e+00, 2.143052976860477443e+01, 2.622390405982827133e+00, 3.890026610458665157e+00, 3.311696546163526378e+00, 2.098618240529940238e+01, 2.134144699573504500e+00, 5.617271464023835925e+00, 3.771278742082493096e+01, 1.436852661089230132e+01, 3.347154469128252430e+01, 3.201958333072047580e+00
1.853000000000000000e+03, 1.437141347235839639e+01, 5.524344711329939983e+00, 2.149130507301918058e+01, 2.772651355312986787e+00, 4.133764897692874918e+00, 3.224536284027658350e+00, 2.091697269300881601e+01, 2.071681121221347954e+00, 5.659034838006922641e+00, 3.774383343018329384e+01, 1.465624345448961918e+01, 3.357787470408770503e+01, 3.104229865438371316e+00
1.854000000000000000e+03, 1.424475153746811884e+01, 5.434855274157705196e+00, 2.160831663493946309e+01, 2.717608314440870476e+00, 4.129816950115591467e+00, 3.246936656857994041e+00, 2.087494994040627461e+01, 1.957834515743926307e+00, 5.814227631628928528e+00, 3.790598427493360134e+01, 1.456487089770453913e+01, 3.342175338164611986e+01, 3.261620901860749822e+00
1.855000000000000000e+03, 1.442023853557102342e+01, 5.396124182060131780e+00, 2.165252660359044512e+01, 2.653491368603997813e+00, 4.085570303450798413e+00, 3.321096602791625774e+00, 2.088865876900926111e+01, 2.278058760626979318e+00, 5.595776606140465681e+00, 3.773241246513612879e+01, 1.446070594239922258e+01, 3.330066880953889097e+01, 3.224036674780878631e+00
1.856000000000000000e+03, 1.456618885077298842e+01, 5.396782112465546177e+00, 2.171755066795449096e+01, 2.685635806941916393e+00, 4.320819644405514026e+00, 3.318992144626229379e+00, 2.093754757180247594e+01, 2.043128662248811178e+00, 5.311121288363627180e+00, 3.748066575493061947e+01, 1.458683027625272466e+01, 3.318679982115986604e+01, 3.162583870957721643e+00
1.857000000000000000e+03, 1.444035712671832172e+01, 5.408003761996931225e+00, 2.171179081941514255e+01, 2.677585081568451653e+00, 4.157019920613467256e+00, 3.255721978508882231e+00, 2.076802744526454347e+01, 1.951338310114035579e+00, 5.450587614840895156e+00, 3.733334393643726656e+01, 1.463796591924623058e+01, 3.307451661672234167e+01, 3.261268639929077562e+00
1.858000000000000000e+03, 1.426049034471781596e+01, 5.505646058825911737e+00, 2.166953702293417905e+01, 2.683593533126069186e+00, 4.078053735624321163e+00, 3.285858675110196359e+00, 2.074286482214598237e+01, 1.943248729652890860e+00, 5.773064306607520457e+00, 3.724628195132469699e+01, 1.450747012138484493e+01, 3.293516522637745680e+01, 3.235757470369394539e+00
1.859000000000000000e+03, 1.426379958498421807e+01, 5.611511093296112307e+00, 2.171334747432164036e+01, 2.667225363212997635e+00, 4.209811640073806593e+00, 3.389837831831350012e+00, 2.088322320546579292e+01, 2.435981021022923798e+00, 5.694222322641406819e+00, 3.722682024316721794e+01, 1.445189145184453317e+01, 3.296117603092314141e+01, 3.124076500224063135e+00
