year, GFDL-ESM4, INM-CM4-8, UKESM1-0-LL, TaiESM1, INM-CM5-0, MPI-ESM1-2-LR, IPSL-CM6A-LR, MIROC-ES2L, NorESM2-MM, ACCESS-ESM1-5, NorESM2-LM, EC-Earth3-Veg, CanESM5, CESM2-WACCM, CNRM-ESM2-1, CMCC-CM2-SR5
1.850000000000000000e+03, 5.153489073607978099e+01, 1.040486532316003832e+02, 1.082394577195025960e+02, 1.118577968052940008e+02, 1.075204351171157811e+02, 7.963261636011421274e+01, 8.554528001348666066e+01, 1.022037764540880147e+02, 7.249661967783208638e+01, 1.042213479746683760e+02, 6.877658615140744303e+01, 7.438877555172452105e+01, 1.150147631101609704e+02, 8.117462166868126872e+01, 5.352949193000151240e+01, 5.465846661462874323e+01
1.851000000000000000e+03, 5.149321636162713389e+01, 1.037453912539261296e+02, 1.082853624314892187e+02, 1.126214107156930879e+02, 1.072521224717553423e+02, 7.953706081841261266e+01, 8.563782988959007980e+01, 1.019920777264744203e+02, 7.283169692003401963e+01, 1.041769531900967820e+02, 6.875686395481739055e+01, 7.392141696991130573e+01, 1.153195937079841968e+02, 8.109716009374101020e+01, 5.376058882883183543e+01, 5.481826667049581658e+01
1.852000000000000000e+03, 5.171339992427351007e+01, 1.037487830782689286e+02, 1.082628634090749529e+02, 1.125749641129726371e+02, 1.067673080566114550e+02, 7.935866838462831652e+01, 8.563394527782514842e+01, 1.017995782206811413e+02, 7.260250220608041616e+01, 1.040946776419812636e+02, 6.893667360850170667e+01, 7.372338481532503351e+01, 1.158833544202626342e+02, 8.094215113990901500e+01, 5.408589351159696434e+01, 5.534889226705632126e+01
1.853000000000000000e+03, 5.150930914052092646e+01, 1.035882262047991844e+02, 1.082631371339629709e+02, 1.123207709231868989e+02, 1.068212848787729996e+02, 7.907674642084526795e+01, 8.557291462248441860e+01, 1.015961634556873747e+02, 7.276897003396224761e+01, 1.036965336929692683e+02, 6.867688220311529790e+01, 7.362539071784273403e+01, 1.160406444346884882e+02, 8.115810393848749982e+01, 5.442202244019013335e+01, 5.551491201964721256e+01
1.854000000000000000e+03, 5.174306124032695209e+01, 1.032565035188127354e+02, 1.083553883944604195e+02, 1.128748367358809617e+02, 1.065336670942493384e+02, 7.801655263473811885e+01, 8.569850803763598890e+01, 1.016333388446686996e+02, 7.245898475166202957e+01, 1.033088862882949854e+02, 6.839860433907672643e+01, 7.023015251130051695e+01, 1.158787803964999057e+02, 8.109301781715610957e+01, 5.389590940538114694e+01, 5.560887379157471599e+01
1.855000000000000000e+03, 5.198581646914202281e+01, 1.034805063572167967e+02, 1.085985789428658563e+02, 1.119667099105864736e+02, 1.065784200424350701e+02, 7.760343395352198570e+01, 8.557316817298189449e+01, 1.015337314059171518e+02, 7.210858510659804210e+01, 1.031615242033563220e+02, 6.845401928729488361e+01, 6.999749266693926586e+01, 1.159303710130231764e+02, 8.107855573851837505e+01, 5.416672951490085808e+01, 5.582445108170784209e+01
1.856000000000000000e+03, 5.184414169244325166e+01, 1.031380207535825377e+02, 1.087772061373096051e+02, 1.116335824119933307e+02, 1.066886904244245642e+02, 7.729488640044725400e+01, 8.547970965469410487e+01, 1.014102272308449244e+02, 7.210539726413028916e+01, 1.030882283841096694e+02, 6.856317377968478866e+01, 6.994707216887803725e+01, 1.157742106303291507e+02, 8.121253549872677979e+01, 5.400577467050938196e+01, 5.565186910095286521e+01
1.857000000000000000e+03, 5.157975039093609837e+01, 1.028566846889257960e+02, 1.088402471287718214e+02, 1.120665207936004890e+02, 1.068839964409805106e+02, 7.703466098359272962e+01, 8.531195396799166986e+01, 1.013933016318787850e+02, 7.198084380272345584e+01, 1.031597679334662843e+02, 6.869876536165250513e+01, 7.018405038331489720e+01, 1.153428359825428231e+02, 8.132075034792795520e+01, 5.403413089972060135e+01, 5.573474941602218991e+01
1.858000000000000000e+03, 5.137292155401192417e+01, 1.030770023364200796e+02, 1.087307237552114287e+02, 1.127802730949176180e+02, 1.071852687266498094e+02, 7.684611240382099595e+01, 8.553799875598470237e+01, 1.012580667867267152e+02, 7.179246254565799745e+01, 1.037135758285386800e+02, 6.876772365186249658e+01, 7.009156629312462883e+01, 1.152285904897948683e+02, 8.136697724838410295e+01, 5.431616142326972607e+01, 5.613029988324733210e+01
1.859000000000000000e+03, 5.158763947511422998e+01, 1.034269652185442965e+02, 1.085010256523424061e+02, 1.112513078608270405e+02, 1.069968913359676606e+02, 7.682404483411961849e+01, 8.571979680833671011e+01, 1.013169323070322889e+02, 7.185670454766594162e+01, 1.040442623748451609e+02, 6.917022840666064099e+01, 6.970069064519722701e+01, 1.151286659438168982e+02, 8.102339156502758044e+01, 5.422824934887383819e+01, 5.610037800111540207e+01
1.860000000000000000e+03, 5.154105975305595422e+01, 1.034141199687432078e+02, 1.085546256948649528e+02, 1.111491181855935935e+02, 1.070185877410427935e+02, 7.686919433195768647e+01, 8.588590557109108659e+01, 1.012558277628968426e+02, 7.201669040559188772e+01, 1.041354911352296710e+02, 6.905817058981554624e+01, 6.956062637682249772e+01, 1.152535515571079685e+02, 8.064903405171935447e+01, 5.429520359133042007e+01, 5.643139767691490505e+01
1.861000000000000000e+03, 5.153215931437879505e+01, 1.033736999066690885e+02, 1.082163516824516023e+02, 1.120629788839890750e+02, 1.067728697343795403e+02, 7.620423912482337414e+01, 8.587516164708870292e+01, 1.011328382883790482e+02, 7.185785793072128058e+01, 1.045101612544203249e+02, 6.845434212351368330e+01, 6.960964734176960178e+01, 1.155943941526092829e+02, 8.021507119897168536e+01, 5.443182293036574748e+01, 5.635013659455712087e+01
1.862000000000000000e+03, 5.148007093636700660e+01, 1.033720167684360973e+02, 1.078710514059002890e+02, 1.121827581119682122e+02, 1.067479718132448880e+02, 7.586076363228758623e+01, 8.571217527580078865e+01, 1.011480360347356111e+02, 7.166250354916553533e+01, 1.047746320811559002e+02, 6.836447100623146866e+01, 6.984700510021818332e+01, 1.160055074412964871e+02, 8.025064836115095090e+01, 5.507525895291703932e+01, 5.652332035037807856e+01
1.863000000000000000e+03, 5.172638393485555497e+01, 1.035780169095299641e+02, 1.078487254597457223e+02, 1.117152184232842842e+02, 1.068063567609794546e+02, 7.596107990667501042e+01, 8.582501509408213280e+01, 1.012700198599590351e+02, 7.162242337814176096e+01, 1.048144241324509380e+02, 6.826504539436204766e+01, 6.931390597152153532e+01, 1.160636727121482608e+02, 8.015254799609073189e+01, 5.501283465636177539e+01, 5.674290328326218003e+01
1.864000000000000000e+03, 5.166664667179127690e+01, 1.038193486991030028e+02, 1.080640388574333457e+02, 1.113251253043822686e+02, 1.066944110620036099e+02, 7.535056570586144176e+01, 8.594676653622198614e+01, 1.012924779351128564e+02, 7.177707490182879724e+01, 1.044806704021970347e+02, 6.844344226973967693e+01, 6.842022533111729388e+01, 1.157240617908179701e+02, 8.047592233769043446e+01, 5.438655697380612963e+01, 5.694142986788477856e+01
1.865000000000000000e+03, 5.138819040481589440e+01, 1.040938828552540798e+02, 1.083619178305301318e+02, 1.115150086453803056e+02, 1.067458603167953299e+02, 7.458739675912612199e+01, 8.592677231972406560e+01, 1.013785470084951896e+02, 7.184470827078780530e+01, 1.042411815801294210e+02, 6.836796393572576847e+01, 6.780462594876549076e+01, 1.158225090684804996e+02, 8.057683619320984292e+01, 5.450471914334719514e+01, 5.749507531519328296e+01
1.866000000000000000e+03, 5.117560247257589623e+01, 1.042484659133448446e+02, 1.086080843446260360e+02, 1.119759229029516945e+02, 1.069016698312342157e+02, 7.467761368668811883e+01, 8.611625435418325480e+01, 1.011072173374052312e+02, 7.156194943566262623e+01, 1.039906779702383233e+02, 6.846022278417422058e+01, 6.754272140393054258e+01, 1.160028946756105199e+02, 8.054083580046970781e+01, 5.459521272360541388e+01, 5.733362045747981028e+01
1.867000000000000000e+03, 5.142509233185931095e+01, 1.038374977838828102e+02, 1.084889551055659211e+02, 1.121622002555528752e+02, 1.068058517929604960e+02, 7.497380652355914776e+01, 8.567330050311157663e+01, 1.008912086280022038e+02, 7.141690655397738396e+01, 1.039698065966797600e+02, 6.845585079667088735e+01, 6.792375856225177699e+01, 1.160623101104661714e+02, 8.067541929082211993e+01, 5.434414941520199704e+01, 5.733715385429152178e+01
1.868000000000000000e+03, 5.141865123101044333e+01, 1.032629148634502485e+02, 1.083388843070316483e+02, 1.113894380923361211e+02, 1.064483058300642284e+02, 7.495407619491845708e+01, 8.582504880683261206e+01, 1.009843958430000868e+02, 7.146782643424390358e+01, 1.036525951775875427e+02, 6.864643838679157284e+01, 6.756655996283127763e+01, 1.161077798665808274e+02, 8.068056806471525988e+01, 5.454663809795302853e+01, 5.791087620073080444e+01
1.869000000000000000e+03, 5.135314485409814012e+01, 1.031101758676164337e+02, 1.089761923786112732e+02, 1.108294726597574851e+02, 1.063892944653932631e+02, 7.488417601463758899e+01, 8.617670731802732575e+01, 1.011159679770379256e+02, 7.152318257464520457e+01, 1.036472497594045592e+02, 6.862486412973670724e+01, 6.819217007130569641e+01, 1.162856106983866056e+02, 8.053352697102434377e+01, 5.436720986480914064e+01, 5.800497235437235588e+01
1.870000000000000000e+03, 5.144857318777341959e+01, 1.030626521077101359e+02, 1.091876528810771561e+02, 1.110867584333907274e+02, 1.066954315463020180e+02, 7.428155978307624707e+01, 8.621934560594191055e+01, 1.010372546378677470e+02, 7.141852856942426797e+01, 1.039711224459809102e+02, 6.844551087666329181e+01, 6.845605858528810472e+01, 1.165778456482867824e+02, 8.035399421355062088e+01, 5.432827988367242966e+01, 5.751145896908933963e+01
1.871000000000000000e+03, 5.111719882021149886e+01, 1.031429420681783853e+02, 1.088812999198898410e+02, 1.115926366419148508e+02, 1.068767131184590937e+02, 7.408237489319003544e+01, 8.568169007432587136e+01, 1.009841359211272902e+02, 7.122563069645462974e+01, 1.042380429261059476e+02, 6.848768859385292274e+01, 6.810707048115045836e+01, 1.167496504201473471e+02, 8.048924336760921960e+01, 5.425793957712355819e+01, 5.778772890738223822e+01
