year, CNRM-ESM2-1, CESM2-WACCM, IPSL-CM6A-LR, ACCESS-ESM1-5, UKESM1-0-LL, NorESM2-LM, CMCC-ESM2, EC-Earth3-Veg, TaiESM1, CanESM5, INM-CM5-0, NorESM2-MM, GFDL-ESM4, MIROC-ES2L, MPI-ESM1-2-LR, INM-CM4-8
1.872000000000000000e+03, 7.759971224233345177e-01, 9.629378974620539378e-01, 1.340602991079480555e+00, 9.600997969567905965e-01, 2.029743770563471994e+00, 7.516032619471643139e-01, 9.365221033004278439e-01, 1.936503574473853018e+00, 1.706166653474104677e+00, 1.485376512579632990e+00, 1.467648931294162962e+00, 8.114535733260721528e-01, 1.717776061837684054e+00, 1.227324714475249046e+00, 1.337355516777686049e+00, 1.473338914197400262e+00
1.873000000000000000e+03, 7.887841034363831660e-01, 9.468535322172935143e-01, 1.353497632578415155e+00, 9.446918728162762013e-01, 2.051165531808819331e+00, 7.565085822889016098e-01, 9.517753812034578376e-01, 1.970656914728806886e+00, 1.738521944588313328e+00, 1.436253162302816300e+00, 1.472053403630076529e+00, 7.954061056726140500e-01, 1.684084024755513553e+00, 1.233518319634918869e+00, 1.316560360882708558e+00, 1.451904290835914546e+00
1.874000000000000000e+03, 8.370792696401850863e-01, 9.131165627640511762e-01, 1.338856951777628979e+00, 9.309377292493318246e-01, 2.039466190273044877e+00, 7.483903327552432483e-01, 9.821102394893279630e-01, 2.089081745842257032e+00, 1.681192352760165321e+00, 1.409975207732762970e+00, 1.492863534727158603e+00, 7.746630756967891607e-01, 1.671448354875216591e+00, 1.252572570432834320e+00, 1.278362316239906704e+00, 1.483287499006713528e+00
1.875000000000000000e+03, 7.442161112763709951e-01, 9.187436636045400729e-01, 1.382777529766299196e+00, 9.201007632410508341e-01, 2.013538469785421725e+00, 7.421135145376580589e-01, 9.529652401303331244e-01, 2.030674210209598485e+00, 1.591518826050750013e+00, 1.482897466922311169e+00, 1.513113202489600351e+00, 7.945150350971528219e-01, 1.690410133638259538e+00, 1.243835044483081242e+00, 1.273370700238476649e+00, 1.511195225443796364e+00
1.876000000000000000e+03, 7.795303680517418066e-01, 9.398402474393507955e-01, 1.370862164067488509e+00, 9.098559388426088468e-01, 2.020609393270216270e+00, 7.266401749701895119e-01, 9.726479064282039788e-01, 1.937646687289711345e+00, 1.641796992457415838e+00, 1.399955719854492964e+00, 1.493849758773677205e+00, 8.106888063476124229e-01, 1.708867059617874551e+00, 1.221330643921469283e+00, 1.359021474660595530e+00, 1.503436904023698117e+00
1.877000000000000000e+03, 8.075670007293607178e-01, 9.328954162932174832e-01, 1.386667257410299614e+00, 9.390167045659626455e-01, 2.014739849526773874e+00, 7.416413241912618304e-01, 9.473167513722072774e-01, 2.001126949461816462e+00, 1.751781972060723502e+00, 1.393910758317496335e+00, 1.515000688375044646e+00, 8.057149646441122970e-01, 1.664634449591064547e+00, 1.203442478758097511e+00, 1.361697585587641424e+00, 1.498283644266637626e+00
1.878000000000000000e+03, 8.018414357655786473e-01, 9.544475518774178102e-01, 1.419568006629257750e+00, 9.568127619732579303e-01, 2.004904791906339412e+00, 7.426567388916158752e-01, 9.585633904252026660e-01, 2.056270792388617874e+00, 1.744254022698665141e+00, 1.430978876918538090e+00, 1.453164262638373172e+00, 8.283470484299453318e-01, 1.655779976787108421e+00, 1.215784664945603444e+00, 1.352384903526388182e+00, 1.480149398158458363e+00
1.879000000000000000e+03, 8.309264181958924134e-01, 9.677214585187007279e-01, 1.380037193991550559e+00, 9.590240756721978288e-01, 2.035445530378088286e+00, 7.277958675309753600e-01, 9.977582480126041542e-01, 2.046680734764318110e+00, 1.682413661422378137e+00, 1.417515300819263135e+00, 1.476556427304261954e+00, 8.110376671186985131e-01, 1.744904281629490850e+00, 1.226604444342693556e+00, 1.296299088671073463e+00, 1.476631058362227522e+00
1.880000000000000000e+03, 7.820915106520569537e-01, 9.721115878373669528e-01, 1.340633595407798584e+00, 9.655236208120132613e-01, 2.046324717901944812e+00, 7.210937858762372921e-01, 9.929343622223458787e-01, 2.046863603353445527e+00, 1.694576376853190514e+00, 1.441172182533643875e+00, 1.483125714563986897e+00, 8.384715070137155335e-01, 1.770193341704220158e+00, 1.215754175295215678e+00, 1.290913759874001032e+00, 1.453681464489682718e+00
1.881000000000000000e+03, 8.643900976520221269e-01, 9.685629581665253784e-01, 1.346759599102006044e+00, 9.697735574991447338e-01, 2.036383417298113230e+00, 7.283355630305544670e-01, 9.524384992187395760e-01, 2.118373478783650121e+00, 1.654729648921005714e+00, 1.416053077814193317e+00, 1.497656314314957937e+00, 8.148976257237638965e-01, 1.680997470225321866e+00, 1.231420313026139191e+00, 1.365859409294408300e+00, 1.400851743323461962e+00
