year, TaiESM1, IPSL-CM6A-LR, UKESM1-0-LL, NorESM2-LM, CESM2-WACCM, MPI-ESM1-2-LR, NorESM2-MM, EC-Earth3-Veg
1.902000000000000000e+03, 6.017537832589444503e-12, 2.352823785643710665e-10, 7.535359723769423190e-11, 3.108913724490535964e-12, 4.703184228242378056e-11, 6.333864193840220152e-11, 3.804782678575508190e-12, 3.461723325866172397e-10
1.903000000000000000e+03, 5.998433884051784264e-12, 2.287707402566817853e-10, 8.059881727163226471e-11, 3.155604568552267095e-12, 4.595717902384743177e-11, 6.077699943508737518e-11, 3.845619643690068101e-12, 3.591315726213304432e-10
1.904000000000000000e+03, 6.025325300583751463e-12, 2.182916586325223095e-10, 7.649143749714037688e-11, 3.201119400732259267e-12, 4.607056672572692917e-11, 5.699225596498819627e-11, 3.891635799376605272e-12, 3.561842822232123955e-10
1.905000000000000000e+03, 6.041417772764267571e-12, 2.211486855973016568e-10, 8.706307389482070063e-11, 3.246705636660233471e-12, 4.438081595646684673e-11, 5.796396866593782632e-11, 3.943213441565879156e-12, 3.557367207626890860e-10
1.906000000000000000e+03, 6.047777574752866179e-12, 2.453441726917298460e-10, 8.612934150228413191e-11, 3.283962029689570864e-12, 4.729970756922147540e-11, 5.880524059335967909e-11, 3.976054578579061899e-12, 3.650009388368608407e-10
1.907000000000000000e+03, 6.049860834292014568e-12, 2.387417337951771300e-10, 8.921563247375152899e-11, 3.313600173566590144e-12, 4.917307450946145743e-11, 5.767862087530257459e-11, 4.021549012953151794e-12, 3.438004684842886351e-10
1.908000000000000000e+03, 6.059895315661438437e-12, 2.447662505126697079e-10, 8.678918053118459948e-11, 3.346517485577692766e-12, 5.068127833091244160e-11, 5.583022982307819003e-11, 4.060365689481174236e-12, 3.569498677317363774e-10
1.909000000000000000e+03, 6.061317305508765923e-12, 2.394387574035195138e-10, 8.589262852261788591e-11, 3.387505869476257520e-12, 4.776434012883770656e-11, 6.302708497362100844e-11, 4.103994681623369700e-12, 3.752455223625198746e-10
1.910000000000000000e+03, 6.101104669371249791e-12, 2.363211409285071131e-10, 9.063059032956911835e-11, 3.422970956260087172e-12, 5.215892848026495300e-11, 6.320887309375026880e-11, 4.141147242199503058e-12, 3.785874178178543934e-10
1.911000000000000000e+03, 6.108419002245610141e-12, 2.599176283234642932e-10, 8.729204835982111993e-11, 3.469271459240332283e-12, 5.024342579358191139e-11, 6.207648713901576863e-11, 4.174478006841737929e-12, 3.731952857355304482e-10
1.912000000000000000e+03, 6.067749267100557078e-12, 2.426433644404824182e-10, 8.441757740728322994e-11, 3.535257651838566310e-12, 5.368205094041067489e-11, 6.133766832617736452e-11, 4.225239035521947540e-12, 3.482632476392237368e-10
1.913000000000000000e+03, 6.065433062748972970e-12, 2.404325496689378676e-10, 9.109113166591988370e-11, 3.577728723620457431e-12, 5.132540533769867808e-11, 6.308025482895288076e-11, 4.260485484265229005e-12, 3.488619911000622196e-10
1.914000000000000000e+03, 6.092282346752880807e-12, 2.489114160069698882e-10, 9.127126657860411998e-11, 3.603693333212086216e-12, 5.563255340522681860e-11, 6.000672245862993131e-11, 4.282801396972110505e-12, 3.725224818720590907e-10
1.915000000000000000e+03, 6.117411366363052470e-12, 2.494343871927457142e-10, 9.448277235087365686e-11, 3.616153274897207024e-12, 5.700278085949808004e-11, 5.784830675730996234e-11, 4.327253469291305647e-12, 3.837922847235758018e-10
1.916000000000000000e+03, 6.133892499845976847e-12, 2.432206568473399656e-10, 9.453277725700341617e-11, 3.645940368580573502e-12, 5.646631665435151745e-11, 6.273716253825899827e-11, 4.371888571780849587e-12, 3.584108131228921336e-10
1.917000000000000000e+03, 6.159246706789322517e-12, 2.577349440884542057e-10, 9.370976868293305800e-11, 3.678430961841118188e-12, 4.865125460189113052e-11, 6.272442702856935203e-11, 4.413120692375786711e-12, 4.090815426418984845e-10
1.918000000000000000e+03, 6.139678658959254986e-12, 2.707277209249820868e-10, 9.403824072365290789e-11, 3.719579935555920940e-12, 5.200942966911876954e-11, 6.730303513698646379e-11, 4.426928781284741084e-12, 4.146100700635613129e-10
1.919000000000000000e+03, 6.150854104774676865e-12, 2.592125881215654067e-10, 9.640055539519317785e-11, 3.766461790800197310e-12, 5.423933807169795143e-11, 6.918188225373749901e-11, 4.450552826509332259e-12, 4.139935345150750999e-10
1.920000000000000000e+03, 6.197836779188820337e-12, 2.621864516666944952e-10, 9.524444797021444853e-11, 3.788398392643947616e-12, 5.610100488223579285e-11, 7.340806126155924689e-11, 4.475597028919727743e-12, 3.904521941525970835e-10
1.921000000000000000e+03, 6.101411074681548958e-12, 2.766181448920524444e-10, 9.256537809005306351e-11, 3.800923457914257202e-12, 5.783021688484494749e-11, 7.091115467657322552e-11, 4.460763117622562974e-12, 4.136572173944750272e-10
1.922000000000000000e+03, 6.741492702892248854e-12, 2.729055187026890533e-10, 1.020060797415897111e-10, 4.242678038142453501e-12, 5.825997412447624418e-11, 7.427013105764591687e-11, 5.039395397522461874e-12, 3.939392268465691489e-10
1.923000000000000000e+03, 7.415953988631770082e-12, 2.851415754143446384e-10, 9.560314027727136916e-11, 4.703151272423258617e-12, 6.038806670639984117e-11, 7.554033586188507648e-11, 5.627695249711137893e-12, 3.937833549873437367e-10
1.924000000000000000e+03, 8.076680811141106173e-12, 2.825422716888267581e-10, 9.593259639742822897e-11, 5.138499266642983721e-12, 5.456393474876977083e-11, 7.583471277835686258e-11, 6.186477651909451090e-12, 3.982634415867071035e-10
1.925000000000000000e+03, 8.701498780267330772e-12, 2.828152635439660922e-10, 1.028653343784366656e-10, 5.571915203206321294e-12, 5.443231886811891854e-11, 7.489799471772588953e-11, 6.758439736780300237e-12, 4.261763229197362343e-10
1.926000000000000000e+03, 9.411805767405852751e-12, 3.008895590555013294e-10, 1.045530516177921194e-10, 6.003470191201549808e-12, 5.515140976904549051e-11, 7.422584746823610513e-11, 7.303760866267343273e-12, 4.377829087032266263e-10
1.927000000000000000e+03, 1.013758448533858541e-11, 2.877959481838176697e-10, 1.128474863301140818e-10, 6.455832311141782046e-12, 5.790780930257490562e-11, 7.555946051578335967e-11, 7.899309561331184043e-12, 4.330845159485741440e-10
1.928000000000000000e+03, 1.085892336487892970e-11, 2.961995249795832948e-10, 1.092187332642112821e-10, 6.949236204603438036e-12, 5.911549829539732243e-11, 7.544861410946388314e-11, 8.496876297125470959e-12, 4.469423662641209851e-10
1.929000000000000000e+03, 1.153194400470875524e-11, 3.122233457030737882e-10, 1.004892326755137024e-10, 7.432869022582821392e-12, 6.210957686167215073e-11, 7.363702931015124258e-11, 9.092109117834195361e-12, 4.299301805387143592e-10
1.930000000000000000e+03, 1.219311069409927916e-11, 3.050568780447014593e-10, 1.049158257265660060e-10, 7.879041259177475428e-12, 6.061662354755122619e-11, 7.512841983067143278e-11, 9.668765814527578225e-12, 4.214522320053835226e-10
1.931000000000000000e+03, 1.291306083071857501e-11, 2.982738088726262988e-10, 1.087522823689068092e-10, 8.304225718009576215e-12, 6.121246857818548746e-11, 8.218029766139330442e-11, 1.032332471953715099e-11, 4.489801808133101999e-10
1.932000000000000000e+03, 1.363985200452876158e-11, 3.046824020031224569e-10, 1.183994205836451476e-10, 8.841802241174534016e-12, 6.321284487994676853e-11, 8.966891219059887051e-11, 1.098631497814654528e-11, 3.934412496293013591e-10
1.933000000000000000e+03, 1.444801495449162342e-11, 2.980190121383770740e-10, 1.143487975225445283e-10, 9.395292309199032941e-12, 6.556016613314178601e-11, 8.749962980136952141e-11, 1.171148869982139429e-11, 4.738141872652782281e-10
1.934000000000000000e+03, 1.524365484200265502e-11, 3.015273416168109289e-10, 1.180413602339133876e-10, 9.940270685935239242e-12, 7.362462977723180574e-11, 8.411214636713997143e-11, 1.244766054036951075e-11, 4.784646471019061913e-10
1.935000000000000000e+03, 1.607571992679123179e-11, 3.085774834569608431e-10, 1.207114099366472084e-10, 1.043203828955414863e-11, 7.275909687371472839e-11, 8.280048549163314580e-11, 1.319321481210225460e-11, 4.480829111033864603e-10
1.936000000000000000e+03, 1.689483489076424595e-11, 3.136369238946801303e-10, 1.221971721377977673e-10, 1.107829447098965451e-11, 6.709236132686428077e-11, 8.973446642928465237e-11, 1.392825423571739970e-11, 4.587631437657401563e-10
1.937000000000000000e+03, 1.780196798902812568e-11, 3.376320651632457979e-10, 1.181707033549628103e-10, 1.171189662350645541e-11, 6.885770453563134600e-11, 9.515991679515657445e-11, 1.471232333194969641e-11, 4.813338098592111157e-10
1.938000000000000000e+03, 1.868966317011936859e-11, 3.393398903183301860e-10, 1.302225605104959578e-10, 1.236483172683436966e-11, 7.004716434270714220e-11, 9.894748555377032391e-11, 1.554402570668751887e-11, 4.854399563932674931e-10
1.939000000000000000e+03, 1.947262979290439087e-11, 3.268184841026262752e-10, 1.258260434365047249e-10, 1.312637038860781755e-11, 7.422197109310854553e-11, 1.050717147345666660e-10, 1.643032371766061094e-11, 4.576867075709526716e-10
1.940000000000000000e+03, 2.033831387262245453e-11, 3.420042994819017652e-10, 1.237956128706170315e-10, 1.382030378467008442e-11, 7.416185485618488948e-11, 1.119476138313515257e-10, 1.729239867080048335e-11, 4.578820391799862496e-10
1.941000000000000000e+03, 2.124200031293699849e-11, 3.527182862665794805e-10, 1.357531148123931023e-10, 1.436237510291760217e-11, 7.705216987338666294e-11, 1.088440157901300491e-10, 1.813725692534274403e-11, 4.801141313215912239e-10
1.942000000000000000e+03, 2.239872947888737641e-11, 3.819606080505573636e-10, 1.298682911178101538e-10, 1.523461804092839146e-11, 8.310741355247143394e-11, 1.098180848100070061e-10, 1.926631313646217905e-11, 4.926403140992775755e-10
1.943000000000000000e+03, 2.353349415690877494e-11, 3.705807728043482898e-10, 1.294047145970249816e-10, 1.611100939114583700e-11, 8.411812828817347382e-11, 1.078177345044603548e-10, 2.019947844654884718e-11, 5.388842987615863701e-10
1.944000000000000000e+03, 2.476763185759638429e-11, 3.797172842364618995e-10, 1.376751561704895289e-10, 1.702660545061787977e-11, 8.378114605037013873e-11, 1.109042837847486739e-10, 2.106905034472502478e-11, 5.279968463299837375e-10
1.945000000000000000e+03, 2.595742567811702771e-11, 3.736059949926961611e-10, 1.552893398304811672e-10, 1.796285731954064282e-11, 8.225535166679151342e-11, 1.202231009521694438e-10, 2.219518008986803714e-11, 4.936401569730989695e-10
1.946000000000000000e+03, 2.722533238659150531e-11, 3.785239707020700679e-10, 1.463625353411259456e-10, 1.890899913909418082e-11, 8.680635045452943448e-11, 1.221941816027008776e-10, 2.345079728450558099e-11, 5.641662285027710220e-10
1.947000000000000000e+03, 2.857603617482506755e-11, 4.149345789339710530e-10, 1.612144098033737185e-10, 1.991970289646140907e-11, 9.483067594693989184e-11, 1.244240727917838934e-10, 2.467500102522067422e-11, 5.463559069047675330e-10
1.948000000000000000e+03, 3.010608363832095229e-11, 4.093836988252697621e-10, 1.597358537045744153e-10, 2.091525212254067792e-11, 9.495814303104651342e-11, 1.293221349790832103e-10, 2.574544600951552997e-11, 5.480619885353494856e-10
1.949000000000000000e+03, 3.182499594238309785e-11, 4.281373012329143054e-10, 1.701192218687224880e-10, 2.196931308993488609e-11, 9.462889987132304600e-11, 1.390112056390913324e-10, 2.695961626711836671e-11, 6.009020871037824581e-10
1.950000000000000000e+03, 3.510745186102553852e-11, 4.129643385542001518e-10, 1.717589718998040885e-10, 2.286346700244659386e-11, 1.005453414931882390e-10, 1.464830795381146392e-10, 2.825018277136068226e-11, 6.388141196370803376e-10
1.951000000000000000e+03, 3.622052743206465424e-11, 4.490175909601293027e-10, 1.675441085488188433e-10, 2.392762228209751004e-11, 1.005483232961516481e-10, 1.516472153416894823e-10, 2.975976004395928541e-11, 6.021418585056317020e-10
1.952000000000000000e+03, 3.770933845315803589e-11, 4.564484480480290988e-10, 1.794030953045987192e-10, 2.499782803068801377e-11, 1.004509949863439189e-10, 1.504961800142875698e-10, 3.107172721041109968e-11, 6.139473636725833412e-10
1.953000000000000000e+03, 3.909977851056937537e-11, 4.784866676571219870e-10, 1.720734111574632821e-10, 2.601513420976819528e-11, 1.139207642364866664e-10, 1.463615589975053275e-10, 3.254475086905315456e-11, 6.204946209169946417e-10
1.954000000000000000e+03, 4.058036364446964355e-11, 4.693009052393601389e-10, 1.848815676359757126e-10, 2.705758816778773406e-11, 1.121423717789638849e-10, 1.463355615731316282e-10, 3.404542625158080932e-11, 6.366536329268256806e-10
1.955000000000000000e+03, 4.194967416185583966e-11, 4.934088429961056238e-10, 2.049264972144365935e-10, 2.816507611114808997e-11, 1.171821112695138354e-10, 1.508572071445493531e-10, 3.566048907226423091e-11, 6.770615170254077339e-10
1.956000000000000000e+03, 4.360313837940447484e-11, 5.250086090705760805e-10, 2.098780576158386151e-10, 2.943471181076688792e-11, 1.166914340470886526e-10, 1.586195477425798309e-10, 3.721460699615921642e-11, 6.642702785717425247e-10
1.957000000000000000e+03, 4.533419405335710225e-11, 5.078134868726431681e-10, 2.118483557830175020e-10, 3.066836850917081660e-11, 1.201519645555551688e-10, 1.740429633764456432e-10, 3.839899669615071216e-11, 6.697766588397384124e-10
1.958000000000000000e+03, 4.611742963382985244e-11, 5.297138618724666813e-10, 2.183190130036351430e-10, 3.207427483165326607e-11, 1.206556289332907823e-10, 1.810217188920671239e-10, 3.980018834394778575e-11, 7.236252548199210946e-10
1.959000000000000000e+03, 4.747936383240042056e-11, 5.124569852451655978e-10, 2.042608933415721293e-10, 3.347272536679638684e-11, 1.390963087741272687e-10, 1.866021878648939315e-10, 4.132538500180470717e-11, 7.057025820598069751e-10
1.960000000000000000e+03, 5.358759268335807827e-11, 5.364933918175899959e-10, 2.142400537442370152e-10, 3.456416224952911300e-11, 1.377901336604342771e-10, 1.924666679075411353e-10, 4.251773557488435103e-11, 7.222628787138920911e-10
1.961000000000000000e+03, 6.748469143798484105e-11, 5.723666692314330053e-10, 2.149373324512079676e-10, 3.505504569957961706e-11, 1.201425193205779806e-10, 1.889294463564573717e-10, 4.385269834925983268e-11, 7.522276221300992062e-10
1.962000000000000000e+03, 8.214590248338936533e-11, 5.569125746218308982e-10, 2.291902955904381944e-10, 3.734059609017769755e-11, 1.365983329834578476e-10, 1.855585917073143072e-10, 4.681898507955081431e-11, 7.734120663251607293e-10
1.963000000000000000e+03, 9.202067064413779068e-11, 5.588406634541252396e-10, 2.394237903729490770e-10, 3.813348135883634717e-11, 1.474384206920640225e-10, 1.889123632155987564e-10, 4.772742880927806007e-11, 7.126047559782405284e-10
1.964000000000000000e+03, 1.077073360034146620e-10, 5.856031263345217989e-10, 2.671988194972979749e-10, 3.999473661486564057e-11, 1.358953215265068681e-10, 2.055981771896741371e-10, 4.947383790190254808e-11, 7.586343399732258111e-10
1.965000000000000000e+03, 1.338593262947516739e-10, 5.710170635546901811e-10, 2.383088532194900548e-10, 4.088424381844822717e-11, 1.453966419228738318e-10, 2.088053219591643694e-10, 4.993365317752376885e-11, 7.500404802843688696e-10
1.966000000000000000e+03, 1.657761815848267815e-10, 5.761713746346964764e-10, 2.868737498074180008e-10, 4.207768112490391450e-11, 1.562667461316118955e-10, 2.064095658397890056e-10, 5.072393676868617138e-11, 7.435795106557960477e-10
1.967000000000000000e+03, 1.694231486653432713e-10, 5.815874984300920376e-10, 2.531173756355868588e-10, 4.431143820446169250e-11, 1.469167930270959022e-10, 2.171364997258939114e-10, 5.308930530114321915e-11, 7.435157223062999991e-10
1.968000000000000000e+03, 1.635722038344950304e-10, 5.709074926792579934e-10, 2.673411485875755938e-10, 4.411882207858786804e-11, 1.423737685895550671e-10, 2.094894401791464651e-10, 5.369707212978387138e-11, 7.324139045335313261e-10
