year, TaiESM1, IPSL-CM6A-LR, UKESM1-0-LL, NorESM2-LM, CESM2-WACCM, MPI-ESM1-2-LR, NorESM2-MM, EC-Earth3-Veg
1.850000000000000000e+03, 1.058561645819513223e-11, 1.839268420954155723e-10, 5.925327594816665900e-11, 6.387858765297232106e-13, 3.056792132824723202e-11, 4.327790042579798074e-11, 8.610001107427435762e-13, 2.798216527151631613e-10
1.851000000000000000e+03, 9.977725101225658045e-12, 1.909169304161350208e-10, 5.753234174050999291e-11, 6.870326669330490922e-13, 3.061174919228093131e-11, 4.723513954652081084e-11, 9.172114460961474689e-13, 2.847892503354767197e-10
1.852000000000000000e+03, 9.376699534647033829e-12, 1.786037522434821676e-10, 5.810050291846930278e-11, 7.483271694409764031e-13, 3.099531297850947130e-11, 4.446356043147999424e-11, 9.882837219125655647e-13, 2.934898754228063890e-10
1.853000000000000000e+03, 8.879096377370577183e-12, 1.725524972377273152e-10, 6.433966377733026298e-11, 7.949207666299203875e-13, 3.522609133752636655e-11, 4.893656925220301111e-11, 1.048431553557886268e-12, 3.192370572933025045e-10
1.854000000000000000e+03, 8.474306625716601485e-12, 1.912375151160630272e-10, 6.272639003372530030e-11, 8.445163223182159510e-13, 3.585568213061444374e-11, 4.320925604685560270e-11, 1.117989621373635904e-12, 2.800231253171290985e-10
1.855000000000000000e+03, 8.056348885722127403e-12, 1.835663727890686199e-10, 5.979443129882419189e-11, 8.945940250239213211e-13, 3.390354721561802266e-11, 4.181974314104391465e-11, 1.187708530535993241e-12, 3.077402829682602046e-10
1.856000000000000000e+03, 7.675839591435362555e-12, 1.827746512812010661e-10, 5.588309590008827457e-11, 9.500494712311697196e-13, 3.432997092746168416e-11, 4.079505434057368927e-11, 1.255825381164415151e-12, 3.039453181624833136e-10
1.857000000000000000e+03, 7.373063704804840756e-12, 1.831439307350001810e-10, 5.854509875482740374e-11, 9.954633553422126966e-13, 3.721765242806238382e-11, 3.994224628525765195e-11, 1.321771492300623244e-12, 3.090212067319538431e-10
1.858000000000000000e+03, 7.137269381938735485e-12, 1.916120570690937661e-10, 5.844403534700174047e-11, 1.041823340472266338e-12, 3.659218039888549521e-11, 4.063046613369003279e-11, 1.385588452449484620e-12, 3.106414880994782452e-10
1.859000000000000000e+03, 6.845755071669271322e-12, 1.924073652208462200e-10, 5.991050288140305980e-11, 1.095673488120766646e-12, 3.455313694310659604e-11, 4.298928646465378087e-11, 1.433874031859087793e-12, 3.210071214000396375e-10
1.860000000000000000e+03, 6.643670348536851493e-12, 1.945707369738151184e-10, 5.836270882274504259e-11, 1.148115389928411762e-12, 3.429492853494887555e-11, 4.656591913359434463e-11, 1.485470236928773289e-12, 3.169668805735351391e-10
1.861000000000000000e+03, 6.443704150952752194e-12, 1.921670873370779082e-10, 5.046387019690221915e-11, 1.196608000604809527e-12, 3.459822560206566262e-11, 4.675350842577443358e-11, 1.544293580771916792e-12, 3.136181410716914123e-10
1.862000000000000000e+03, 6.283286862285098825e-12, 1.824425108287966976e-10, 5.628768139762659216e-11, 1.243319914433509789e-12, 3.610773668968708765e-11, 4.607043756896759186e-11, 1.606995631168972470e-12, 3.190473891378580351e-10
1.863000000000000000e+03, 6.142025004675877695e-12, 1.936648782680532201e-10, 6.079809438384638847e-11, 1.297574897836209108e-12, 3.553718973655599084e-11, 4.648777830937041131e-11, 1.671817740023637925e-12, 3.109865128733727365e-10
1.864000000000000000e+03, 6.009715804540284888e-12, 1.973613140337582230e-10, 6.517514067443749950e-11, 1.341983859839520488e-12, 3.692208626897150458e-11, 4.615275249400532460e-11, 1.728726989148629247e-12, 2.951307740558979582e-10
1.865000000000000000e+03, 5.918151645032782768e-12, 1.943382404581049176e-10, 6.924960857448625399e-11, 1.397225052456817564e-12, 3.836845994231841010e-11, 4.383758003773214686e-11, 1.786052064935072328e-12, 3.027646359611887478e-10
1.866000000000000000e+03, 5.864507449935890838e-12, 2.064744172626307970e-10, 6.080168184639539179e-11, 1.449273663616123158e-12, 3.847304631722026681e-11, 4.451211512297412036e-11, 1.839973446664311236e-12, 2.989021248769745927e-10
1.867000000000000000e+03, 5.798840142192927654e-12, 1.903358691487743514e-10, 5.969808852064276038e-11, 1.500877319217724218e-12, 3.717162697939806669e-11, 4.821497327426518246e-11, 1.898220234499118085e-12, 3.000767604515334976e-10
1.868000000000000000e+03, 5.719560592902319258e-12, 1.878908410344269963e-10, 6.285480363249038984e-11, 1.550229017440836419e-12, 3.383441239423143183e-11, 4.963349073119745566e-11, 1.951693615031495592e-12, 2.890929929606350394e-10
1.869000000000000000e+03, 5.655581389898526118e-12, 2.013480771382232273e-10, 6.779858303800053900e-11, 1.606100299154601385e-12, 3.293837321108189635e-11, 4.981218415887152123e-11, 2.010819751760610278e-12, 3.210544095473277283e-10
1.870000000000000000e+03, 5.621994259762078616e-12, 1.986976241696346017e-10, 5.827135328651325832e-11, 1.657983032752764527e-12, 3.602234410063029356e-11, 4.792093630768366966e-11, 2.066976493626688635e-12, 3.270689941735161928e-10
1.871000000000000000e+03, 5.483382642841446826e-12, 1.925259062954245395e-10, 6.161934942490110470e-11, 1.610263208327796394e-12, 3.675356941363255822e-11, 4.610129152256750357e-11, 2.030156184252655043e-12, 3.158642681335546078e-10
1.872000000000000000e+03, 5.470259164404237301e-12, 1.948324710634799331e-10, 5.897980149359853126e-11, 1.675805823776154899e-12, 3.997533022782613567e-11, 4.790722715953017684e-11, 2.100473521093842970e-12, 2.900684752955007014e-10
1.873000000000000000e+03, 5.479279245505823552e-12, 2.004570768728656334e-10, 6.628115513313916954e-11, 1.729131176954457541e-12, 3.866232548726242703e-11, 4.984174376825338748e-11, 2.174449584186193351e-12, 3.163539027819970497e-10
1.874000000000000000e+03, 5.460662173471004219e-12, 2.003739622115851506e-10, 6.188808549704964276e-11, 1.784624589493967885e-12, 3.508091426501923414e-11, 4.811357658834981933e-11, 2.234588775751994593e-12, 3.296685345479863771e-10
1.875000000000000000e+03, 5.423045390211759534e-12, 2.076456689120066484e-10, 6.281388076136999834e-11, 1.846721765871515716e-12, 4.043611489745501835e-11, 4.698819712676952958e-11, 2.303893204398143167e-12, 3.232164511115065795e-10
1.876000000000000000e+03, 5.456173286750754951e-12, 2.094877131228723905e-10, 6.367451652274676041e-11, 1.903899739762676073e-12, 3.881473473411804264e-11, 5.132732698593673430e-11, 2.383052453388401016e-12, 3.153222340023067355e-10
1.877000000000000000e+03, 5.497969003347040215e-12, 2.092088625017732360e-10, 6.271961841092169574e-11, 1.962829470491896083e-12, 3.968449971933725504e-11, 5.049238360933556466e-11, 2.453877851119393081e-12, 3.077689982149003508e-10
1.878000000000000000e+03, 5.534537094097654662e-12, 2.212504412964773266e-10, 6.490454678007711373e-11, 2.022430671166779895e-12, 3.854748246689110995e-11, 5.167490342102331974e-11, 2.521069177513249561e-12, 3.177006632114459507e-10
1.879000000000000000e+03, 5.543528407174625151e-12, 1.982878691090010002e-10, 6.643640907268359168e-11, 2.075553230113223237e-12, 3.987842853461176006e-11, 5.085539460291147874e-11, 2.586019932257205570e-12, 3.170759283943528580e-10
1.880000000000000000e+03, 5.540930118368169882e-12, 2.096015678646538445e-10, 6.579425817036491904e-11, 2.123966854723551562e-12, 3.962443583837164476e-11, 4.838450310844949834e-11, 2.650512523073454374e-12, 3.391936279739745660e-10
1.881000000000000000e+03, 5.620985857088610179e-12, 2.109681951427189718e-10, 6.639673373721676505e-11, 2.233995494793573158e-12, 4.230673411370507630e-11, 4.928654541780016546e-11, 2.785712225558324218e-12, 3.307359674070805417e-10
1.882000000000000000e+03, 5.646973390901184174e-12, 2.134201413432006438e-10, 6.621365169920896458e-11, 2.275477355478231403e-12, 4.039044601502216329e-11, 5.337181810524434930e-11, 2.841276289790543556e-12, 3.490054934728802033e-10
1.883000000000000000e+03, 5.721454439272970926e-12, 2.109843309460737990e-10, 6.950282883257414990e-11, 2.324858241690843975e-12, 4.189266889402822412e-11, 5.458582536359479536e-11, 2.900615046968758461e-12, 3.310090087740157745e-10
1.884000000000000000e+03, 5.725467252277784661e-12, 1.992403600144555784e-10, 6.954823521904563708e-11, 2.371920016348991612e-12, 4.248731133152665354e-11, 5.095733728385142011e-11, 2.951807597981524965e-12, 3.044548384116120333e-10
1.885000000000000000e+03, 5.770429277495338614e-12, 2.183909048307299281e-10, 7.191111151753405661e-11, 2.404116854020657031e-12, 4.063695712169730218e-11, 4.951796822252362791e-11, 2.981032348934828877e-12, 3.012980549416080840e-10
1.886000000000000000e+03, 5.816348479447304533e-12, 2.201102062662633701e-10, 7.311118055712233991e-11, 2.451587513485299171e-12, 4.069561683202384706e-11, 5.581387769372159409e-11, 3.019777073804949198e-12, 3.171642984963023248e-10
1.887000000000000000e+03, 5.855857363649817950e-12, 2.136706115136177110e-10, 7.376106020747177753e-11, 2.497534832476078692e-12, 3.945841671346954971e-11, 5.863331182590901671e-11, 3.068312265716949803e-12, 3.263403411322115253e-10
1.888000000000000000e+03, 5.874129071359343464e-12, 2.170673919690252655e-10, 7.641508519531500344e-11, 2.543556716743174655e-12, 4.013912399167257386e-11, 5.472739918203973026e-11, 3.101974337002292169e-12, 3.415257489892079336e-10
1.889000000000000000e+03, 5.951467792752820466e-12, 2.298751004730829460e-10, 7.671743826375640184e-11, 2.585432928716078905e-12, 3.999146405243750662e-11, 5.251347498326090580e-11, 3.148685299584343458e-12, 3.514086582934171632e-10
1.890000000000000000e+03, 5.988608890023680823e-12, 2.337493979590072767e-10, 7.657929584685873101e-11, 2.635363903156915845e-12, 4.065085983433121549e-11, 5.003504306336627800e-11, 3.195900948348441704e-12, 3.252723375973110527e-10
1.891000000000000000e+03, 6.017846949648441885e-12, 2.114484003299830626e-10, 7.005232795360098971e-11, 2.644181847671869475e-12, 4.082286778092546272e-11, 4.961630456157483518e-11, 3.201440288782050687e-12, 3.498876848843246796e-10
1.892000000000000000e+03, 6.071164204948514869e-12, 2.269071618556418594e-10, 7.658281629526773456e-11, 2.691474837691833208e-12, 4.383640283011223560e-11, 5.021339300747239511e-11, 3.259309313644876714e-12, 3.395023216670554091e-10
1.893000000000000000e+03, 6.041231823117478634e-12, 2.253001752590187012e-10, 7.436120262564215160e-11, 2.733218432084917703e-12, 4.129828047778590459e-11, 5.440584594597416097e-11, 3.319896059694598948e-12, 3.456029947464807012e-10
1.894000000000000000e+03, 6.020130027375767461e-12, 2.226008301063586375e-10, 7.931984846027289682e-11, 2.775990892270017252e-12, 4.229248070026331237e-11, 5.337861521435061696e-11, 3.383734136752272072e-12, 3.186853227411645185e-10
1.895000000000000000e+03, 6.018930852393132636e-12, 2.219972422855031785e-10, 7.862751632918972562e-11, 2.830116124663501317e-12, 4.606693347044709155e-11, 5.365300537383854548e-11, 3.452626419559376594e-12, 3.330644781891584199e-10
1.896000000000000000e+03, 6.023744802127243460e-12, 2.066998023320070816e-10, 7.869456138319793729e-11, 2.880571710624726916e-12, 4.519679788392113343e-11, 5.789495437812713157e-11, 3.513761257137005281e-12, 3.622638811503605063e-10
1.897000000000000000e+03, 6.025365590544859589e-12, 2.297794408208914745e-10, 8.027954183218606946e-11, 2.922476613012206903e-12, 4.460740385588669600e-11, 5.520171374634177719e-11, 3.573231481127111939e-12, 3.499083513751579647e-10
1.898000000000000000e+03, 6.046903311868374806e-12, 2.388202531916765336e-10, 8.609168185283660590e-11, 2.963839384444525751e-12, 4.378904516776248664e-11, 5.173043444323794943e-11, 3.636575833779621364e-12, 3.369141056631985323e-10
1.899000000000000000e+03, 6.051160324475644659e-12, 2.272252188821754238e-10, 7.990500946293347123e-11, 3.004174038053458975e-12, 4.969044798174965427e-11, 5.273583230942873937e-11, 3.689489620816043771e-12, 3.444540008626764503e-10
1.900000000000000000e+03, 6.024457825107114554e-12, 2.349190963873668680e-10, 8.194563803275778795e-11, 3.034515598956146295e-12, 4.832251646026175503e-11, 5.777008776534470946e-11, 3.724161250871458273e-12, 3.724739139552624326e-10
1.901000000000000000e+03, 6.016790009887813971e-12, 2.375737077433366948e-10, 7.862710249026185660e-11, 3.073009183333689552e-12, 4.770483653244116183e-11, 6.448687091133227257e-11, 3.758310230510797295e-12, 3.504836229985271971e-10
