year, UKESM1-0-LL, CESM2-WACCM, CNRM-ESM2-1, IPSL-CM6A-LR
1.850000000000000000e+03, 5.925327594816665900e-11, 2.222248376300577701e-13, 0.000000000000000000e+00, -2.056106474100008013e-10
1.851000000000000000e+03, 5.753234174050999291e-11, 9.853149943692579250e-12, 1.546826467170929139e-12, -2.303279495769626322e-10
1.852000000000000000e+03, 5.810050291846930278e-11, 1.072650227708416484e-11, 1.634458478304962184e-12, -2.186349091327417398e-10
1.853000000000000000e+03, 6.433966377733026298e-11, 1.132830459767861287e-11, 1.696624177624492099e-12, -2.133988915878545856e-10
1.854000000000000000e+03, 6.272639003372530030e-11, 1.172354046620593778e-11, 1.912595312107658975e-12, -2.329015910748925570e-10
1.855000000000000000e+03, 5.979443129882419189e-11, 1.234973127571450679e-11, 2.031530942783255951e-12, -2.259494853856485449e-10
1.856000000000000000e+03, 5.588309590008827457e-11, 1.273652671534385560e-11, 2.317635637911770058e-12, -2.259427478723097900e-10
1.857000000000000000e+03, 5.854509875482740374e-11, 1.302511284617591702e-11, 2.004771183441801860e-12, -2.267438830619361398e-10
1.858000000000000000e+03, 5.844403534700174047e-11, 1.321867792347690279e-11, 2.060727249815465490e-12, -2.355893435313089121e-10
1.859000000000000000e+03, 5.991050288140305980e-11, 1.344296671542369466e-11, 2.133853119477157415e-12, -2.369301616751838603e-10
1.860000000000000000e+03, 5.836270882274504259e-11, 1.338481727104981307e-11, 2.309913698853588573e-12, -2.395646729914536222e-10
1.861000000000000000e+03, 5.046387019690221915e-11, 1.276114961384884136e-11, 2.145287415257811035e-12, -2.348277056845019525e-10
1.862000000000000000e+03, 5.628768139762659216e-11, 1.275285678016207231e-11, 2.254552625450528507e-12, -2.250385562976426671e-10
1.863000000000000000e+03, 6.079809438384638847e-11, 1.278273054636075540e-11, 2.240941878130402236e-12, -2.362915840303502412e-10
1.864000000000000000e+03, 6.517514067443749950e-11, 1.270205848319885149e-11, 2.198297703749221490e-12, -2.401121590405220507e-10
1.865000000000000000e+03, 6.924960857448625399e-11, 1.284490600929886007e-11, 2.132924501378720185e-12, -2.374618575097347036e-10
1.866000000000000000e+03, 6.080168184639539179e-11, 1.282208178300200271e-11, 2.764144524209215496e-12, -2.496385109345563684e-10
1.867000000000000000e+03, 5.969808852064276038e-11, 1.308642807239617973e-11, 3.067680446536011516e-12, -2.334622502151834180e-10
1.868000000000000000e+03, 6.285480363249038984e-11, 1.321682512017461357e-11, 3.083199838070084090e-12, -2.309845255512258269e-10
1.869000000000000000e+03, 6.779858303800053900e-11, 1.327964072637913643e-11, 3.209878576886527595e-12, -2.445439676289799035e-10
1.870000000000000000e+03, 5.827135328651325832e-11, 1.344075632197388461e-11, 3.383867069290275686e-12, -2.420374052096981369e-10
1.871000000000000000e+03, 6.161934942490110470e-11, 1.866044204294757278e-11, 4.005968850438721054e-12, -2.408092930123542452e-10
1.872000000000000000e+03, 5.897980149359853126e-11, 1.906072000691461154e-11, 3.996298159942686313e-12, -2.433659844185180446e-10
1.873000000000000000e+03, 6.628115513313916954e-11, 1.939758962171399203e-11, 4.267769807358559536e-12, -2.493061604686848742e-10
1.874000000000000000e+03, 6.188808549704964276e-11, 1.975072009288357307e-11, 4.380456674586134030e-12, -2.495361874985724137e-10
1.875000000000000000e+03, 6.281388076136999834e-11, 1.939577627157685626e-11, 4.466481546180829416e-12, -2.570866773448487042e-10
1.876000000000000000e+03, 6.367451652274676041e-11, 1.970547073802375605e-11, 4.561259087809836667e-12, -2.591395881064407136e-10
1.877000000000000000e+03, 6.271961841092169574e-11, 1.986688323886039476e-11, 4.630564287928293020e-12, -2.591677885271191760e-10
1.878000000000000000e+03, 6.490454678007711373e-11, 2.000162082752762143e-11, 4.713533863592430756e-12, -2.715566566588058524e-10
1.879000000000000000e+03, 6.643640907268359168e-11, 2.014339242876749149e-11, 4.899107689717619918e-12, -2.489609616635062470e-10
1.880000000000000000e+03, 6.579425817036491904e-11, 2.011013710292063309e-11, 4.743051843680458388e-12, -2.606517134478154982e-10
1.881000000000000000e+03, 6.639673373721676505e-11, 1.902906649734547262e-11, 5.295053406208750312e-12, -2.608048903698381248e-10
1.882000000000000000e+03, 6.621365169920896458e-11, 1.915624315085427337e-11, 5.231568520738741965e-12, -2.632727940042814963e-10
1.883000000000000000e+03, 6.950282883257414990e-11, 1.917161962134759414e-11, 5.307447403495667371e-12, -2.609176735091108582e-10
1.884000000000000000e+03, 6.954823521904563708e-11, 1.926268976929876028e-11, 5.316649576493081732e-12, -2.492362604698537838e-10
1.885000000000000000e+03, 7.191111151753405661e-11, 1.941549355419496623e-11, 5.425533406859873594e-12, -2.684014072888778005e-10
1.886000000000000000e+03, 7.311118055712233991e-11, 1.960404776662624082e-11, 5.614685500606835537e-12, -2.700644271718152349e-10
1.887000000000000000e+03, 7.376106020747177753e-11, 1.958299339958553514e-11, 5.651201017922476858e-12, -2.636720143855244479e-10
1.888000000000000000e+03, 7.641508519531500344e-11, 1.954616396595986856e-11, 5.962979522280590251e-12, -2.671440254959141236e-10
1.889000000000000000e+03, 7.671743826375640184e-11, 1.967830301586611860e-11, 5.960730399674878857e-12, -2.796950994987945839e-10
1.890000000000000000e+03, 7.657929584685873101e-11, 1.951186984064105000e-11, 6.470181410530308286e-12, -2.835301526006932224e-10
1.891000000000000000e+03, 7.005232795360098971e-11, 2.517023787879486673e-11, 6.925441116552787829e-12, -2.668310922105760742e-10
1.892000000000000000e+03, 7.658281629526773456e-11, 2.558503279331655926e-11, 6.941920885094496656e-12, -2.823251113520312902e-10
1.893000000000000000e+03, 7.436120262564215160e-11, 2.608015454730546148e-11, 7.124544378173090633e-12, -2.811579963267509160e-10
1.894000000000000000e+03, 7.931984846027289682e-11, 2.622465862885655620e-11, 7.183176249034265372e-12, -2.788270862447376625e-10
1.895000000000000000e+03, 7.862751632918972562e-11, 2.644976414400135178e-11, 7.369508082467131316e-12, -2.784182465179774901e-10
1.896000000000000000e+03, 7.869456138319793729e-11, 2.676869662947544909e-11, 7.827327291013251722e-12, -2.634607125244084535e-10
1.897000000000000000e+03, 8.027954183218606946e-11, 2.686623896107332654e-11, 8.364383079245989278e-12, -2.865625115419652209e-10
1.898000000000000000e+03, 8.609168185283660590e-11, 2.710618691067148280e-11, 8.533573746999602764e-12, -2.959020050221289114e-10
1.899000000000000000e+03, 7.990500946293347123e-11, 2.708060588586930198e-11, 8.646259287926479408e-12, -2.846283236011894650e-10
1.900000000000000000e+03, 8.194563803275778795e-11, 2.735364164852057283e-11, 8.765531058176621701e-12, -2.924374702203507050e-10
1.901000000000000000e+03, 7.862710249026185660e-11, 3.126400988505484494e-11, 1.008890281044891233e-11, -3.002174275702549209e-10
1.902000000000000000e+03, 7.535359723769423190e-11, 3.175693945710223521e-11, 1.038153374994129021e-11, -2.981455224059908291e-10
1.903000000000000000e+03, 8.059881727163226471e-11, 3.207638459202963105e-11, 1.078593324722360758e-11, -2.919227005263890422e-10
1.904000000000000000e+03, 7.649143749714037688e-11, 3.232123833202981499e-11, 1.143401873339509184e-11, -2.817537025891263179e-10
1.905000000000000000e+03, 8.706307389482070063e-11, 3.246342296696006892e-11, 1.231427281230526824e-11, -2.846042621303829704e-10
