year, CESM2-WACCM, INM-CM5-0, CNRM-ESM2-1, UKESM1-0-LL, ACCESS-ESM1-5, NorESM2-LM, CMCC-CM2-SR5, NorESM2-MM, TaiESM1, CanESM5, MIROC-ES2L, EC-Earth3-Veg, IPSL-CM6A-LR, MPI-ESM1-2-LR, INM-CM4-8, GFDL-ESM4
1.872000000000000000e+03, 1.948765857084151953e+00, 2.231027752713206969e+00, 2.185566721347413477e+00, 2.072241556200689949e+00, 2.533816931641728054e+00, 1.926418299501686970e+00, 2.137542731195559931e+00, 1.803572255652174494e+00, 2.174532940930017144e+00, 2.166626992784883576e+00, 2.355224810636023403e+00, 2.026792239115459804e+00, 2.481421823523122683e+00, 2.169655235864190956e+00, 2.169079952311885773e+00, 2.361270190478587772e+00
1.873000000000000000e+03, 2.090974059192835632e+00, 2.242317727516060177e+00, 2.188855740113269999e+00, 2.192880467092289454e+00, 2.306756134056520580e+00, 1.958985378282666723e+00, 2.111740901081992305e+00, 1.917122958452273096e+00, 2.184523880515423677e+00, 2.119770375880702051e+00, 2.335654296859385859e+00, 2.003046914037851955e+00, 2.617861379665559873e+00, 2.070297243350242233e+00, 2.119340229613611903e+00, 2.363379204041994086e+00
1.874000000000000000e+03, 1.972032826157790186e+00, 2.132985504940324351e+00, 2.115070680152037141e+00, 2.094530509707254406e+00, 2.371493415904687208e+00, 1.915610007540049065e+00, 2.059071708689304003e+00, 1.963909523865440265e+00, 2.065534279927623729e+00, 2.177493065817464490e+00, 2.336855905456425742e+00, 2.067852260565699041e+00, 2.558262293016492439e+00, 2.121739995403183698e+00, 2.114115497533247900e+00, 2.444792911380972100e+00
1.875000000000000000e+03, 2.009139778597499149e+00, 2.180556487678730448e+00, 2.229314685333675161e+00, 2.044646476457284479e+00, 2.468097841287039795e+00, 2.102344402208455865e+00, 2.160927051856140313e+00, 2.037831257513400551e+00, 2.140404316993938405e+00, 2.179974663386419209e+00, 2.370032157438628051e+00, 2.058553311350604709e+00, 2.546712516190934306e+00, 2.174959134654976367e+00, 2.197183987839640196e+00, 2.346102854423036455e+00
1.876000000000000000e+03, 1.953420458370871859e+00, 2.142333848380222783e+00, 2.179598780067095287e+00, 2.040590570167587270e+00, 2.371080641197394812e+00, 1.973634218081593783e+00, 2.016659075989639671e+00, 1.948518236334437770e+00, 2.229566452028621359e+00, 2.134175084269519740e+00, 2.378707606924053142e+00, 2.086737253915151857e+00, 2.585756828539144347e+00, 2.142429162784404539e+00, 2.154416593007726810e+00, 2.325341187865389792e+00
1.877000000000000000e+03, 1.951369857945751241e+00, 2.287783631861176392e+00, 2.252016658341832400e+00, 2.171667296301803329e+00, 2.364854039168285293e+00, 1.948026682783366104e+00, 2.156485255439309690e+00, 2.025315135022497159e+00, 2.095492676699378443e+00, 2.188435415015611785e+00, 2.341611009674225308e+00, 2.071739502875537653e+00, 2.486019634496482222e+00, 2.146111995651127646e+00, 2.088016659747253367e+00, 2.304064987912872731e+00
1.878000000000000000e+03, 2.051064914349174817e+00, 2.319243262401943451e+00, 2.143476442046817976e+00, 2.113647865928037106e+00, 2.394427631689846958e+00, 2.018871661081531155e+00, 2.153553471178464740e+00, 1.990178544079844736e+00, 2.093045100903422107e+00, 2.191705910541096980e+00, 2.406963129820931968e+00, 2.030794178736594624e+00, 2.672149883844730400e+00, 2.105654435713444794e+00, 2.109595691235799819e+00, 2.386062301590214929e+00
1.879000000000000000e+03, 2.149786803168839189e+00, 2.266670547875761166e+00, 2.185189141945785174e+00, 2.103510596977096192e+00, 2.396760946210185761e+00, 2.063118109208954554e+00, 2.092851871164970401e+00, 1.905028712646773315e+00, 2.157130677079114989e+00, 2.084097187134279938e+00, 2.247143928574260041e+00, 1.971594425315862376e+00, 2.507908482357389612e+00, 2.126710375887408411e+00, 2.235609876306239308e+00, 2.431292570250235485e+00
1.880000000000000000e+03, 2.040675790570607440e+00, 2.176531634216724687e+00, 2.304763326482089703e+00, 2.193804441292092733e+00, 2.266508382570364688e+00, 1.950690949683337561e+00, 2.027277061925364610e+00, 1.960679310677675646e+00, 2.137923331618065692e+00, 2.151609767247687266e+00, 2.387308335569140905e+00, 2.120809552632716422e+00, 2.537924774596168831e+00, 2.246344314960660338e+00, 2.182714796525448531e+00, 2.339743684196812001e+00
1.881000000000000000e+03, 1.916778201466510678e+00, 2.141361099409669233e+00, 2.271168633217774957e+00, 2.002816918225796439e+00, 2.387725512288304763e+00, 1.883346745227340469e+00, 2.055729228318303736e+00, 2.016934451332418998e+00, 2.161820687952574538e+00, 2.210162052916051945e+00, 2.296443907248100214e+00, 2.026299629472880781e+00, 2.595823609496460627e+00, 2.134226219363441146e+00, 2.209157014564392174e+00, 2.398936177564561678e+00
1.882000000000000000e+03, 1.961175635251810379e+00, 2.201522145486800586e+00, 2.186961665706360858e+00, 2.047178407320166649e+00, 2.388661698648789411e+00, 1.932160584954258686e+00, 2.137246563936194388e+00, 1.992788766282258317e+00, 2.155695787820262055e+00, 2.130499296318435487e+00, 2.349583267216447613e+00, 2.053454056815372741e+00, 2.517644226107728755e+00, 2.073535581590879140e+00, 2.131621281778488530e+00, 2.372308091587123968e+00
1.883000000000000000e+03, 2.056751771188813471e+00, 2.179999398479881112e+00, 2.236519361075574697e+00, 2.195898425991019476e+00, 2.401898876921723769e+00, 1.948859935327242665e+00, 2.047680867806563221e+00, 1.842250715291406937e+00, 1.945795517784856266e+00, 2.104870774648092357e+00, 2.412677589275989742e+00, 2.027043938399982093e+00, 2.434311972861117557e+00, 2.090495331893491571e+00, 2.179894353291514264e+00, 2.363343521644377887e+00
1.884000000000000000e+03, 2.036121659281538321e+00, 2.187920615181053297e+00, 2.193809319228993804e+00, 2.086015480223448737e+00, 2.396057090599997608e+00, 1.881726788225740021e+00, 2.092827883506802600e+00, 1.940477404182475718e+00, 2.107847227418459202e+00, 2.231007425364189167e+00, 2.240163829435801279e+00, 2.088633120810390320e+00, 2.415740046028604482e+00, 2.091694810308274644e+00, 2.154200007414001306e+00, 2.449269012693632952e+00
