year, NorESM2-LM, MPI-ESM1-2-LR, TaiESM1, IPSL-CM6A-LR, UKESM1-0-LL, GFDL-ESM4, CNRM-ESM2-1, NorESM2-MM, INM-CM5-0, CMCC-CM2-SR5, MIROC-ES2L, INM-CM4-8, CESM2-WACCM, ACCESS-ESM1-5, EC-Earth3-Veg, CanESM5
1.850000000000000000e+03, 4.118074008441499956e+00, 8.333627950476390822e+00, 4.873968584036708407e+00, 4.356328706792162109e+00, 8.951834778093243017e+00, 7.559288932007214079e+00, 6.466234715298956992e+00, 4.563534606904177338e+00, 8.087396378011540321e+00, 6.070893654574426535e+00, 9.467164591376420191e+00, 8.393289063714188813e+00, 4.531296268083021772e+00, 5.484474097588215358e+00, 6.552044223420465663e+00, 7.207336571055244612e+00
1.851000000000000000e+03, 4.369064550884061759e+00, 8.983661105057404228e+00, 4.401386916768172952e+00, 4.445116792060686883e+00, 8.586667517693458151e+00, 7.739062664444726458e+00, 7.044831070802637818e+00, 4.653189282922319592e+00, 7.920367555132749260e+00, 6.571871279393182164e+00, 9.103062057153708864e+00, 8.039856846406593149e+00, 4.569666940535171307e+00, 5.119740330303892861e+00, 6.940758932225186584e+00, 6.746144957147610199e+00
1.852000000000000000e+03, 4.330549639433030507e+00, 8.543274210031770011e+00, 4.976046485204483893e+00, 4.696633282721302649e+00, 8.771393155858888235e+00, 7.494774533457250421e+00, 6.528772155550478296e+00, 4.501661520993986976e+00, 8.167707703145573817e+00, 6.011547332338086136e+00, 9.176534189407838937e+00, 8.631784760362267050e+00, 4.526900971292262099e+00, 5.482590209715289653e+00, 6.463206948084314618e+00, 7.165983053740973219e+00
1.853000000000000000e+03, 4.179899932834271858e+00, 9.560672397946309076e+00, 4.900593182629688016e+00, 4.814582742179436714e+00, 9.414308642856424214e+00, 8.345241244145539028e+00, 6.431719536378220248e+00, 4.487584967605446451e+00, 7.624569734156152911e+00, 6.203143886957959374e+00, 9.074115100697877523e+00, 7.823744073405494603e+00, 4.777941275336839766e+00, 5.710742948324377899e+00, 6.414510917557351810e+00, 7.389682134815780401e+00
1.854000000000000000e+03, 4.345998227626067134e+00, 9.677585097111878198e+00, 4.986878523483600389e+00, 4.620492108189792724e+00, 9.165790403545468479e+00, 7.402781662924474482e+00, 6.468923128390252408e+00, 4.762650328699074009e+00, 7.525679066210939183e+00, 6.540700882189494969e+00, 8.708503325885855517e+00, 7.848144747317889802e+00, 4.399519686644270067e+00, 5.715428938569954376e+00, 6.925994927218453334e+00, 7.445162805631837522e+00
1.855000000000000000e+03, 4.336933198541701451e+00, 9.518751822971159626e+00, 4.801425919810641929e+00, 4.718210782628807110e+00, 8.513893829077050057e+00, 8.155641283508295203e+00, 6.856470675782493807e+00, 4.769218974603525396e+00, 8.274713974524400939e+00, 5.736274714822152454e+00, 9.076733706112126043e+00, 8.305808669140615663e+00, 4.450310824946065225e+00, 5.286736073308715866e+00, 6.259228244206939351e+00, 6.677931287523433568e+00
1.856000000000000000e+03, 4.407825126196327048e+00, 9.120232742540023807e+00, 4.782504432743126976e+00, 4.638796197903565677e+00, 8.786473628464451124e+00, 7.553975340125067106e+00, 6.776430777823793328e+00, 4.372592161818130485e+00, 8.133081117754953127e+00, 6.481370088640830751e+00, 9.587107692329446706e+00, 7.628981448349711592e+00, 4.808996821565560076e+00, 5.694261679847019586e+00, 6.864949502807731641e+00, 6.803829659296795285e+00
1.857000000000000000e+03, 4.307852139751157772e+00, 9.435634068119895801e+00, 5.007828961159066949e+00, 5.018669427349662371e+00, 9.112819702958272927e+00, 7.951131906368253510e+00, 6.633135484878075694e+00, 4.453365959728842860e+00, 8.202533558665104252e+00, 6.421666345529241759e+00, 9.408548207267825703e+00, 7.849530889507869702e+00, 4.699410911200412322e+00, 5.653477994150213348e+00, 7.143398070755515583e+00, 6.768349536987811277e+00
1.858000000000000000e+03, 4.291315908157002035e+00, 9.494841949134087855e+00, 4.767638921540918950e+00, 4.749556782945802524e+00, 9.169161132005442028e+00, 7.723740796958761479e+00, 6.408434209165163153e+00, 4.758500776006353128e+00, 8.058652907179830294e+00, 6.388574472107014124e+00, 9.414266372543247385e+00, 7.999362835110465753e+00, 4.668102732615645678e+00, 5.802283391272329283e+00, 7.045912561301952870e+00, 7.119554647592295282e+00
1.859000000000000000e+03, 4.128676696396192725e+00, 9.293461759623529161e+00, 4.936649962722377438e+00, 4.879579449550003112e+00, 9.057082692998569939e+00, 7.978448766990856811e+00, 6.796218819936548527e+00, 4.638178674590752060e+00, 7.930981236374654131e+00, 6.249488906869566485e+00, 8.927108747681037570e+00, 8.258218979762741441e+00, 4.664581020434533265e+00, 5.657423244788605921e+00, 6.367863313084970223e+00, 7.623843222912564777e+00
1.860000000000000000e+03, 3.878989976926164651e+00, 8.984824757351928426e+00, 4.840548563098016288e+00, 4.593196236215525197e+00, 8.454553597798783571e+00, 7.451985826541499769e+00, 6.541979516106732007e+00, 4.539037006816991848e+00, 8.581718301890774114e+00, 6.136054006864600119e+00, 9.297680473246007438e+00, 8.171421040055198759e+00, 4.829170269441222629e+00, 5.688251745502766354e+00, 7.281786907660225516e+00, 7.347667345307615783e+00
1.861000000000000000e+03, 4.104657617033252492e+00, 9.726657133183898907e+00, 4.967165155262969201e+00, 4.985168830134334428e+00, 8.226306647624236135e+00, 7.672563481104504035e+00, 6.051178406923070519e+00, 4.500807445306936216e+00, 8.156655057449397006e+00, 5.943280660480783517e+00, 9.004279361956644578e+00, 8.070630567216923623e+00, 4.503595554765904119e+00, 6.134981252813254571e+00, 6.451599787990298651e+00, 6.892582818708003600e+00
1.862000000000000000e+03, 4.073387910601335093e+00, 9.225223296288751484e+00, 4.844271675771778085e+00, 4.591420231256465811e+00, 9.360577513797977645e+00, 7.681842145881647710e+00, 6.802108594575964062e+00, 4.526380300803332979e+00, 7.928455159276031949e+00, 6.389153296037132890e+00, 9.089949567801284047e+00, 8.162981809178480930e+00, 4.634378063068600895e+00, 6.038243606629893456e+00, 6.675734508041694326e+00, 7.273536589983265799e+00
1.863000000000000000e+03, 4.260871252893041472e+00, 8.910876312375631159e+00, 5.093642001348533732e+00, 4.730287810268404947e+00, 9.189308505511519343e+00, 7.695265376308470628e+00, 6.784780974962502320e+00, 4.485333101743629314e+00, 7.926327375597648661e+00, 6.344854462000249384e+00, 8.977508413038103541e+00, 8.123642032925566525e+00, 4.630435954175601054e+00, 6.187459498991901619e+00, 7.022672037119697563e+00, 6.955646000544907892e+00
1.864000000000000000e+03, 4.205813266920468863e+00, 9.387629678056146787e+00, 4.803956686115665065e+00, 4.746530414666143116e+00, 9.253420729087183716e+00, 7.323250707741880028e+00, 6.356604631784831483e+00, 4.618023236561371370e+00, 8.296438331865083171e+00, 6.093961202921695630e+00, 9.042875549462724649e+00, 7.430292990033884770e+00, 4.855728835387777664e+00, 6.186773565639182237e+00, 6.139810625465943694e+00, 7.335150609601365446e+00
1.865000000000000000e+03, 4.176549405492897549e+00, 9.943276218800040311e+00, 4.748282978419763545e+00, 4.846715498189433369e+00, 8.876746122631786307e+00, 8.482344398032754640e+00, 6.159603566121351292e+00, 4.784035591056775338e+00, 7.673921905083692430e+00, 5.865232713471823622e+00, 9.172458819381613893e+00, 7.970860540567285213e+00, 4.741754271641994478e+00, 5.725629734998357812e+00, 6.853207021456848125e+00, 7.623090761725012321e+00
1.866000000000000000e+03, 4.211315908253423501e+00, 9.359579998587726379e+00, 5.219685036994415661e+00, 4.724016326009242484e+00, 8.384617433313215074e+00, 7.770807951912953371e+00, 6.663101258129633386e+00, 5.079640750367046209e+00, 8.017184814139440618e+00, 5.954164772997066812e+00, 9.334128803109059902e+00, 8.304401170492003104e+00, 4.859260141050278037e+00, 6.113189002943018480e+00, 6.201920183427367839e+00, 7.825033936274446766e+00
1.867000000000000000e+03, 4.281203698071728958e+00, 9.455681538300916955e+00, 4.857599194879883342e+00, 4.685053576402977704e+00, 9.268546674026385546e+00, 7.877512311571999604e+00, 6.488193898780565405e+00, 4.909303866207652689e+00, 8.010242827217316730e+00, 6.023585711105309493e+00, 9.136679376011207054e+00, 8.362229420750777464e+00, 4.439882365538942111e+00, 5.848324823372603731e+00, 6.453349680596064175e+00, 7.799257857535693894e+00
1.868000000000000000e+03, 4.500953301870391776e+00, 9.196375001018367357e+00, 4.354664964831592933e+00, 4.835421953963121133e+00, 8.497426036459941656e+00, 7.847231419505837913e+00, 6.633771651781055212e+00, 4.659458022124686849e+00, 8.225312009538832569e+00, 6.113972715287795623e+00, 9.194547456942656183e+00, 8.305187706277937565e+00, 4.845704937745035856e+00, 5.983374340003432046e+00, 6.726326052073542172e+00, 7.218996730428663078e+00
1.869000000000000000e+03, 4.394794332617436794e+00, 8.467991185608505944e+00, 4.588569317383049295e+00, 4.700339518398386929e+00, 8.469102142220096496e+00, 7.319735826916809351e+00, 6.875291389964856670e+00, 4.759744589003654269e+00, 7.964633171765333586e+00, 6.738922630900056276e+00, 9.720766788636314715e+00, 7.687705151137460113e+00, 4.364594920228689112e+00, 6.227723885977294316e+00, 6.908123191106874117e+00, 7.029252459582767010e+00
1.870000000000000000e+03, 4.076454661576789817e+00, 8.821865525747307757e+00, 5.084799326069366465e+00, 4.966215255226288150e+00, 7.990834829098758085e+00, 7.788070526752288281e+00, 7.246553262820057739e+00, 4.676060475412850082e+00, 8.518303896879439563e+00, 6.498580497723254190e+00, 9.234438467198705425e+00, 8.006445203727327709e+00, 4.787125289548231244e+00, 5.795038824745357253e+00, 6.850845057082144862e+00, 7.409645836573943711e+00
1.871000000000000000e+03, 4.301083346816967357e+00, 9.518655559678061095e+00, 4.801066253723920596e+00, 5.142067787032990722e+00, 8.781520249101465225e+00, 8.168049674147518147e+00, 6.772247491604783676e+00, 4.590003169988922771e+00, 8.385551829595726758e+00, 6.317115455011220959e+00, 9.592277055425489252e+00, 7.644397793588311174e+00, 4.703462473576111691e+00, 6.385051728793556869e+00, 6.896081367993568634e+00, 7.318455864028910796e+00
1.872000000000000000e+03, 4.450973250043603002e+00, 9.414496317309852813e+00, 4.951259929847591224e+00, 5.123668670367393041e+00, 8.218543249087986169e+00, 8.118740090573909995e+00, 6.667592194228596725e+00, 4.509415991245913524e+00, 8.195225622899787510e+00, 6.366263536105676302e+00, 9.278265053854559241e+00, 8.067396354523127755e+00, 4.536109029172902041e+00, 6.267840080137056624e+00, 6.738506448951738115e+00, 7.315121547104458166e+00
1.873000000000000000e+03, 4.179393709031985260e+00, 8.588468265847534866e+00, 5.112470199048210873e+00, 5.150130795996234134e+00, 9.341884501580834055e+00, 7.344691734560255370e+00, 6.931116504232142539e+00, 4.556246533553673927e+00, 8.268959516422498268e+00, 6.553652527818643492e+00, 8.799838877349960953e+00, 7.971967681150861296e+00, 4.779815329110260080e+00, 6.325044426391736252e+00, 7.059886481292338090e+00, 7.440101307691049826e+00
1.874000000000000000e+03, 4.061747524141446242e+00, 8.838383996396803610e+00, 4.666740420658871180e+00, 5.040097331110876766e+00, 9.165600306170853528e+00, 7.784355365867036802e+00, 6.388834586169975793e+00, 4.675737575133441126e+00, 7.863747989751262324e+00, 6.040720137761647734e+00, 9.366041384620743315e+00, 8.078378990732437259e+00, 4.595149718594363719e+00, 6.140541119949337379e+00, 6.818929233664819733e+00, 7.702076142050780838e+00
1.875000000000000000e+03, 4.385840625874549481e+00, 8.918990316786723938e+00, 4.633550294443190332e+00, 4.933933483809624931e+00, 8.357726234298260337e+00, 7.809340693557996538e+00, 6.525744832613276536e+00, 4.825044916009525231e+00, 7.925754907309255692e+00, 6.608382720604770277e+00, 9.746346414168897354e+00, 8.125667306528029599e+00, 4.602685454816380251e+00, 6.108720608099083904e+00, 6.808076053209003220e+00, 7.886637816734478612e+00
