year, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, NorESM2-MM, NorESM2-LM
1.850000000000000000e+03, 7.552878700315422660e-10, 2.657424306822883205e-10, 5.660025098834886365e-10, 1.241063404428692741e-10, 6.444840059694004753e-11
1.851000000000000000e+03, 6.416070705966287256e-10, 3.170155864099768509e-10, 3.926458417918518376e-10, 1.404475333828461302e-10, 1.074597612802790166e-10
1.852000000000000000e+03, 8.190998372234425478e-10, 2.141409929874829685e-10, 5.175981032773520035e-10, 2.627257959029135628e-10, 9.765187107045542631e-11
1.853000000000000000e+03, 6.519164542618880098e-10, 2.076146994331385480e-10, 6.019666407366312857e-10, 1.736021904842024866e-10, 1.181720372189861900e-10
1.854000000000000000e+03, 9.598085430561529080e-10, 2.189550324450341691e-10, 4.974685792735980293e-10, 1.255208393011150651e-10, 1.309480883223030470e-10
1.855000000000000000e+03, 6.608251692944516156e-10, 2.538743068040176060e-10, 4.502789186955953352e-10, 1.814869406630746249e-10, 1.119303579089763036e-10
1.856000000000000000e+03, 7.610390861772093764e-10, 2.637603556836508761e-10, 4.331542489837984935e-10, 1.968536535650982384e-10, 8.635145407446673134e-11
1.857000000000000000e+03, 4.968625573718739077e-10, 2.101758893301538031e-10, 5.099773828955205497e-10, 1.675225451422040014e-10, 1.441414560332177831e-10
1.858000000000000000e+03, 8.137438454674373754e-10, 2.606587715650256241e-10, 5.616475257657169118e-10, 1.345684282337493803e-10, 1.046874030601109915e-10
1.859000000000000000e+03, 6.847393206411155625e-10, 2.180646110420089105e-10, 6.243635771131888034e-10, 1.345825401577628670e-10, 1.080323183428115578e-10
1.860000000000000000e+03, 8.625438705711573298e-10, 2.309023442700916676e-10, 6.187799021037221056e-10, 1.728533694638385066e-10, 1.954916086448717497e-10
1.861000000000000000e+03, 5.629838121731929643e-10, 2.278678576605998347e-10, 5.549718720456193651e-10, 1.559640415019418004e-10, 9.213520252993514702e-11
1.862000000000000000e+03, 6.444546917112350503e-10, 2.544664118178190773e-10, 4.517599296512559467e-10, 2.139685072408288109e-10, 1.071649925555466818e-10
1.863000000000000000e+03, 6.545199655153975033e-10, 2.330581304796381585e-10, 4.164573588076234930e-10, 1.624680688341521215e-10, 8.165946653307329612e-11
1.864000000000000000e+03, 6.409612160646953531e-10, 2.404034827482132970e-10, 5.264664221280246124e-10, 9.858206831081263884e-11, 1.356542751867528357e-10
1.865000000000000000e+03, 3.827112634324079685e-10, 2.639559780535030020e-10, 5.876828919109511335e-10, 1.039825580649781673e-10, 1.035289590802793553e-10
1.866000000000000000e+03, 7.836505259143639391e-10, 2.007429173035097761e-10, 4.665223809433232967e-10, 1.209315682667962659e-10, 7.642220546579220708e-11
