year, CESM2-WACCM, GFDL-ESM4, CMCC-ESM2, CNRM-ESM2-1, CanESM5, MPI-ESM1-2-LR, MIROC-ES2L, UKESM1-0-LL
1.850000000000000000e+03, -2.538395014992523182e-10, -3.830140189532201745e-10, 4.202932014019971985e-10, -2.269997715051757130e-10, -3.634850607636050307e-10, -7.900299267202480090e-10, -1.058584568590614432e-10, 1.264450015850197044e-10
1.851000000000000000e+03, -2.225648655781844515e-10, -1.240106140072354642e-12, -4.115390307347728837e-10, -1.979427816228038122e-11, -4.520367987043224717e-10, -1.417925058698227820e-10, -5.291411238729538439e-10, -2.007254613440911581e-10
1.852000000000000000e+03, -2.368353864465740738e-10, -5.655977888451101464e-10, 4.166143384730315889e-10, -3.891522578107639200e-10, -5.473737639674416741e-10, -4.047274582870875337e-10, -2.541717441454913874e-10, 1.105758962218890444e-10
1.853000000000000000e+03, -6.634515674390672885e-11, 2.908385470233158647e-10, 6.874554374356159994e-10, -4.621063559807314586e-10, 3.436906146120197522e-10, 1.145886144621369967e-10, -7.795739111211237130e-11, 1.246278358246078589e-10
1.854000000000000000e+03, -9.932714127943938738e-11, -1.070979299047360430e-09, 3.054396650936104543e-11, -4.557189574782963964e-10, 3.049074122626344093e-10, 3.536226901957426287e-10, -6.858812174461618214e-10, -3.610663653304505529e-10
1.855000000000000000e+03, -2.379163210931510641e-10, 2.950911096223967484e-10, -1.749611543539021066e-10, 2.044654619762018040e-10, -3.747211231746620636e-10, 2.080915867832559778e-10, -2.961778438164969875e-10, -1.915878542745655660e-10
1.856000000000000000e+03, -1.190267410359078077e-10, -6.688959149594577447e-10, -5.135293291731111210e-11, -1.781748798276246494e-10, -2.897286274879049943e-10, -2.542579658819983799e-10, 1.772920666781805231e-10, -1.934798188020614883e-10
1.857000000000000000e+03, -1.025059292306682697e-10, 1.192409563616192489e-10, 2.484705120636871759e-10, -2.665292544863506689e-10, -3.360205941096105952e-10, 3.288431404858202621e-11, -2.710188218300552876e-11, -8.535776877105152949e-11
1.858000000000000000e+03, -1.761305143158762776e-10, -5.015174022102188827e-10, 6.442414274904724722e-10, -4.803096235431409191e-10, -3.684616577184785917e-10, -7.426417428377253216e-11, -1.217876448133902618e-11, 2.812525726055498101e-11
1.859000000000000000e+03, -1.482716031933914896e-10, -7.088050685049020009e-11, 8.734803106818812739e-10, -2.020577978898409781e-10, 1.421353934133889488e-10, -2.688233285023615369e-10, -3.633729989515319600e-10, -3.172158367320996048e-11
1.860000000000000000e+03, -8.922598723117408050e-12, -8.185933087396712471e-10, -3.416488096406226738e-10, -4.669204273087445394e-10, 5.500475714616143641e-12, -3.063198742500295057e-10, 8.925550506935452584e-11, -8.231196794853908749e-11
1.861000000000000000e+03, -2.364326020850900219e-10, -3.324908899399689733e-11, 1.668485180274516705e-11, -6.790207434108034513e-10, -3.426656179640873412e-10, 1.156251127931494859e-10, -4.983200752623057084e-10, -5.345790326511120533e-10
1.862000000000000000e+03, -6.487353382627405679e-11, -9.515722249856612779e-11, 8.624460849376920906e-11, -6.633554926808740428e-12, -1.579963378944481508e-10, 2.346997912418226494e-10, -1.762594604084941425e-10, 5.059379735658305192e-10
1.863000000000000000e+03, -6.865326289302334858e-11, -1.935162317675326410e-10, 1.324111064294410935e-10, 2.060221837326375810e-11, -3.936925243366806518e-10, -3.543240223693371574e-10, -4.199148849232342752e-10, 2.869322172823974885e-10
1.864000000000000000e+03, 5.309505202611152918e-11, -6.326976085081508140e-10, 5.195340172392227531e-10, -2.714088808480767678e-10, 2.715583139617510454e-11, -2.715741055503502065e-10, -3.658838246293482374e-10, 3.907701464497929049e-10
1.865000000000000000e+03, -5.856358207974776139e-11, 8.737771441668121491e-10, 1.063094543335712791e-09, -3.931806425776524578e-10, 3.392216670467268693e-10, 3.767065419138222732e-10, -6.027295499137800772e-10, 2.907079675024975845e-10
1.866000000000000000e+03, 4.242388959130555977e-11, -2.076555771746322087e-10, 4.731118895051129103e-10, -2.665783712292369850e-11, 3.347890787838237718e-10, 1.723817685232073147e-10, -2.985711471547406311e-10, -5.544602744881364504e-10
1.867000000000000000e+03, -2.189585053515992672e-10, -1.933579631946715921e-10, -1.502729958248106548e-10, -2.570695217478139757e-10, 2.917126674818942687e-10, -3.137909211137533784e-11, -1.492358110700847759e-10, 3.653059856311192189e-10
1.868000000000000000e+03, -8.428873163879708926e-11, -1.282431390962315564e-11, 6.730845881903913887e-11, 1.267294817837831915e-10, -8.171765704462935508e-11, -2.891945671166597811e-10, -1.586722751461917991e-10, -2.948631706411036563e-10
1.869000000000000000e+03, -4.487925482600037070e-10, -9.567593256239279685e-10, 9.479333862348507218e-10, 1.788022566783575879e-11, -8.007173551496162740e-11, -8.991488982013546976e-10, 3.170037741136383422e-10, -5.467425199104190000e-10
1.870000000000000000e+03, 7.494536239810258522e-11, 1.741004174420664126e-10, 1.235152238591982592e-10, 5.800192057613592702e-10, -4.147737788772695549e-10, -4.879784881986478482e-10, -1.954557927834335021e-10, -5.098753235937991210e-10
1.871000000000000000e+03, -1.660344042337093130e-10, 1.547514156489442365e-10, -5.305543838313055517e-10, -3.405367032848325201e-10, -3.028442015571073314e-10, 4.027810320929550986e-10, -1.574852148400160326e-10, 7.459804854740956028e-11
1.872000000000000000e+03, -2.316880397494398156e-10, -2.827724691400417230e-10, 2.027998007217842585e-10, -2.124259505331083518e-10, -2.441426476502472799e-10, -1.519756669990439225e-10, -5.102626467307189388e-10, -6.118922598863085538e-10
1.873000000000000000e+03, -1.813619035414932388e-10, -9.715884206053935811e-10, -2.938493847629520849e-10, 4.905794722292312862e-12, -1.122218715309034151e-10, -7.023242909506996605e-10, -9.331411654943564950e-10, 1.848192498090390303e-10
1.874000000000000000e+03, -1.347013447610459049e-10, -9.170336644781748438e-11, 6.100693991985729926e-10, -4.776639851710177835e-10, 4.146489685224180098e-11, -3.451740050195891496e-10, -1.152544674310855539e-10, 2.187679264427197455e-10
1.875000000000000000e+03, -2.531091976678916188e-10, -2.846450862347427047e-10, 1.346875894661982176e-09, -4.841584612933251941e-10, 1.817195492359220551e-10, -4.443921992749604054e-10, 1.077109009685741859e-10, -7.932055456851637314e-10
1.876000000000000000e+03, -2.350114878736148973e-10, -9.626496218331949261e-10, 2.346872645120255909e-10, -2.054541418367480984e-10, 3.078565487426102739e-12, 3.542264576194477899e-10, 4.486647632270621199e-11, -1.014887403175565496e-10
1.877000000000000000e+03, -1.840069608526956667e-10, -9.411578645761553285e-10, 5.039697355372085985e-11, 6.894913416618451028e-11, -1.334712740688917156e-10, 5.829620704332372306e-11, -5.702202425684746484e-10, -2.087150005838327229e-10
1.878000000000000000e+03, -2.463606427543811369e-11, -2.904190846895329296e-10, 7.212166381178546803e-10, -1.672697968961758958e-10, -1.592020358391394426e-10, -1.651886222664968037e-10, -2.118485619102633445e-10, 3.146950495208710187e-10
1.879000000000000000e+03, 3.709516303377258822e-11, 5.949950937538227056e-12, 9.309116678705413230e-10, -1.386003078740489191e-10, -2.458128053223297304e-10, -4.973458583226975489e-10, -8.703977858123376528e-11, 8.408793120373358170e-11
1.880000000000000000e+03, -1.982582032850227599e-10, -4.403198320300080360e-10, 8.533479952966482850e-10, -2.763794820127888629e-10, -1.017903411141330638e-10, 6.374876089355044141e-10, -5.004183312166619332e-10, -3.546059983554234897e-10
