year, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1, UKESM1-0-LL
1.889000000000000000e+03, -7.863893105586746196e-10, 9.741864553503068024e-11, 3.073221377695435117e-10, 3.552210333967871766e-10
1.890000000000000000e+03, -8.075749121030813622e-10, 9.938080453202841328e-11, 3.014482512676880881e-10, 3.588092352950730870e-10
1.891000000000000000e+03, -8.364220564490401555e-10, 1.370982142871084582e-10, 4.126208749796475185e-10, 3.562466499549744938e-10
1.892000000000000000e+03, -8.267233592174732758e-10, 1.406726523423469429e-10, 4.221181369640243020e-10, 3.788745507584535446e-10
1.893000000000000000e+03, -8.920363493429985920e-10, 1.435737769650431963e-10, 4.315397428830224996e-10, 3.102109674226943627e-10
1.894000000000000000e+03, -8.912781971833629456e-10, 1.471418007528079770e-10, 4.427860287148672032e-10, 3.549215599604513282e-10
1.895000000000000000e+03, -9.013300907065753182e-10, 1.503530330007825024e-10, 4.503139893137864829e-10, 3.715785428701387606e-10
1.896000000000000000e+03, -9.143971606514959606e-10, 1.527892664703340427e-10, 4.604561210096646835e-10, 3.780823960606470358e-10
1.897000000000000000e+03, -9.404115621394503178e-10, 1.549083036111869726e-10, 4.682175840354589720e-10, 3.589259884116799382e-10
1.898000000000000000e+03, -9.510958488883623912e-10, 1.567454570718651765e-10, 4.807222793883429436e-10, 3.428436917024009537e-10
1.899000000000000000e+03, -9.557215986084778727e-10, 1.589788269564115154e-10, 4.859051167598594104e-10, 3.701207701461592752e-10
1.900000000000000000e+03, -1.001751551990913365e-09, 1.608108893410945182e-10, 4.925403052222323607e-10, 3.523603631419700892e-10
1.901000000000000000e+03, -9.779973658673829152e-10, 1.294356264581976133e-10, 3.104304372438007270e-10, 4.100096306488223465e-10
1.902000000000000000e+03, -1.018948815489241429e-09, 1.302067509639456274e-10, 3.050335446350446083e-10, 3.915035958584807969e-10
1.903000000000000000e+03, -9.816676232187009308e-10, 1.310276102068937836e-10, 3.009779967080847351e-10, 3.896529522981360468e-10
1.904000000000000000e+03, -1.021944304519895001e-09, 1.328998418191852203e-10, 2.947170530846736353e-10, 4.352035335143468996e-10
1.905000000000000000e+03, -9.902033923869952571e-10, 1.339826560954961347e-10, 2.872191538696741603e-10, 3.623289748687009109e-10
1.906000000000000000e+03, -1.037496892303100974e-09, 1.354628976214351017e-10, 2.789694112446431347e-10, 3.918795283325461812e-10
1.907000000000000000e+03, -1.027959253501566379e-09, 1.373522063748075197e-10, 2.710949004596288034e-10, 3.909218062556077027e-10
1.908000000000000000e+03, -1.065513072783423885e-09, 1.385841393917305265e-10, 2.652768259562449926e-10, 4.300417991535159395e-10
1.909000000000000000e+03, -1.034842188792394630e-09, 1.403934145344482818e-10, 2.575564872438482773e-10, 4.557783756758481271e-10
1.910000000000000000e+03, -1.048415176521392456e-09, 1.431455614274988389e-10, 2.502828203309366488e-10, 4.331202388202278957e-10
1.911000000000000000e+03, -1.053736961930539694e-09, 1.289563876422513600e-10, 1.785631930371227575e-10, 3.621710272729286113e-10
1.912000000000000000e+03, -1.054540550155990474e-09, 1.302631426583030719e-10, 1.741627783975643124e-10, 4.245036287917858982e-10
1.913000000000000000e+03, -1.048399044566587142e-09, 1.316456089815357494e-10, 1.714717995563951952e-10, 4.682519441467215194e-10
1.914000000000000000e+03, -1.044578036742040881e-09, 1.333820810482242307e-10, 1.676057258516311773e-10, 4.348568932990552802e-10
1.915000000000000000e+03, -1.124957173757497316e-09, 1.353034901982163328e-10, 1.630859887593685914e-10, 4.250167221142738683e-10
1.916000000000000000e+03, -1.068947099639519053e-09, 1.368381256648812747e-10, 1.593788728997211903e-10, 4.219432596280726490e-10
1.917000000000000000e+03, -1.142665376361628333e-09, 1.393120264460700714e-10, 1.564538793365093613e-10, 3.922320351691280534e-10
1.918000000000000000e+03, -1.116461934280228507e-09, 1.413245768308360672e-10, 1.547440189604479974e-10, 4.274838524678458911e-10
1.919000000000000000e+03, -1.121502064068552755e-09, 1.428597866795466616e-10, 1.527464349564965613e-10, 4.654111872546326547e-10
1.920000000000000000e+03, -1.106895713607793830e-09, 1.448793749671254927e-10, 1.502064782230287407e-10, 4.537903963339171357e-10
1.921000000000000000e+03, -1.142734708035206716e-09, 1.551762328485009830e-10, 2.083014270463834262e-10, 4.180737988384683891e-10
1.922000000000000000e+03, -1.102617145192763547e-09, 1.581844639423144227e-10, 2.134461625321336032e-10, 4.723995661594505531e-10
1.923000000000000000e+03, -1.171388607468140803e-09, 1.609342179904415650e-10, 2.192309089586304260e-10, 4.478039508680718335e-10
1.924000000000000000e+03, -1.226392714174424467e-09, 1.620097634325093133e-10, 2.275941268063979612e-10, 4.978732394031080386e-10
1.925000000000000000e+03, -1.161116803955457987e-09, 1.627884939977374646e-10, 2.325608143460519018e-10, 4.496027903815997150e-10
1.926000000000000000e+03, -1.204649996144621357e-09, 1.635938783589763300e-10, 2.389991740345366033e-10, 4.428650520735175944e-10
1.927000000000000000e+03, -1.179987029211460282e-09, 1.642242962638951475e-10, 2.469737893057949312e-10, 4.778238839435326226e-10
1.928000000000000000e+03, -1.246764959787882677e-09, 1.650081901669210760e-10, 2.541483452263621270e-10, 4.364939030027381172e-10
1.929000000000000000e+03, -1.204740648177289445e-09, 1.652304830277851344e-10, 2.633557619222989235e-10, 4.550725031302278672e-10
1.930000000000000000e+03, -1.198324194158875425e-09, 1.661095995144441893e-10, 2.704486034394476445e-10, 4.928542102168539247e-10
1.931000000000000000e+03, -1.242170535752454840e-09, 1.820260559330016937e-10, 2.535542352478513983e-10, 4.408074888131668788e-10
1.932000000000000000e+03, -1.248416302671927977e-09, 1.829181675445354095e-10, 2.574415692673367730e-10, 4.134762181753972166e-10
1.933000000000000000e+03, -1.199119988272119839e-09, 1.832967521323912543e-10, 2.640139139432157301e-10, 4.269173107937453217e-10
1.934000000000000000e+03, -1.183583886759413575e-09, 1.831748182024296574e-10, 2.638825711640729695e-10, 4.322992738538462624e-10
1.935000000000000000e+03, -1.144259741137696787e-09, 1.829732527792644494e-10, 2.673304529535426601e-10, 4.337939902605932724e-10
1.936000000000000000e+03, -1.135023248520868382e-09, 1.824083600355353205e-10, 2.676025024583317773e-10, 4.459286381499096651e-10
1.937000000000000000e+03, -1.250207209030563706e-09, 1.814134655512971895e-10, 2.711095733237099341e-10, 4.571225846804416277e-10
1.938000000000000000e+03, -1.240708754172794247e-09, 1.797580131994304199e-10, 2.709693306685293454e-10, 4.293185475886672108e-10
1.939000000000000000e+03, -1.217614483837194906e-09, 1.791582263899936111e-10, 2.711210987405185449e-10, 4.600113900586644092e-10
1.940000000000000000e+03, -1.154991707810460494e-09, 1.791030801911929514e-10, 2.713720187721098006e-10, 4.820172995557886294e-10
1.941000000000000000e+03, -1.290066238007298612e-09, 2.022087171974970693e-10, 2.858114939798323700e-10, 4.681705641062831313e-10
1.942000000000000000e+03, -1.244216160246319008e-09, 2.028912240266378707e-10, 2.903037556923337305e-10, 4.596655048972080851e-10
1.943000000000000000e+03, -1.298988622626632557e-09, 2.034222519851675028e-10, 2.939336789113070039e-10, 5.145844446712101261e-10
1.944000000000000000e+03, -1.262265312880219132e-09, 2.032230503822400190e-10, 2.971645233922541047e-10, 5.213131055692212461e-10
1.945000000000000000e+03, -1.313186760462784115e-09, 2.038328380724432685e-10, 2.994361063144407317e-10, 4.957521873114348154e-10
1.946000000000000000e+03, -1.343796452968744557e-09, 2.035107743452680031e-10, 3.016971556969728150e-10, 5.263904011370698728e-10
1.947000000000000000e+03, -1.376134068924568235e-09, 2.035051822434776158e-10, 3.046188124058529523e-10, 4.941589232261889791e-10
1.948000000000000000e+03, -1.359202873607515375e-09, 2.017767528787442207e-10, 3.040457464377851449e-10, 4.819743925653757188e-10
1.949000000000000000e+03, -1.377128798198413457e-09, 1.998410164834148932e-10, 3.088638983010991406e-10, 4.340025078012021073e-10
1.950000000000000000e+03, -1.292108273199479337e-09, 1.926451427050954511e-10, 3.094897218381500318e-10, 4.221588408335219037e-10
1.951000000000000000e+03, -1.345836409856654057e-09, 1.965847039119188705e-10, 1.901363318885511428e-10, 4.749770940078925312e-10
1.952000000000000000e+03, -1.427258863738033303e-09, 1.914269756856180052e-10, 1.904053475289633391e-10, 5.023015373163663036e-10
1.953000000000000000e+03, -1.380005105562348488e-09, 1.883466672023430824e-10, 1.896892723909580368e-10, 5.055928746792056012e-10
1.954000000000000000e+03, -1.299855103321120839e-09, 1.881895590370145835e-10, 1.874715870413672943e-10, 5.454306035245624432e-10
1.955000000000000000e+03, -1.375663590241409612e-09, 1.886814930776769808e-10, 1.872509552137068045e-10, 5.561720406300627927e-10
1.956000000000000000e+03, -1.383486829486717978e-09, 1.919845942432879528e-10, 1.897875277106222809e-10, 5.262447301682549604e-10
1.957000000000000000e+03, -1.407062079398560761e-09, 1.945756485462119769e-10, 1.896033855379512818e-10, 5.247570243294999461e-10
1.958000000000000000e+03, -1.356390347235776441e-09, 1.944127043859422217e-10, 1.910702666229487410e-10, 5.285679984924450830e-10
1.959000000000000000e+03, -1.310869466155733276e-09, 1.942677562651675202e-10, 1.923106868183958523e-10, 4.945156768978554156e-10
1.960000000000000000e+03, -1.422298694105779932e-09, 1.954145544297597799e-10, 1.892454044764538894e-10, 5.445820748874715230e-10
1.961000000000000000e+03, -1.322813385169740138e-09, 1.368098592324861097e-10, 1.164652607413651380e-10, 5.553705417637183719e-10
1.962000000000000000e+03, -1.328975414808030448e-09, 1.318846313895501167e-10, 1.141244540355919290e-10, 6.215972781774050091e-10
1.963000000000000000e+03, -1.389475654455743099e-09, 1.278475328584216735e-10, 1.115360952824299744e-10, 6.514349871003348978e-10
1.964000000000000000e+03, -1.326559782333397584e-09, 1.244590827506143735e-10, 1.091315913125289297e-10, 5.291356984429061874e-10
1.965000000000000000e+03, -1.311273223035745853e-09, 1.229951749955652538e-10, 1.060588836432554926e-10, 5.922493255171770890e-10
1.966000000000000000e+03, -1.357959805502747134e-09, 1.217624476588943604e-10, 1.018176578082229787e-10, 6.608869850780862534e-10
1.967000000000000000e+03, -1.390194357487793872e-09, 1.215653398984218313e-10, 9.835853234630645548e-11, 5.714801847425851906e-10
1.968000000000000000e+03, -1.314701792319006359e-09, 1.214707958816207243e-10, 9.381024563629613915e-11, 5.839869731698990156e-10
1.969000000000000000e+03, -1.424516773015200969e-09, 1.216926893716939346e-10, 8.983618659795584201e-11, 6.721122294510420785e-10
1.970000000000000000e+03, -1.375671720388880640e-09, 1.221076553031174943e-10, 8.694976517440359493e-11, 5.890259568690834100e-10
1.971000000000000000e+03, -1.398171961685498770e-09, 1.288254488174638433e-10, 6.594069201823198416e-11, 5.749222000313781599e-10
1.972000000000000000e+03, -1.431121450172877401e-09, 1.299470123509427050e-10, 6.455438556253672938e-11, 5.893652555523918953e-10
1.973000000000000000e+03, -1.461781667361981323e-09, 1.310519511831686237e-10, 6.307456565185754939e-11, 6.033647050360524017e-10
1.974000000000000000e+03, -1.397361869652856986e-09, 1.332622244521842061e-10, 6.178909443110724626e-11, 5.490304893925264437e-10
1.975000000000000000e+03, -1.409283474384613802e-09, 1.348082595998072293e-10, 6.071307949006086933e-11, 5.487459070024751709e-10
1.976000000000000000e+03, -1.326978129767349503e-09, 1.341443453274648901e-10, 5.924490558339851916e-11, 6.532361318059598952e-10
1.977000000000000000e+03, -1.315194383056349185e-09, 1.356594653954691779e-10, 5.795420271948647239e-11, 6.510099941960749368e-10
1.978000000000000000e+03, -1.414702208021335592e-09, 1.373431650871892559e-10, 5.673994847652490696e-11, 5.308141856450055395e-10
