year, EC-Earth3-Veg, CMCC-ESM2, CNRM-ESM2-1, TaiESM1, NorESM2-LM, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL, IPSL-CM6A-LR, MPI-ESM1-2-LR
1.938000000000000000e+03, 3.250303728299507848e-10, 1.707571860455049934e-10, 2.709693306685293454e-10, 1.592563931273323124e-10, 3.168978058613958580e-10, 1.790767619460694222e-10, 2.865417239584540395e-10, 5.133117498882733461e-12, 6.454519559716521806e-11, 7.260432023995276489e-11
1.939000000000000000e+03, 3.295621526017493892e-10, 1.679215962461083244e-10, 2.711210987405185449e-10, 1.567480301660957361e-10, 3.133598387446484741e-10, 1.784708738365108594e-10, 2.930074256945288740e-10, 5.181530729081204987e-12, 6.441939307197090496e-11, 7.234979052291081514e-11
1.940000000000000000e+03, 3.312827423339911925e-10, 1.711815171615294912e-10, 2.713720187721098006e-10, 1.740441107895490727e-10, 3.229359132270390911e-10, 1.783982439813023255e-10, 2.869723543487407879e-10, 5.722436354438719742e-12, 6.460403023760690892e-11, 8.369323489420835319e-11
1.941000000000000000e+03, 3.384780125268780871e-10, 1.703198661990213354e-10, 2.858114939798323700e-10, 1.733931149254359009e-10, 3.366174894898377613e-10, 2.010958513327899839e-10, 3.185871986176963274e-10, 6.297038852336799102e-12, 1.078810016279350297e-10, 9.091480851104401750e-11
1.942000000000000000e+03, 3.385358647629669355e-10, 1.682404987946796737e-10, 2.903037556923337305e-10, 1.712167213596256296e-10, 3.072907793114513852e-10, 2.017851757458434989e-10, 3.514860789125083935e-10, 6.916169973635027982e-12, 1.091934611996308264e-10, 9.189436250673525357e-11
1.943000000000000000e+03, 3.478444170269540112e-10, 1.669395891281463384e-10, 2.939336789113070039e-10, 1.697534391635066817e-10, 2.937408714007864329e-10, 2.023214739834345613e-10, 3.419267463217177832e-10, 7.558737684465531179e-12, 1.104218559622629900e-10, 9.248475775667875495e-11
1.944000000000000000e+03, 3.569431640002718853e-10, 1.672123743021650943e-10, 2.971645233922541047e-10, 1.680301823094800898e-10, 2.836980457480243288e-10, 2.021353541017149418e-10, 3.359841991188422922e-10, 8.187829381359478753e-12, 1.114880986191721357e-10, 9.418578090258757997e-11
1.945000000000000000e+03, 3.605291683404771875e-10, 1.668387748247789638e-10, 2.994361063144407317e-10, 1.659151196600725647e-10, 3.203164779534909764e-10, 2.027381174654733308e-10, 3.328002488403343011e-10, 9.166570438500993996e-12, 1.127771583788381979e-10, 9.510995627515951969e-11
1.946000000000000000e+03, 3.668273614948888059e-10, 1.645338300591207959e-10, 3.016971556969728150e-10, 1.641177634796133091e-10, 3.605680963261876770e-10, 2.024199392775218429e-10, 3.399483092787150170e-10, 1.063470251510843303e-11, 1.140870384834336371e-10, 9.580580482704378954e-11
1.947000000000000000e+03, 3.671393749682981925e-10, 1.635688170565477396e-10, 3.046188124058529523e-10, 1.623901221236578925e-10, 3.495396049480669778e-10, 2.024087952273234087e-10, 3.495819098033501399e-10, 1.277609569608794784e-11, 1.151444415055433098e-10, 9.589726755737637744e-11
