year, ACCESS-ESM1-5, CNRM-ESM2-1, MPI-ESM1-2-LR, UKESM1-0-LL, CESM2-WACCM, CMCC-CM2-SR5, EC-Earth3-Veg, IPSL-CM6A-LR, MIROC-ES2L
1.850000000000000000e+03, 0.000000000000000000e+00, 0.000000000000000000e+00, 9.752530378906679176e-02, 3.996887395035658447e-04, 1.049809388599183893e-02, 1.098499250304210521e-02, 0.000000000000000000e+00, 2.846502082855575152e-03, 6.010352313310870498e-01
1.851000000000000000e+03, 9.878850906150608846e-02, 4.848429178557795566e-02, 1.269223153006721339e-01, 8.627523603110219541e-04, 3.210568343544409342e-02, 3.096401179895934969e-02, 2.579599517740815192e-03, 3.466466846988060235e-02, 6.758496824251701840e-01
1.852000000000000000e+03, 1.820319327095847040e-01, 9.227995155013619943e-02, 1.485935990933917039e-01, 9.153878650196663929e-04, 5.157748822881609574e-02, 4.834211908417048592e-02, 5.302202598157823403e-03, 6.281383984242217000e-02, 7.308702417048635880e-01
1.853000000000000000e+03, 2.579558523302666329e-01, 1.309254963044716724e-01, 1.676054445586859787e-01, 1.117588428141610794e-03, 6.807325686027967948e-02, 6.342976553555162988e-02, 8.115597818958443163e-03, 8.830843495149233446e-02, 7.738564396898828246e-01
1.854000000000000000e+03, 3.295837394407158949e-01, 1.651648823302214741e-01, 1.842786883453986779e-01, 1.199785436617957371e-03, 8.099093786533025086e-02, 7.691101765705163351e-02, 1.100455345596965118e-02, 1.114165885897563935e-01, 8.087597935507753188e-01
1.855000000000000000e+03, 3.974329435082361028e-01, 1.947056079797851447e-01, 2.013303104111783814e-01, 1.226014781396663617e-03, 9.231849320905601008e-02, 8.917920365222949119e-02, 1.401755626695220559e-02, 1.322371509159476766e-01, 8.374556125052025068e-01
1.856000000000000000e+03, 4.615603140382738556e-01, 2.200565150885976928e-01, 2.150323260464708230e-01, 1.186032722391563727e-03, 1.051806307952257158e-01, 9.993572798354222186e-02, 1.709615959009472275e-02, 1.503440552113619599e-01, 8.617953808953697781e-01
1.857000000000000000e+03, 5.231096954813715394e-01, 2.411324861229339200e-01, 2.270822609291051897e-01, 1.158988028356479176e-03, 1.157540041096459110e-01, 1.098926447308236493e-01, 2.026095562503606867e-02, 1.660604824431630711e-01, 8.850528708388664123e-01
1.858000000000000000e+03, 5.824430698039898546e-01, 2.580277229514792992e-01, 2.422650934152023872e-01, 1.169321559592026655e-03, 1.239113683693103679e-01, 1.194319926610186711e-01, 2.353231169101956816e-02, 1.793532141452960083e-01, 9.082138345850769845e-01
1.859000000000000000e+03, 6.396447066958032002e-01, 2.707558672610424488e-01, 2.536335416073930982e-01, 1.304231546607603027e-03, 1.338635038121896992e-01, 1.284388631696907201e-01, 2.687687173091291015e-02, 1.899950338232884450e-01, 9.300937146614811635e-01
1.860000000000000000e+03, 6.942814520529663191e-01, 2.765600000877204701e-01, 2.581410735220281971e-01, 1.181073803663399650e-03, 1.427067647829663444e-01, 1.305420738483502596e-01, 3.028140814866813954e-02, 1.980825349779395117e-01, 8.950648508248203461e-01
