year, CESM2-WACCM, INM-CM5-0, CMCC-CM2-SR5, MIROC-ES2L, INM-CM4-8, CNRM-ESM2-1, EC-Earth3-Veg, CanESM5, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, NorESM2-LM, GFDL-ESM4, MPI-ESM1-2-LR, UKESM1-0-LL, IPSL-CM6A-LR
1.850000000000000000e+03, -1.919727147656738186e-01, 5.911549786803379364e-02, -1.550978135899805099e-01, -8.040254132325592995e-02, 5.286928413696152518e-01, -1.846739310856298777e-01, -3.544073947869371688e-01, -2.776363629565096747e-01, 2.636583991561704254e-02, -3.385768734037428174e-01, 1.313830501574461962e-01, -2.192134384387706969e-01, -2.925529290258389592e-01, -6.025685453819130677e-01, 9.510963617391171576e-02, -3.573772975878173885e-01
1.851000000000000000e+03, -1.683204592041289693e-01, -5.114853801668780564e-01, 3.041462822909574704e-01, -4.018978959297712650e-01, 1.374871272555852897e-01, -1.904719393501579094e-02, 3.338875684710690406e-01, -3.452737574719554892e-01, 4.060953175141800327e-03, -5.576937430922458416e-01, -4.449328189187439220e-01, 3.363317862355163623e-03, -9.472151556557129861e-04, -1.110760579131035569e-01, -1.509820503773780243e-01, -3.526535350780929945e-01
1.852000000000000000e+03, -1.791129111906966664e-01, 8.916272781087368482e-02, -4.870436020959704182e-01, -1.930507468956419448e-01, 7.749565826439026583e-01, -2.889599447066988902e-01, -5.049733222193610871e-01, -4.180938294588419368e-01, -1.046216420232710248e-01, -1.250044393226036610e-01, -7.836160521842727017e-03, -6.480398285004472514e-02, -4.320136642240880454e-01, -3.105406156053359124e-01, 8.317318302374117345e-02, -4.807950153606214277e-02
1.853000000000000000e+03, -5.017524765238100953e-02, -8.189222846574936154e-01, -2.564447820044036264e-01, -5.921087975701303657e-02, -3.347735817437140771e-01, -3.685943618262144117e-01, -9.107900095220213821e-01, 2.625170124535772809e-01, -5.387695958622681219e-02, 1.874219306572939446e-03, 1.388773427614874989e-01, -1.030746408694055150e-01, 2.221476619519827111e-01, 8.892346467580627967e-02, 9.374279705671456631e-02, -3.371965292591843494e-02
1.854000000000000000e+03, -7.511872994039806017e-02, -8.013996718318711077e-01, 3.945082654228366237e-01, -5.209465031403354152e-01, -9.000655265028890961e-02, -3.560364813535228379e-01, -1.410426109125659522e-01, 2.328937117834776749e-01, -6.924634682462321722e-03, -1.602086706939484795e-01, 1.528538973380278720e-01, -7.049695277272247096e-02, -8.180330623893238284e-01, 2.694183605524052560e-01, -2.715875693838759597e-01, -1.612356301908472456e-01
1.855000000000000000e+03, -1.799303960871058150e-01, 4.006911452022664522e-01, -1.163356321637275315e+00, -2.249555872346944707e-01, 4.748027415161479858e-01, 1.661452633473506080e-01, -2.335909522125161064e-01, -2.862186675365238631e-01, 1.055114422367817301e-01, -4.325531739203103410e-01, -1.807522717148027647e-01, 7.510031630993130314e-02, 2.253958450018538062e-01, 1.569658251373778068e-01, -1.441089081179871834e-01, -1.289633033908280380e-01
1.856000000000000000e+03, -9.001706381952281899e-02, 2.913292949450071306e-02, -8.424990876567554909e-03, 1.346584216351880137e-01, -3.025903446693217758e-01, -1.430455870392101647e-01, -1.360235432339856887e-01, -2.212998856435466066e-01, -2.322713612900217106e-01, 3.902836267956023147e-02, -9.600543417698965964e-02, 3.938986623503888673e-02, -5.109146126547090550e-01, -1.942581928114456846e-01, -1.455320095107543177e-01, -1.944738383702067641e-01
1.857000000000000000e+03, -7.752277087594024174e-02, -9.324088327398147996e-03, 9.091859947707590234e-03, -2.058465867359362406e-02, -3.459700149105391365e-01, -1.940363947390531252e-01, 3.914847229688704910e-01, -2.566585141933814818e-01, -2.382446299599919604e-01, -1.531303595348789716e-02, 1.690560532203860544e-01, -7.042026197590051106e-02, 9.107836610986970449e-02, 2.596127385883816724e-02, -6.420456507308390515e-02, 1.371151375264124117e-01
1.858000000000000000e+03, -1.332032752451365043e-01, -2.780691641443937545e-01, -1.496786531333313963e-01, -9.250121752490321828e-03, -2.219307449094944928e-01, -3.790755303374709895e-01, -1.970198407069256585e-01, -2.814375763421407273e-01, -5.112748157012861339e-03, 1.375957894562570560e-01, -2.317734589163578107e-01, -1.210558509271822403e-01, -3.830679236624733863e-01, -6.031349978134305234e-02, 2.115530825115641625e-02, -1.544861237735809245e-01
1.859000000000000000e+03, -1.121342502627706988e-01, -3.451701902761430962e-01, -3.092449856550055221e-01, -2.759922393621695447e-01, 2.898753445757824010e-01, -1.680547890861282534e-01, -3.570336308733819686e-01, 1.085655448721461885e-01, -3.576219033120686674e-02, -5.398542715475743853e-02, -1.306742827733749779e-01, -2.092723811294952274e-01, -5.413979349011661946e-02, -2.043163926331038605e-01, -2.386039973269084291e-02, -1.128502298959687261e-01
