year, IPSL-CM6A-LR, CMCC-ESM2, ACCESS-ESM1-5, MIROC-ES2L, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, CNRM-ESM2-1
1.850000000000000000e+03, 2.536293051820794490e-10, 2.544438129153152019e-12, 0.000000000000000000e+00, 3.580091738923808955e-10, 3.055602407697159995e-11, 4.812951769752242217e-13, 1.332867946923009911e-10, 0.000000000000000000e+00
1.851000000000000000e+03, 3.576013145275571902e-10, 6.983246516595415805e-12, 4.194409364824131924e-11, 3.882321833177924386e-10, 3.752626219025491992e-11, 1.057809699999044119e-12, 1.616055804612642721e-10, 0.000000000000000000e+00
1.852000000000000000e+03, 3.466427795842013607e-10, 1.064679175865406648e-11, 6.005809331276358274e-11, 4.045956509294028044e-10, 4.625100939868150934e-11, 1.080880948866315122e-12, 1.710789835802056328e-10, 1.012178920338782823e-11
1.853000000000000000e+03, 3.643393667642376105e-10, 1.364347837817735726e-11, 6.964738164341071053e-11, 4.181283016552265165e-10, 5.241736318946090610e-11, 1.286315447988626648e-12, 1.785794836770952925e-10, 2.031499854005540258e-11
1.854000000000000000e+03, 3.697117847031342859e-10, 1.612747432266635730e-11, 7.604345094992316915e-11, 4.296620302169350318e-10, 5.281591759289041536e-11, 1.344159050959982538e-12, 1.851762387571106989e-10, 3.043526457928232486e-11
1.855000000000000000e+03, 3.801343250110431640e-10, 1.822988654635994528e-11, 8.082566995100672731e-11, 4.387173756998687807e-10, 5.237638362471949519e-11, 1.335455427212362636e-12, 1.949968544974363367e-10, 4.059066355932569467e-11
1.856000000000000000e+03, 4.008275899414346483e-10, 2.006871301922567928e-11, 8.456963326013815667e-11, 4.459053209541642630e-10, 5.964806744476904193e-11, 1.236744296807791369e-12, 2.011356589836475936e-10, 5.072611655946845008e-11
1.857000000000000000e+03, 4.238702841613249200e-10, 2.170955781993488654e-11, 8.801853571488965313e-11, 4.557196773031692864e-10, 6.245145701741024795e-11, 1.159030112971028088e-12, 2.054755132222167067e-10, 6.092748462872370969e-11
1.858000000000000000e+03, 4.177964500361239598e-10, 2.319311584813084652e-11, 9.125784712778448432e-11, 4.664263346730895586e-10, 5.986735673273176786e-11, 1.135728388056310594e-12, 2.156176333087269379e-10, 7.115196341822459555e-11
1.859000000000000000e+03, 4.339317884092614044e-10, 2.454206063483618207e-11, 9.423844978564084823e-11, 4.746626778376979101e-10, 6.428610154366329100e-11, 1.273847271293225669e-12, 2.206848213558627334e-10, 8.138915213395825982e-11
1.860000000000000000e+03, 4.499813886456348179e-10, 2.420924466361035044e-11, 9.673112857807638932e-11, 4.088067590244288195e-10, 6.660117257049974701e-11, 1.109631232216578209e-12, 2.143018479620404553e-10, 9.159823111021114620e-11
1.861000000000000000e+03, 4.064051576023889671e-10, 2.267787323802425806e-11, 7.204485367545147464e-11, 4.003429474181064658e-10, 6.506181568872323157e-11, 7.648866734169008939e-13, 2.092110330240000920e-10, 9.251846230911780679e-11
1.862000000000000000e+03, 3.996509553242856381e-10, 2.161162661602576379e-11, 6.240988180738064550e-11, 3.984519518665972161e-10, 6.724443847204603071e-11, 7.390869265835200276e-13, 2.021912272383967282e-10, 8.696053681123607482e-11
1.863000000000000000e+03, 4.144767732160693128e-10, 2.092898532207775567e-11, 5.851794072208011198e-11, 3.970052680603677861e-10, 7.502231347615417709e-11, 8.145311446771765882e-13, 2.020864222930172673e-10, 8.142932141397232073e-11
1.864000000000000000e+03, 4.045598715800355696e-10, 2.054339577168691938e-11, 5.610286046834270481e-11, 3.967341825261916437e-10, 7.937129510460444360e-11, 7.565401140387245559e-13, 2.104131005615787143e-10, 7.589047208438742502e-11
1.865000000000000000e+03, 4.018932449124434235e-10, 2.041446362456923389e-11, 5.457297855291667190e-11, 3.972495230763830088e-10, 7.215562930252303656e-11, 7.683400187206459393e-13, 2.151928998219579318e-10, 7.036616862517061818e-11
1.866000000000000000e+03, 4.032253719666973503e-10, 2.043671407771057070e-11, 5.365346217183887387e-11, 3.997081519864803805e-10, 7.091210371429246611e-11, 7.266867045018428582e-13, 2.189456435638923349e-10, 6.480178143574140088e-11
1.867000000000000000e+03, 4.003844779753594573e-10, 2.061620065052828216e-11, 5.300873491562541234e-11, 4.016148320908190230e-10, 6.837381186067698290e-11, 6.750197470338584016e-13, 2.251041270322856747e-10, 5.924035147378516627e-11
1.868000000000000000e+03, 4.217572779658633338e-10, 2.095191625150249816e-11, 5.243457981222943319e-11, 4.045625399784975847e-10, 6.900075602379936051e-11, 7.155743022867073887e-13, 2.235510431806371503e-10, 5.366330218100343394e-11
1.869000000000000000e+03, 4.040226175074087917e-10, 2.141258055670716365e-11, 5.183434796306195855e-11, 4.111952253590181144e-10, 6.692079923640890649e-11, 6.747951650039143336e-13, 2.284838406138835766e-10, 4.810880983668708257e-11
1.870000000000000000e+03, 4.252341194713330910e-10, 2.457846946616631537e-11, 5.127950791362012965e-11, 5.848468838372279544e-10, 6.504036562260842957e-11, 8.640468342361207261e-13, 2.680242354364260917e-10, 4.252040653815071143e-11
1.871000000000000000e+03, 5.410745777101746462e-10, 2.979975975677016483e-11, 9.618042647133810934e-11, 6.278387425970672745e-10, 7.480192315241303752e-11, 1.484273758323343193e-12, 2.967907222985017791e-10, 4.284646617033573442e-11
1.872000000000000000e+03, 5.361868044116791850e-10, 3.422203563066925737e-11, 1.162204245420382071e-10, 6.551866750812461593e-10, 8.321683905275432455e-11, 4.271213659734765128e-12, 3.142232840962976114e-10, 5.565039824378246970e-11
1.873000000000000000e+03, 5.597048744554095589e-10, 3.806415011699663943e-11, 1.263481084039251679e-10, 6.760999663094889701e-10, 8.167621362601702206e-11, 9.123026985950317139e-12, 3.158014500755970519e-10, 6.859713348064651069e-11
1.874000000000000000e+03, 5.775047230896446539e-10, 4.148856474594679944e-11, 1.332431729289146957e-10, 6.957000827415207039e-10, 8.621864893398169688e-11, 1.366631226736988838e-11, 3.194872389782826468e-10, 8.185653966093858461e-11
1.875000000000000000e+03, 5.722698211272939958e-10, 4.448765946701849548e-11, 1.387703947670770851e-10, 7.185687663591611548e-10, 9.134978600742384822e-11, 1.838761496272697372e-11, 3.276649676820838925e-10, 9.554326766550039990e-11
1.876000000000000000e+03, 5.908908376171181990e-10, 4.707622541029213601e-11, 1.430701724939584500e-10, 7.397482320280918987e-10, 9.911727987541829837e-11, 2.145161690330709117e-11, 3.401977199379927328e-10, 1.092429455527103653e-10
1.877000000000000000e+03, 6.158301860533310985e-10, 4.941121318719131145e-11, 1.467240077184961673e-10, 7.610062176100680595e-10, 1.031432721337907972e-10, 2.477693940327533927e-11, 3.534662196337520165e-10, 1.229656411059405370e-10
1.878000000000000000e+03, 6.556692268452956370e-10, 5.150663146912327581e-11, 1.500695097545924630e-10, 7.778794460259741529e-10, 1.118240623648823708e-10, 3.130901155556653069e-11, 3.629779978668327273e-10, 1.370934862242665496e-10
1.879000000000000000e+03, 6.576671331937953198e-10, 5.341794505820529176e-11, 1.525667647370693038e-10, 7.920014782175133899e-10, 1.243528060229595805e-10, 4.022446979122250828e-11, 3.653819188109851576e-10, 1.514508214403469173e-10
1.880000000000000000e+03, 6.753836976156311418e-10, 5.356535481386875178e-11, 1.551295580870468283e-10, 7.213463847919882931e-10, 1.174820713489466885e-10, 3.284333558781262415e-11, 3.676202231107580871e-10, 1.659160175355773215e-10
1.881000000000000000e+03, 6.445970185045927880e-10, 5.237750225076592584e-11, 1.251118174909577790e-10, 7.186195243938344986e-10, 1.089222873685254603e-10, 1.850707346423246779e-11, 3.783542101127790241e-10, 1.691475338365583297e-10
1.882000000000000000e+03, 6.635064059188571729e-10, 5.172729535670191069e-11, 1.131274754403011808e-10, 7.239267584092306030e-10, 1.114276552855579147e-10, 1.286842139921590044e-11, 3.816152904516648399e-10, 1.637737311860654727e-10
1.883000000000000000e+03, 6.743119232964552510e-10, 5.151027684569339552e-11, 1.083536426365489966e-10, 7.355296042039992790e-10, 1.148905831502486703e-10, 1.138193441657772120e-11, 3.835489970959054324e-10, 1.581686221121711204e-10
