year, MPI-ESM1-2-LR, IPSL-CM6A-LR, UKESM1-0-LL, CESM2-WACCM, NorESM2-MM, TaiESM1, EC-Earth3-Veg, NorESM2-LM
1.850000000000000000e+03, 9.037212809213982394e-11, 2.470148906445666635e-10, 1.612165922523000232e-10, 3.047565656501797075e-11, 5.180438281199275314e-13, 3.183232125098587290e-14, 9.611895946822531436e-11, 3.383402570478768374e-13
1.851000000000000000e+03, 8.968705972297679778e-11, 2.819734387606531034e-10, 1.734249955663161543e-10, 3.259652214388679899e-11, 9.732038570449574624e-13, 3.330978403660530680e-13, 9.971517933609794061e-11, 7.139103862722859089e-13
1.852000000000000000e+03, 9.241940696520821735e-11, 2.673622832655788477e-10, 1.726748325291010971e-10, 3.736286642468074410e-11, 1.373109854215826872e-12, 6.514428174962550183e-13, 1.080596655476320876e-10, 1.085241167124320694e-12
1.853000000000000000e+03, 9.649250999172772452e-11, 2.817409835168114929e-10, 2.014187530254484037e-10, 4.026845011845159541e-11, 1.829447125127885840e-12, 9.943932035201690768e-13, 1.142413651326563288e-10, 1.489750655220544206e-12
1.854000000000000000e+03, 1.007455316095758112e-10, 2.833161433695795545e-10, 2.054266925177840039e-10, 3.795190389974350869e-11, 2.317340934456799734e-12, 1.360607639272152516e-12, 1.249258500684839345e-10, 1.922706362191410250e-12
1.855000000000000000e+03, 1.072978929928332157e-10, 2.900266966711427980e-10, 1.970844716183675091e-10, 3.522848063817855924e-11, 2.837089517511205253e-12, 1.750166445710522227e-12, 1.315853096363042218e-10, 2.383286378305175796e-12
1.856000000000000000e+03, 1.109433516876894712e-10, 3.071291665763178777e-10, 2.076792552757123167e-10, 4.055685043097310376e-11, 3.390538961116694731e-12, 2.159906569491367562e-12, 1.301760178380427909e-10, 2.872051982238920068e-12
1.857000000000000000e+03, 1.143852500740629376e-10, 3.267351792391197073e-10, 2.231554127351128474e-10, 4.168189517099083447e-11, 3.976026880051597843e-12, 2.596099736375031605e-12, 1.412871783719303857e-10, 3.390025501883276263e-12
1.858000000000000000e+03, 1.228764605276646310e-10, 3.170141561184164050e-10, 2.287771622488993577e-10, 3.762628782661202837e-11, 4.597191292867293135e-12, 3.056909737248653413e-12, 1.473758070634663652e-10, 3.938840629932919213e-12
1.859000000000000000e+03, 1.268567058071740278e-10, 3.298551383441941019e-10, 2.423983128745631911e-10, 4.074832793939993322e-11, 5.250298893706676740e-12, 3.539178028895575128e-12, 1.456021135427760058e-10, 4.517524805291927010e-12
1.860000000000000000e+03, 1.307346819254625987e-10, 3.423794211831048100e-10, 2.188719912735732453e-10, 4.190026793132369638e-11, 5.938795184547268689e-12, 4.052302632453619800e-12, 1.497191596212196583e-10, 5.128074096073768565e-12
1.861000000000000000e+03, 1.330896706772351073e-10, 3.384486575335483992e-10, 2.010351101897784897e-10, 4.236643843466838393e-11, 6.625946406049182317e-12, 4.600222415168103520e-12, 1.523524220497722700e-10, 5.759002056224738854e-12
1.862000000000000000e+03, 1.279962558990376506e-10, 3.337285600058804171e-10, 2.380144402006468406e-10, 4.601532837770180639e-11, 7.339932508400722341e-12, 5.164325157932657728e-12, 1.527725968778931483e-10, 6.406921634092794653e-12
1.863000000000000000e+03, 1.282948957777699533e-10, 3.507800811997670042e-10, 2.284114961627481736e-10, 5.482090952690217799e-11, 8.100376315980444979e-12, 5.743682562327298060e-12, 1.643742251343550432e-10, 7.082515991182753593e-12
1.864000000000000000e+03, 1.370688130188698036e-10, 3.431148097818860589e-10, 2.268800932717619618e-10, 5.984136110614149052e-11, 8.891904986276473210e-12, 6.347363994645042350e-12, 1.549336349532976021e-10, 7.786721349688324703e-12
1.865000000000000000e+03, 1.419335462898261856e-10, 3.424155581753894575e-10, 2.404772947954263199e-10, 5.300586088574439981e-11, 9.715894891458334393e-12, 6.976309180182058857e-12, 1.689341783346725194e-10, 8.516665377012259067e-12
1.866000000000000000e+03, 1.455111997080364099e-10, 3.457555180226796519e-10, 2.211929882523468329e-10, 5.190473449398583400e-11, 1.057263146391468765e-11, 7.629819487598935329e-12, 1.601024707918879816e-10, 9.280316296734298279e-12
1.867000000000000000e+03, 1.511806380426731960e-10, 3.450412787026301724e-10, 2.396325479987357850e-10, 4.931348731930739937e-11, 1.146197514978511684e-11, 8.330556223286731883e-12, 1.577994941116875734e-10, 1.007010273521109799e-11
1.868000000000000000e+03, 1.500929007004081679e-10, 3.685636231773329919e-10, 2.357859617543181067e-10, 4.972745937795802077e-11, 1.234573975335001778e-11, 9.045787574296903935e-12, 1.660589940111981325e-10, 1.088622742457842696e-11
1.869000000000000000e+03, 1.545568263814241446e-10, 3.530447926167205616e-10, 2.213149043712606534e-10, 4.729852634466258309e-11, 1.328360006414730929e-11, 9.744755251750324127e-12, 1.650069248316218379e-10, 1.173572577293486777e-11
1.870000000000000000e+03, 1.581346159719037796e-10, 3.764663801719195617e-10, 2.062585334088594472e-10, 4.495577126129257189e-11, 1.427260269543865421e-11, 1.043313674295998804e-11, 1.689116038280987986e-10, 1.261765527522448126e-11
1.871000000000000000e+03, 1.622030879379427053e-10, 4.174996809803420748e-10, 2.594903183560064282e-10, 4.915393373873085696e-11, 1.527515866752194693e-11, 1.111729479944743540e-11, 1.821925875373812134e-10, 1.355612939562594442e-11
1.872000000000000000e+03, 1.729486663472257868e-10, 4.084762507395835440e-10, 2.487051789665144902e-10, 5.289723943392852105e-11, 1.646634207856409334e-11, 1.198740378982076321e-11, 1.869598269347025985e-10, 1.465984637223577919e-11
1.873000000000000000e+03, 1.719231826102894882e-10, 4.279529622056598963e-10, 2.715668641296418700e-10, 4.737677643232138040e-11, 1.769253566131783165e-11, 1.289396169925112315e-11, 2.010001837783521794e-10, 1.582346862966873808e-11
1.874000000000000000e+03, 1.749455272877752663e-10, 4.420065175821430706e-10, 2.744700313179867955e-10, 4.846731730085219714e-11, 1.898153815224502923e-11, 1.385419424563658873e-11, 1.958987435734261526e-10, 1.704019778753157500e-11
1.875000000000000000e+03, 1.811082157474286585e-10, 4.333831786966628529e-10, 2.686855208816356478e-10, 5.056687487167932158e-11, 2.037344553032697290e-11, 1.480965455129272599e-11, 2.314152226240111813e-10, 1.830169805025253600e-11
1.876000000000000000e+03, 1.919958937104323508e-10, 4.484707402225366498e-10, 2.635739354578058541e-10, 5.563532260294071346e-11, 2.182293404820461186e-11, 1.578019099374051731e-11, 2.392908984951632359e-10, 1.963579705540503229e-11
1.877000000000000000e+03, 2.031867428271049172e-10, 4.699954015365906742e-10, 2.788926980872871995e-10, 5.722045423868155785e-11, 2.333313542909459720e-11, 1.680917472639222803e-11, 2.515845808019533159e-10, 2.102863651883896287e-11
