year, MPI-ESM1-2-LR, IPSL-CM6A-LR, UKESM1-0-LL, CESM2-WACCM, NorESM2-MM, TaiESM1, EC-Earth3-Veg, NorESM2-LM
1.878000000000000000e+03, 2.109245144398403549e-10, 5.061560131299059032e-10, 2.588848034767837020e-10, 6.366619740085352800e-11, 2.468109076679564084e-11, 1.786107403405471223e-11, 2.731010737196591381e-10, 2.250171228408505104e-11
1.879000000000000000e+03, 2.137423682807036894e-10, 5.046246453427906487e-10, 3.015206349209206491e-10, 7.412233961283032574e-11, 2.620567414132255360e-11, 1.894478295360215313e-11, 2.699029575544777640e-10, 2.403794600571792020e-11
1.880000000000000000e+03, 2.254742412968830674e-10, 5.187638921081110826e-10, 3.284021727871809611e-10, 6.534039602416584881e-11, 2.785757298471654827e-11, 2.009639086626350442e-11, 2.881142983982323932e-10, 2.566077357881894099e-11
1.881000000000000000e+03, 2.406197702769969910e-10, 5.210223627194800239e-10, 2.821097472716674243e-10, 5.740221527566216802e-11, 2.925579833796281972e-11, 2.129889214853366602e-11, 2.820582158047375644e-10, 2.716790411921970322e-11
1.882000000000000000e+03, 2.443558990552819936e-10, 5.419481404755255183e-10, 2.764474257866747338e-10, 6.007799026804125092e-11, 3.087614015763131370e-11, 2.256360572331846518e-11, 2.983435129485948408e-10, 2.884385635984294740e-11
1.883000000000000000e+03, 2.479820868211504482e-10, 5.549592786795362392e-10, 3.513325151592963238e-10, 6.335298515373661299e-11, 3.266005082637353304e-11, 2.383338156725705761e-11, 2.986398305870881643e-10, 3.058640599444461062e-11
1.884000000000000000e+03, 2.488186761712459401e-10, 5.380063186276364658e-10, 3.738907885513243085e-10, 6.217927239712299357e-11, 3.451865593509551272e-11, 2.510853841609779810e-11, 3.073870195398807033e-10, 3.238123455612645418e-11
1.885000000000000000e+03, 2.633418210419103237e-10, 5.420228101676281119e-10, 3.983032566750848739e-10, 7.164400013480997325e-11, 3.651178264026987290e-11, 2.643670905304699067e-11, 2.977547752568549375e-10, 3.432286002020338949e-11
1.886000000000000000e+03, 2.791220257594394195e-10, 5.959526880447875861e-10, 3.457900625286888171e-10, 7.497560037255734206e-11, 3.852167440070118127e-11, 2.782869766524170288e-11, 3.391475717667265698e-10, 3.624538875165584736e-11
1.887000000000000000e+03, 2.746916013963655079e-10, 6.265950312470169339e-10, 3.296952273427529113e-10, 7.097929185058866828e-11, 4.053733500286963430e-11, 2.928504385545933710e-11, 3.152931071043407898e-10, 3.828404144973233694e-11
1.888000000000000000e+03, 2.797586061431204521e-10, 6.112946425584897516e-10, 4.022526926613226895e-10, 6.592852400580825522e-11, 4.261315146567589056e-11, 3.084436836475337694e-11, 3.245386427909953148e-10, 4.041762809724436919e-11
1.889000000000000000e+03, 2.788380424787961114e-10, 6.355469107820812054e-10, 3.552210333967871766e-10, 6.557048195234364969e-11, 4.481413500705777708e-11, 3.244056867845737526e-11, 3.527939079747086277e-10, 4.258860576187592554e-11
1.890000000000000000e+03, 2.786741633501746450e-10, 6.546340568765151709e-10, 3.588092352950730870e-10, 7.210821589148556292e-11, 4.700920235678011616e-11, 3.403908477604970383e-11, 3.460012528890975303e-10, 4.467915363583427553e-11
1.891000000000000000e+03, 2.843007970344434432e-10, 6.361908655332390650e-10, 3.562466499549744938e-10, 7.684480676869066994e-11, 5.249827971767770773e-11, 3.739494073753611707e-11, 3.637379839989091056e-10, 4.940192597156036633e-11
1.892000000000000000e+03, 2.858816351862574924e-10, 6.230806573686742890e-10, 3.788745507584535446e-10, 7.123311053097551467e-11, 5.499645416118888517e-11, 3.880239043723628617e-11, 3.487752466909129128e-10, 5.179603637722720502e-11
1.893000000000000000e+03, 2.920115445623100596e-10, 6.850041229894554070e-10, 3.102109674226943627e-10, 7.396940733148540985e-11, 5.747858080422989115e-11, 4.021317831308291348e-11, 3.788878110127740786e-10, 5.430868708902581343e-11
1.894000000000000000e+03, 3.072949763547084458e-10, 6.799293672460531461e-10, 3.549215599604513282e-10, 8.384739583917176067e-11, 5.993683456082779279e-11, 4.173172968994352037e-11, 3.769547804437656169e-10, 5.686724755227770225e-11
1.895000000000000000e+03, 3.204735446552935249e-10, 6.856506967389831453e-10, 3.715785428701387606e-10, 8.245597502640190086e-11, 6.254238693327135243e-11, 4.328646990372036211e-11, 4.028142331757470165e-10, 5.902509648362511824e-11
1.896000000000000000e+03, 3.305068841560222018e-10, 6.942832820420049812e-10, 3.780823960606470358e-10, 8.812363600589704210e-11, 6.520000046487550916e-11, 4.484141894361931332e-11, 3.980240943019098961e-10, 6.159727821170857195e-11
1.897000000000000000e+03, 3.349117456122234641e-10, 7.157369869064694998e-10, 3.589259884116799382e-10, 8.522174407464595727e-11, 6.776786123527322565e-11, 4.636443657452481214e-11, 4.035744288002480050e-10, 6.465322946164782025e-11
1.898000000000000000e+03, 3.409626445636310264e-10, 7.220307121943952868e-10, 3.428436917024009537e-10, 9.170542466965512269e-11, 7.016023526504437811e-11, 4.785639391039462869e-11, 4.064586895485782954e-10, 6.761079824366584512e-11
1.899000000000000000e+03, 3.507151084361762128e-10, 7.222935952750620414e-10, 3.701207701461592752e-10, 9.188995109176526804e-11, 7.243829700788891512e-11, 4.942277190230419211e-11, 4.007538868677170313e-10, 6.956644449870463310e-11
1.900000000000000000e+03, 3.630055103686526611e-10, 7.554636067031088670e-10, 3.523603631419700892e-10, 1.050665495614908431e-10, 7.452839153983304286e-11, 5.118118903535177297e-11, 4.515486934292352343e-10, 7.169222954500926020e-11
1.901000000000000000e+03, 3.654312178239502363e-10, 7.644395924401658835e-10, 4.100096306488223465e-10, 1.048491463317996986e-10, 8.271343547176640035e-11, 5.834507624525689172e-11, 4.400593282549633310e-10, 8.180229577193246138e-11
1.902000000000000000e+03, 3.692316669610854823e-10, 8.086171637750266090e-10, 3.915035958584807969e-10, 8.782869228568630508e-11, 8.558867083870919017e-11, 5.978393819021726244e-11, 4.407520422999214011e-10, 8.307925499435727304e-11
1.903000000000000000e+03, 3.758203901046507873e-10, 7.750911722200416108e-10, 3.896529522981360468e-10, 9.724897152449308070e-11, 8.778043193107528870e-11, 6.197898692489110102e-11, 4.440360146978254219e-10, 8.430968689858327329e-11
1.904000000000000000e+03, 3.924516746190534881e-10, 8.150888670775916337e-10, 4.352035335143468996e-10, 1.005580729684367318e-10, 8.995812872004926928e-11, 6.417880919603209456e-11, 4.309878948783232918e-10, 8.649224152752763523e-11
1.905000000000000000e+03, 4.163144418804988713e-10, 7.824396111865055531e-10, 3.623289748687009109e-10, 1.007109635690602988e-10, 9.291147579036824214e-11, 6.626757149724054303e-11, 4.303783451347550490e-10, 8.720210170633298681e-11
1.906000000000000000e+03, 4.297183585301312003e-10, 8.289585095155529683e-10, 3.918795283325461812e-10, 9.403211583239279082e-11, 9.562644127665015923e-11, 6.846205040668611029e-11, 4.815034331013997827e-10, 8.995081032437719629e-11
1.907000000000000000e+03, 4.374881125841414054e-10, 8.185907551244794283e-10, 3.909218062556077027e-10, 7.987079937682730473e-11, 9.868529566152282049e-11, 7.042915426480315707e-11, 4.905979963004287391e-10, 9.290053656341018576e-11
1.908000000000000000e+03, 4.407686885555198029e-10, 8.554201354032298802e-10, 4.300417991535159395e-10, 8.756479651537201981e-11, 1.010548971762266086e-10, 7.254325243918147047e-11, 4.588884997530523026e-10, 9.492596711412659415e-11
1.909000000000000000e+03, 4.487625685637775537e-10, 8.237371603527993093e-10, 4.557783756758481271e-10, 1.009893538995684026e-10, 1.036946337324141989e-10, 7.470825452966519470e-11, 5.041515770307957641e-10, 9.788924852896586161e-11
1.910000000000000000e+03, 4.611532445520692754e-10, 8.330857327583190227e-10, 4.331202388202278957e-10, 9.228805386080216266e-11, 1.065048730117565719e-10, 7.685723597895970539e-11, 4.962708388090019888e-10, 1.009819063492267349e-10
1.911000000000000000e+03, 4.742871226567771709e-10, 8.621705701476433510e-10, 3.621710272729286113e-10, 8.593647539650795722e-11, 1.114126276662483115e-10, 8.079634957391984277e-11, 4.891312151617397419e-10, 1.058444427368546336e-10
1.912000000000000000e+03, 4.815440729764146421e-10, 8.613319137587413680e-10, 4.245036287917858982e-10, 9.462315782415103645e-11, 1.134091963597841207e-10, 8.195174875144358055e-11, 4.878285019024467501e-10, 1.063978446869329394e-10
1.913000000000000000e+03, 4.727639944537893158e-10, 8.534230575791267102e-10, 4.682519441467215194e-10, 9.589555829697731201e-11, 1.149748852424060029e-10, 8.345848096269048113e-11, 4.834106592549859591e-10, 1.081508596462163915e-10
1.914000000000000000e+03, 4.748263373188131944e-10, 8.475885192163707465e-10, 4.348568932990552802e-10, 9.235172523950500583e-11, 1.174695570448527366e-10, 8.503983172707071432e-11, 4.743693021424068554e-10, 1.072943606742584871e-10
1.915000000000000000e+03, 4.906969102183402769e-10, 9.259285638284850305e-10, 4.250167221142738683e-10, 9.516333634263224353e-11, 1.203192257739766298e-10, 8.665361420020133282e-11, 4.794774352724044639e-10, 1.099653410598044488e-10
1.916000000000000000e+03, 4.982843050371840506e-10, 8.677587601478447491e-10, 4.219432596280726490e-10, 1.094749402417623843e-10, 1.229691150789466889e-10, 8.828231422557695696e-11, 4.745561456548194938e-10, 1.126302063007560003e-10
1.917000000000000000e+03, 5.015357609714183085e-10, 9.392751456952160126e-10, 3.922320351691280534e-10, 1.051069889531046880e-10, 1.249760994295242036e-10, 8.978454496446653655e-11, 4.938978793769272240e-10, 1.151684149499406813e-10
1.918000000000000000e+03, 4.931954738466843208e-10, 9.108032644693638074e-10, 4.274838524678458911e-10, 1.055357623594676213e-10, 1.273688102852244832e-10, 9.129582967887369465e-11, 4.825401366905394706e-10, 1.177078021283424593e-10
1.919000000000000000e+03, 5.022660033788823902e-10, 9.134080332708965821e-10, 4.654111872546326547e-10, 1.026262918034365836e-10, 1.292262993978752626e-10, 9.273424556934642576e-11, 4.970419757898769185e-10, 1.200934366198746901e-10
1.920000000000000000e+03, 5.046941537519469371e-10, 8.966198733477906987e-10, 4.537903963339171357e-10, 1.176715544873794420e-10, 1.320449666077841393e-10, 9.446692655584646982e-11, 4.879644080575988084e-10, 1.228745315472159798e-10
1.921000000000000000e+03, 5.111180910022474543e-10, 9.230467457913113819e-10, 4.180737988384683891e-10, 1.220650025567351473e-10, 1.346784085839521657e-10, 9.600238979085922239e-11, 4.759912834237383388e-10, 1.252788769896339766e-10
1.922000000000000000e+03, 5.197495833645066625e-10, 8.831575263564140931e-10, 4.723995661594505531e-10, 1.270481680339942982e-10, 1.343199568537925461e-10, 9.519301475510756889e-11, 5.156447608237780024e-10, 1.250457790388988890e-10
1.923000000000000000e+03, 5.151593583956216289e-10, 9.513675816032960236e-10, 4.478039508680718335e-10, 1.226057795021508509e-10, 1.339261763047547014e-10, 9.461596600668607796e-11, 5.099449807472575473e-10, 1.246306426120420853e-10
1.924000000000000000e+03, 5.170837862716422753e-10, 1.006418391865646923e-09, 4.978732394031080386e-10, 1.208367988766544331e-10, 1.340308244265577183e-10, 9.446747755970440284e-11, 5.184769687962251459e-10, 1.249772577813716128e-10
1.925000000000000000e+03, 5.251991299682342562e-10, 9.410564207499048118e-10, 4.496027903815997150e-10, 1.073832631520077612e-10, 1.339021798541617662e-10, 9.398342179412843860e-11, 5.386977805884396888e-10, 1.248784616341741430e-10
1.926000000000000000e+03, 5.271116618322501426e-10, 9.847357320177890830e-10, 4.428650520735175944e-10, 9.818740025953497149e-11, 1.342960162798800160e-10, 9.362172716945062778e-11, 5.126565869043602832e-10, 1.244411143311490102e-10
1.927000000000000000e+03, 5.324565815127278506e-10, 9.601356384285741481e-10, 4.778238839435326226e-10, 9.680189332469464547e-11, 1.340024518990741646e-10, 9.298604916752686737e-11, 5.296670246765581890e-10, 1.241409947770969873e-10
1.928000000000000000e+03, 5.423632626817850190e-10, 1.027405145364671729e-09, 4.364939030027381172e-10, 1.000993985473076811e-10, 1.336999285507574779e-10, 9.240761933248414481e-11, 5.465313153736548939e-10, 1.240164003417635429e-10
1.929000000000000000e+03, 5.418596929099786843e-10, 9.856184612668716926e-10, 4.550725031302278672e-10, 1.103917730594264796e-10, 1.331471665564524947e-10, 9.160092733446613578e-11, 5.757781452704530697e-10, 1.236784401553106408e-10
1.930000000000000000e+03, 5.366592350362679302e-10, 9.793225221200981782e-10, 4.928542102168539247e-10, 9.707290494529656594e-11, 1.332317618317232982e-10, 9.114457828569500141e-11, 5.382052028496508232e-10, 1.236282180111341444e-10
1.931000000000000000e+03, 5.399636738442750330e-10, 1.019343653406737814e-09, 4.408074888131668788e-10, 1.039354732133309488e-10, 1.325798514286661065e-10, 9.049551814794282468e-11, 5.526137260005652850e-10, 1.231077635136394135e-10
1.932000000000000000e+03, 5.288937187583050661e-10, 1.027017116556255440e-09, 4.134762181753972166e-10, 1.042981351881473166e-10, 1.311667638320228989e-10, 8.900799451568475366e-11, 5.406984523620613123e-10, 1.221416188645309397e-10
1.933000000000000000e+03, 5.150675786140532327e-10, 9.795019965610557419e-10, 4.269173107937453217e-10, 1.017396924310046608e-10, 1.297359646415505353e-10, 8.767914467910367474e-11, 5.501575751737820057e-10, 1.207874555707248845e-10
1.934000000000000000e+03, 5.181882533965948877e-10, 9.655142999566458450e-10, 4.322992738538462624e-10, 8.808820241299538142e-11, 1.279900362358950669e-10, 8.636298085633966055e-11, 5.506762331951625075e-10, 1.193057489686026744e-10
1.935000000000000000e+03, 5.459563869077495701e-10, 9.278657265829556902e-10, 4.337939902605932724e-10, 1.088169058888189668e-10, 1.266655455081295741e-10, 8.539589183021432019e-11, 5.658323200479737815e-10, 1.176071905181535498e-10
1.936000000000000000e+03, 5.408921602219074188e-10, 9.205629581642849327e-10, 4.459286381499096651e-10, 1.297138579844830752e-10, 1.250100129872978316e-10, 8.418053061456965205e-11, 5.637200402811603090e-10, 1.156231750832624637e-10
1.937000000000000000e+03, 5.475424792019585181e-10, 1.037502748459385449e-09, 4.571225846804416277e-10, 1.186461262652725556e-10, 1.231532225748562184e-10, 8.293396936773153116e-11, 5.863620203444811574e-10, 1.140565223026721202e-10
1.938000000000000000e+03, 5.439174102914674916e-10, 1.029844441779314882e-09, 4.293185475886672108e-10, 1.150321783010989318e-10, 1.214110788215047699e-10, 8.164422941260525734e-11, 5.847151441010988024e-10, 1.124799375373979357e-10
1.939000000000000000e+03, 5.388924880361601242e-10, 1.008894121965808754e-09, 4.600113900586644092e-10, 1.185627734717447677e-10, 1.196543367874384007e-10, 8.034290326279171925e-11, 6.136117357579974891e-10, 1.108660878361068580e-10
1.940000000000000000e+03, 5.408105160185397851e-10, 9.478370702153455983e-10, 4.820172995557886294e-10, 1.204139877431309539e-10, 1.169242340671933772e-10, 7.891971278213355750e-11, 5.530560829327714079e-10, 1.085307293197002659e-10
1.941000000000000000e+03, 5.427807446466027697e-10, 1.040124907954940357e-09, 4.681705641062831313e-10, 1.260784142068505432e-10, 1.153721681202400296e-10, 7.774398524620817771e-11, 6.045415560705942887e-10, 1.069546426521537387e-10
1.942000000000000000e+03, 5.422353730213153758e-10, 9.936099006474646785e-10, 4.596655048972080851e-10, 1.235126127320065335e-10, 1.147800381652003625e-10, 7.696326328271132263e-11, 6.045745949951724793e-10, 1.064751485158076972e-10
1.943000000000000000e+03, 5.478839049829231645e-10, 1.047972059549610213e-09, 5.145844446712101261e-10, 1.293403942628456068e-10, 1.148138685852437758e-10, 7.644533985746017534e-11, 6.178443603009282993e-10, 1.066580715190010348e-10
1.944000000000000000e+03, 5.468540921744706287e-10, 1.011172931845053816e-09, 5.213131055692212461e-10, 1.345516487735838177e-10, 1.141313231343041128e-10, 7.564887516867067841e-11, 6.316204820910670983e-10, 1.058710482117162083e-10
1.945000000000000000e+03, 5.473337879770134272e-10, 1.061868053679344419e-09, 4.957521873114348154e-10, 1.233621661698408828e-10, 1.133482686026380636e-10, 7.488481693053985982e-11, 6.516995414755694978e-10, 1.051055275757837990e-10
1.946000000000000000e+03, 5.605604798602221348e-10, 1.092337024686800527e-09, 5.263904011370698728e-10, 1.471865468103200553e-10, 1.125150771971770051e-10, 7.402843081891516562e-11, 6.889915902068150738e-10, 1.041300438035668539e-10
1.947000000000000000e+03, 5.714247162013438628e-10, 1.125022260354833026e-09, 4.941589232261889791e-10, 1.417129405005900210e-10, 1.113955626082724801e-10, 7.312520511149991560e-11, 6.603815900822603188e-10, 1.030815699179634412e-10
1.948000000000000000e+03, 5.542303489883399810e-10, 1.108293324878642813e-09, 4.819743925653757188e-10, 1.169741793366233472e-10, 1.102813274085583110e-10, 7.226056311257259903e-11, 6.251009740430584717e-10, 1.018919385850766125e-10
1.949000000000000000e+03, 5.609481459987366512e-10, 1.130282015221371865e-09, 4.340025078012021073e-10, 1.361735603772784927e-10, 1.089608227530119029e-10, 7.131045660519295821e-11, 6.775445976813976856e-10, 1.005243581446251897e-10
1.950000000000000000e+03, 5.558278972152590227e-10, 1.047954721044798618e-09, 4.221588408335219037e-10, 1.453159887189783117e-10, 6.799277567283518082e-11, 6.811787212449903717e-11, 6.921009291190749042e-10, 5.792667502062666022e-11
1.951000000000000000e+03, 5.635144742575810301e-10, 1.096140160934826579e-09, 4.749770940078925312e-10, 1.383719315311290454e-10, 6.896589566130413021e-11, 6.683417656485205284e-11, 7.081790061880250668e-10, 5.732588352440933983e-11
1.952000000000000000e+03, 5.762289193644545239e-10, 1.182545481642966959e-09, 5.023015373163663036e-10, 1.658340732093844382e-10, 6.757596503789997257e-11, 6.528150528938601208e-11, 7.372175559529640023e-10, 5.677047081227156224e-11
1.953000000000000000e+03, 5.729804855745797229e-10, 1.129299544056007380e-09, 5.055928746792056012e-10, 1.647265419898608241e-10, 6.549718154447693110e-11, 6.570644670654044511e-11, 7.594825862220931645e-10, 5.670231646096737432e-11
1.954000000000000000e+03, 5.600106312057173071e-10, 1.048748618696964071e-09, 5.454306035245624432e-10, 1.166554308377593215e-10, 7.614407392920337659e-11, 6.461518258976172386e-11, 7.375917048512625647e-10, 6.817671177825298148e-11
1.955000000000000000e+03, 5.623477836003948774e-10, 1.126780563022502369e-09, 5.561720406300627927e-10, 1.325479046352761861e-10, 9.190333623806631610e-11, 6.384246929728981693e-11, 7.871111908705960257e-10, 8.410160073267251845e-11
1.956000000000000000e+03, 5.733908350155217541e-10, 1.137084193661452548e-09, 5.262447301682549604e-10, 1.712827971823736353e-10, 9.538444282956126721e-11, 6.250345257546146750e-11, 7.872604702670117858e-10, 8.703166813062417688e-11
1.957000000000000000e+03, 5.587293149003890927e-10, 1.163394442012484088e-09, 5.247570243294999461e-10, 1.684770202342620810e-10, 9.508908167577919639e-11, 6.093198265065999537e-11, 7.745311172185087592e-10, 8.653428115336163148e-11
1.958000000000000000e+03, 5.549411991611251408e-10, 1.115717072164611025e-09, 5.285679984924450830e-10, 1.531710528654852651e-10, 9.367777657801412978e-11, 5.912584671155955528e-11, 8.261214306554437497e-10, 8.502563019283557584e-11
1.959000000000000000e+03, 5.477574148929981304e-10, 1.073604629516169075e-09, 4.945156768978554156e-10, 1.551531726014320092e-10, 9.199341659098398827e-11, 5.736969657361306513e-11, 8.179933562041079367e-10, 8.332898804640941619e-11
1.960000000000000000e+03, 5.484695199484573434e-10, 1.188176618809163869e-09, 5.445820748874715230e-10, 1.477385081704832070e-10, 8.998579740572113154e-11, 5.558359623020658598e-11, 8.252130339654431013e-10, 8.125888786661202437e-11
1.961000000000000000e+03, 5.706402087678353898e-10, 1.167459323607739028e-09, 5.553705417637183719e-10, 1.643337110675717310e-10, 8.750436075447449153e-11, 5.381466823936573166e-11, 8.657233619426365229e-10, 7.898767032147594099e-11
1.962000000000000000e+03, 5.729157167180084942e-10, 1.173881882131366488e-09, 6.215972781774050091e-10, 1.735454523672509466e-10, 8.469991369004476585e-11, 5.144322417509176189e-11, 8.659055673174894371e-10, 7.629170825719408477e-11
1.963000000000000000e+03, 5.767058023748000444e-10, 1.235584377591799571e-09, 6.514349871003348978e-10, 1.869667348831665908e-10, 8.640453475791183624e-11, 5.254144146646892402e-11, 8.623458254529541130e-10, 7.796297158601649020e-11
1.964000000000000000e+03, 5.626679412247502985e-10, 1.169836477726372491e-09, 5.291356984429061874e-10, 1.949869752184038402e-10, 8.712219146496160550e-11, 5.276701359906029435e-11, 8.827276281394174785e-10, 7.848922828710951682e-11
1.965000000000000000e+03, 5.721294353144740450e-10, 1.153960046250830994e-09, 5.922493255171770890e-10, 2.181849304565758120e-10, 9.087511489082384767e-11, 5.573816984446198187e-11, 8.985837433365066467e-10, 8.197911989702667031e-11
1.966000000000000000e+03, 5.861771015087629019e-10, 1.199059819117337300e-09, 6.608869850780862534e-10, 2.056121641018318369e-10, 9.274773792989912095e-11, 5.710624984693690057e-11, 9.101107311542640793e-10, 8.371337356315732061e-11
1.967000000000000000e+03, 5.888767397146511150e-10, 1.233393072101211476e-09, 5.714801847425851906e-10, 2.197019234619177970e-10, 9.608265300671872854e-11, 5.941458193608555081e-11, 8.936096206546215772e-10, 8.683406886389874135e-11
1.968000000000000000e+03, 5.754777778962270995e-10, 1.155554289957790305e-09, 5.839869731698990156e-10, 2.123034584520185316e-10, 9.520815809287768393e-11, 5.899556144242571223e-11, 9.098208872265556386e-10, 8.603738136717552315e-11
