year, GFDL-ESM4, NorESM2-MM, CNRM-ESM2-1, CESM2-WACCM, TaiESM1, TaiESM1, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, MPI-ESM1-2-LR, NorESM2-LM, EC-Earth3-Veg
1.860000000000000000e+03, 8.625438705711573298e-10, 1.728533694638385066e-10, 6.187799021037221056e-10, 1.313343866712415436e-10, 2.309023442700916676e-10, 2.309023442700916676e-10, 6.187799021037221056e-10, 1.728533694638385066e-10, 8.633433818484326868e-10, 6.110820795793288047e-10, 1.954916086448717497e-10, 1.105391502235438346e-09
1.861000000000000000e+03, 5.629838121731929643e-10, 1.559640415019418004e-10, 5.549718720456193651e-10, 1.528789412356588151e-10, 2.278678576605998347e-10, 2.278678576605998347e-10, 5.549718720456193651e-10, 1.559640415019418004e-10, 5.637448643800063338e-10, 4.215782367508601690e-10, 9.213520252993514702e-11, 7.773834013173513061e-10
1.862000000000000000e+03, 6.444546917112350503e-10, 2.139685072408288109e-10, 4.517599296512559467e-10, 1.431831879951727763e-10, 2.544664118178190773e-10, 2.544664118178190773e-10, 4.517599296512559467e-10, 2.139685072408288109e-10, 6.452004062511166219e-10, 3.641871229063011013e-10, 1.071649925555466818e-10, 6.294820393815210581e-10
1.863000000000000000e+03, 6.545199655153975033e-10, 1.624680688341521215e-10, 4.164573588076234930e-10, 1.326183039796415147e-10, 2.330581304796381585e-10, 2.330581304796381585e-10, 4.164573588076234930e-10, 1.624680688341521215e-10, 6.552661851720392121e-10, 4.613813644427479572e-10, 8.165946653307329612e-11, 5.946416279840739401e-10
1.864000000000000000e+03, 6.409612160646953531e-10, 9.858206831081263884e-11, 5.264664221280246124e-10, 9.160507817216944674e-11, 2.404034827482132970e-10, 2.404034827482132970e-10, 5.264664221280246124e-10, 9.858206831081263884e-11, 6.416899228022233615e-10, 5.095209323725366187e-10, 1.356542751867528357e-10, 8.100791057977381553e-10
1.865000000000000000e+03, 3.827112634324079685e-10, 1.039825580649781673e-10, 5.876828919109511335e-10, 1.130570445276229260e-10, 2.639559780535030020e-10, 2.639559780535030020e-10, 5.876828919109511335e-10, 1.039825580649781673e-10, 3.834460427176464747e-10, 5.044201816726757037e-10, 1.035289590802793553e-10, 9.284590944372848679e-10
1.866000000000000000e+03, 7.836505259143639391e-10, 1.209315682667962659e-10, 4.665223809433232967e-10, 1.998500181210889124e-10, 2.007429173035097761e-10, 2.007429173035097761e-10, 4.665223809433232967e-10, 1.209315682667962659e-10, 7.843839785680093061e-10, 4.431360963149737845e-10, 7.642220546579220708e-11, 7.624857319685141068e-10
1.867000000000000000e+03, 7.464209471333509788e-10, 2.576738186400370162e-10, 4.964737779110367661e-10, 1.954165649542396802e-10, 2.309306465232229593e-10, 2.309306465232229593e-10, 4.964737779110367661e-10, 2.576738186400370162e-10, 7.471670324320705640e-10, 6.057155592990485181e-10, 1.115135671500014449e-10, 7.605059984982871606e-10
1.868000000000000000e+03, 6.408807117399539691e-10, 1.731467850771334708e-10, 4.301960004108135541e-10, 1.832502413752893275e-10, 3.424509787678660497e-10, 3.424509787678660497e-10, 4.301960004108135541e-10, 1.731467850771334708e-10, 6.416247058039419800e-10, 5.017312916001256197e-10, 5.644390671009874848e-11, 5.907682256218326850e-10
1.869000000000000000e+03, 8.083859300632082852e-10, 1.989999118991444645e-10, 4.531914270697733996e-10, 1.534245237177852321e-10, 2.841609665243398960e-10, 2.841609665243398960e-10, 4.531914270697733996e-10, 1.989999118991444645e-10, 8.091293749235229999e-10, 5.316142609902260186e-10, 1.040314453164715367e-10, 4.374395220649574199e-10
