year, TaiESM1, CNRM-ESM2-1, NorESM2-LM, MPI-ESM1-2-LR, GFDL-ESM4, CanESM5, MIROC-ES2L, NorESM2-MM, UKESM1-0-LL, CESM2-WACCM, EC-Earth3-Veg, ACCESS-ESM1-5, CMCC-CM2-SR5, IPSL-CM6A-LR
1.867000000000000000e+03, 4.696283635296951253e+00, 6.195061993335735373e+00, 4.092629026028260064e+00, 8.891635727474033857e+00, 7.117352949493866987e+00, 7.566017306936597464e+00, 8.944991617694542541e+00, 4.558183887321585637e+00, 8.813015125816058060e+00, 4.391984163924607998e+00, 5.560125349753030299e+00, 5.876128611378059752e+00, 5.712117046861274083e+00, 4.497672419402608313e+00
1.868000000000000000e+03, 4.666783340931428548e+00, 6.088677399029926995e+00, 4.462007378010651060e+00, 8.903589993043928175e+00, 7.037556253215562663e+00, 7.271017219449507074e+00, 9.007789795986640868e+00, 4.551422043036312814e+00, 8.541324614028400930e+00, 4.705212913156636034e+00, 5.781137465549193166e+00, 5.805188664184854019e+00, 5.818233046663526586e+00, 4.526880210484075739e+00
1.869000000000000000e+03, 4.639981127033044217e+00, 6.398864354325940695e+00, 4.154421199029317613e+00, 8.613749571964204321e+00, 7.090422307266130986e+00, 7.080041252674762475e+00, 9.167669604272788320e+00, 4.499375806108535159e+00, 8.713375327560493488e+00, 4.523642234541209284e+00, 5.376742960906818247e+00, 5.810490803688017181e+00, 5.983434415945244389e+00, 4.597838685627666067e+00
1.870000000000000000e+03, 4.362480224003010498e+00, 6.394275547392102688e+00, 4.046203620417244018e+00, 8.760234836534596781e+00, 6.832143020037549697e+00, 7.699119060769355372e+00, 8.938683854787324634e+00, 4.590617979255580572e+00, 8.218559945400270905e+00, 4.601432193145278404e+00, 5.695055375332485070e+00, 5.818136977530055987e+00, 5.958328399652062402e+00, 4.621790429936815769e+00
1.871000000000000000e+03, 4.614503714337470974e+00, 6.304941482893168470e+00, 4.103353942067363036e+00, 8.705097457836737718e+00, 7.042761236762905774e+00, 7.521804150659591848e+00, 9.235030480109012174e+00, 4.438037831477663175e+00, 8.529108554639810436e+00, 4.595993202519377263e+00, 5.578504457833828312e+00, 5.779597226750857963e+00, 5.981553011577319445e+00, 4.714524886426672445e+00
1.872000000000000000e+03, 4.796710297942277101e+00, 6.204698346604852865e+00, 4.179490749658555160e+00, 8.941490683001653395e+00, 7.234564587389846757e+00, 7.473477147140259014e+00, 9.168200072814853385e+00, 4.473198959337177705e+00, 8.488513231836011030e+00, 4.472604776313136909e+00, 5.947614827605640642e+00, 6.008388566523323426e+00, 6.131674183131559097e+00, 4.775706927894477261e+00
1.873000000000000000e+03, 4.547843035356956776e+00, 6.292171626291897191e+00, 4.017346203978537922e+00, 8.604031798150515442e+00, 6.881906455152911661e+00, 7.497642234596757937e+00, 8.995072693509301942e+00, 4.414718078463028661e+00, 8.991736989351281295e+00, 4.688383901200729120e+00, 5.354881483300793832e+00, 5.924994128717345987e+00, 6.125077273656472698e+00, 4.732956322729672927e+00
1.874000000000000000e+03, 4.741002296149781969e+00, 6.040329351442978556e+00, 4.005180639899863948e+00, 8.580958837140620687e+00, 7.014751360699656324e+00, 7.642036523633000122e+00, 8.925176769711409719e+00, 4.559076528888716950e+00, 8.784316183323578997e+00, 4.459705224515523092e+00, 5.680680769802653352e+00, 6.014899485750352603e+00, 5.908671082444111100e+00, 4.742577536289434903e+00
1.875000000000000000e+03, 4.960293157929228869e+00, 6.186657576683454174e+00, 4.138905333476135873e+00, 8.661528879941382542e+00, 7.058039075100403181e+00, 7.719277603085175521e+00, 9.118758299646644971e+00, 4.585761420834978175e+00, 8.738429882093454282e+00, 4.552821112519080060e+00, 5.858900947688734817e+00, 5.970306642321761892e+00, 6.178699363795701949e+00, 4.668324484392815776e+00
1.876000000000000000e+03, 4.656768177414167376e+00, 6.210308251493873222e+00, 4.245237972623129963e+00, 8.641085477307727913e+00, 6.983031641947563095e+00, 7.676618435153256037e+00, 9.326318847896969189e+00, 4.509058615568565465e+00, 8.593766200112188614e+00, 4.487711730210104832e+00, 5.155694165242456606e+00, 5.928529216632956178e+00, 5.928975436489407613e+00, 4.630293516350520555e+00
1.877000000000000000e+03, 4.672260116593696999e+00, 6.513666173802222126e+00, 4.255174153867911535e+00, 8.799708990238979567e+00, 6.825190066491997776e+00, 7.703813673403525186e+00, 9.089049270496403210e+00, 4.766884133409038604e+00, 8.974388644338676002e+00, 4.498781186775163476e+00, 5.633337514607720919e+00, 5.986074754294927303e+00, 6.207833142871965748e+00, 4.800033923756703125e+00
1.878000000000000000e+03, 4.632221952946640187e+00, 6.301665533624866811e+00, 4.430712038945723741e+00, 8.863654530151137578e+00, 6.707309182917414070e+00, 7.725344569424501984e+00, 9.055647199446585915e+00, 4.648154798327379211e+00, 8.342947935379829261e+00, 4.519063025581600890e+00, 5.621765678563355628e+00, 5.841437465779470983e+00, 5.865177537698450294e+00, 4.626276035124801567e+00
