year, TaiESM1, MIROC-ES2L, ACCESS-ESM1-5, CanESM5, INM-CM4-8, NorESM2-LM, INM-CM5-0, NorESM2-MM, UKESM1-0-LL, EC-Earth3-Veg, CMCC-CM2-SR5, GFDL-ESM4, MPI-ESM1-2-LR, CESM2-WACCM, CNRM-ESM2-1, IPSL-CM6A-LR
1.874000000000000000e+03, 2.753687586665550953e+02, 2.778773118662048205e+02, 2.768385436733368579e+02, 2.749506182665351730e+02, 2.759225025623091483e+02, 2.768230331591057620e+02, 2.750926891993021286e+02, 2.764508256890650841e+02, 2.742524253896428377e+02, 2.738210220591018924e+02, 2.761170606646679175e+02, 2.750538995208546567e+02, 2.749257645467695284e+02, 2.760265126519824435e+02, 2.757664189090946252e+02, 2.743650274778513563e+02
1.875000000000000000e+03, 2.757681395274260012e+02, 2.784672112534467487e+02, 2.768229601476965627e+02, 2.751032066668593643e+02, 2.753971259955257551e+02, 2.766398733044580922e+02, 2.748167452612702846e+02, 2.758554824559307690e+02, 2.741887735269838231e+02, 2.738553079379007613e+02, 2.764747455781995882e+02, 2.754964483433964801e+02, 2.747111266274553714e+02, 2.761210513113965135e+02, 2.756557961047657273e+02, 2.741965179457657200e+02
1.876000000000000000e+03, 2.756708915627213514e+02, 2.787435727575950182e+02, 2.768079271411557443e+02, 2.753776352323130254e+02, 2.753792501420109602e+02, 2.769181346930602103e+02, 2.751100624962240317e+02, 2.759368728390687693e+02, 2.742013538974116500e+02, 2.731768119325103044e+02, 2.763139275921623152e+02, 2.757110656711889760e+02, 2.747987343048385469e+02, 2.759501030934298456e+02, 2.755342256204775708e+02, 2.743990690986266827e+02
1.877000000000000000e+03, 2.755058523729375679e+02, 2.785455400209066283e+02, 2.767441207828733241e+02, 2.750031125216978012e+02, 2.759622928734821130e+02, 2.766732830110591976e+02, 2.756533409932844165e+02, 2.760874617414962700e+02, 2.742330697194024083e+02, 2.739278926948047683e+02, 2.761790569052169531e+02, 2.752648079751578507e+02, 2.752469639551387672e+02, 2.760782243571514982e+02, 2.760148413133119334e+02, 2.746996298787861974e+02
1.878000000000000000e+03, 2.757372178543790824e+02, 2.782821708563757284e+02, 2.764783923066380567e+02, 2.747440910813808728e+02, 2.760844373808798196e+02, 2.770472583758214000e+02, 2.757043981535850889e+02, 2.760788747996894017e+02, 2.746349322629228595e+02, 2.736884474431780063e+02, 2.759815170590919138e+02, 2.752776700328632842e+02, 2.750266705672992771e+02, 2.766052656393238749e+02, 2.762575233573303990e+02, 2.738332787016374255e+02
1.879000000000000000e+03, 2.752402829419055479e+02, 2.779413973091706112e+02, 2.765027934517066228e+02, 2.751794437277153520e+02, 2.758563346070712896e+02, 2.771609821774144393e+02, 2.753691901191314173e+02, 2.754509040983176078e+02, 2.753873506846730379e+02, 2.735779682838841040e+02, 2.756796196963890111e+02, 2.754907947151705230e+02, 2.746387343396634151e+02, 2.772816117661344606e+02, 2.757113837772141665e+02, 2.738397830613872088e+02
1.880000000000000000e+03, 2.750326863766812266e+02, 2.784342900409109234e+02, 2.768544302650297482e+02, 2.753123070321844921e+02, 2.754342050511280604e+02, 2.770302161336332460e+02, 2.750521258197695147e+02, 2.757074180167143709e+02, 2.747315632073883762e+02, 2.737622357152716859e+02, 2.752366936720563331e+02, 2.754491824950468981e+02, 2.750221167329835339e+02, 2.763853106430385651e+02, 2.749387968635446668e+02, 2.739306871570137218e+02
1.881000000000000000e+03, 2.751562553962912148e+02, 2.780563858402287565e+02, 2.759715504247820377e+02, 2.751147514087543300e+02, 2.760157521773895724e+02, 2.772539558534916182e+02, 2.750794989954798098e+02, 2.756790794045897428e+02, 2.745950743168962163e+02, 2.739267933608250019e+02, 2.758768228263536457e+02, 2.752530304082467296e+02, 2.751057418578137685e+02, 2.764734663557821364e+02, 2.755036061400394374e+02, 2.734439532792042655e+02
1.882000000000000000e+03, 2.761365327059030506e+02, 2.783955816607112297e+02, 2.766189728504367054e+02, 2.755806117709698242e+02, 2.755905869253366518e+02, 2.764943584929361577e+02, 2.753471711383056686e+02, 2.760729848508594841e+02, 2.741785808027810845e+02, 2.740555144028120935e+02, 2.760921203948258835e+02, 2.751530075952559855e+02, 2.749368615059204899e+02, 2.766175081845268551e+02, 2.755531278542256359e+02, 2.739346320631180447e+02
1.883000000000000000e+03, 2.750264120913386705e+02, 2.780602795510774854e+02, 2.768683248703060826e+02, 2.750783230230744607e+02, 2.756916650812685816e+02, 2.770565690764434521e+02, 2.753445394199210341e+02, 2.756698747049297253e+02, 2.745329733880701610e+02, 2.737086638941239016e+02, 2.760404976570659414e+02, 2.757804572472448967e+02, 2.752484151782166464e+02, 2.764866567811018285e+02, 2.765011291254497223e+02, 2.742420157975812458e+02
1.884000000000000000e+03, 2.754365214368888246e+02, 2.774226418568987924e+02, 2.763262993345092013e+02, 2.746529604872091568e+02, 2.745255633840086489e+02, 2.763671693516291725e+02, 2.745544213508834446e+02, 2.747281651705990271e+02, 2.734548732023408206e+02, 2.729898389757063342e+02, 2.747952382919896763e+02, 2.744925109238569689e+02, 2.746213334286152303e+02, 2.752389076854345262e+02, 2.753705143361153205e+02, 2.732396916052906022e+02
1.885000000000000000e+03, 2.754049719551054523e+02, 2.775128384045152643e+02, 2.757303001115145662e+02, 2.749627755105643132e+02, 2.751077664913402714e+02, 2.772196518021927432e+02, 2.746078150278111139e+02, 2.751212778407264068e+02, 2.735327319741558085e+02, 2.735277051601330527e+02, 2.758018235763281041e+02, 2.749576459120796130e+02, 2.740393223947387469e+02, 2.756661072982865903e+02, 2.749247483235476466e+02, 2.737074551052652396e+02
1.886000000000000000e+03, 2.750696699785556234e+02, 2.775562151874969459e+02, 2.762587032480563494e+02, 2.745032533627613702e+02, 2.762686766456222358e+02, 2.769175040112924080e+02, 2.750009074724657125e+02, 2.750995507803696682e+02, 2.738596972450709472e+02, 2.736196078941665633e+02, 2.757169515264122879e+02, 2.749725936707145024e+02, 2.749944016817539136e+02, 2.753639694683723178e+02, 2.749642584003827892e+02, 2.736377925150999886e+02
1.887000000000000000e+03, 2.748363059451604613e+02, 2.783516754379019744e+02, 2.767765305972413898e+02, 2.747006031157156940e+02, 2.758792261263431556e+02, 2.759690539373872298e+02, 2.750776797584753126e+02, 2.754156974481788893e+02, 2.739474748127357202e+02, 2.731081655902049761e+02, 2.750834545071140838e+02, 2.752192140200083372e+02, 2.746492018048562045e+02, 2.765709914014308310e+02, 2.746531060494818348e+02, 2.735801949647121205e+02
1.888000000000000000e+03, 2.759658591263350900e+02, 2.781042760400508769e+02, 2.769698227112659765e+02, 2.755979565249126040e+02, 2.758104221418363409e+02, 2.765272962673711277e+02, 2.747340886877762500e+02, 2.759304143149257698e+02, 2.743237921695730392e+02, 2.733843787158008922e+02, 2.756146911116510978e+02, 2.752157947905384390e+02, 2.745384514369345084e+02, 2.761270186499141914e+02, 2.748970905326829097e+02, 2.737584612305194014e+02
1.889000000000000000e+03, 2.754867088194664007e+02, 2.779146842717865411e+02, 2.768417166290538489e+02, 2.748708164164747814e+02, 2.753631093104503407e+02, 2.765761326492092280e+02, 2.757478180370547989e+02, 2.758498472637569989e+02, 2.741535221342361410e+02, 2.735785760688277719e+02, 2.757650849795408021e+02, 2.756223048717292841e+02, 2.753622293813299962e+02, 2.762914539608563587e+02, 2.749250467364611836e+02, 2.735552600622243062e+02
1.890000000000000000e+03, 2.754637321910394689e+02, 2.774662489835162660e+02, 2.771152134251983057e+02, 2.748650843010241260e+02, 2.756569438740519331e+02, 2.765955647851056938e+02, 2.753867826541581962e+02, 2.751206531901205494e+02, 2.736752068935087436e+02, 2.740067059220692727e+02, 2.751132684713648473e+02, 2.751831589380128094e+02, 2.753664461440803848e+02, 2.759943856195648664e+02, 2.754624893975690725e+02, 2.740685811754669317e+02
1.891000000000000000e+03, 2.753650086105496371e+02, 2.775997512188262704e+02, 2.765397654529540432e+02, 2.744518620861613840e+02, 2.757285778630667323e+02, 2.766504000672453003e+02, 2.750034542805752267e+02, 2.753063755369379919e+02, 2.739598046408830214e+02, 2.737417492940109014e+02, 2.752032193383086565e+02, 2.752265730343460746e+02, 2.742664733908906101e+02, 2.765529407410174940e+02, 2.751744270651944930e+02, 2.740622494591492568e+02
1.892000000000000000e+03, 2.745790205457041111e+02, 2.776217818581046686e+02, 2.761756044018434295e+02, 2.750575040085306568e+02, 2.753587566556217325e+02, 2.774145630405896554e+02, 2.753696353648035142e+02, 2.754472772340152460e+02, 2.744882866154030694e+02, 2.738510965736907679e+02, 2.759411978673940666e+02, 2.753251700264149804e+02, 2.744908368324620369e+02, 2.761210584354076900e+02, 2.746002682017772827e+02, 2.741695348009963595e+02
1.893000000000000000e+03, 2.750185504807104735e+02, 2.781990177037881153e+02, 2.766337676833487649e+02, 2.746660117342542549e+02, 2.755535170222136117e+02, 2.765062284786704367e+02, 2.748698364216196524e+02, 2.751368338208999376e+02, 2.739295885746044519e+02, 2.734969714475404885e+02, 2.754987025821906741e+02, 2.756804009532527857e+02, 2.750212886562095491e+02, 2.759483960240314104e+02, 2.750100675035481572e+02, 2.737911290679296030e+02
1.894000000000000000e+03, 2.748530045054728248e+02, 2.783252419979961587e+02, 2.765191682110812508e+02, 2.751144368251200376e+02, 2.754118989484418876e+02, 2.768477400421312495e+02, 2.760162860451538904e+02, 2.758065075475540766e+02, 2.740669747295397656e+02, 2.746768612039748518e+02, 2.761140820317662019e+02, 2.755216344046133372e+02, 2.749774740428513837e+02, 2.759961758343766292e+02, 2.753961061237679360e+02, 2.745083554718826804e+02
1.895000000000000000e+03, 2.755352315546957129e+02, 2.776607380060199830e+02, 2.762731926567710730e+02, 2.749692093614929149e+02, 2.756745641190059359e+02, 2.775725863631440689e+02, 2.756804358061981475e+02, 2.753760749378533319e+02, 2.742060888101696605e+02, 2.741412992340761434e+02, 2.760538207248495155e+02, 2.754686070121813373e+02, 2.746405622341379740e+02, 2.762647358139755625e+02, 2.752929285851636791e+02, 2.740663231830534414e+02
1.896000000000000000e+03, 2.756701171018656282e+02, 2.782673022548854078e+02, 2.771199118960720398e+02, 2.751127120908852248e+02, 2.756339034735460132e+02, 2.771217492148317660e+02, 2.753570484978374111e+02, 2.748828942529356709e+02, 2.741962738391465564e+02, 2.743188710949104916e+02, 2.752490134613985333e+02, 2.762090699423973206e+02, 2.751748915616999511e+02, 2.757620384565820473e+02, 2.753279585502672830e+02, 2.739076555606075090e+02
1.897000000000000000e+03, 2.756642151398479541e+02, 2.781434045657523484e+02, 2.763616621182976019e+02, 2.755109181928646649e+02, 2.759692832139862730e+02, 2.771139437063508240e+02, 2.753891377593731704e+02, 2.755533986073783694e+02, 2.743414704316093662e+02, 2.742656618165455598e+02, 2.759845119649912704e+02, 2.758182577634073596e+02, 2.753827735480111301e+02, 2.760669225598915091e+02, 2.751622902353908557e+02, 2.741830604019253883e+02
1.898000000000000000e+03, 2.753625278945301602e+02, 2.787082342497685090e+02, 2.766304057205712752e+02, 2.758116610662212906e+02, 2.756023977301005061e+02, 2.774514500539134474e+02, 2.753655522498578421e+02, 2.760916768738345581e+02, 2.744218434089513607e+02, 2.745031988309160624e+02, 2.759288467500708180e+02, 2.753176266647302555e+02, 2.748628676006853766e+02, 2.766455904087231374e+02, 2.750892395129922647e+02, 2.740456663758222362e+02
1.899000000000000000e+03, 2.753550448663046950e+02, 2.777997773440279161e+02, 2.762360070393029332e+02, 2.753749895283091860e+02, 2.757945121295343256e+02, 2.767886114573126406e+02, 2.754131173507058179e+02, 2.758044091734703329e+02, 2.739996683535789543e+02, 2.745885876981158162e+02, 2.755948328651712700e+02, 2.757194262707584471e+02, 2.745274669816751043e+02, 2.766593005857724847e+02, 2.756515069332921257e+02, 2.741373079618084603e+02
1.900000000000000000e+03, 2.753645989501312101e+02, 2.778739574122685667e+02, 2.765951623234661270e+02, 2.755273462634635280e+02, 2.759017897727235322e+02, 2.771341386475295394e+02, 2.756303740259692177e+02, 2.755228397865074044e+02, 2.738392625505940146e+02, 2.740097760199914205e+02, 2.754184182448541378e+02, 2.761984922988053199e+02, 2.750752788285619204e+02, 2.764800608608081802e+02, 2.746291000694349123e+02, 2.743545253892019673e+02
1.901000000000000000e+03, 2.756417890250556866e+02, 2.783429678433769823e+02, 2.764356058411014487e+02, 2.751062789630304337e+02, 2.757480684779719127e+02, 2.770681290156133514e+02, 2.753030026076042986e+02, 2.751826924656222673e+02, 2.743189600192139892e+02, 2.738728969245439657e+02, 2.763175076340007763e+02, 2.755664198616905765e+02, 2.750031846315355324e+02, 2.767731454285656696e+02, 2.753082459293055422e+02, 2.741159580155799063e+02
1.902000000000000000e+03, 2.754015589059279137e+02, 2.780709274157630375e+02, 2.763305876165267705e+02, 2.751859745670687403e+02, 2.757157781488758133e+02, 2.765535018286090008e+02, 2.755050232072074436e+02, 2.759520882226880190e+02, 2.739476477989276759e+02, 2.741024807115889530e+02, 2.762909541174353762e+02, 2.756596729680505291e+02, 2.748038041738964239e+02, 2.757383060513041073e+02, 2.759303474773786888e+02, 2.736540989705947027e+02
1.903000000000000000e+03, 2.744285022827806415e+02, 2.778010627007648736e+02, 2.757696584657332437e+02, 2.748734126778409745e+02, 2.755962303217032172e+02, 2.765407484885128611e+02, 2.755001257354798554e+02, 2.747564244144854797e+02, 2.740500734500818680e+02, 2.736842909051320021e+02, 2.749088412419173437e+02, 2.748425273875662356e+02, 2.743808825097016779e+02, 2.756036599641311682e+02, 2.748165917918184391e+02, 2.737633433101815967e+02
1.904000000000000000e+03, 2.751615149764543844e+02, 2.778769426364959259e+02, 2.761189292594867766e+02, 2.746554190520223528e+02, 2.753429206561793308e+02, 2.768756663926291708e+02, 2.750292216314457505e+02, 2.756440058342139992e+02, 2.738333301735938790e+02, 2.742112461558670020e+02, 2.760597802429728631e+02, 2.756479795828138890e+02, 2.746163724218523043e+02, 2.767511890550723024e+02, 2.755985491001629271e+02, 2.739857159983412203e+02
1.905000000000000000e+03, 2.747023388438819893e+02, 2.777910700633278225e+02, 2.763735762470379314e+02, 2.741664443294576472e+02, 2.752015203443220912e+02, 2.767346777875369526e+02, 2.750550553443838453e+02, 2.755325614883296907e+02, 2.744185160627013715e+02, 2.740783212446327184e+02, 2.759523851747016465e+02, 2.753205624141256180e+02, 2.745587692891971301e+02, 2.764635963549399662e+02, 2.747430314097024961e+02, 2.739036892379894539e+02
1.906000000000000000e+03, 2.755266963767634820e+02, 2.779226226186946178e+02, 2.764687923838443453e+02, 2.745067779759033897e+02, 2.758334058775182029e+02, 2.771124231972712550e+02, 2.752415587865905309e+02, 2.757373846803466790e+02, 2.738412357913216510e+02, 2.739981880262958498e+02, 2.761197631283480405e+02, 2.757441502270524438e+02, 2.747725391098945238e+02, 2.765153458412348186e+02, 2.747808343056593117e+02, 2.741508726117594392e+02
1.907000000000000000e+03, 2.753476288265630387e+02, 2.780336445374890673e+02, 2.759568236749719290e+02, 2.746354436878128240e+02, 2.757599405345943637e+02, 2.771339933379675813e+02, 2.750435653534781864e+02, 2.747524621834024288e+02, 2.739357761321336966e+02, 2.736480698778086094e+02, 2.757692438332247207e+02, 2.752788170777859023e+02, 2.745677195873622622e+02, 2.759469894175126115e+02, 2.752698750349474608e+02, 2.741452031942860117e+02
1.908000000000000000e+03, 2.748850165899350486e+02, 2.785670977114125435e+02, 2.761215231958126424e+02, 2.757065218807557017e+02, 2.760452949365981681e+02, 2.764177758941095249e+02, 2.756384678847128953e+02, 2.746419058926598495e+02, 2.740229988417059417e+02, 2.747583344725060783e+02, 2.758745550461478047e+02, 2.750105751403698378e+02, 2.744991433601705353e+02, 2.758107248738879207e+02, 2.750189425474151221e+02, 2.739923455576890206e+02
1.909000000000000000e+03, 2.744994558030313101e+02, 2.782769339540119518e+02, 2.765806092216391789e+02, 2.750410762200145314e+02, 2.752888793184703786e+02, 2.767762917187499170e+02, 2.754791538660439869e+02, 2.753530688715053998e+02, 2.746355654090365874e+02, 2.744434759227436871e+02, 2.758295824314384390e+02, 2.755217458766190362e+02, 2.746860769628824528e+02, 2.764368549289892485e+02, 2.754778457270273293e+02, 2.741328629377669586e+02
1.910000000000000000e+03, 2.746424210989758876e+02, 2.777648099439790599e+02, 2.760331831363418473e+02, 2.752294765820486191e+02, 2.755914959430621138e+02, 2.767168382438497360e+02, 2.757287184046066955e+02, 2.753652483385899927e+02, 2.741589930674446691e+02, 2.735903702466655432e+02, 2.763801166295373264e+02, 2.757224707438540463e+02, 2.742589400775233344e+02, 2.767055390024131611e+02, 2.748153162814081725e+02, 2.738741750576139111e+02
1.911000000000000000e+03, 2.751928093530138995e+02, 2.784359064908195478e+02, 2.767739071292625113e+02, 2.752493358465848701e+02, 2.757694852603364666e+02, 2.767926738926127541e+02, 2.755729491940790012e+02, 2.758935556116289263e+02, 2.744174569275999147e+02, 2.737017318323659651e+02, 2.761552014056142639e+02, 2.760559434958581733e+02, 2.750191431928141697e+02, 2.762878662753943217e+02, 2.752063884306601835e+02, 2.742021840083781399e+02
