year, INM-CM5-0, CMCC-CM2-SR5, MIROC-ES2L, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-LM, CESM2-WACCM, CNRM-ESM2-1, GFDL-ESM4, UKESM1-0-LL, TaiESM1, INM-CM4-8, CanESM5, NorESM2-MM
1.863000000000000000e+03, 1.126232229512673797e+02, 6.024329774096671031e+01, 8.309299133289280803e+01, 6.533782877583870174e+01, 4.501498349841502744e+01, 9.803067576770003200e+01, 4.482426354408235625e+01, 6.356296132291610235e+01, 6.992435558631846959e+01, 9.633043563506201679e+01, 8.804050648114274225e+01, 7.770490425888387165e+01, 4.971842957815403707e+01, 1.126130484740778712e+02, 7.136720561801095641e+01, 6.577638855300318710e+01
1.864000000000000000e+03, 1.126629897758898409e+02, 5.991480234408356864e+01, 8.290096420259348520e+01, 6.555843065913690282e+01, 4.511235770972663062e+01, 9.824327324733472722e+01, 4.484147027559378529e+01, 6.353023504890679618e+01, 7.001194524860960655e+01, 9.628014344032411032e+01, 8.775956268033834817e+01, 7.788711824083998181e+01, 4.969300987526045787e+01, 1.122940332860887338e+02, 7.124544376725845041e+01, 6.580293336787772773e+01
1.865000000000000000e+03, 1.126314300621680076e+02, 5.951835415782933580e+01, 8.277402899904002709e+01, 6.497066482399576159e+01, 4.531069671316006264e+01, 9.823999780176973218e+01, 4.487825720140877905e+01, 6.347851366095195402e+01, 7.006016389003343647e+01, 9.594462607594313397e+01, 8.812136534742943184e+01, 7.793489922891359356e+01, 4.953541989732870832e+01, 1.122137725487580298e+02, 7.156780784690265307e+01, 6.595649034571557934e+01
1.866000000000000000e+03, 1.124772919123444410e+02, 5.888242838894130671e+01, 8.290572916360100919e+01, 6.478854430974524803e+01, 4.523307597799865221e+01, 9.822881241290170351e+01, 4.483173891678490008e+01, 6.343184772504841362e+01, 7.012831001514854279e+01, 9.595292277593944164e+01, 8.820600949323942075e+01, 7.769364748062024262e+01, 4.969392651779542547e+01, 1.123109712081248261e+02, 7.188437251602594813e+01, 6.623554088331856349e+01
1.867000000000000000e+03, 1.125764941781114601e+02, 5.896963652900370079e+01, 8.291524232126890581e+01, 6.406287852773708380e+01, 4.523364681563357692e+01, 9.831641120289953051e+01, 4.476323768353103105e+01, 6.345564604451848822e+01, 6.988461449994072439e+01, 9.591343386297697293e+01, 8.824988149069091037e+01, 7.752963442869804567e+01, 4.979484163601266999e+01, 1.125130726113473401e+02, 7.219013241547214932e+01, 6.634707242709684749e+01
1.868000000000000000e+03, 1.126370365440078842e+02, 5.886107449287006688e+01, 8.292919465868769180e+01, 6.388907735805618415e+01, 4.496424815258564678e+01, 9.832317086930518713e+01, 4.476840554719100140e+01, 6.355224492962469895e+01, 6.977687062527810724e+01, 9.583080794113239165e+01, 8.819770949939184845e+01, 7.745018653205612225e+01, 4.902389301912388220e+01, 1.126666730741392968e+02, 7.217622170084878519e+01, 6.629389449212526131e+01
1.869000000000000000e+03, 1.125456732503994886e+02, 5.963867310565218816e+01, 8.318585263793622175e+01, 6.401988327024206171e+01, 4.463830410224390732e+01, 9.851843189945851975e+01, 4.464882210685169639e+01, 6.371968246364596666e+01, 6.961520169272095870e+01, 9.588099519747164834e+01, 8.800248071925599902e+01, 7.727089821129969494e+01, 4.842430492998254721e+01, 1.124410579034772297e+02, 7.191253713919580548e+01, 6.621284210734020803e+01
1.870000000000000000e+03, 1.128264745122315702e+02, 6.037935583341130297e+01, 8.308522096649861055e+01, 6.437248604864251433e+01, 4.436575566621755939e+01, 9.861779695859745232e+01, 4.467801963362665418e+01, 6.361348799276880328e+01, 6.957655124389303580e+01, 9.610145472068549566e+01, 8.790558939621163859e+01, 7.696622523957923079e+01, 4.875530182771006338e+01, 1.122294715400051643e+02, 7.161930230190783675e+01, 6.611047804625579261e+01
1.871000000000000000e+03, 1.130401858672245652e+02, 6.042109567108444423e+01, 8.306175630399732768e+01, 6.422154081172620010e+01, 4.454609458636668506e+01, 9.855329781060837036e+01, 4.463287851109477344e+01, 6.338516767627963588e+01, 6.951809504445274968e+01, 9.577094152468622212e+01, 8.773855769164195806e+01, 7.680365315953110894e+01, 4.886279878819117783e+01, 1.121328976776370041e+02, 7.148163208726865037e+01, 6.594283516983915661e+01
1.872000000000000000e+03, 1.130445564776668306e+02, 6.012681669211207947e+01, 8.292971943254407563e+01, 6.408325115428121421e+01, 4.465872389869456782e+01, 9.871734104014454658e+01, 4.462077469551886111e+01, 6.340624306016652412e+01, 6.931999613099682733e+01, 9.526608324731104460e+01, 8.759278963502335102e+01, 7.664800950855806150e+01, 4.883022485163133553e+01, 1.120756498256525617e+02, 7.128328892233267311e+01, 6.566703944698312512e+01
1.873000000000000000e+03, 1.130692730739231990e+02, 6.011694721855064927e+01, 8.250885228697433149e+01, 6.354401516441798492e+01, 4.409296961688989569e+01, 9.876534666695830822e+01, 4.453917953490638837e+01, 6.327291048636664783e+01, 6.913320010062555809e+01, 9.489255540266258038e+01, 8.712172074525003040e+01, 7.669546115523034757e+01, 4.916539149178772306e+01, 1.119698451539541679e+02, 7.119678387097280847e+01, 6.552542480913048450e+01
1.874000000000000000e+03, 1.129735287189722897e+02, 5.979942245373305809e+01, 8.218797662251060387e+01, 6.324798667477035963e+01, 4.374030011024532172e+01, 9.875257618701942874e+01, 4.445887612587743831e+01, 6.287301219412830022e+01, 6.900433044824373496e+01, 9.436534621242898879e+01, 8.690065524493958549e+01, 7.683245469653201098e+01, 4.899127947345013467e+01, 1.120820504434912124e+02, 7.120492624101486001e+01, 6.538453370143491838e+01
1.875000000000000000e+03, 1.127774072421956646e+02, 5.964224192512985923e+01, 8.225887094256687249e+01, 6.284775961980371761e+01, 4.352250471423833034e+01, 9.859838061611206683e+01, 4.427067844018556997e+01, 6.279541371517910875e+01, 6.868573618383291546e+01, 9.377749739782913707e+01, 8.684539025487454467e+01, 7.673062916692229862e+01, 4.805795578246890187e+01, 1.121649336765009934e+02, 7.135952235790065856e+01, 6.540581448958293720e+01
