year, UKESM1-0-LL, CNRM-ESM2-1, TaiESM1, NorESM2-LM, ACCESS-ESM1-5, CanESM5, EC-Earth3-Veg, CMCC-ESM2, NorESM2-MM, INM-CM5-0, MPI-ESM1-2-LR, GFDL-ESM4, IPSL-CM6A-LR, CESM2-WACCM, INM-CM4-8, MIROC-ES2L
1.850000000000000000e+03, 2.246207978086766310e+00, 9.837837771499809980e-01, 1.538855428882592191e+00, 8.473775544842993002e-01, 8.893620407926632332e-01, 1.039998950108716347e+00, 1.479815526314590901e+00, 1.830485416509914254e+00, 8.854274777271646801e-01, 1.484275410007998897e+00, 1.316485365707360522e+00, 2.194986440279892204e+00, 9.717608715797505514e-01, 9.341814155833146893e-01, 1.555686190868418750e+00, 1.080656195991078761e+00
1.851000000000000000e+03, 2.246430657985979629e+00, 1.021895157025396461e+00, 1.494632170507817159e+00, 8.439036363536511764e-01, 8.599185847844722508e-01, 1.020347123969254532e+00, 1.442319014110634123e+00, 1.868776636813983538e+00, 8.886232359492628463e-01, 1.504867834577481744e+00, 1.313773789482131304e+00, 2.242871771545654536e+00, 9.638529171701152309e-01, 9.459946177989013716e-01, 1.533096816377716554e+00, 1.065538429412715926e+00
1.852000000000000000e+03, 2.260660360036956806e+00, 9.672890649108474292e-01, 1.431433829904576571e+00, 8.554698776181007824e-01, 8.707987927930441741e-01, 1.041813595378047852e+00, 1.447412887606742693e+00, 1.902752573376489398e+00, 8.798673275465328514e-01, 1.499107122389426783e+00, 1.311408139253181115e+00, 2.173483604363934507e+00, 9.711905811404829558e-01, 9.247520626606375860e-01, 1.587374830834846318e+00, 1.055703173397519734e+00
1.853000000000000000e+03, 2.269483225002245419e+00, 9.532596124954392236e-01, 1.467265461338313148e+00, 8.448698807496509700e-01, 8.910193131052442927e-01, 1.044363946314239788e+00, 1.446410800016838527e+00, 1.794476193194081581e+00, 8.839210540974505870e-01, 1.512810615655001412e+00, 1.332865525204278256e+00, 2.255445754890700982e+00, 9.949159290978344394e-01, 9.355087058866834449e-01, 1.538895630566459172e+00, 1.079519001402468259e+00
1.854000000000000000e+03, 2.273143583565267800e+00, 9.624679322513634006e-01, 1.531399033267017540e+00, 8.483014718156089984e-01, 9.070779753427662406e-01, 1.049741512652838882e+00, 1.425650012745236062e+00, 1.824715214199059021e+00, 8.961138168975887330e-01, 1.470847391512853042e+00, 1.351703712353454545e+00, 2.189191332050108407e+00, 9.922801095887220368e-01, 9.135053956499734618e-01, 1.501642594625989036e+00, 1.045431157698300417e+00
1.855000000000000000e+03, 2.246245735898499074e+00, 1.004227603306113270e+00, 1.566592481288250349e+00, 8.557310102052244627e-01, 8.872326907082808134e-01, 1.002834716950898875e+00, 1.429414003468745697e+00, 1.911946422548140401e+00, 9.043102936228039068e-01, 1.510767612532569748e+00, 1.368123606372949830e+00, 2.286354546505708019e+00, 9.949818506412900776e-01, 9.375030398999809611e-01, 1.498654392107629629e+00, 1.057990434988719475e+00
1.856000000000000000e+03, 2.274188545454715271e+00, 1.011597189388853124e+00, 1.541883946596852573e+00, 8.664935733507869164e-01, 8.936717768001782858e-01, 1.012901356273605780e+00, 1.383068968410352984e+00, 1.918004414730929197e+00, 8.890335915381034626e-01, 1.499299950015450245e+00, 1.337180468875859063e+00, 2.231516778718302785e+00, 9.863501533413779887e-01, 9.285542280464595954e-01, 1.463256214864880222e+00, 1.063676420165953429e+00
1.857000000000000000e+03, 2.285410691319648357e+00, 9.903464079279266086e-01, 1.594856891644919505e+00, 8.727949691189593739e-01, 9.047928282801545041e-01, 9.925996639614830253e-01, 1.446236826519357921e+00, 1.903032844088661024e+00, 8.989884052203963583e-01, 1.518289989573077037e+00, 1.333310792625974850e+00, 2.251283622597780365e+00, 1.018421395721667233e+00, 9.366002740967125373e-01, 1.536514871759786072e+00, 1.060074268819004129e+00
1.858000000000000000e+03, 2.272673792526549885e+00, 9.589950653888520415e-01, 1.588761981402113443e+00, 8.691045231063496690e-01, 9.199651825619992174e-01, 1.023310814105481414e+00, 1.459246190436372492e+00, 1.874821920301257938e+00, 8.984777772807694962e-01, 1.532324167980627205e+00, 1.346418947040570302e+00, 2.220502168284341327e+00, 1.007856140162848968e+00, 9.647882136948718879e-01, 1.567762595339609488e+00, 1.067781953535683170e+00
1.859000000000000000e+03, 2.265372248389806220e+00, 1.000014176916177222e+00, 1.571320676411157580e+00, 8.413324861190879522e-01, 9.070912131973423165e-01, 1.055947449541063232e+00, 1.428953881430795159e+00, 1.846441778344707574e+00, 9.050492972415570270e-01, 1.485514684049751510e+00, 1.350709911223873849e+00, 2.274238520896486371e+00, 1.018101184722711272e+00, 9.645223601620751541e-01, 1.540341943850981554e+00, 1.048207324870462642e+00
1.860000000000000000e+03, 2.266172330473488650e+00, 9.698786589272542225e-01, 1.553267559606591464e+00, 8.046424682221482438e-01, 9.126792920771367168e-01, 1.038580196961812474e+00, 1.421896530854685814e+00, 1.865771857803983025e+00, 9.036712400816035995e-01, 1.521318196005576162e+00, 1.322779418288041908e+00, 2.164452861334216216e+00, 9.921366547136366565e-01, 9.665094536443896711e-01, 1.570967023346243829e+00, 1.046503475949230877e+00
1.861000000000000000e+03, 2.247094012324539314e+00, 9.284461377061934417e-01, 1.551842451127890099e+00, 8.116418932441461509e-01, 9.424645097029239471e-01, 1.017503291184546965e+00, 1.455136743733627336e+00, 1.919964365784143867e+00, 8.956966300253973445e-01, 1.502603742409630794e+00, 1.339668950959672200e+00, 2.202505440533881753e+00, 1.018692302698124941e+00, 9.511390104431958203e-01, 1.533304028972854782e+00, 1.063244191044493192e+00
1.862000000000000000e+03, 2.278185824028527318e+00, 9.922489981335445020e-01, 1.550384587468088160e+00, 8.135830519633201474e-01, 9.619651386290242190e-01, 1.023595658506765815e+00, 1.423520300632783897e+00, 1.927377039384901458e+00, 8.866835659146322657e-01, 1.506421512711763500e+00, 1.307459391064603071e+00, 2.166956353852302897e+00, 9.928996893133377188e-01, 9.384973101531166595e-01, 1.545634981281685416e+00, 1.047491941545177552e+00
1.863000000000000000e+03, 2.280786650431958495e+00, 1.007909202062027942e+00, 1.577245282029235085e+00, 8.170022790523722156e-01, 9.634599134617641836e-01, 1.010974288572620949e+00, 1.419488262664968303e+00, 1.958003028249051702e+00, 8.878859461203789660e-01, 1.488456080026012929e+00, 1.317826671832187602e+00, 2.190990498919368257e+00, 9.869900995093444651e-01, 9.374122631617796131e-01, 1.521978049916064224e+00, 1.067017553254065110e+00
1.864000000000000000e+03, 2.299364758330574521e+00, 9.751312340853224292e-01, 1.574649863543040595e+00, 8.147787794393719363e-01, 9.753461299855360478e-01, 1.018061505896358243e+00, 1.420770104951401214e+00, 1.895693362394128778e+00, 8.831981782175508666e-01, 1.529416586967628611e+00, 1.333822759026680460e+00, 2.161046273833595155e+00, 1.004842388387848784e+00, 9.506420107317972157e-01, 1.503922612611120924e+00, 1.051802691614971419e+00
1.865000000000000000e+03, 2.273440772286886791e+00, 9.357300980486317199e-01, 1.567028486394093756e+00, 8.125122150284728173e-01, 9.501158410111760766e-01, 1.040255680116759729e+00, 1.397280238396546581e+00, 1.805562866367563357e+00, 9.027352648536496327e-01, 1.477764328777054548e+00, 1.348694993552123966e+00, 2.318156196270774405e+00, 1.020108776139265983e+00, 9.584129987659790739e-01, 1.524297802085503362e+00, 1.050470173481367064e+00
1.866000000000000000e+03, 2.256720241432443430e+00, 9.835738320756182151e-01, 1.590781302742348524e+00, 8.148915317266376412e-01, 9.606569473739914322e-01, 1.060348813281418279e+00, 1.410920791489888471e+00, 1.794013981034305649e+00, 9.274499131937820051e-01, 1.508003484232038005e+00, 1.351882760672557193e+00, 2.196131437022243116e+00, 1.014234357714205892e+00, 9.701827544553771610e-01, 1.528702647649419877e+00, 1.059615446394057914e+00
1.867000000000000000e+03, 2.274853169368431516e+00, 9.812339243066348082e-01, 1.585087584000054450e+00, 8.340226687048994947e-01, 9.583653423976908892e-01, 1.058234898491549281e+00, 1.370625077025318994e+00, 1.881746805217713758e+00, 9.332055809403946300e-01, 1.504263022886399792e+00, 1.348100043172584694e+00, 2.226443123319050255e+00, 9.991860707199844427e-01, 9.500335540828017677e-01, 1.529318192349569339e+00, 1.047025164183917889e+00
1.868000000000000000e+03, 2.253166651196643500e+00, 9.797236038185580531e-01, 1.480308476548476415e+00, 8.419339393893804369e-01, 9.668755503831636400e-01, 1.032593281887067560e+00, 1.375302256526129030e+00, 1.972788942764177378e+00, 9.367002245823774498e-01, 1.517246157942184981e+00, 1.335547777017099591e+00, 2.215116663170977329e+00, 1.017943146733602866e+00, 9.561143225263820655e-01, 1.556188017662725631e+00, 1.053720133294887340e+00
1.869000000000000000e+03, 2.228161847422264863e+00, 1.012512702763454620e+00, 1.387383674646982534e+00, 8.523664674017733534e-01, 9.798699752859801881e-01, 1.012132603713225221e+00, 1.401811641416248477e+00, 1.901219436830592358e+00, 9.515529233054355052e-01, 1.497578459572810772e+00, 1.329110130437538340e+00, 2.147734923776952964e+00, 1.007665256341473636e+00, 9.134252109112891427e-01, 1.503432878528600192e+00, 1.099197305694189053e+00
1.870000000000000000e+03, 2.224590661392441771e+00, 1.042883225727191610e+00, 1.449653159802398950e+00, 8.520918510531164669e-01, 9.678670924850925061e-01, 1.034959156749730269e+00, 1.418530829565485041e+00, 1.792698959767693445e+00, 9.299102595090277257e-01, 1.536993839632847747e+00, 1.302296253216436162e+00, 2.227698549162385966e+00, 1.028826130812190875e+00, 9.346176992094553659e-01, 1.536313230277161379e+00, 1.079137082824783267e+00
1.871000000000000000e+03, 2.226747913490469966e+00, 1.016505795004500001e+00, 1.508312016266889710e+00, 8.436593938644294521e-01, 9.906051092113955514e-01, 1.032570050119849592e+00, 1.415972574541165541e+00, 1.859394255363679083e+00, 9.305668992390461192e-01, 1.529474168263206701e+00, 1.327847977730636453e+00, 2.267418727176829130e+00, 1.037890825215123991e+00, 9.462158732903070968e-01, 1.524557503231417810e+00, 1.081234542082247119e+00
1.872000000000000000e+03, 2.237268656172837211e+00, 9.843598810145607336e-01, 1.530209834422846971e+00, 8.524459515696793943e-01, 9.946913322971766558e-01, 1.036977023587107416e+00, 1.426078133969444606e+00, 1.945320109806577991e+00, 9.010214274861968464e-01, 1.480554671494372698e+00, 1.342367968933015465e+00, 2.242868254423717733e+00, 1.055428317719881770e+00, 9.435427302486957268e-01, 1.551976075019658285e+00, 1.056852327530821034e+00
1.873000000000000000e+03, 2.279538769469979353e+00, 1.011730100520000564e+00, 1.604782931860825990e+00, 8.573029730393809666e-01, 9.972990888397985643e-01, 1.040478680172205905e+00, 1.437611127390335808e+00, 1.985130138601572503e+00, 8.958628483976880386e-01, 1.508641070899204406e+00, 1.306410036567855482e+00, 2.144300538337279960e+00, 1.052047333812278440e+00, 9.440036534060655127e-01, 1.535928340510795298e+00, 1.042302514066983932e+00
1.874000000000000000e+03, 2.282402611233812273e+00, 9.616796346090635828e-01, 1.629684407877691754e+00, 8.160723488932613012e-01, 9.957069783134641083e-01, 1.043336791684501330e+00, 1.442843032136035486e+00, 1.949728642617111207e+00, 8.870066645324158339e-01, 1.450068973063826316e+00, 1.311271003778148314e+00, 2.206004045070767194e+00, 1.050682560246442465e+00, 9.518618483349884363e-01, 1.555072700707908595e+00, 1.070421896516587479e+00
1.875000000000000000e+03, 2.255866707400355775e+00, 9.643257506502035392e-01, 1.535326691144220712e+00, 8.351418756155776224e-01, 9.912106891803977859e-01, 1.060335471130557483e+00, 1.446947790498100739e+00, 1.767490926349863267e+00, 9.028145121996390410e-01, 1.455895725631699333e+00, 1.309035976823687442e+00, 2.221855398947681248e+00, 1.042073064067161159e+00, 9.244956148051326483e-01, 1.479479274947104184e+00, 1.092688368582171110e+00
1.876000000000000000e+03, 2.245179387154731199e+00, 9.828987168442084865e-01, 1.479775128155503827e+00, 8.364042637923559953e-01, 9.834041477889029492e-01, 1.053666070619893702e+00, 1.427302812193035564e+00, 1.740164285246762921e+00, 9.204773633357133944e-01, 1.471656337019480620e+00, 1.320335292201806565e+00, 2.138266675895121427e+00, 1.037010451413153955e+00, 9.201162593377061327e-01, 1.480894290604511943e+00, 1.096179110446836580e+00
1.877000000000000000e+03, 2.270300727751585868e+00, 1.019418165166892543e+00, 1.572792301155379269e+00, 8.204439706417548939e-01, 9.619517663349824721e-01, 1.051072601794237782e+00, 1.452810741940625539e+00, 1.832580747699283030e+00, 9.172382783706634068e-01, 1.508937208927775053e+00, 1.336438975564203435e+00, 2.098381865011029745e+00, 1.044956989733442532e+00, 9.278480925244436683e-01, 1.519726696077784434e+00, 1.078585070851914018e+00
1.878000000000000000e+03, 2.295874136570009494e+00, 1.013626713555664027e+00, 1.629111838718512617e+00, 8.377726402510404791e-01, 9.641311584621263808e-01, 1.038262361709018089e+00, 1.435292968538361746e+00, 1.779916639393771094e+00, 9.182857748640762541e-01, 1.545405206315570990e+00, 1.321039627728164412e+00, 2.153043710682856382e+00, 1.037269848639471359e+00, 9.330008963885728646e-01, 1.546787274992779571e+00, 1.104752377995680046e+00
1.879000000000000000e+03, 2.299766315193453536e+00, 1.011861330518919244e+00, 1.608332147152239822e+00, 8.590120359611197465e-01, 9.821492171732922882e-01, 1.024982101504383181e+00, 1.406411071204562324e+00, 1.764056700801083455e+00, 9.213203221920175379e-01, 1.533173362107928872e+00, 1.274697971481671743e+00, 2.184290974957907139e+00, 1.025216440283166941e+00, 9.591621216765564562e-01, 1.527577550509840343e+00, 1.044969124505817692e+00
