year, MPI-ESM1-2-LR, EC-Earth3-Veg, INM-CM5-0, IPSL-CM6A-LR, CMCC-CM2-SR5, CanESM5, UKESM1-0-LL, NorESM2-MM, CNRM-ESM2-1, TaiESM1, MIROC-ES2L, ACCESS-ESM1-5, GFDL-ESM4, NorESM2-LM, INM-CM4-8, CESM2-WACCM
1.850000000000000000e+03, 1.598886745719002889e+01, 2.092690623589392018e+01, 1.674437688000632463e+01, 1.059102475530852416e+01, 1.363053747676801919e+01, 1.379716253274083826e+01, 1.606771953637381145e+01, 1.045381812482977502e+01, 1.175552270363095886e+01, 1.419003390832137868e+01, 1.665963769925890148e+01, 1.127293982074682965e+01, 1.582288711119801583e+01, 9.678074070892920489e+00, 1.727439048104776731e+01, 1.059822519751835657e+01
1.851000000000000000e+03, 1.676845796786039244e+01, 2.085133853905824708e+01, 1.656650179172562076e+01, 1.079102035379731639e+01, 1.475059747296879742e+01, 1.304026499915523551e+01, 1.548698000747513603e+01, 1.073433533806402096e+01, 1.263060664740108407e+01, 1.330629788611680553e+01, 1.613276798103551002e+01, 1.057645942706017372e+01, 1.622896759509167808e+01, 9.941841780541835760e+00, 1.667735504960885962e+01, 1.056687662065926148e+01
1.852000000000000000e+03, 1.621208902131725438e+01, 2.035267105795362497e+01, 1.696988865102567701e+01, 1.107789282115721008e+01, 1.402181981750026374e+01, 1.365132547054252932e+01, 1.591772987692564278e+01, 1.043175486697107957e+01, 1.177257385460037042e+01, 1.382138954779531659e+01, 1.615867398187372928e+01, 1.106845780864505713e+01, 1.563159058653157452e+01, 9.984073637375402654e+00, 1.762861811190998651e+01, 1.052927148224812193e+01
1.853000000000000000e+03, 1.759003715464262285e+01, 2.095769857587653462e+01, 1.609368971140099802e+01, 1.136148482425846495e+01, 1.414411100630798579e+01, 1.388611329186313981e+01, 1.711767342813439896e+01, 1.037440367537978858e+01, 1.157541458299998816e+01, 1.375254725632386155e+01, 1.601904552783808455e+01, 1.141149831993147856e+01, 1.714767974545758022e+01, 9.752096817312450483e+00, 1.633917251089199851e+01, 1.083749895289051501e+01
1.854000000000000000e+03, 1.808822568815027765e+01, 2.108182306031193676e+01, 1.577450790350832577e+01, 1.103875839056723684e+01, 1.487677385045567036e+01, 1.397603578577548866e+01, 1.679550554222629799e+01, 1.095978343548314626e+01, 1.159020689753232780e+01, 1.419403929117712693e+01, 1.550685300325793747e+01, 1.159890312087695996e+01, 1.576648610543021078e+01, 1.004034602673407406e+01, 1.624649612207182514e+01, 1.011514767100120871e+01
1.855000000000000000e+03, 1.794133371991749470e+01, 1.974641038341334465e+01, 1.695446735430568452e+01, 1.124919366604237680e+01, 1.363813769888115779e+01, 1.280554706764666051e+01, 1.534098896471507878e+01, 1.095544526228975002e+01, 1.219762028295548362e+01, 1.425462379336292251e+01, 1.600261374822254723e+01, 1.086875549325360168e+01, 1.688993660747625114e+01, 1.012983476815571748e+01, 1.695698358377627102e+01, 1.076948423223856288e+01
1.856000000000000000e+03, 1.721246331944300323e+01, 2.043832188991810384e+01, 1.691518699836764839e+01, 1.106508200654943685e+01, 1.431409747879831151e+01, 1.299172871088976677e+01, 1.600170605073048335e+01, 1.028371154737219939e+01, 1.214476778608476337e+01, 1.410325733604910425e+01, 1.675087794697657628e+01, 1.132417340693462471e+01, 1.601097094567530732e+01, 1.018006595892211053e+01, 1.596655211264498497e+01, 1.087860468265524361e+01
1.857000000000000000e+03, 1.769411071904551136e+01, 2.094716175275520698e+01, 1.699580785826944052e+01, 1.170767172395748545e+01, 1.458190877893508386e+01, 1.289925487279784377e+01, 1.684989482310679421e+01, 1.041629280238185551e+01, 1.194211065685899165e+01, 1.453639892580094717e+01, 1.648574533277554366e+01, 1.133618226130483997e+01, 1.656402074926938539e+01, 1.011764057015619933e+01, 1.642606764420656518e+01, 1.077508135681428669e+01
1.858000000000000000e+03, 1.807032246921407292e+01, 2.088636027516247395e+01, 1.667986950761930487e+01, 1.131704668963947569e+01, 1.474407279381105873e+01, 1.344662831551792515e+01, 1.666989852292072882e+01, 1.075828155987141876e+01, 1.153081756832661320e+01, 1.424077635888564330e+01, 1.651243032917029296e+01, 1.154882669418524621e+01, 1.632169023893105475e+01, 1.006037877188981078e+01, 1.667506747907019005e+01, 1.096889608883749823e+01
1.859000000000000000e+03, 1.762439209060405432e+01, 1.914761413507968513e+01, 1.650461850748564174e+01, 1.161204394095386405e+01, 1.443129320019367157e+01, 1.432135579344345544e+01, 1.646586032926158438e+01, 1.071024107262861058e+01, 1.223348299533708960e+01, 1.445496578070863514e+01, 1.574235770925641198e+01, 1.129770048807570859e+01, 1.677546246762051041e+01, 9.685793238471909206e+00, 1.708543864828646974e+01, 1.086146444195222216e+01
1.860000000000000000e+03, 1.702362543561274322e+01, 2.105021879094573478e+01, 1.750406622902313813e+01, 1.099902205223101603e+01, 1.409730342199800646e+01, 1.381730972094870324e+01, 1.534235920174247170e+01, 1.057675383885723974e+01, 1.184892736944091496e+01, 1.416107491286668107e+01, 1.629302364076992049e+01, 1.133023470344616968e+01, 1.575772100492330630e+01, 9.233975157112389809e+00, 1.701426972079381272e+01, 1.108430056927858232e+01
1.861000000000000000e+03, 1.822743988697212814e+01, 1.918166330821063781e+01, 1.671812978676841510e+01, 1.169224998282192907e+01, 1.362698062805694832e+01, 1.325712459658977238e+01, 1.491552785632210743e+01, 1.047989112849409388e+01, 1.107289605662472809e+01, 1.437671528309472535e+01, 1.591835959852367033e+01, 1.197014256952990863e+01, 1.599129823863605893e+01, 9.456603393931665380e+00, 1.674064390169984762e+01, 1.040942824669419053e+01
1.862000000000000000e+03, 1.719050614711421332e+01, 2.046138332333366350e+01, 1.647774279389768282e+01, 1.097148073129762835e+01, 1.429389145711866504e+01, 1.375748072072138228e+01, 1.681132088385156109e+01, 1.052961821807605070e+01, 1.219976954549924208e+01, 1.424052530014516371e+01, 1.599872966806407959e+01, 1.197288694118321928e+01, 1.585412858325615559e+01, 9.393331848400956474e+00, 1.692298684305823286e+01, 1.060753174930099796e+01
1.863000000000000000e+03, 1.674853995545001339e+01, 1.979036151636302066e+01, 1.622901176125536793e+01, 1.116195004690030146e+01, 1.454755628474238804e+01, 1.328971901928007604e+01, 1.689604422175993292e+01, 1.052102659905957793e+01, 1.222973462292348046e+01, 1.456288384591979224e+01, 1.587640060312277512e+01, 1.201441302394527888e+01, 1.616271637186778065e+01, 9.913518559193121860e+00, 1.676019600076024574e+01, 1.078429128404615867e+01
1.864000000000000000e+03, 1.771231785615242060e+01, 1.963222889372979552e+01, 1.704136811007967012e+01, 1.130909470181975429e+01, 1.411331960008012310e+01, 1.364910004511461139e+01, 1.708978388586188757e+01, 1.059904464518661626e+01, 1.172265230961260762e+01, 1.423948255649689543e+01, 1.594670166171770198e+01, 1.216074712866552865e+01, 1.555785296835633069e+01, 9.746683764896259206e+00, 1.548295680450043754e+01, 1.111799342219137898e+01
1.865000000000000000e+03, 1.876366391048554405e+01, 2.068482510026109367e+01, 1.595033271926410912e+01, 1.152049532029448287e+01, 1.353926340013104479e+01, 1.412883229054393119e+01, 1.610496774410021814e+01, 1.090883415845345539e+01, 1.116783895964306694e+01, 1.418127233209251337e+01, 1.618810286638654361e+01, 1.158207857193138501e+01, 1.740180672548652652e+01, 9.627953765302228462e+00, 1.656009694065220472e+01, 1.109230289411786963e+01
