year, IPSL-CM6A-LR, MIROC-ES2L, GFDL-ESM4, CESM2-WACCM, CanESM5, EC-Earth3-Veg, MPI-ESM1-2-LR, TaiESM1, CMCC-CM2-SR5, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1, ACCESS-ESM1-5
1.850000000000000000e+03, 8.736055675340703885e+01, 2.776758821491950471e+02, 9.360070074919353544e+01, 5.235205990044735245e+02, 2.286932775387260222e+02, 2.724151724646920343e+02, 1.597466501352649288e+02, 7.934613514669173640e+01, 7.797477976177603978e+02, 3.873089663900153141e+02, 3.147687919733666604e+02, 6.646534804492272315e+02, 3.324612213062184765e+02, 1.658014371249253145e+02
1.851000000000000000e+03, 8.733623491390635252e+01, 2.776967951256389142e+02, 9.365804390212426256e+01, 5.235184259364406216e+02, 2.287058128237194410e+02, 2.724041195525816192e+02, 1.597268926755605492e+02, 7.938646919467231555e+01, 7.795898698991035189e+02, 3.873085746059465464e+02, 3.147364394377448775e+02, 6.646358444047322109e+02, 3.324265263835374071e+02, 1.657306984417111835e+02
1.852000000000000000e+03, 8.729843017807854721e+01, 2.777230109507888756e+02, 9.375132676515328001e+01, 5.235048948530021562e+02, 2.287322799774037776e+02, 2.724463913302132028e+02, 1.597497741349975229e+02, 7.949562372500031415e+01, 7.794197101155511973e+02, 3.873152279479624553e+02, 3.147194668614146735e+02, 6.646150544965100835e+02, 3.323751952991173653e+02, 1.656641439815066406e+02
1.853000000000000000e+03, 8.728936843258306055e+01, 2.776607226204543508e+02, 9.375318933142909827e+01, 5.234932048968962590e+02, 2.287657017773381085e+02, 2.724386134345280084e+02, 1.596092047729641479e+02, 7.938741329729325003e+01, 7.793234345294009700e+02, 3.872438378552658946e+02, 3.147207752772642380e+02, 6.645879065956939939e+02, 3.323775862209107572e+02, 1.656181331423454992e+02
1.854000000000000000e+03, 8.729212766632818443e+01, 2.775636345742131539e+02, 9.368758149422436077e+01, 5.234579116970103314e+02, 2.287481507864489458e+02, 2.723927355346078798e+02, 1.595958553022204569e+02, 7.934858362263456399e+01, 7.791363595939262723e+02, 3.869326465544135090e+02, 3.147122450723200018e+02, 6.645689665788119100e+02, 3.323694843664264340e+02, 1.655650662459455873e+02
1.855000000000000000e+03, 8.728217282755878159e+01, 2.774855814401140606e+02, 9.369097999783198816e+01, 5.234620041718096672e+02, 2.287254856477575800e+02, 2.723903532791663906e+02, 1.596567347020378520e+02, 7.932939215009868406e+01, 7.789961663562730791e+02, 3.867646077172317973e+02, 3.146801124838783608e+02, 6.645245628015538841e+02, 3.323427336662720109e+02, 1.655018362495937367e+02
1.856000000000000000e+03, 8.727417002256569845e+01, 2.775036976815168828e+02, 9.371918415268517322e+01, 5.234598843334205185e+02, 2.287466725510021206e+02, 2.723991995288520229e+02, 1.597919162129830681e+02, 7.935696212773177649e+01, 7.789531024491578819e+02, 3.867133852534614107e+02, 3.146824868914740136e+02, 6.645039391116100660e+02, 3.323626717858014104e+02, 1.654441477387962891e+02
1.857000000000000000e+03, 8.726664879083587323e+01, 2.775372473102872846e+02, 9.372375900878947164e+01, 5.234050622802510588e+02, 2.287799181605028025e+02, 2.723669874423015926e+02, 1.598149278339678858e+02, 7.928843952217215474e+01, 7.787804722238812474e+02, 3.866369774048259842e+02, 3.147156317283017302e+02, 6.644932487911610224e+02, 3.323684418587635037e+02, 1.654158535699295101e+02
1.858000000000000000e+03, 8.728039859180748294e+01, 2.776174953203996552e+02, 9.374082813684090354e+01, 5.233780242657556983e+02, 2.288357457094147662e+02, 2.723248979101174427e+02, 1.597878018194538470e+02, 7.929674142968961803e+01, 7.786137981264295149e+02, 3.864563814061214089e+02, 3.147299420760789985e+02, 6.644926032776373859e+02, 3.324041204077314546e+02, 1.654141625497492214e+02
1.859000000000000000e+03, 8.727652016625850706e+01, 2.776407286803531065e+02, 9.372097892820170273e+01, 5.233759037126317253e+02, 2.288526498590829874e+02, 2.723099062367426768e+02, 1.597629414626006508e+02, 7.935767687708279539e+01, 7.784764312316177666e+02, 3.863919560166745555e+02, 3.147143773722145284e+02, 6.645165020914042771e+02, 3.324096811741085276e+02, 1.654339696611532133e+02
