year, EC-Earth3-Veg, CNRM-ESM2-1, TaiESM1, MPI-ESM1-2-LR, NorESM2-LM, CMCC-CM2-SR5, CanESM5, CESM2-WACCM, IPSL-CM6A-LR, NorESM2-MM, MIROC-ES2L, GFDL-ESM4, ACCESS-ESM1-5, UKESM1-0-LL, INM-CM5-0, INM-CM4-8
2.015000000000000000e+03, 2.689874752331764967e+02, 2.707189456229901339e+02, 2.692210724444282164e+02, 2.683131344423586597e+02, 2.719507008528597112e+02, 2.704639275327638188e+02, 2.714281978456149886e+02, 2.719074302141369230e+02, 2.706879549909903631e+02, 2.695598916472661699e+02, 2.705984717552561278e+02, 2.693935011609488015e+02, 2.709656869500254857e+02, 2.686535940071887580e+02, 2.704604644504480575e+02, 2.687258322336294327e+02
2.016000000000000000e+03, 2.692073975340088055e+02, 2.709996315431944822e+02, 2.691561010805198180e+02, 2.691792066449420417e+02, 2.718682259554370830e+02, 2.695354845693447601e+02, 2.705656435664816399e+02, 2.699044480633905323e+02, 2.707532462944539020e+02, 2.688661872496603564e+02, 2.703731236613316469e+02, 2.694849869930266664e+02, 2.724505105864844268e+02, 2.677042015221229576e+02, 2.704613052651443468e+02, 2.689811694448362118e+02
2.017000000000000000e+03, 2.694690491922824549e+02, 2.717694087935121274e+02, 2.686801810800503745e+02, 2.699358594466556838e+02, 2.730813256295683686e+02, 2.710518424980423902e+02, 2.710672027693267410e+02, 2.705405750417176591e+02, 2.701356557436000116e+02, 2.695538242289115374e+02, 2.713516627023196861e+02, 2.693390052534817301e+02, 2.721303472555151757e+02, 2.689076792150343636e+02, 2.711250019005353238e+02, 2.700038882182839757e+02
2.018000000000000000e+03, 2.707683956615888974e+02, 2.707950770894180437e+02, 2.690312479264671879e+02, 2.691770462789136786e+02, 2.725757909236996852e+02, 2.714024641495136052e+02, 2.718054037771786966e+02, 2.703013319517629043e+02, 2.716666372578405344e+02, 2.691153663444476365e+02, 2.707988124216205961e+02, 2.692320025917997555e+02, 2.725632048050875937e+02, 2.680211066168200205e+02, 2.705370559968685029e+02, 2.697816238036195386e+02
2.019000000000000000e+03, 2.696138243555154759e+02, 2.720640378732055069e+02, 2.696349113144984813e+02, 2.683690212427849247e+02, 2.723573310889605068e+02, 2.701331625624362118e+02, 2.715525630582780536e+02, 2.709380077121791146e+02, 2.703718144295662000e+02, 2.687098953015171219e+02, 2.694658725527881415e+02, 2.692493137513877741e+02, 2.715990359614890508e+02, 2.680972046478067909e+02, 2.708570554483011961e+02, 2.699120306078053204e+02
2.020000000000000000e+03, 2.685745552692694105e+02, 2.713557808150942492e+02, 2.685913092861850373e+02, 2.702340427071765134e+02, 2.726085169429363191e+02, 2.696373244011233510e+02, 2.724989530743298474e+02, 2.709679806873650705e+02, 2.694336978688606905e+02, 2.691516713032538064e+02, 2.698949452289853070e+02, 2.694878536113248515e+02, 2.713306934620925972e+02, 2.687663914241205703e+02, 2.696757693416327584e+02, 2.692856474093200632e+02
2.021000000000000000e+03, 2.688577195474817927e+02, 2.716356752422851741e+02, 2.690141670049209210e+02, 2.701527649308580408e+02, 2.721454175210631092e+02, 2.711282723021104175e+02, 2.709945187606659260e+02, 2.706775847905556134e+02, 2.711612499337305735e+02, 2.694325348896816763e+02, 2.706610793782853079e+02, 2.704033561519671025e+02, 2.722874285757935695e+02, 2.693695282616315012e+02, 2.697130104683532750e+02, 2.696520057516603401e+02
2.022000000000000000e+03, 2.692785331355105995e+02, 2.712165529327613172e+02, 2.690353945020038395e+02, 2.698259527116507570e+02, 2.706938273774312620e+02, 2.713103619693085875e+02, 2.735906199377139387e+02, 2.709742881932716614e+02, 2.698131915980943631e+02, 2.702480449847951149e+02, 2.707335965288338571e+02, 2.698795738897711658e+02, 2.723850927201187346e+02, 2.687725132477300463e+02, 2.707218132348316999e+02, 2.688232091021203018e+02
2.023000000000000000e+03, 2.697211682630907035e+02, 2.724364542655673631e+02, 2.690482936565659315e+02, 2.702518141851560358e+02, 2.716327631324011804e+02, 2.700255237780867787e+02, 2.731617910188974747e+02, 2.704689180836780338e+02, 2.710799929558140207e+02, 2.693817421324139332e+02, 2.707849806154377461e+02, 2.698038824614448004e+02, 2.717188197504923437e+02, 2.673627782049906614e+02, 2.700242975550623328e+02, 2.686157210409511436e+02
2.024000000000000000e+03, 2.692303040218855585e+02, 2.711038414373995238e+02, 2.691669999973624385e+02, 2.704202012888527520e+02, 2.720096619734104024e+02, 2.717519871114394618e+02, 2.728251882765812297e+02, 2.709916165177807557e+02, 2.699750436709449559e+02, 2.690593791697976371e+02, 2.704918848951132873e+02, 2.702087045908628511e+02, 2.715669982468285752e+02, 2.694034799169496637e+02, 2.699793799947496495e+02, 2.700689054521458274e+02
