year, NorESM2-LM, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-MM, IPSL-CM6A-LR, INM-CM4-8, MIROC-ES2L, GFDL-ESM4, CanESM5, UKESM1-0-LL, TaiESM1, ACCESS-ESM1-5, CNRM-ESM2-1, CMCC-ESM2, EC-Earth3-Veg, INM-CM5-0
2.030000000000000000e+03, 1.462074025524191301e+00, 1.472938049782935410e+00, 1.483810579965172183e+00, 1.300148209140549627e+00, 9.961944985704234146e-01, 9.781837684309806491e-01, 7.953829515699245567e-01, 2.525405794727074937e+00, 1.097221924367925538e+00, 1.998831666096138715e+00, 1.231400241335049772e+00, 1.274503222635593236e+00, 1.252178735027227319e+00, 2.074373892022171706e+00, 1.154335923320003010e+00, 1.051273128715667582e+00
2.031000000000000000e+03, 1.385146444901967033e+00, 1.463228542215534222e+00, 1.507985510362793935e+00, 1.267376055382501310e+00, 1.015925866662484633e+00, 1.010532478562388148e+00, 8.171343210589965267e-01, 2.515552455023246203e+00, 1.107028272591561668e+00, 2.027079805969621784e+00, 1.262255833385467430e+00, 1.288724559242395040e+00, 1.246194425877654499e+00, 2.051267653525212786e+00, 1.109562985991656481e+00, 1.069390124133069664e+00
2.032000000000000000e+03, 1.399074728311982652e+00, 1.483791406649317191e+00, 1.497671745814203481e+00, 1.319469245382429490e+00, 1.013526202090216710e+00, 9.502386256360112471e-01, 7.992362686942496852e-01, 2.537308085150721926e+00, 1.126293597095302079e+00, 2.052655361822443236e+00, 1.236289166820420116e+00, 1.332850207214704596e+00, 1.232930968044369413e+00, 1.967346979825696396e+00, 1.124007866398695210e+00, 1.000551960058750911e+00
2.033000000000000000e+03, 1.318232248874763535e+00, 1.466806525482124757e+00, 1.502449639830997885e+00, 1.364510050592022683e+00, 1.024000181575025481e+00, 1.036606874017577118e+00, 7.772894744245920640e-01, 2.530559049434448315e+00, 1.113679446008422724e+00, 2.011495322815245679e+00, 1.227454741474574673e+00, 1.320697034843823614e+00, 1.232478036004820199e+00, 2.041989264254200798e+00, 1.156230396659577497e+00, 9.748811443829958900e-01
2.034000000000000000e+03, 1.401090259676582184e+00, 1.504147891142101345e+00, 1.409123570045775375e+00, 1.335946841550182951e+00, 1.029387248416387735e+00, 9.874039509522836155e-01, 8.168318270329738562e-01, 2.526225079252667260e+00, 1.073456947528339755e+00, 2.020498374905462580e+00, 1.234663402653805253e+00, 1.319487504845039849e+00, 1.237513846424139752e+00, 2.022366503178196329e+00, 1.125405044515494390e+00, 1.025026889381405182e+00
2.035000000000000000e+03, 1.388602305426004380e+00, 1.490834296559622407e+00, 1.461929946253773371e+00, 1.384968862605300055e+00, 1.029657011180193038e+00, 9.934149507412577407e-01, 7.747678084334038706e-01, 2.561407157089954367e+00, 1.089387911748104454e+00, 2.051554225504085505e+00, 1.227039616871823613e+00, 1.337892629775330855e+00, 1.234498143485411203e+00, 1.995943369294726821e+00, 1.141260339201031870e+00, 1.041088277689781405e+00
2.036000000000000000e+03, 1.414062248482044870e+00, 1.486867942529849440e+00, 1.492261748031238122e+00, 1.377159048839089461e+00, 1.019644845053855997e+00, 1.039409837967591121e+00, 8.109213516743093431e-01, 2.569267998048827994e+00, 1.118571115668657301e+00, 2.057428195201625343e+00, 1.276795468384882115e+00, 1.347315979112527540e+00, 1.179890893268289220e+00, 1.992564473987112894e+00, 1.101951413665004154e+00, 1.085577427365175929e+00
2.037000000000000000e+03, 1.479973229687197911e+00, 1.510228492143112833e+00, 1.513670884595293309e+00, 1.401514870249141786e+00, 1.063453139247485080e+00, 1.027877948420545806e+00, 7.908209600390548877e-01, 2.610672074066665349e+00, 1.132308299051621558e+00, 2.070419901222166903e+00, 1.208131167918161442e+00, 1.339396263318775704e+00, 1.209398789138288244e+00, 2.052370797772996802e+00, 1.137961690790150637e+00, 1.111526815475369467e+00
2.038000000000000000e+03, 1.507266880976865453e+00, 1.510961506719197267e+00, 1.526393172538783594e+00, 1.358881048880494324e+00, 1.051605414191893129e+00, 1.083591945778871857e+00, 8.076673239239705593e-01, 2.617073172059823261e+00, 1.128088799331426806e+00, 2.035997568014690895e+00, 1.174766705427187752e+00, 1.349093786228298786e+00, 1.236681320906179105e+00, 1.976774258297829823e+00, 1.163143040044594789e+00, 1.064187182873922000e+00
2.039000000000000000e+03, 1.479387941548903296e+00, 1.489347888886890292e+00, 1.571599124208592269e+00, 1.374165705985141317e+00, 1.051209032245849162e+00, 9.930472175154466674e-01, 7.928233353991696042e-01, 2.618510081759920283e+00, 1.148708331293945895e+00, 2.046138996803963384e+00, 1.219581222896368944e+00, 1.336497098406066453e+00, 1.228001564070865026e+00, 1.998816157913227753e+00, 1.134583872134825588e+00, 1.058613992514251478e+00
