year, IPSL-CM6A-LR, CNRM-ESM2-1, CESM2-WACCM, UKESM1-0-LL
2.015000000000000000e+03, -6.461292044470638776e-10, 1.030187095822725485e-11, 1.137562183155046810e-10, 2.208898119436317971e-10
2.016000000000000000e+03, -5.861699763100798091e-10, 1.083677190776476457e-11, 1.167731593584994270e-10, 1.611353155077648598e-10
2.017000000000000000e+03, -6.337573425130260185e-10, 1.089424726123221766e-11, 1.174275263715623017e-10, 1.954264633320181982e-10
2.018000000000000000e+03, -5.794699091908218133e-10, 1.081070061075818979e-11, 1.179714182661526890e-10, 2.089786619146292238e-10
2.019000000000000000e+03, -5.821885334165353095e-10, 1.062940193407848436e-11, 1.185649779707016181e-10, 2.285602894447179810e-10
2.020000000000000000e+03, -5.989780225807576059e-10, 1.013767836286231514e-11, 1.185670174691344901e-10, 2.101762144935316678e-10
2.021000000000000000e+03, -5.745234591851512069e-10, 4.869243506073838161e-12, 1.184343864145354218e-10, 2.234897591662043585e-10
2.022000000000000000e+03, -6.400242970025946807e-10, 4.911627885809327380e-12, 1.181399116580329555e-10, 2.233616176496115481e-10
2.023000000000000000e+03, -6.337946200262699582e-10, 4.568770518047182262e-12, 1.182256117860288372e-10, 2.566417304530107443e-10
2.024000000000000000e+03, -6.814999545578649110e-10, 4.508388338624306259e-12, 1.184979392397549503e-10, 2.481001167932385912e-10
2.025000000000000000e+03, -5.663119957001787927e-10, 4.488613025554754176e-12, 1.185352508264121066e-10, 2.594831851187520023e-10
2.026000000000000000e+03, -6.139297842736245204e-10, 5.013950531753045124e-12, 1.190797714845628626e-10, 2.154450476873094183e-10
2.027000000000000000e+03, -5.961315775420658920e-10, 4.666704279670490284e-12, 1.193728574219683391e-10, 2.140439092390156922e-10
2.028000000000000000e+03, -6.658373109571303341e-10, 4.683128784271783635e-12, 1.195774760875721179e-10, 2.418726128553128665e-10
2.029000000000000000e+03, -6.986530631524477098e-10, 4.635730731203432616e-12, 1.191452863920955039e-10, 2.280228031993868984e-10
2.030000000000000000e+03, -7.203027274914708221e-10, 4.618519058837846315e-12, 1.191678581307651880e-10, 2.383847505600273539e-10
2.031000000000000000e+03, -6.741225145260073937e-10, 3.904236714117865973e-12, 1.222743398735489832e-10, 2.457829359316103534e-10
2.032000000000000000e+03, -6.123878130711806386e-10, 3.846907813213232205e-12, 1.236283118191031726e-10, 2.375205217032903160e-10
2.033000000000000000e+03, -7.146579311157134866e-10, 3.806856959725623766e-12, 1.246748202774239807e-10, 1.960178973808239306e-10
2.034000000000000000e+03, -6.353303857145488836e-10, 3.727716999004194983e-12, 1.251573388503090336e-10, 2.372070785467429467e-10
2.035000000000000000e+03, -6.869160559820086045e-10, 3.735821201842061365e-12, 1.237597431952937314e-10, 2.143086602774413500e-10
2.036000000000000000e+03, -6.473082526523430243e-10, 3.407611922994846096e-12, 1.249531742338241608e-10, 2.139182512802777701e-10
2.037000000000000000e+03, -6.097887339092855074e-10, 3.462729328379480464e-12, 1.249338985058393654e-10, 1.998394132642629788e-10
2.038000000000000000e+03, -6.339522439741720046e-10, 3.278253052297654735e-12, 1.250283031940549073e-10, 2.261949713079396739e-10
2.039000000000000000e+03, -6.069700469602338156e-10, 3.338248030974134975e-12, 1.252111572784670854e-10, 2.123310342028668410e-10
2.040000000000000000e+03, -5.823928080654403362e-10, 3.086621641686253002e-12, 1.246540546245240038e-10, 2.195146824037979885e-10
2.041000000000000000e+03, -5.942821471626477682e-10, 2.948773293891570920e-12, 1.252672002065871786e-10, 1.954322218987196639e-10
2.042000000000000000e+03, -5.612439020906471133e-10, 2.930138931275649730e-12, 1.254930302827626214e-10, 2.113103400520697086e-10
2.043000000000000000e+03, -6.003834305917208867e-10, 2.860703578628056739e-12, 1.250739547101906835e-10, 2.204552406682067861e-10
2.044000000000000000e+03, -5.948102584962156902e-10, 2.881292704266535882e-12, 1.249006943048268895e-10, 2.160069422717672866e-10
2.045000000000000000e+03, -6.518602006517040917e-10, 1.026707032853766365e-12, 1.240408227265448516e-10, 2.708740769316686892e-10
2.046000000000000000e+03, -7.823960499850777540e-10, 1.518792384786320908e-12, 1.239583584917660342e-10, 2.643187437823249113e-10
2.047000000000000000e+03, -7.204589425166983010e-10, 1.620035466240345372e-12, 1.235668869262788065e-10, 2.248589469832452555e-10
2.048000000000000000e+03, -6.915644880708983679e-10, 1.594455603147627752e-12, 1.231919977517835901e-10, 2.198600674368371549e-10
2.049000000000000000e+03, -5.993933364659066342e-10, 1.556744977070500658e-12, 1.228610636682035840e-10, 2.359495647644773531e-10
2.050000000000000000e+03, -6.530438477145045562e-10, 1.541513415200957062e-12, 1.227075540167605198e-10, 2.434032871130116368e-10
2.051000000000000000e+03, -6.487902437634104230e-10, 6.371938691348943949e-13, 1.320029001473854681e-10, 2.050598372409686890e-10
2.052000000000000000e+03, -6.428086476001406555e-10, 6.084618669413547300e-13, 1.334588023413871230e-10, 1.800109054967837698e-10
2.053000000000000000e+03, -5.673452715654839066e-10, 5.584078185531115197e-13, 1.346111530455054812e-10, 2.195807389152591714e-10
2.054000000000000000e+03, -6.606090788521776017e-10, 5.635714337983375900e-13, 1.351761318910643024e-10, 2.152822358260837546e-10
2.055000000000000000e+03, -7.098231879400982583e-10, 5.422224066755265281e-13, 1.356449357937927807e-10, 2.289259295317948039e-10
2.056000000000000000e+03, -6.869941546724539760e-10, 1.454980012721222885e-12, 1.347981471478360833e-10, 2.399236703352990532e-10
2.057000000000000000e+03, -6.120981065701443348e-10, 1.471635808390139580e-12, 1.351424460076167709e-10, 2.319167296748761415e-10
2.058000000000000000e+03, -7.235637460601053322e-10, 1.491389047178854907e-12, 1.354633704860663563e-10, 2.559852733028575678e-10
2.059000000000000000e+03, -7.361524870783855799e-10, 1.527008636299789198e-12, 1.352739695459498531e-10, 2.245914511608011589e-10
2.060000000000000000e+03, -6.764649150358532483e-10, 1.533552474683484951e-12, 1.370102722032046746e-10, 2.859388918834352626e-10
2.061000000000000000e+03, -5.784076149378119370e-10, 3.737978267345316662e-12, 1.372901560302893746e-10, 2.302401428630606209e-10
2.062000000000000000e+03, -7.001302216316126091e-10, 3.999030434590995239e-12, 1.377970214704497559e-10, 2.563682648229445644e-10
2.063000000000000000e+03, -7.508175300620159608e-10, 4.244843067206139956e-12, 1.379307781242593872e-10, 2.511776170363311874e-10
2.064000000000000000e+03, -6.530476257914545803e-10, 4.400545377426518596e-12, 1.383529399557695249e-10, 2.414171223589241217e-10
2.065000000000000000e+03, -6.649180598135921164e-10, 4.613375461594827407e-12, 1.389019510522499766e-10, 2.735424049852884169e-10
2.066000000000000000e+03, -6.007460195392318317e-10, 4.426076287479734010e-12, 1.337205892487314803e-10, 2.656374030336673947e-10
2.067000000000000000e+03, -6.592269969564081499e-10, 4.578341850939125771e-12, 1.326486763157211787e-10, 2.421643859322338026e-10
2.068000000000000000e+03, -6.535377326461422177e-10, 4.732870183281178456e-12, 1.331702791869766070e-10, 2.438890091443394631e-10
