year, NorESM2-LM, TaiESM1, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4
2.041000000000000000e+03, 1.719207178925962070e-10, 1.814237572260649938e-10, 9.058585024899471820e-10, 2.687063546621838238e-10, 2.730699655408472544e-10
2.042000000000000000e+03, 6.995474308971638988e-11, 1.918495741137579506e-10, 8.014794618145482464e-10, 1.160617857025374972e-10, 2.926300063223980046e-10
2.043000000000000000e+03, 4.937250790377901665e-11, 1.757123341728960992e-10, 1.064989268171934688e-09, 3.206404305260287019e-10, 2.611088597791179398e-10
2.044000000000000000e+03, 8.572344434815401256e-11, 1.934351844422007178e-10, 6.328377399717555268e-10, 2.358452548444312886e-10, 2.713324824020454044e-10
2.045000000000000000e+03, 2.019149928288607101e-10, 2.037683629122341236e-10, 7.552117050101643606e-10, 2.765985320612192873e-10, 3.245440954148088887e-10
2.046000000000000000e+03, 1.487208368301936655e-10, 1.929900580860425181e-10, 5.773933975205582259e-10, 2.980561327677375713e-10, 3.047164901354502423e-10
2.047000000000000000e+03, 2.018906842328204727e-10, 1.983654198191737701e-10, 9.709976662210905314e-10, 3.056877747497635132e-10, 2.570666252950824994e-10
2.048000000000000000e+03, 3.014303286539298516e-10, 1.713317607266505087e-10, 7.057266896772951725e-10, 2.816545559161223587e-10, 2.315079483922611328e-10
2.049000000000000000e+03, 5.787962523830800874e-11, 2.026778269694965105e-10, 7.222760943823462920e-10, 3.242210151404898195e-10, 2.557158110074699212e-10
2.050000000000000000e+03, 4.944052964421570669e-11, 2.180081085730309964e-10, 8.777630570463682575e-10, 4.595289110502051199e-10, 2.872944530347595277e-10
2.051000000000000000e+03, 1.436380445965042022e-10, 2.216177381575665386e-10, 9.198397454336983446e-10, 3.187510479168014456e-10, 2.115323620038070458e-10
2.052000000000000000e+03, 1.208438192063769428e-10, 1.851798012852068947e-10, 1.323260639017410965e-09, 3.371222265097391444e-10, 2.990738549225316825e-10
2.053000000000000000e+03, 9.337679777538536483e-11, 2.080752887906996866e-10, 8.440587430911464977e-10, 3.125883421604105245e-10, 3.425673700762448623e-10
2.054000000000000000e+03, 9.187572193568078398e-11, 1.924855128497846861e-10, 6.457214581649425241e-10, 3.747026180618992257e-10, 3.397354054334589372e-10
