year, NorESM2-MM, NorESM2-LM, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM, MPI-ESM1-2-LR, GFDL-ESM4, EC-Earth3-Veg, TaiESM1
2.029000000000000000e+03, 1.133244388778011246e-10, 1.061773287787364027e-10, 2.280228031993868984e-10, 6.068804443060316494e-10, 8.196662402753879932e-11, 4.123668805817388077e-10, 1.548698790088165743e-10, 3.362903422263280279e-10, 5.534581288543367059e-11
2.030000000000000000e+03, 1.134308704854837020e-10, 1.061909816595451344e-10, 2.383847505600273539e-10, 6.283812596462600200e-10, 8.088960037488596296e-11, 4.230550275128533652e-10, 1.968441123749751995e-10, 3.461614177698263974e-10, 5.558730075293141143e-11
2.031000000000000000e+03, 1.132690229440122141e-10, 1.061962443501347052e-10, 2.457829359316103534e-10, 5.822842456596221183e-10, 9.211491249559730005e-11, 4.188272046597442683e-10, 2.156375543547652161e-10, 3.278013614379866531e-10, 5.584011365642286736e-11
2.032000000000000000e+03, 1.130204490497181642e-10, 1.057208265631602351e-10, 2.375205217032903160e-10, 5.205334573015308400e-10, 8.219386279370323916e-11, 4.146900813002357302e-10, 1.610256091337534026e-10, 3.519287512186029522e-10, 5.614368920464360111e-11
2.033000000000000000e+03, 1.128967546798941698e-10, 1.056676769846529096e-10, 1.960178973808239306e-10, 6.228597019691577994e-10, 8.436901060055329914e-11, 4.064921151714972072e-10, 1.303168783682644176e-10, 3.225078413010338182e-10, 5.758983543646086798e-11
2.034000000000000000e+03, 1.130856533569779991e-10, 1.048991674207076897e-10, 2.372070785467429467e-10, 5.437984723361051144e-10, 9.631000978199945186e-11, 4.234710659294670530e-10, 1.601424663328352908e-10, 3.336550721168062905e-10, 5.770802761170135415e-11
2.035000000000000000e+03, 1.124393450041981919e-10, 1.041785278525974480e-10, 2.143086602774413500e-10, 5.956045607270040118e-10, 9.693295848514174899e-11, 4.293240449319759227e-10, 1.371224272141769639e-10, 3.162593155449875853e-10, 5.783413513099599052e-11
2.036000000000000000e+03, 1.117434268198321277e-10, 1.037388362312976214e-10, 2.139182512802777701e-10, 5.560534705123959010e-10, 9.393604455322970758e-11, 4.202920083748332492e-10, 1.740886100414819208e-10, 3.174862981852386996e-10, 5.810476510393801889e-11
2.037000000000000000e+03, 1.117276830584331743e-10, 1.035139030253016688e-10, 1.998394132642629788e-10, 5.185831586257644161e-10, 7.652737839064451466e-11, 4.236779182638418493e-10, 2.513973504020603530e-10, 3.372646706125710856e-10, 5.811963118543174907e-11
2.038000000000000000e+03, 1.111248157564154216e-10, 1.032627040858574808e-10, 2.261949713079396739e-10, 5.427207573631076853e-10, 7.510703198229382947e-11, 4.140086752291561631e-10, 2.256845214756158583e-10, 3.193183111485176970e-10, 5.828277756603192387e-11
2.039000000000000000e+03, 1.109481819247312554e-10, 1.033354492201654987e-10, 2.123310342028668410e-10, 5.157533789020982324e-10, 8.546300255336416729e-11, 4.078271524206925172e-10, 2.210105901439204690e-10, 3.485922335681967457e-10, 5.831632722630604769e-11
2.040000000000000000e+03, 1.107636991252123166e-10, 1.033371864289368262e-10, 2.195146824037979885e-10, 4.911547734949222074e-10, 9.528012304852883128e-11, 4.158861126943075688e-10, 2.014452935662305424e-10, 3.505144516000228356e-10, 5.832373065911823675e-11
2.041000000000000000e+03, 1.105018123168545374e-10, 1.033528733345163712e-10, 1.954322218987196639e-10, 5.037191161658036235e-10, 1.106779198466416456e-10, 4.207244633482320455e-10, 1.312171944950738611e-10, 3.333611117673155883e-10, 5.783841313731711828e-11
2.042000000000000000e+03, 1.098576501831804614e-10, 1.038834556855742242e-10, 2.113103400520697086e-10, 4.708113752141027505e-10, 1.049208884977406632e-10, 4.082586890318728782e-10, 2.255370857473509316e-10, 3.303622239113097736e-10, 5.787704234197454999e-11
2.043000000000000000e+03, 1.094906442962144355e-10, 1.036959187288435948e-10, 2.204552406682067861e-10, 5.100643889645744017e-10, 7.522184559527428374e-11, 4.188933271445960842e-10, 1.970024493220981884e-10, 3.253257045727189740e-10, 5.802696257543385061e-11
2.044000000000000000e+03, 1.087655704776779771e-10, 1.035371421886855749e-10, 2.160069422717672866e-10, 5.057208962190512683e-10, 7.796297314291525011e-11, 4.174610908973593083e-10, 1.796421310081158909e-10, 3.215827598962004456e-10, 5.393873908600058440e-11
2.045000000000000000e+03, 1.052875062853592948e-10, 1.067271502064365951e-10, 2.708740769316686892e-10, 5.625051996251575990e-10, 7.664214304478756111e-11, 4.134535477216465481e-10, 1.783063232385166051e-10, 3.227870718053521433e-10, 5.439558853919693278e-11
2.046000000000000000e+03, 1.041920439739841696e-10, 1.060747236249721059e-10, 2.643187437823249113e-10, 6.931455093705749928e-10, 1.022179579146881274e-10, 4.044295557321220517e-10, 2.643024182720976967e-10, 3.525987251483271419e-10, 5.483561146841613556e-11
2.047000000000000000e+03, 1.027395152024312293e-10, 1.060081223159630956e-10, 2.248589469832452555e-10, 6.311496035724387073e-10, 9.519909630023953666e-11, 4.084472734511851917e-10, 1.816500254892942079e-10, 3.444616480094977784e-10, 5.496571018332391987e-11
2.048000000000000000e+03, 1.021773158115551811e-10, 1.053285398343995370e-10, 2.198600674368371549e-10, 6.022144111404016829e-10, 9.287069623213425378e-11, 4.095433086517185296e-10, 2.875539438462783644e-10, 3.306779629407949443e-10, 5.559269818133550854e-11
2.049000000000000000e+03, 1.028241117372990137e-10, 1.059219943265337685e-10, 2.359495647644773531e-10, 5.099109880055816355e-10, 1.148804669964390907e-10, 4.060392895780519818e-10, 2.574591011707044617e-10, 3.367147959898527387e-10, 5.563780344167120711e-11
2.050000000000000000e+03, 1.023936073947565308e-10, 9.878695002130565150e-11, 2.434032871130116368e-10, 5.591383457377740354e-10, 1.175075635867481973e-10, 4.085538351690535104e-10, 2.485667527136532659e-10, 3.325095809712194472e-10, 6.781478335955470496e-11
2.051000000000000000e+03, 1.115681149161936273e-10, 9.656783073865568857e-11, 2.050598372409686890e-10, 5.539557846742822880e-10, 1.116970030539355570e-10, 4.107527020989220892e-10, 2.497623430723776193e-10, 3.284598628279872754e-10, 6.751790774142479847e-11
2.052000000000000000e+03, 1.103154160158024231e-10, 9.684521592170598309e-11, 1.800109054967837698e-10, 5.485133082342352910e-10, 9.154617236225403981e-11, 4.025008132443475279e-10, 2.568257128749804719e-10, 3.605004948216478437e-10, 6.989239851392994334e-11
2.053000000000000000e+03, 1.124462634453712232e-10, 9.513004440942265846e-11, 2.195807389152591714e-10, 4.731805836209219330e-10, 8.764153597223456020e-11, 4.014317203295422302e-10, 3.600023344113373385e-10, 3.429772943263706147e-10, 6.976585398472168280e-11
2.054000000000000000e+03, 1.121104042897043077e-10, 9.488209713418396110e-11, 2.152822358260837546e-10, 5.664065881618452606e-10, 8.932754078478294525e-11, 4.001490030721090390e-10, 3.115353403837483335e-10, 3.679298016994136467e-10, 6.956745621364271280e-11
2.055000000000000000e+03, 1.118086152824217512e-10, 9.488150143937013337e-11, 2.289259295317948039e-10, 6.157228006335909666e-10, 1.042948205094705944e-10, 4.039514945819173552e-10, 3.424367604418916183e-10, 3.613459470015214609e-10, 6.942505212811002354e-11
2.056000000000000000e+03, 1.114414674610588982e-10, 9.459933877244879281e-11, 2.399236703352990532e-10, 5.926089599189160373e-10, 9.695085627632314911e-11, 4.077386099785879043e-10, 2.031808712702385960e-10, 3.791806338070242629e-10, 6.797561977830880946e-11
2.057000000000000000e+03, 1.092616119010169370e-10, 9.450086650837804975e-11, 2.319167296748761415e-10, 5.174444562035293010e-10, 1.278218325389713211e-10, 4.126903021669753297e-10, 1.397233896386144472e-10, 3.708351840270337045e-10, 6.621607297890472940e-11
2.058000000000000000e+03, 1.075159735849163191e-10, 9.563972763454957953e-11, 2.559852733028575678e-10, 6.290161754311677764e-10, 1.076465638823056970e-10, 4.002847053616976038e-10, 2.228625113875323611e-10, 3.564338630575275077e-10, 6.608791123242903183e-11
2.059000000000000000e+03, 1.073420073131153297e-10, 9.547437512566100674e-11, 2.245914511608011589e-10, 6.419127079036613719e-10, 1.011872118506351128e-10, 3.962819479215073976e-10, 2.634244013283745805e-10, 3.354130073908746010e-10, 6.508233999137530111e-11
2.060000000000000000e+03, 1.076311278532558063e-10, 9.407443453088854170e-11, 2.859388918834352626e-10, 5.823580446828851338e-10, 1.169506467195233842e-10, 3.939225438474092590e-10, 2.753543507190325651e-10, 3.561806136819962138e-10, 6.515434801663001891e-11
2.061000000000000000e+03, 1.071646492733413908e-10, 9.341814926673702561e-11, 2.302401428630606209e-10, 4.846397548707239103e-10, 1.112838948357305079e-10, 4.056257404878252384e-10, 2.678836073154596775e-10, 3.890225250636438401e-10, 6.764813815131707178e-11
2.062000000000000000e+03, 1.074972402253064989e-10, 9.333969538791810584e-11, 2.563682648229445644e-10, 6.067910446664471032e-10, 1.019278359262792939e-10, 4.083473129952143826e-10, 2.111080509535091678e-10, 3.282286818790618667e-10, 6.726405067687200214e-11
2.063000000000000000e+03, 1.064576201516743794e-10, 9.233000138815943962e-11, 2.511776170363311874e-10, 6.576237056521828115e-10, 9.279799775829584739e-11, 4.084439975468503832e-10, 2.214885476777955910e-10, 3.992469945153372965e-10, 6.739813679077336087e-11
2.064000000000000000e+03, 1.057968172300861070e-10, 9.191642780211515605e-11, 2.414171223589241217e-10, 5.600654303843381202e-10, 1.165750791303782783e-10, 4.044873609627943844e-10, 2.178481176009530429e-10, 3.478626712634523967e-10, 7.023836942497100930e-11
2.065000000000000000e+03, 1.045068056446048750e-10, 9.293934642792745454e-11, 2.735424049852884169e-10, 5.720373893686541668e-10, 1.434474886429979185e-10, 4.018965088957195606e-10, 2.651006942486818677e-10, 3.817982622676691912e-10, 7.015238333759997366e-11
2.066000000000000000e+03, 1.039872742394539604e-10, 9.267062399995480221e-11, 2.656374030336673947e-10, 5.079983140726073288e-10, 1.274737752283982819e-10, 4.077818668332767180e-10, 2.833156159141779044e-10, 3.673465486813119912e-10, 7.012666075278417445e-11
2.067000000000000000e+03, 1.019945129457066328e-10, 9.214205425632786664e-11, 2.421643859322338026e-10, 5.669196555237252237e-10, 1.283057198886739282e-10, 4.027562770068486451e-10, 3.694067856009683438e-10, 3.808853842553564328e-10, 6.876114268352338364e-11
2.068000000000000000e+03, 9.927570841465285464e-11, 8.999848489847015574e-11, 2.438890091443394631e-10, 5.614637772469603505e-10, 1.320689686154372017e-10, 4.108063039808568047e-10, 3.036696000678123943e-10, 3.854785501742490594e-10, 6.882202284984523729e-11
2.069000000000000000e+03, 9.881667818781171615e-11, 9.056839184579027534e-11, 2.586315034615669479e-10, 5.794982629560326115e-10, 1.177884578194299001e-10, 4.010942511431729823e-10, 3.662992617559975051e-10, 3.828179619078493161e-10, 6.869114597905212910e-11
2.070000000000000000e+03, 9.848559510291632291e-11, 9.051967019369935060e-11, 2.217466494955634214e-10, 6.162236752086810225e-10, 1.216396119207182426e-10, 4.076687066618593798e-10, 3.331842785915064461e-10, 3.933396083116826779e-10, 6.873649772051858110e-11
2.071000000000000000e+03, 9.801028608239741538e-11, 9.026331716228995622e-11, 2.414372208953715403e-10, 5.987414759432227791e-10, 1.132904561914054793e-10, 4.051318224803965203e-10, 2.366607034303217778e-10, 3.855264221761658714e-10, 6.880555048246780965e-11
2.072000000000000000e+03, 9.761689729142615365e-11, 8.993217917141484587e-11, 2.731541727600474994e-10, 6.486302679060882591e-10, 1.153576915407121154e-10, 4.000361315520388519e-10, 2.013338236796227140e-10, 3.857572391531232128e-10, 6.885053698899555734e-11
2.073000000000000000e+03, 9.716543879319247414e-11, 8.943916768185215935e-11, 2.698214708473154171e-10, 6.137133709370952994e-10, 1.468225811107556845e-10, 4.022975557603470688e-10, 2.942181364754767572e-10, 3.919052678658048630e-10, 3.615896726550154985e-11
2.074000000000000000e+03, 9.775701866523227555e-11, 9.101409199765632704e-11, 2.695260816163274195e-10, 5.886307899123563539e-10, 1.385055324275648516e-10, 3.972180634974912091e-10, 3.340224771836421115e-10, 4.110445049200877541e-10, 4.388373283294291789e-11
2.075000000000000000e+03, 8.204780329603433995e-11, 8.629719334401240030e-11, 2.631766602806932205e-10, 6.018266095480565071e-10, 1.315651284734901732e-10, 4.089362201676767489e-10, 2.368875268539202879e-10, 3.913676719476227315e-10, 4.401967099393221435e-11
2.076000000000000000e+03, 8.021572360354243518e-11, 8.634252559431290703e-11, 2.383280490059087554e-10, 6.441918155052912854e-10, 1.627176713095990090e-10, 4.068332481230689072e-10, 3.819936615215933701e-10, 4.130007186210194251e-10, 4.291353725432216911e-11
2.077000000000000000e+03, 7.870574373718405695e-11, 8.581329732690746068e-11, 2.917956551027731544e-10, 6.670065645821988857e-10, 1.617386953033749050e-10, 4.029641441354112610e-10, 3.872528204904952328e-10, 3.820968658324712570e-10, 4.300336727420547323e-11
2.078000000000000000e+03, 7.800375184731781008e-11, 8.547986016710479950e-11, 2.920612664945599320e-10, 5.370504195998355908e-10, 1.683680512689150231e-10, 4.079023985335507364e-10, 2.531622410429496239e-10, 4.045574878382539244e-10, 4.245424838953438433e-11
2.079000000000000000e+03, 7.869036468310148428e-11, 8.725409455024584960e-11, 1.943722041052565123e-10, 5.849590387259980083e-10, 1.484870831950955093e-10, 4.121921976746948253e-10, 3.126851674614722151e-10, 4.100879285844402955e-10, 4.244833599515789327e-11
