year, MIROC-ES2L, INM-CM4-8, INM-CM5-0, MPI-ESM1-2-LR, CanESM5, TaiESM1, IPSL-CM6A-LR, NorESM2-MM, CMCC-CM2-SR5, CNRM-ESM2-1, NorESM2-LM, UKESM1-0-LL, ACCESS-ESM1-5, EC-Earth3-Veg, GFDL-ESM4, CESM2-WACCM
2.015000000000000000e+03, 1.752348590431630715e+00, 1.629228263166984991e+00, 1.744577519821676415e+00, 1.791812126496858948e+00, 1.608606654725767360e+00, 1.395257709200638185e+00, 1.783000215068640815e+00, 1.448966763389216261e+00, 1.546276740028829755e+00, 1.624770948704320706e+00, 1.666270033619790203e+00, 1.656264407241316405e+00, 1.967424466376950898e+00, 1.536030762680850037e+00, 1.661143748467700076e+00, 1.607322035641418623e+00
2.016000000000000000e+03, 1.767863785984376213e+00, 1.579706268326271257e+00, 1.735126835563179037e+00, 1.900035295943833802e+00, 1.514533321871694316e+00, 1.439463614169895544e+00, 1.770821926553631798e+00, 1.450851023579892152e+00, 1.527831462583775446e+00, 1.641265237139953426e+00, 1.546102051690371626e+00, 1.501311725656884866e+00, 1.971901270136215745e+00, 1.606511312878420306e+00, 1.702575331771446043e+00, 1.501276648382476209e+00
2.017000000000000000e+03, 1.753697656132508387e+00, 1.724294701175959288e+00, 1.736918243523212224e+00, 1.939533466152176810e+00, 1.518284167186676248e+00, 1.459223957079550882e+00, 1.794955340586341208e+00, 1.551751895915556512e+00, 1.614292160083939054e+00, 1.692638307036492984e+00, 1.695522120395434706e+00, 1.625835236434985509e+00, 2.063871510551297472e+00, 1.602087892691999693e+00, 1.686864126360669625e+00, 1.559693671117576175e+00
2.018000000000000000e+03, 1.760157002978061325e+00, 1.621936809564110016e+00, 1.628781176169227241e+00, 1.786399815408177938e+00, 1.634406961623464882e+00, 1.546675917653030252e+00, 1.756354217500829984e+00, 1.533725566186859179e+00, 1.621235815772313460e+00, 1.640895049194031730e+00, 1.671120930502311586e+00, 1.601890859979624882e+00, 1.995438924774653566e+00, 1.611166907938334392e+00, 1.680410856834199329e+00, 1.575806656243028847e+00
2.019000000000000000e+03, 1.762318637612142025e+00, 1.554756260257491585e+00, 1.671812426379933436e+00, 1.734699344582897762e+00, 1.663036824720969031e+00, 1.428660263517822715e+00, 1.696276632178220112e+00, 1.402146561539974634e+00, 1.464163346070944893e+00, 1.673041458362619860e+00, 1.630492057597983990e+00, 1.602732859882313843e+00, 1.949327996445380018e+00, 1.542047901180175984e+00, 1.704983677342052584e+00, 1.491156182278687403e+00
2.020000000000000000e+03, 1.682769645255861812e+00, 1.639435070492030855e+00, 1.722895700145542497e+00, 1.938845452925096247e+00, 1.633305464514972494e+00, 1.417366640235590225e+00, 1.733767397244409425e+00, 1.414076018434650805e+00, 1.559607063397043358e+00, 1.678774391681354672e+00, 1.588591048989992149e+00, 1.570650162126913996e+00, 1.965355138986128125e+00, 1.551707470767208719e+00, 1.702969735140683838e+00, 1.541954304400583009e+00
2.021000000000000000e+03, 1.768748465180584928e+00, 1.628052963423477495e+00, 1.701263490006530876e+00, 1.864013040164846924e+00, 1.608424668082623521e+00, 1.381126461469595057e+00, 1.748862360402114513e+00, 1.485524589102786841e+00, 1.654450363835851423e+00, 1.700650483144058311e+00, 1.643447861890371176e+00, 1.699066066578033052e+00, 1.996528129806908192e+00, 1.632194711639435525e+00, 1.761503901264313221e+00, 1.516433881133468331e+00
2.022000000000000000e+03, 1.825374542395999500e+00, 1.633951214677145991e+00, 1.791811236538290109e+00, 1.864702577348228862e+00, 1.711821017589057359e+00, 1.406797535229540097e+00, 1.712211550046810915e+00, 1.498371648594235550e+00, 1.618815591672323917e+00, 1.671997728945620931e+00, 1.529303769990822959e+00, 1.552308169953183770e+00, 1.949145986515853357e+00, 1.528330921212799121e+00, 1.808779159107580359e+00, 1.466881733317008329e+00
2.023000000000000000e+03, 1.768698393899940768e+00, 1.674064244744112084e+00, 1.677277372468746641e+00, 1.801226556500216569e+00, 1.640152103206944822e+00, 1.479466300021127445e+00, 1.739372349494161085e+00, 1.447519071052266071e+00, 1.541271635421461061e+00, 1.813986332437589555e+00, 1.601201796556537049e+00, 1.579559609267632947e+00, 1.952890520562321042e+00, 1.687099020633067381e+00, 1.753885189914505371e+00, 1.560419589367568305e+00
2.024000000000000000e+03, 1.829313173434085282e+00, 1.717893654848808849e+00, 1.751591916150404327e+00, 1.860328617031129061e+00, 1.552124295995556791e+00, 1.369234147433100013e+00, 1.763744927567624243e+00, 1.454683603890416288e+00, 1.584377861008292365e+00, 1.729855815502314043e+00, 1.483542501645626288e+00, 1.729519287802994798e+00, 1.884949728891549992e+00, 1.572927979426786971e+00, 1.719460080962234905e+00, 1.522839273365309554e+00
