year, CNRM-ESM2-1, EC-Earth3-Veg, CMCC-CM2-SR5, IPSL-CM6A-LR, CESM2-WACCM, ACCESS-ESM1-5, MIROC-ES2L, UKESM1-0-LL, MPI-ESM1-2-LR
2.015000000000000000e+03, 1.137915605966541635e-02, 2.301652480039529866e-02, 6.209812152078968417e-01, 1.141523378334305533e-01, 9.225654665406575194e-01, 1.345046254034423017e+00, 7.668644621045850318e-01, 6.145608063054221887e-03, 1.227827201183482986e+00
2.016000000000000000e+03, 1.076647168650079686e-02, 2.216939567570769959e-02, 6.224849539342022231e-01, 1.160502185112398527e-01, 9.239273353522741150e-01, 1.554391044505153863e+00, 7.684561425664625522e-01, 6.079430235536745740e-03, 1.226575205792658663e+00
2.017000000000000000e+03, 1.013237091383829662e-02, 2.138350880605202273e-02, 6.271159496584720605e-01, 1.162590638069653515e-01, 9.286204894876499694e-01, 1.502679902409963519e+00, 7.663764970242272767e-01, 6.015436692414559590e-03, 1.227460301423960010e+00
2.018000000000000000e+03, 9.488255394228791231e-03, 2.062036994905831755e-02, 6.361192447726085053e-01, 1.167514492162037981e-01, 9.336666742964214727e-01, 1.468060174938536910e+00, 7.637557050441045048e-01, 5.954933402609565406e-03, 1.224448272729909082e+00
2.019000000000000000e+03, 8.775215453971370316e-03, 1.988882303266048882e-02, 6.443616859480298942e-01, 1.174267700181748919e-01, 9.290791118461968479e-01, 1.441463885637230824e+00, 7.600129688119203752e-01, 5.898289632556922776e-03, 1.207601232906612809e+00
2.020000000000000000e+03, 7.890687504883933667e-03, 1.913715626744180373e-02, 6.507093846410515470e-01, 1.185343485858150192e-01, 9.250687129894831218e-01, 1.417265311757806234e+00, 7.545922381263187040e-01, 5.844208691243369877e-03, 1.209898146848786826e+00
2.021000000000000000e+03, 7.540744621654932658e-03, 1.834724525771067039e-02, 6.556268890918243164e-01, 1.188313866021788873e-01, 9.238531050637912578e-01, 1.395091652219538014e+00, 7.505755800275728529e-01, 5.788979911127896741e-03, 1.220260500533215220e+00
2.022000000000000000e+03, 7.138781970696773255e-03, 1.759723003357755236e-02, 6.598466508738011216e-01, 1.194625496666636977e-01, 9.229175220367737964e-01, 1.374210719246149903e+00, 7.500422269037834155e-01, 5.724076872209380926e-03, 1.219325297508466521e+00
2.023000000000000000e+03, 6.798030687550835754e-03, 1.688493369416186121e-02, 6.634211469826876151e-01, 1.206809129091840210e-01, 9.246489027925222093e-01, 1.355435329613435380e+00, 7.523646801564888298e-01, 5.666694948076501752e-03, 1.209115659209616833e+00
2.024000000000000000e+03, 6.494715809955736892e-03, 1.620526255585342384e-02, 6.661302764545334876e-01, 1.219724235882986563e-01, 9.284362763731824897e-01, 1.337096283693374632e+00, 7.550112388570169308e-01, 5.614437702383393534e-03, 1.197614317064182865e+00
