year, UKESM1-0-LL, NorESM2-MM, NorESM2-LM, CNRM-ESM2-1, ACCESS-ESM1-5, TaiESM1, EC-Earth3-Veg, CMCC-CM2-SR5, IPSL-CM6A-LR, MIROC-ES2L, GFDL-ESM4, MPI-ESM1-2-LR, CanESM5, CESM2-WACCM
2.025000000000000000e+03, 5.685283531055609352e+00, 3.934251324111182058e+00, 4.174691524603231230e+00, 5.703576953218226997e+00, 4.665734561081501752e+00, 2.503357151323618801e+00, 3.655771472451451398e+00, 5.042668250462164714e+00, 3.230881655116151219e+00, 6.434944659976881809e+00, 4.728325173479764665e+00, 5.797257146994729382e+00, 5.950627150052362424e+00, 4.648183281841543391e+00
2.026000000000000000e+03, 5.538686534867363065e+00, 4.234026229386563145e+00, 4.244322948227898351e+00, 5.677602752146330367e+00, 4.642780839109645896e+00, 2.534039007761994977e+00, 3.138369959799778286e+00, 4.902850856113402322e+00, 3.405809879638903137e+00, 6.544498453476627731e+00, 4.731390175110727903e+00, 6.224347848035703734e+00, 6.073764218302369677e+00, 4.589931018344262093e+00
2.027000000000000000e+03, 5.706067539200866179e+00, 3.952833045246483934e+00, 4.075512069783999713e+00, 6.058280026254402983e+00, 4.617818041121616979e+00, 2.571289493577685548e+00, 3.878240289529136131e+00, 4.885513766962638726e+00, 3.326637538496939772e+00, 6.608626687516767184e+00, 4.685069958985959460e+00, 5.955570282483620304e+00, 5.828330465325167964e+00, 4.668383107845961888e+00
2.028000000000000000e+03, 5.831426204507975442e+00, 4.163979183459473710e+00, 4.229869401655585115e+00, 6.068509029374935082e+00, 4.703536246799861154e+00, 2.520927903764618172e+00, 3.736391382525361404e+00, 4.879442023112527949e+00, 3.337328198496666953e+00, 6.486768156084050219e+00, 4.814397709060067143e+00, 5.765973528322207109e+00, 6.357635843585794255e+00, 4.672338652472610931e+00
2.029000000000000000e+03, 5.604179281907644139e+00, 4.147527087584713890e+00, 4.130262361266859195e+00, 5.712155326893243235e+00, 4.728162254114454122e+00, 2.591895833489280765e+00, 4.001265298847653362e+00, 4.939692179644683101e+00, 3.493398816888377389e+00, 6.891563530663152193e+00, 4.843780169099168198e+00, 5.943159577842767938e+00, 5.846488376232478856e+00, 4.799997026156392010e+00
2.030000000000000000e+03, 5.864083880928375514e+00, 4.243189303674187229e+00, 4.232514606976389260e+00, 6.018829460773618578e+00, 4.666879950055074389e+00, 2.628722325571297702e+00, 3.451913715630325896e+00, 4.902563012203984272e+00, 3.402226952404078464e+00, 6.811764927955755944e+00, 4.902408181491990646e+00, 6.101319851298994124e+00, 6.267794719310525231e+00, 4.730012513084552062e+00
2.031000000000000000e+03, 5.961831229305924573e+00, 4.096882128559419023e+00, 3.987420736464230231e+00, 6.136367216796403845e+00, 4.679028240398354299e+00, 2.596550106478960451e+00, 3.830966407361735993e+00, 4.940714691549472626e+00, 3.433947055435488060e+00, 6.833435588978114872e+00, 5.086422423641903556e+00, 5.793721686931418979e+00, 6.271583582913632604e+00, 4.728497122883790205e+00
2.032000000000000000e+03, 5.964495583642132281e+00, 4.411446896271062457e+00, 4.257082609207096802e+00, 6.023105379931346981e+00, 4.866341719359104090e+00, 2.573365618831084056e+00, 4.091498871965608686e+00, 5.102699974899111979e+00, 3.547115313203984321e+00, 6.888160180183902526e+00, 4.827831851080020442e+00, 5.822010695646879341e+00, 6.478929720206554776e+00, 4.861346854291729080e+00
2.033000000000000000e+03, 5.724993741435887351e+00, 4.167803521461729055e+00, 4.011218621694509601e+00, 6.045069153825372688e+00, 4.797549347190035895e+00, 2.610413186110094319e+00, 3.520881469302501010e+00, 5.117263574036834406e+00, 3.513004143281702518e+00, 6.814948116921002885e+00, 4.769490955089666251e+00, 5.847305456559373837e+00, 6.225379548426129617e+00, 4.780750269044954592e+00
2.034000000000000000e+03, 6.032852631057867399e+00, 4.158424507312805218e+00, 4.162273255987399168e+00, 6.044757337976219169e+00, 5.009483903110514724e+00, 2.617046558703715942e+00, 3.625772249116703705e+00, 5.164224240931111432e+00, 3.587140138680597001e+00, 6.897699163605592432e+00, 4.693385953019649115e+00, 6.225410701563330207e+00, 6.145293664355177654e+00, 4.656626921649502648e+00
