year, MIROC-ES2L, CNRM-ESM2-1, MPI-ESM1-2-LR, CESM2-WACCM, CMCC-ESM2, UKESM1-0-LL, CanESM5
2.044000000000000000e+03, 1.671033941994134702e-09, 2.596513604473868042e-09, 1.200242348357229755e-09, 7.260884396483650057e-10, -3.550513047274681331e-10, 1.001041619227897486e-09, 1.118338036842052561e-09
2.045000000000000000e+03, 1.930987676614667155e-09, 2.405569791105263941e-09, 2.347721285195315097e-10, 4.018108613242729262e-10, -1.813287037030985478e-10, 1.608223702683078392e-09, 1.350570023434554723e-09
2.046000000000000000e+03, 2.163641085851851233e-09, 2.598249063489993030e-09, 1.151840753901847197e-09, 9.567264496791196514e-10, -6.822444760310032850e-10, 1.329835997770147093e-09, 1.346245779648464781e-09
2.047000000000000000e+03, 1.340189154541292948e-09, 1.738374905185024067e-09, 5.447799614180606245e-10, 7.285538968820398066e-10, -2.835144512217596801e-10, 1.301079333699815028e-09, 1.964345270159498172e-09
2.048000000000000000e+03, 2.204181620858885114e-09, 2.331580222525057406e-09, 1.081171540888973832e-09, 9.344213121919663874e-10, -4.447347428206381140e-10, 1.540713358876442873e-09, 1.408443086788712665e-09
2.049000000000000000e+03, 2.194040720534124073e-09, 2.164909811906168967e-09, 1.004900277228071156e-09, 2.996556115064743222e-10, 1.687502491448297033e-10, 1.362423024272332388e-09, 1.281638710888609499e-09
2.050000000000000000e+03, 1.124531184597674910e-09, 2.363497794694080647e-09, 6.665446464685252446e-10, 8.954099740134013191e-10, 2.922049374883126424e-11, 1.458464490360399792e-09, 1.355165418248640529e-09
2.051000000000000000e+03, 2.144661510198420591e-09, 2.337547842659779358e-09, 6.733682114962532096e-10, 1.060106594047555708e-09, -1.804192912869112339e-10, 9.792856581102497854e-10, 1.597357092312619165e-09
2.052000000000000000e+03, 2.602684645949706600e-09, 7.391520390560118331e-10, 4.578932312470162085e-10, 5.294944720325776247e-10, -3.961037842977054248e-10, 9.983319216915019208e-10, 1.645402880644799212e-09
2.053000000000000000e+03, 2.135945481477760209e-09, 1.579209809358154322e-09, 1.463086143817033964e-09, 1.209593165095199279e-09, 1.489639319866754291e-10, 1.110793292059385271e-09, 2.051256852068452427e-09
2.054000000000000000e+03, 1.801140756613162253e-09, 2.896367098218987397e-09, 5.088107811333192103e-10, 1.643222636465749663e-09, 1.752459265783054532e-11, 1.089060955555686468e-09, 1.327340057419291974e-09
2.055000000000000000e+03, 5.861461640203899202e-10, 2.442820551791334701e-09, 8.820284219394463309e-10, 6.900257446527477308e-10, 9.214178971722528697e-11, 1.296309283572253448e-09, 2.133192621890724611e-09
2.056000000000000000e+03, 2.078829935495090102e-09, 2.730235271406091335e-09, 1.110452778591394345e-09, 6.727101625705826976e-10, -1.152614836409949769e-09, 1.302464760125335208e-09, 1.068987215790469663e-09
2.057000000000000000e+03, 2.515844090855764759e-09, 1.914281750560312988e-09, 7.031237062577652514e-10, 1.296506114391204856e-09, -2.224672134024306015e-10, 8.748996769984724419e-10, 1.964062084170558725e-09
2.058000000000000000e+03, 2.772194845233018115e-09, 2.502800924398190501e-09, 3.361952708203923641e-10, 4.158484722928630509e-10, 7.515907512333075971e-10, 1.290075284525057854e-09, 2.005508113054591982e-09
2.059000000000000000e+03, 1.979736329513657524e-09, 2.376909861621429522e-09, 8.557522618371008325e-10, 7.101707811928920503e-10, 4.694777702733491835e-10, 5.776345138428562675e-10, 1.619791717569610657e-09
2.060000000000000000e+03, 1.669987956743947190e-09, 2.270667853738028893e-09, 6.807362403927969185e-10, 1.414144233605402423e-09, 1.083484489152568362e-09, 1.475236908391536186e-09, 2.204268798898830191e-09
2.061000000000000000e+03, 1.999237713242526649e-09, 2.868806644066568438e-09, 9.790429987719797468e-10, 4.439008356556157899e-10, -4.259296888926230298e-10, 1.240435938904840184e-09, 2.464727585657785524e-09
2.062000000000000000e+03, 1.669525539647489029e-09, 2.864693950425108773e-09, 8.611992199509832656e-10, 1.184892801748351786e-09, -4.570074456441602318e-10, 1.288122600009829486e-09, 2.494165565173335980e-09
2.063000000000000000e+03, 1.522441286582999944e-09, 1.685210308645983041e-09, 4.131885647753578716e-10, 1.165446586797963429e-09, -2.258946990498252627e-10, 1.055590006022834463e-09, 2.851096284309151266e-09
2.064000000000000000e+03, 2.555531236786052912e-09, 2.883379626936872261e-09, 5.930235768810633975e-10, 1.603624088643378622e-09, 2.989547417574199760e-10, 7.993131743784361001e-10, 2.139547303409557098e-09
