year, NorESM2-LM, TaiESM1, GFDL-ESM4, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-MM, TaiESM1, NorESM2-MM, EC-Earth3-Veg, CNRM-ESM2-1, CESM2-WACCM, GFDL-ESM4
2.015000000000000000e+03, 8.583257020471175625e-11, 1.658591443604838181e-10, 2.297449549105920094e-10, 6.459095530405223271e-10, 3.040657035318365221e-10, 3.985952397650054236e-10, 1.658591443604838181e-10, 3.985952397650054236e-10, 2.447507981345336015e-10, 6.459095530405223271e-10, 1.409692430062626245e-10, 2.203007676419205263e-10
2.016000000000000000e+03, 1.756677715449735858e-10, 1.357635215508702234e-10, 3.051443739915307535e-10, 1.025874541698762062e-09, 3.786766973932953048e-10, 2.304303086502912143e-10, 1.357635215508702234e-10, 2.304303086502912143e-10, 1.821159144039645544e-10, 1.025874541698762062e-09, 1.676057992121412101e-10, 2.960882714729656916e-10
2.017000000000000000e+03, 1.116585987437948329e-10, 1.554064077963699538e-10, 2.250793310161973028e-10, 5.692175926750761916e-10, 2.792672945845347383e-10, 2.431148410742711488e-10, 1.554064077963699538e-10, 2.431148410742711488e-10, 1.849075713897818878e-10, 5.692175926750761916e-10, 9.890667497862580556e-11, 2.158714909652002415e-10
2.018000000000000000e+03, 6.470141015891657559e-11, 1.656205363704201814e-10, 1.749250259716212895e-10, 6.353116784520812955e-10, 3.785638788373861718e-10, 1.397775713822756340e-10, 1.656205363704201814e-10, 1.397775713822756340e-10, 2.487182849803585515e-10, 6.353116784520812955e-10, 1.491619028520157325e-10, 1.665037809422744499e-10
2.019000000000000000e+03, 6.280964576930029971e-11, 1.747653645510939551e-10, 2.172765732311134140e-10, 5.834387178979488669e-10, 2.142531196372280272e-10, 1.003293289274966350e-10, 1.747653645510939551e-10, 1.003293289274966350e-10, 2.206606113029791600e-10, 5.834387178979488669e-10, 1.693384649996259522e-10, 2.090995289552212108e-10
2.020000000000000000e+03, 2.237003108652438438e-10, 1.490357289145669702e-10, 2.069880533837862469e-10, 5.295230315031650186e-10, 3.667442467597492628e-10, 3.821598568199603818e-10, 1.490357289145669702e-10, 3.821598568199603818e-10, 1.640815037415857323e-10, 5.295230315031650186e-10, 3.102739483891624054e-10, 1.987226791594187602e-10
2.021000000000000000e+03, 7.163053032783916569e-11, 1.634849591034732769e-10, 2.074068868710666895e-10, 6.302981701809215648e-10, 3.232799354213601319e-10, 2.130142923413327119e-10, 1.634849591034732769e-10, 2.130142923413327119e-10, 1.144466763405301442e-10, 6.302981701809215648e-10, 3.324302731506746760e-10, 1.990377482789900397e-10
2.022000000000000000e+03, 3.044159021890874847e-11, 1.929098576282215457e-10, 1.728772843215340586e-10, 8.199621656560199421e-10, 3.100422660210465758e-10, 1.778410909204971054e-10, 1.929098576282215457e-10, 1.778410909204971054e-10, 1.904922989301298585e-10, 8.199621656560199421e-10, 1.004646164087169945e-10, 1.646836318467223176e-10
2.023000000000000000e+03, 6.985338269060006261e-11, 1.522399245440951252e-10, 1.594824519432411104e-10, 9.794520692826560295e-10, 3.722462701179532275e-10, 4.817626526770574691e-10, 1.522399245440951252e-10, 4.817626526770574691e-10, 2.115019256358107618e-10, 9.794520692826560295e-10, 1.891659670619092823e-10, 1.516339632758261064e-10
2.024000000000000000e+03, 1.911672610521406704e-10, 1.751661706556472127e-10, 1.947811630763416144e-10, 4.807106691471693171e-10, 3.388367990929017501e-10, 2.470077135498765581e-10, 1.751661706556472127e-10, 2.470077135498765581e-10, 2.722630527195229810e-10, 4.807106691471693171e-10, 9.314865942099648493e-11, 1.867611958269807530e-10
