year, NorESM2-LM, IPSL-CM6A-LR, TaiESM1, CMCC-CM2-SR5, MIROC-ES2L, INM-CM5-0, CanESM5, GFDL-ESM4, INM-CM4-8, NorESM2-MM, ACCESS-ESM1-5, EC-Earth3-Veg, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL
2.025000000000000000e+03, 5.256658832477425491e+00, 3.991715552146476220e+00, 2.709340261807710259e+00, 5.151688600093020654e+00, 7.513689998639836887e+00, 5.261005431351060579e+00, 6.893540514763196292e+00, 5.632253553225825549e+00, 5.185420435199190159e+00, 4.516796106853506743e+00, 5.074677760182912500e+00, 4.567131928432894838e+00, 5.152526692321494295e+00, 6.348676719963880721e+00, 7.012904545670780365e+00, 6.626546926900416246e+00
2.026000000000000000e+03, 4.751346271662216125e+00, 4.150804595800443586e+00, 2.724805173621982490e+00, 5.615956084669050163e+00, 7.640599454356359566e+00, 4.923008216489707323e+00, 6.732335891900176783e+00, 5.768081670146042228e+00, 5.037428469666259900e+00, 4.852187022739291145e+00, 5.006092195066850437e+00, 4.285539640609275835e+00, 5.147315856987742855e+00, 6.940827635204038337e+00, 6.784338083837623934e+00, 6.518671507547029620e+00
2.027000000000000000e+03, 4.586542136403923386e+00, 4.091787746958885919e+00, 2.753309969677898650e+00, 5.429495941471954801e+00, 7.934628388727604786e+00, 5.015431460822338927e+00, 6.130852897697964821e+00, 5.716100363763797709e+00, 5.178970960890933561e+00, 4.720872806007023748e+00, 5.015282634126075223e+00, 4.803513264058859811e+00, 5.069987016082930786e+00, 6.579477541052753509e+00, 7.031925807883753876e+00, 6.619499092874164603e+00
2.028000000000000000e+03, 4.813045703084144478e+00, 4.206314888930855922e+00, 2.722283969411945836e+00, 5.200085816898475599e+00, 7.187083407428597859e+00, 5.329702490659749436e+00, 6.392396024295931234e+00, 5.531647029415896810e+00, 4.895294716762501608e+00, 4.780494848178551415e+00, 4.952938640672275739e+00, 4.730473520976417490e+00, 5.347229290908708244e+00, 6.593368923708312401e+00, 7.209098606871423343e+00, 6.450294823843884195e+00
2.029000000000000000e+03, 4.869936117846696888e+00, 4.477765466997401411e+00, 2.861498383176803273e+00, 4.880884870308569212e+00, 7.798273103769073344e+00, 5.567015312308048358e+00, 6.593517350592258630e+00, 5.658723684200380966e+00, 5.077022331636340091e+00, 4.508396670699727160e+00, 5.020178531077025497e+00, 5.204443410681871995e+00, 5.367882474248141911e+00, 6.670654446185915631e+00, 6.936948038080313239e+00, 6.544269997637531588e+00
2.030000000000000000e+03, 4.651286282747843615e+00, 4.453094392509783006e+00, 2.906296961395840484e+00, 5.058404892500578676e+00, 8.069732280016891579e+00, 5.368463354681902722e+00, 7.045719169329002440e+00, 5.595922948433527999e+00, 5.140215121682982335e+00, 4.755831339623943776e+00, 4.971901528689281591e+00, 4.983854107038638404e+00, 5.330063689558892648e+00, 6.748252958078353458e+00, 7.364316615683840439e+00, 6.840025592667723586e+00
2.031000000000000000e+03, 4.516012394125143103e+00, 4.484421880530875093e+00, 2.905158978420962601e+00, 5.452420591186169396e+00, 8.136928552431633932e+00, 5.310754756133408527e+00, 6.860956507153572304e+00, 5.750434709883019302e+00, 5.079151914441905724e+00, 4.587507127473385182e+00, 5.108254163182419205e+00, 4.662451020312872174e+00, 5.337007711361588136e+00, 6.510102660781858397e+00, 7.410632756222854667e+00, 6.927183277679954010e+00
2.032000000000000000e+03, 4.471752265803860205e+00, 4.279028204786837541e+00, 2.788838355655495427e+00, 5.736957220138927838e+00, 7.821825711214456689e+00, 5.144129720239525305e+00, 7.233540931839603338e+00, 5.761413198801130342e+00, 4.888004001289604439e+00, 4.840528296172947442e+00, 5.412063309608604378e+00, 5.251944880270820626e+00, 5.438804865293613844e+00, 6.760994390819435651e+00, 7.309954274305285438e+00, 6.923621252704165840e+00
2.033000000000000000e+03, 4.173639343989266948e+00, 4.555589809894326159e+00, 2.848063199471226881e+00, 5.432093329436844975e+00, 7.718332456390735175e+00, 5.217258595534569388e+00, 7.010259793068858158e+00, 5.651784467321809835e+00, 5.039531583522459002e+00, 4.916317669005495716e+00, 5.222317250604851857e+00, 4.971391461504371279e+00, 5.187713397362796464e+00, 6.620575345080180085e+00, 7.309037662318380590e+00, 6.707205424680371841e+00
2.034000000000000000e+03, 4.755653749564536348e+00, 4.521701836138504405e+00, 2.939785590862968867e+00, 5.335708467824583856e+00, 8.343671983593367258e+00, 5.416584833266875343e+00, 6.456198043596395486e+00, 5.479883897068297927e+00, 5.014094845164301262e+00, 4.764295321917813020e+00, 5.182608959818377770e+00, 5.241080644138444988e+00, 4.766793259630360602e+00, 7.105743115981586477e+00, 7.385023463474267302e+00, 6.963279098265633849e+00
2.035000000000000000e+03, 4.789504083831708670e+00, 4.668596261877927311e+00, 2.850326005550775310e+00, 5.850762551663920341e+00, 7.823200838742892849e+00, 5.213530181875977831e+00, 6.621555275991396705e+00, 6.022162048775114407e+00, 4.938300018195604046e+00, 4.985001579429761520e+00, 5.422601755484139474e+00, 4.810588641804756094e+00, 5.190542315243205529e+00, 6.890049931628706048e+00, 7.362858974149020241e+00, 6.961446529134763139e+00
2.036000000000000000e+03, 4.621371272399960262e+00, 4.496492415477849391e+00, 2.958245337915811124e+00, 5.725774999610214522e+00, 8.019085823804935842e+00, 5.387134789482633579e+00, 6.937850042676167561e+00, 5.690292485787766807e+00, 5.437796729457993195e+00, 4.804194678840612021e+00, 5.182988796678027477e+00, 4.880858854150976534e+00, 5.703856445256128005e+00, 6.890153139879084065e+00, 7.004002372648593600e+00, 6.678186160888606615e+00
