year, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4
2.039000000000000000e+03, 4.823085824499001572e-10, 9.952482370832422721e-11, 7.433544812783689387e-11
2.040000000000000000e+03, 5.166437028024274559e-10, 1.130451807105809583e-10, 7.666679636292967222e-11
2.041000000000000000e+03, 4.894786027511215685e-10, 1.059647555337321511e-10, 6.504428421871271286e-11
2.042000000000000000e+03, 4.981167601015283278e-10, 1.026265927184599696e-10, 8.062276885938083796e-11
2.043000000000000000e+03, 5.196299251947331749e-10, 9.806956557082033633e-11, 7.692731532571775361e-11
2.044000000000000000e+03, 5.233210020329925176e-10, 9.897575071638369155e-11, 7.893279970908220048e-11
2.045000000000000000e+03, 5.069181724173194923e-10, 9.994981756714729346e-11, 7.459240819848147592e-11
2.046000000000000000e+03, 5.200307221412508119e-10, 1.040431326190224551e-10, 8.419239069994024517e-11
2.047000000000000000e+03, 5.136936521280083973e-10, 1.071185628449851173e-10, 8.165514009742590584e-11
2.048000000000000000e+03, 5.354320385303390754e-10, 1.092211724144008043e-10, 9.566402799142483297e-11
2.049000000000000000e+03, 5.392216065827561699e-10, 9.986996005603878795e-11, 9.390148498316647823e-11
2.050000000000000000e+03, 5.326087598663285869e-10, 9.376754662596995763e-11, 8.969314010447555370e-11
2.051000000000000000e+03, 5.399968452102157557e-10, 1.104803562131096574e-10, 8.691125665289975946e-11
2.052000000000000000e+03, 5.422768472404802316e-10, 1.040211389474537634e-10, 8.804975797173307831e-11
2.053000000000000000e+03, 5.723552526632425148e-10, 1.124893176192258336e-10, 1.126511969557231862e-10
2.054000000000000000e+03, 5.341051892207145990e-10, 1.104349394946513711e-10, 1.117807819842165665e-10
2.055000000000000000e+03, 5.518433334618527883e-10, 1.127168100960894034e-10, 1.111548342514779998e-10
2.056000000000000000e+03, 5.838915632820227743e-10, 1.107404882085947436e-10, 7.904052434325106552e-11
2.057000000000000000e+03, 5.429534278512853961e-10, 1.209336103865598462e-10, 7.820859472287776108e-11
2.058000000000000000e+03, 5.444230408732381997e-10, 1.130480618152051038e-10, 8.652112042542933121e-11
2.059000000000000000e+03, 5.633789091504927243e-10, 1.109390165714141256e-10, 9.838030036742749447e-11
2.060000000000000000e+03, 5.721394898845507679e-10, 9.349260147780104210e-11, 9.508751675246304747e-11
2.061000000000000000e+03, 5.906999859712572489e-10, 1.223570221445668770e-10, 1.012238447397201791e-10
2.062000000000000000e+03, 5.965730390367004440e-10, 1.044825638318636539e-10, 8.953889122723107157e-11
2.063000000000000000e+03, 5.730627499155061184e-10, 1.098900932520838636e-10, 9.058317657434004699e-11
2.064000000000000000e+03, 5.746852322237292419e-10, 1.109592576462681748e-10, 8.940010195772263436e-11
2.065000000000000000e+03, 5.818804556156450124e-10, 1.133495906527948198e-10, 9.494477669468726952e-11
2.066000000000000000e+03, 6.037409721406132526e-10, 1.096930010168246907e-10, 9.598881909169291229e-11
2.067000000000000000e+03, 5.913245649866828559e-10, 1.167365986937322781e-10, 1.261327392380797114e-10
