year, UKESM1-0-LL, ACCESS-ESM1-5, CMCC-ESM2, MPI-ESM1-2-LR, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1, MIROC-ES2L
2.030000000000000000e+03, 1.869343016175739279e-13, 4.385903723979035781e-11, 9.159767949626429123e-11, 4.267020918055857532e-10, 1.974064551353724456e-10, 6.337360539814061016e-10, 3.321964706674220672e-12, 4.327040736633261965e-10
2.031000000000000000e+03, 1.818252844062459831e-13, 4.162444449549731753e-11, 9.144144683096004359e-11, 4.223871922795141090e-10, 2.086548298442575370e-10, 5.876158494606467085e-10, 3.317899884108848037e-12, 4.355213377554474081e-10
2.032000000000000000e+03, 1.897572412797626936e-13, 3.993414922524414570e-11, 9.129211816311441739e-11, 4.180890255816600169e-10, 1.988437815243465463e-10, 5.259180227333333922e-10, 3.272901364996479049e-12, 4.351156089370412002e-10
2.033000000000000000e+03, 1.881602021949393734e-13, 3.898324538185864648e-11, 9.113774764303231372e-11, 4.096590270091479433e-10, 2.016387888524104090e-10, 6.283002426435065164e-10, 3.229306783426655968e-12, 4.338022331266274775e-10
2.034000000000000000e+03, 1.579512515667739741e-13, 3.785594679330862446e-11, 9.094236742602973373e-11, 4.267368586565791091e-10, 2.140369272944558075e-10, 5.492849450956471983e-10, 3.183752485069098602e-12, 4.309239968222133442e-10
2.035000000000000000e+03, 1.374288943697288935e-13, 3.821260187439504667e-11, 9.068915604462942144e-11, 4.323138076685164739e-10, 2.148462065424320689e-10, 6.011517155725592475e-10, 3.133818568280407235e-12, 4.312715158949407438e-10
2.036000000000000000e+03, 1.336087185683254251e-13, 3.673578335979264020e-11, 9.043273545293318774e-11, 4.230002504439187432e-10, 2.122039676692782673e-10, 5.616164807072217480e-10, 3.055195859833091937e-12, 4.332536134714987538e-10
2.037000000000000000e+03, 1.354718366716183022e-13, 3.558414454849563441e-11, 9.018941765885191084e-11, 4.262761074628312909e-10, 1.950663207758528406e-10, 5.241711836966224335e-10, 2.982043105122110215e-12, 4.345268374376907311e-10
2.038000000000000000e+03, 1.381787604084924917e-13, 3.476128336894843693e-11, 8.994494261219002349e-11, 4.165385942124255579e-10, 1.938473789534391671e-10, 5.483892120894530594e-10, 2.912142019242809312e-12, 4.354919768121546862e-10
2.039000000000000000e+03, 1.403133276840789956e-13, 3.403940515014650819e-11, 8.969093281215499076e-11, 4.103108932588845981e-10, 2.039452890042769296e-10, 5.214641761621846905e-10, 2.833646779215720644e-12, 4.378764669953040960e-10
2.040000000000000000e+03, 1.370078329356168019e-13, 3.441265585489010491e-11, 8.942479214243022657e-11, 4.182251796892275162e-10, 2.132698261364909471e-10, 4.969248300148760011e-10, 2.761585115468223886e-12, 4.340602179252895202e-10
2.041000000000000000e+03, 1.232862112363304382e-13, 3.337701062349045448e-11, 8.918728632552297285e-11, 4.229322709136874054e-10, 2.282640948210746432e-10, 5.092931246178753025e-10, 2.718475879902634853e-12, 4.320404138632952544e-10
2.042000000000000000e+03, 1.106279829119362462e-13, 3.264377003315328420e-11, 8.899162045911663327e-11, 4.103610093582957893e-10, 2.223416256234463952e-10, 4.764342621582433940e-10, 2.685207167138902792e-12, 4.332123655764489188e-10
2.043000000000000000e+03, 1.054145618091424890e-13, 3.209447909037314911e-11, 8.883202566089859874e-11, 4.210532616793098235e-10, 1.924675467931170829e-10, 5.157205794247514627e-10, 2.649358989606965692e-12, 4.353351779720759474e-10
2.044000000000000000e+03, 1.053948043253160760e-13, 3.164704371479094390e-11, 8.864179483586392040e-11, 4.195936729078977195e-10, 1.950685358333814871e-10, 5.114845348300930841e-10, 2.622823494939082756e-12, 4.265943821837528287e-10
2.045000000000000000e+03, 1.142021024882031898e-13, 3.167002970940580606e-11, 8.846406856031411049e-11, 4.156136691001370292e-10, 1.926039806589085879e-10, 5.683218757707295021e-10, 7.704063137588155507e-13, 4.264710758204639661e-10
2.046000000000000000e+03, 1.205213313817981711e-13, 3.125645824357048634e-11, 8.827135800654339090e-11, 4.065993583987342729e-10, 2.172504171976171200e-10, 6.990708689073911853e-10, 7.625851921311193274e-13, 4.269177513061335588e-10
2.047000000000000000e+03, 1.120313468791215377e-13, 3.087100502264977965e-11, 8.798326425800381101e-11, 4.106272690821901666e-10, 2.094330573293049136e-10, 6.372933297320581311e-10, 7.676398801179459589e-13, 4.272975453107498214e-10
2.048000000000000000e+03, 1.054097667995398795e-13, 3.053663292023823078e-11, 8.767355981552287073e-11, 4.117036884910878694e-10, 2.063527377868450242e-10, 6.084680638574953796e-10, 7.785985359418538532e-13, 4.216239077898495383e-10
2.049000000000000000e+03, 1.037862137734961278e-13, 3.022510779776674339e-11, 8.738068866052374856e-11, 4.082013391311152879e-10, 2.276898828666044419e-10, 5.162959419514041343e-10, 7.634406608672904749e-13, 4.172218987811785445e-10
