year, CESM2-WACCM, INM-CM5-0, ACCESS-ESM1-5, NorESM2-LM, GFDL-ESM4, MPI-ESM1-2-LR, CanESM5, TaiESM1, NorESM2-MM, EC-Earth3-Veg, CMCC-CM2-SR5, UKESM1-0-LL, IPSL-CM6A-LR, CNRM-ESM2-1, MIROC-ES2L, INM-CM4-8
2.015000000000000000e+03, 3.351837555420022485e-01, 3.183661181913262084e-01, 3.659426994862610139e-01, 4.890554563964885082e-01, 8.949836256270256307e-02, 2.890555277179174265e-01, 2.505030831450412721e-01, 1.531038499949163578e-01, 1.220330294754041339e-01, -1.170637209929538680e-01, 1.566096558297600250e-01, 6.225293064859018788e-01, 5.129345492447481281e-01, 3.563437052380362124e-01, 7.475635385950919476e-01, 4.679011398010182732e-01
2.016000000000000000e+03, 1.614172055454532462e-01, 1.959103859317468666e-01, 8.149234369672395117e-02, 4.626176193795445979e-01, 6.969328932084892236e-02, 3.782719194332886947e-01, 2.890754100232253432e-01, 4.605348857680290758e-02, 7.064890946326524146e-02, 2.481552046684055157e-01, 1.544984901015769851e-01, 5.278576015104151642e-01, 3.244708118613514602e-01, 4.259300459154746199e-01, 4.158784876648970452e-01, 2.684928827670644003e-01
2.017000000000000000e+03, 1.727929611267867704e-01, 2.701193770955461204e-01, 3.995823177190355180e-01, 1.962510744970488996e-01, 2.394511677546429795e-01, 3.645276787919687900e-01, 2.003464723023948568e-01, 1.208889711994906441e-01, 2.285518139545730243e-01, -1.976112924804040438e-01, 3.064627679884818212e-01, 6.230560935041479231e-01, 3.994562162242620840e-01, 6.766793518512420613e-01, 7.191532970454089790e-01, 6.536971823684505356e-01
2.018000000000000000e+03, 1.579079869832208105e-01, 4.068422078519995377e-01, 4.867370517852846468e-01, 1.831184705322567441e-01, 3.494442283675102678e-01, 2.868391840455574923e-02, 1.764001125890327648e-01, 1.119800463620140851e-01, 1.045169971616950050e-01, 5.573810986458702793e-02, -2.879498743317370768e-01, 4.661455952388380286e-01, 4.579989521535883235e-01, 7.623896082486278925e-01, 3.310722033721686386e-01, 5.451211897349508284e-01
2.019000000000000000e+03, 2.771076945652614087e-01, 3.024129324727837798e-01, 3.102250260448778940e-01, 2.373873274852195125e-02, 2.860078326803675575e-01, 6.057464022722642838e-01, 2.158508381983108293e-01, -5.860841566172039253e-03, 3.133801916647199759e-01, 2.312502676578190586e-01, -1.174979377881589515e-01, 5.956056203974401386e-01, 5.388115360504737161e-01, 5.087001028669586589e-01, 2.379085372561198508e-01, 2.485708165476975262e-01
2.020000000000000000e+03, 5.151771294893612296e-01, 5.681125539629151566e-01, 5.694197602297810246e-01, 5.227182589504916210e-01, 4.618009936197952081e-01, 2.630457201754564656e-01, 3.524534753599967707e-01, 1.008044078221151524e-01, 4.860978524902739295e-01, 6.427535617083000030e-01, 1.215497930300529078e-02, 4.119732828050626239e-01, 5.492549919499523092e-01, 6.008760189359354520e-01, 3.301727272641186706e-01, 4.212611498906475016e-01
2.021000000000000000e+03, 1.674259960540806502e-01, 2.798329086600381821e-01, 4.131777236608871751e-01, -4.792960559508865209e-02, 3.298632942247619604e-01, 3.475060852147550117e-01, 1.989334622898801530e-01, 1.680637965310297910e-01, 2.710895393499648254e-01, 7.098223743928995244e-01, 4.171426519879843642e-02, 8.069911414439175923e-01, 5.269721851309167038e-01, 6.332580352836049142e-01, 5.640261736843659168e-01, 4.017187047435546998e-01
2.022000000000000000e+03, 3.126435221584532020e-01, 5.593158905554910243e-01, 5.280627745679563612e-01, -2.784649699955759825e-02, 3.964839074362467852e-01, 4.265433910428514386e-01, 4.860100276351307924e-01, -1.378006437316747490e-01, 4.152185782177198470e-01, 3.670887455525745358e-01, 3.144512056249555432e-01, 9.066004193773489206e-01, 4.950186326145016302e-01, 7.327235427262366319e-01, 7.039684550444744726e-01, 3.788143662519055099e-01
2.023000000000000000e+03, 1.957392345274731327e-01, 3.166012943801885804e-01, 5.324806048526470326e-01, 3.761994196887549768e-01, 4.523140491143211039e-01, 3.133455960973203225e-01, 5.001762323966740809e-01, 1.828497674769963555e-01, 3.404122456961767851e-01, 4.217018981319559101e-01, 1.268095741549375988e-01, 5.762425459985454079e-01, 4.686186775107747393e-01, 3.947318134448104532e-01, 3.577163610480205147e-01, 6.640522812788884899e-01
2.024000000000000000e+03, -1.272521040851699176e-02, 8.084648459812827648e-01, 3.808032672892706638e-01, 3.413886944346906649e-01, 4.715369474583869791e-01, 2.167513937932268042e-01, 5.134103568767869330e-01, 1.160785079719406782e-01, 6.425441846250622147e-02, 1.049044381404874715e-01, -7.021193305106628868e-01, 6.146724942181748252e-01, 5.877984530910742578e-01, 1.019224857516652705e+00, 7.391542720309125514e-01, 7.004759888908288490e-01
