year, CNRM-ESM2-1, ACCESS-ESM1-5, EC-Earth3-Veg, TaiESM1, CESM2-WACCM, MIROC-ES2L, CanESM5, GFDL-ESM4, IPSL-CM6A-LR, UKESM1-0-LL, INM-CM5-0, MPI-ESM1-2-LR, NorESM2-MM, CMCC-CM2-SR5, NorESM2-LM, INM-CM4-8
2.015000000000000000e+03, 6.441924336468500201e+01, 8.683213859655809586e+01, 2.124184206633700001e+01, 2.514692754140716602e+01, 5.962727977815257674e+01, 4.908807570443889290e+01, 5.211880185983997649e+01, 6.212800368478863788e+01, 2.089907188133500426e+01, 3.989966963984308279e+01, 6.006859730822997534e+01, 3.371814250411217984e+01, 5.403891950996105464e+01, 4.017199938154812600e+01, 5.449303814056963802e+01, 5.891362881601942547e+01
2.016000000000000000e+03, 6.471394734940479054e+01, 8.668755304405296158e+01, 2.133820947342447738e+01, 2.545454330078446148e+01, 5.987067454966419433e+01, 4.938192048507075071e+01, 5.244772965228166584e+01, 6.223217152825273502e+01, 2.111684087132752197e+01, 4.017377414836683158e+01, 6.010478260843509446e+01, 3.385198041413755732e+01, 5.391676153320208442e+01, 4.035740255748787320e+01, 5.483044418258877073e+01, 5.894453169986827135e+01
2.017000000000000000e+03, 6.511006928433421592e+01, 8.709463370553740447e+01, 2.168188474438724000e+01, 2.570588595032023349e+01, 5.992622532327651896e+01, 4.971965810264485697e+01, 5.268154823382648289e+01, 6.244016583619381322e+01, 2.131219777359284606e+01, 4.055199606531074608e+01, 6.030823222913502235e+01, 3.406326755220008806e+01, 5.405700568360340696e+01, 4.087676644827388373e+01, 5.517347509698907970e+01, 5.919216568867184236e+01
2.018000000000000000e+03, 6.547838759463385827e+01, 8.764376710612702936e+01, 2.185311797754269492e+01, 2.595391400325879161e+01, 6.005744974013023807e+01, 5.007528497655913924e+01, 5.292050861801051553e+01, 6.283635953979813138e+01, 2.162774632511057860e+01, 4.085866476842842587e+01, 6.051725227006362928e+01, 3.399132772660291124e+01, 5.429443981549514575e+01, 4.079167912079529401e+01, 5.548502588063233532e+01, 5.944974029805374727e+01
2.019000000000000000e+03, 6.581397204582678739e+01, 8.805010678037467642e+01, 2.232620348030394553e+01, 2.606141123319090269e+01, 6.017291082056725315e+01, 5.002055242079578079e+01, 5.320467898228316983e+01, 6.319609135183064552e+01, 2.197328279094955761e+01, 4.119540984928843130e+01, 6.069802369575884171e+01, 3.412760071992082089e+01, 5.460776343233798258e+01, 4.047109480417574900e+01, 5.570471890263777937e+01, 5.960664075429642139e+01
2.020000000000000000e+03, 6.607167674820193781e+01, 8.839277185879122101e+01, 2.252768428796783695e+01, 2.618545616798215647e+01, 6.054594917754281624e+01, 4.993781440334887378e+01, 5.370695135580696444e+01, 6.352894353971162644e+01, 2.224265952691164827e+01, 4.157099122977086836e+01, 6.077796258083220948e+01, 3.438782915308640753e+01, 5.499150459207891828e+01, 4.030799995530286139e+01, 5.603405701384010484e+01, 5.966936646189996907e+01
2.021000000000000000e+03, 6.647019477492331418e+01, 8.882248145902489966e+01, 2.282186032598326264e+01, 2.642836625885595225e+01, 6.080420345548441219e+01, 5.000301679205631444e+01, 5.412109239632908242e+01, 6.396556252945424603e+01, 2.263211993609965944e+01, 4.199039197633415199e+01, 6.081395009599699364e+01, 3.462372678144184590e+01, 5.508318026814069412e+01, 4.028262542109253985e+01, 5.619796195849354348e+01, 5.981035859593328041e+01
2.022000000000000000e+03, 6.693686443203937131e+01, 8.926005722470124226e+01, 2.320112250123229813e+01, 2.638390141494202012e+01, 6.101863425264242835e+01, 5.043406779599882128e+01, 5.469097671168849928e+01, 6.429722956403669798e+01, 2.292025737848368294e+01, 4.248625468066276767e+01, 6.100630430121520220e+01, 3.483007840037573999e+01, 5.531954380986541508e+01, 4.091264939275144741e+01, 5.620807429273826017e+01, 5.996888262455851759e+01
2.023000000000000000e+03, 6.735914976683048394e+01, 8.964688848130390397e+01, 2.341373443781176178e+01, 2.639652962481884302e+01, 6.128923113207700624e+01, 5.072504331593700755e+01, 5.547453914506657213e+01, 6.474459260446300846e+01, 2.323199742171015814e+01, 4.272626252320956297e+01, 6.118512821716910111e+01, 3.497493216433687735e+01, 5.551400919337842765e+01, 4.124909042996259245e+01, 5.653772882326063609e+01, 6.001535185215546164e+01
2.024000000000000000e+03, 6.780982745970210601e+01, 8.996466152159104013e+01, 2.363267829701801404e+01, 2.667792201721294632e+01, 6.130599034611431364e+01, 5.102128838310818537e+01, 5.618359991645387908e+01, 6.528032210815243275e+01, 2.355715502748591206e+01, 4.308029029940311716e+01, 6.144528430511545025e+01, 3.509275884814578461e+01, 5.551446046895858188e+01, 4.086965704982165448e+01, 5.692225111727614006e+01, 6.028395594339534114e+01
