year, CMCC-CM2-SR5, MPI-ESM1-2-LR, CNRM-ESM2-1, EC-Earth3-Veg, ACCESS-ESM1-5, TaiESM1, IPSL-CM6A-LR, NorESM2-MM, NorESM2-LM, MIROC-ES2L, CESM2-WACCM, GFDL-ESM4, CanESM5
2.015000000000000000e+03, 9.933330268458249179e+00, 5.183467107490258741e+01, 6.552563721545278952e+01, 1.637912058166765661e+01, 1.171015472936823087e+01, 1.498128010875323657e+00, 1.383777550516752441e+01, 8.333219270643942522e+00, 7.081531719783174417e+00, 6.102462043724754892e+01, 8.391242872081880577e+00, 5.030939821593197081e+01, 1.517366997500472259e+01
2.016000000000000000e+03, 9.962111378063108091e+00, 5.196301840205154576e+01, 6.547126876778845883e+01, 1.627767617112907317e+01, 1.171019876109739677e+01, 1.451462886306408073e+00, 1.388948691912457711e+01, 8.386861864196744065e+00, 7.211251462951167923e+00, 6.114780288045358247e+01, 8.420081383985891677e+00, 5.035660612835057748e+01, 1.529980988169980805e+01
2.017000000000000000e+03, 9.822897341788433323e+00, 5.199141805660511295e+01, 6.537869089854430626e+01, 1.604712500304658818e+01, 1.159254888114358018e+01, 1.468836127693435412e+00, 1.398726096628429971e+01, 8.287599985409487502e+00, 7.233788953588521586e+00, 6.129194042696975231e+01, 8.501933847840930980e+00, 5.039953276332747834e+01, 1.536983085310206398e+01
2.018000000000000000e+03, 9.964873565166040947e+00, 5.215688667221376562e+01, 6.553043818904117757e+01, 1.554315442392017133e+01, 1.154296953727171093e+01, 1.501124213534595242e+00, 1.403069868433422229e+01, 8.168084464986048232e+00, 7.132724666681143688e+00, 6.147420823069987250e+01, 8.511537791270072262e+00, 5.037636932106298104e+01, 1.545300469832744028e+01
2.019000000000000000e+03, 9.995195860154096223e+00, 5.225273802377273569e+01, 6.570810631173989691e+01, 1.518124449714622592e+01, 1.152737275958202723e+01, 1.512873650134572312e+00, 1.412111609227100573e+01, 8.053376145758946336e+00, 7.132157882927512738e+00, 6.165737794828184803e+01, 8.522209742476439587e+00, 5.044665495838570735e+01, 1.539790823360123362e+01
2.020000000000000000e+03, 1.002429728438101009e+01, 5.233894678742827011e+01, 6.578910203669691725e+01, 1.551388043058162047e+01, 1.164307622589925728e+01, 1.498681932927302896e+00, 1.428577357121246472e+01, 8.096601819070906814e+00, 7.082942958490768603e+00, 6.191856596895092935e+01, 8.468004923237744563e+00, 5.057308162138993168e+01, 1.527982510981633446e+01
2.021000000000000000e+03, 1.001548878761726868e+01, 5.233321499089505124e+01, 6.587672908554340268e+01, 1.571488118246370291e+01, 1.162937280748547231e+01, 1.516920613071652602e+00, 1.435245108127821645e+01, 8.329296187392984052e+00, 7.202743499834123320e+00, 6.206945687639029785e+01, 8.566841118662594567e+00, 5.065836552637892254e+01, 1.531304693139148299e+01
2.022000000000000000e+03, 9.583654798440344180e+00, 5.243234972141824102e+01, 6.597048886026279035e+01, 1.565570721899630158e+01, 1.164646283274277572e+01, 1.623857000740895229e+00, 1.446474765791646711e+01, 8.380882531130803059e+00, 7.115363126886143696e+00, 6.211649946299497316e+01, 8.566589685742588500e+00, 5.071628458503273151e+01, 1.516133779367511281e+01
2.023000000000000000e+03, 9.621019983356339011e+00, 5.254549552140727542e+01, 6.594166420509372983e+01, 1.600579121543920280e+01, 1.172286064380805115e+01, 1.520234898072619689e+00, 1.452957073189946513e+01, 8.479641611416003144e+00, 6.989959665268003164e+00, 6.219412915551279042e+01, 8.579364759621723735e+00, 5.073799586410127915e+01, 1.495614060499602971e+01
2.024000000000000000e+03, 9.899223616184325891e+00, 5.259889250224906476e+01, 6.600164009441625979e+01, 1.614750715209295606e+01, 1.178330867904389301e+01, 1.513996652632392026e+00, 1.464916472901797029e+01, 8.589395265279909708e+00, 6.975965947229176400e+00, 6.232702010109230173e+01, 8.635650635221390203e+00, 5.080029576912189526e+01, 1.488324748847560564e+01
2.025000000000000000e+03, 9.736697492492984551e+00, 5.262887471916955207e+01, 6.640226466824013585e+01, 1.639806891307862813e+01, 1.184930881917926548e+01, 1.488115232610398797e+00, 1.477392961127974758e+01, 8.534657105791394471e+00, 6.970816563748195804e+00, 6.253456838062584922e+01, 8.468566871526691742e+00, 5.093217401518587906e+01, 1.516018451417239810e+01
2.026000000000000000e+03, 9.492100054264454911e+00, 5.254995153605418068e+01, 6.670118764789562249e+01, 1.634114464332285266e+01, 1.189820674218235830e+01, 1.519086320667196066e+00, 1.484605321170186798e+01, 8.441644698586145523e+00, 7.128021832645882405e+00, 6.273685113119698542e+01, 8.267828428584527600e+00, 5.105074297836568320e+01, 1.528232702517693653e+01
2.027000000000000000e+03, 9.568691127370007266e+00, 5.257699606294568895e+01, 6.679768032531441690e+01, 1.639381225140499865e+01, 1.197691396610212244e+01, 1.518611284411689022e+00, 1.487557956963103400e+01, 8.413410084064063099e+00, 7.342182531339180862e+00, 6.294104060633979714e+01, 8.340058724181783845e+00, 5.129550446126295782e+01, 1.546668805241418454e+01
