year, TaiESM1, NorESM2-MM, CMCC-CM2-SR5, NorESM2-LM, IPSL-CM6A-LR, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, MIROC-ES2L, EC-Earth3-Veg, CanESM5, ACCESS-ESM1-5, CNRM-ESM2-1
2.038000000000000000e+03, 6.547809987557414502e+01, 5.965053353194945203e+02, 8.569592703969642571e+02, 9.928929652622759932e+02, 7.003124280593050344e+01, 6.093199339508812500e+02, 2.533360102857483582e+02, 1.300749819050867302e+02, 3.559345265177524880e+02, 3.221704512317671742e+02, 2.351879346750291688e+02, 1.981951426950969051e+02, 4.013972214944383836e+02
2.039000000000000000e+03, 6.548504653214624227e+01, 5.965731587729850389e+02, 8.568339689420968170e+02, 9.929106436489739735e+02, 7.018368449726121128e+01, 6.092487084757101456e+02, 2.536192178810312896e+02, 1.302629920920581128e+02, 3.561608143672332858e+02, 3.221825483321383103e+02, 2.352343510284377430e+02, 1.983061373710473845e+02, 4.016903598330215459e+02
2.040000000000000000e+03, 6.548607708813672446e+01, 5.966380556394362884e+02, 8.567317714688190335e+02, 9.929347677147871991e+02, 7.032874365784768145e+01, 6.091825984735138491e+02, 2.539774949126355352e+02, 1.304012664897945513e+02, 3.563657745500450460e+02, 3.222096067833275015e+02, 2.352529894951211134e+02, 1.984317818445738624e+02, 4.019834680838418421e+02
2.041000000000000000e+03, 6.548004750736158996e+01, 5.966740535311864733e+02, 8.566458880482238101e+02, 9.929424034555780736e+02, 7.048140671258605039e+01, 6.091170208448882022e+02, 2.543629064755529328e+02, 1.304488690816860696e+02, 3.565701597054708714e+02, 3.222399806776132323e+02, 2.352803295577168115e+02, 1.985333056182137170e+02, 4.023359166566032172e+02
2.042000000000000000e+03, 6.543325783554593045e+01, 5.967308372892651960e+02, 8.564936722457774749e+02, 9.929302436019195284e+02, 7.063879799441259877e+01, 6.091108706706604607e+02, 2.546885810620371728e+02, 1.305023332616116818e+02, 3.568177570075759490e+02, 3.222866232882272470e+02, 2.352757020738567348e+02, 1.986370136239130773e+02, 4.027292191678473614e+02
2.043000000000000000e+03, 6.540901147507021562e+01, 5.967359723046986346e+02, 8.563824252528399938e+02, 9.929193622065927229e+02, 7.080998053229716049e+01, 6.091412307329079567e+02, 2.550730724396517246e+02, 1.305425083791172653e+02, 3.570971397491205153e+02, 3.223800910730704459e+02, 2.352917823229595058e+02, 1.987485240109093354e+02, 4.030739638897034069e+02
2.044000000000000000e+03, 6.542114684428406690e+01, 5.966808475988036662e+02, 8.562919322280220058e+02, 9.929005451219529732e+02, 7.098250720404227820e+01, 6.091973939084562062e+02, 2.551655071725711537e+02, 1.306792384434579901e+02, 3.574392940583650784e+02, 3.225022177270715815e+02, 2.353457997256755903e+02, 1.988588269859255888e+02, 4.033070919494379041e+02
2.045000000000000000e+03, 6.543226348807968407e+01, 5.966464159680341481e+02, 8.561686989408449335e+02, 9.928755609555875026e+02, 7.116063703451204958e+01, 6.092658481075543477e+02, 2.553103554387414533e+02, 1.308136969457602277e+02, 3.577648490045101539e+02, 3.225621014113759202e+02, 2.354334148882402360e+02, 1.989529562890745638e+02, 4.036472539845285041e+02
2.046000000000000000e+03, 6.543624284997764562e+01, 5.966502313649714324e+02, 8.559942542581757152e+02, 9.928839565179935107e+02, 7.135447070411910886e+01, 6.092880365694550164e+02, 2.556794848004974199e+02, 1.308682253979733616e+02, 3.580746494012358880e+02, 3.225799565432677696e+02, 2.355378904074962350e+02, 1.990592749266780572e+02, 4.040573105467038886e+02
2.047000000000000000e+03, 6.539355568725059697e+01, 5.966550634521573784e+02, 8.558447707217432026e+02, 9.929620907352880295e+02, 7.152966800019063953e+01, 6.092667484735310381e+02, 2.560023361390931882e+02, 1.309686742844440346e+02, 3.583817338442555638e+02, 3.226052707947546878e+02, 2.356105069873846958e+02, 1.991820261614242895e+02, 4.045208818413124732e+02
2.048000000000000000e+03, 6.540535537207529160e+01, 5.966577830239430114e+02, 8.556783078540727274e+02, 9.930346938959542058e+02, 7.171390548515201147e+01, 6.092546393059911907e+02, 2.563916662935559430e+02, 1.310837566511101784e+02, 3.586991439850925758e+02, 3.226369124623503808e+02, 2.356646817647293801e+02, 1.992680340061791924e+02, 4.048623989040282254e+02
2.049000000000000000e+03, 6.540471479269862698e+01, 5.966460033254675182e+02, 8.555602361955928927e+02, 9.930973778144399375e+02, 7.190289506416637266e+01, 6.092422876578845035e+02, 2.567949373589000857e+02, 1.312170026043559687e+02, 3.589341444543121042e+02, 3.226476250071548861e+02, 2.357641895159040928e+02, 1.993291285614130572e+02, 4.051437313193878254e+02
2.050000000000000000e+03, 6.538562985258164417e+01, 5.966424587895928653e+02, 8.554641201755888460e+02, 9.931266496664072747e+02, 7.206486477108991551e+01, 6.092217573343100412e+02, 2.571996103677014958e+02, 1.312953560199575520e+02, 3.591395007029242379e+02, 3.227701169907732606e+02, 2.358309060075627031e+02, 1.993932103724811213e+02, 4.055053430391996585e+02
2.051000000000000000e+03, 6.537403431050807967e+01, 5.966653173989990364e+02, 8.552888765493941037e+02, 9.930846453572926293e+02, 7.225254291837447340e+01, 6.091719047933403317e+02, 2.576278369401195505e+02, 1.314300799658603012e+02, 3.594590141901168181e+02, 3.229046487776107028e+02, 2.359368531433553073e+02, 1.994659071124328307e+02, 4.059090430278824329e+02
2.052000000000000000e+03, 6.540081288611222021e+01, 5.967489951657879601e+02, 8.551752616571180852e+02, 9.930330824930745166e+02, 7.241544831253767711e+01, 6.091216931822858669e+02, 2.577247581074722689e+02, 1.314757357434789924e+02, 3.597944501207769576e+02, 3.229097404296375089e+02, 2.360242273251770371e+02, 1.995304952035724000e+02, 4.063012928955290022e+02
2.053000000000000000e+03, 6.538945693950658722e+01, 5.968255337166059462e+02, 8.550470511146298804e+02, 9.930046234817634740e+02, 7.256602071937477660e+01, 6.090842596691289828e+02, 2.580299882462653045e+02, 1.315462574480816613e+02, 3.600757720486786866e+02, 3.228571472452139233e+02, 2.361112125433382687e+02, 1.996039018648113483e+02, 4.066491614850953056e+02
2.054000000000000000e+03, 6.537083879319226298e+01, 5.968680078624734051e+02, 8.548864171392326625e+02, 9.930094277006652419e+02, 7.274599886372207891e+01, 6.090194772981637925e+02, 2.582557480755538677e+02, 1.317810731567526545e+02, 3.603761085790817447e+02, 3.228172839662219076e+02, 2.361823867440560889e+02, 1.996750221987753093e+02, 4.069782091929864691e+02
2.055000000000000000e+03, 6.535203487575574854e+01, 5.968900118295849779e+02, 8.547327034967516965e+02, 9.929667226639322735e+02, 7.293075401530322210e+01, 6.089497511097052893e+02, 2.585335938566882987e+02, 1.318945940440470110e+02, 3.607576908837572773e+02, 3.228882615088348871e+02, 2.362945775631996526e+02, 1.997592770607312218e+02, 4.073975710742028582e+02
2.056000000000000000e+03, 6.533501284951279331e+01, 5.969330422544177281e+02, 8.545750320040269798e+02, 9.928797758761102159e+02, 7.310264619348161830e+01, 6.089175730580134314e+02, 2.587683350518447583e+02, 1.320548867982513457e+02, 3.611514978247288923e+02, 3.229814148429383067e+02, 2.364766720053368658e+02, 1.998253689223832339e+02, 4.078211978034130425e+02
2.057000000000000000e+03, 6.532148842544113165e+01, 5.970074194992270122e+02, 8.544687644186519719e+02, 9.928441180937460331e+02, 7.328174358282271328e+01, 6.088727390045761467e+02, 2.588693723002533602e+02, 1.322860315829643127e+02, 3.615782509884310798e+02, 3.231465092240892432e+02, 2.366579370587203073e+02, 1.998699875400980375e+02, 4.081989428684828454e+02
2.058000000000000000e+03, 6.535386369116716310e+01, 5.971128565595302007e+02, 8.543215647066572274e+02, 9.929046597603036162e+02, 7.346747680070591002e+01, 6.088268871396177246e+02, 2.590220038860738896e+02, 1.324245556568207576e+02, 3.620124778947370032e+02, 3.232728233392841730e+02, 2.367826592166418322e+02, 1.999246997049714025e+02, 4.085997030665499778e+02
2.059000000000000000e+03, 6.532745726202472270e+01, 5.971884254631391968e+02, 8.542373349699470282e+02, 9.929536914803152285e+02, 7.365342320761482142e+01, 6.088342871992905430e+02, 2.593311461150601644e+02, 1.324508556424484311e+02, 3.624227567591859156e+02, 3.232919731900818192e+02, 2.369630515682293037e+02, 1.999944195527907880e+02, 4.091142114044960181e+02
2.060000000000000000e+03, 6.527576390922503435e+01, 5.972126128801124878e+02, 8.541303601460609798e+02, 9.929397306156370178e+02, 7.382423380447255568e+01, 6.088395571297739934e+02, 2.594898492215030501e+02, 1.326007443846830256e+02, 3.628434553688123856e+02, 3.233036719555805121e+02, 2.371459437200090008e+02, 2.000502109638858883e+02, 4.095359377020189982e+02
2.061000000000000000e+03, 6.523551369390780508e+01, 5.972467228834725574e+02, 8.540045878076348345e+02, 9.929289961060342193e+02, 7.399299094882680095e+01, 6.088137927527598094e+02, 2.597567098639526648e+02, 1.326328765748311014e+02, 3.632701217702336862e+02, 3.233556602389007253e+02, 2.373034962626438187e+02, 2.000939323881429459e+02, 4.099524580221190604e+02
2.062000000000000000e+03, 6.520508698830039407e+01, 5.972527681610056334e+02, 8.538235394037968717e+02, 9.929422124088561077e+02, 7.418033140806296899e+01, 6.087413439500246568e+02, 2.601235008601423147e+02, 1.327677117063513492e+02, 3.636281264089499814e+02, 3.234062130727970725e+02, 2.374935689168740396e+02, 2.001284935902346831e+02, 4.103521733028707672e+02
2.063000000000000000e+03, 6.522244920592015660e+01, 5.972320073323148790e+02, 8.536350883985325027e+02, 9.929650127016318493e+02, 7.434763612175750325e+01, 6.086464066973188665e+02, 2.603762278932364893e+02, 1.329240902597111358e+02, 3.640429057247228570e+02, 3.233925108889684452e+02, 2.376469823766962577e+02, 2.001475152965417976e+02, 4.107851891350969709e+02
2.064000000000000000e+03, 6.519812388945280190e+01, 5.972222308181638937e+02, 8.535499923855360294e+02, 9.929866161290805167e+02, 7.451535662275199456e+01, 6.085682796044228553e+02, 2.605685326171117708e+02, 1.330284901210281987e+02, 3.645289629241530065e+02, 3.234546113631229218e+02, 2.377922374067462385e+02, 2.001804949982551420e+02, 4.112180427815098938e+02
2.065000000000000000e+03, 6.513909432176501468e+01, 5.972675126861901163e+02, 8.534785538564856324e+02, 9.930595080239356776e+02, 7.469115214201342212e+01, 6.084954652485067754e+02, 2.607025112913649423e+02, 1.330159621328756714e+02, 3.649988726655573714e+02, 3.234720308749049309e+02, 2.380150402815067707e+02, 2.002497549484991737e+02, 4.116321196585844859e+02
2.066000000000000000e+03, 6.515052941344323756e+01, 5.973275212916523742e+02, 8.533338156923676934e+02, 9.930737863758793083e+02, 7.485217797392324712e+01, 6.084731068174124857e+02, 2.610988788656576389e+02, 1.331922545048868756e+02, 3.654402519306101453e+02, 3.234735163792972799e+02, 2.382507484529871817e+02, 2.002764731538506737e+02, 4.120610563685792158e+02
2.067000000000000000e+03, 6.516757083495646441e+01, 5.973980450166387755e+02, 8.531978502145404946e+02, 9.930200162022370023e+02, 7.498067383554500509e+01, 6.084538334463254614e+02, 2.614232945322502246e+02, 1.333488253229716065e+02, 3.658632357903762795e+02, 3.234936268583239212e+02, 2.384763405542126407e+02, 2.003055649695967588e+02, 4.124079713427610159e+02
2.068000000000000000e+03, 6.512936315950494759e+01, 5.974772290793678167e+02, 8.530339780887438792e+02, 9.929995894804560521e+02, 7.513847023805564618e+01, 6.083986813345488827e+02, 2.618328998071340834e+02, 1.333966798234040425e+02, 3.662893453423883443e+02, 3.234754173656627358e+02, 2.386712200535879447e+02, 2.003470289374489823e+02, 4.128631937246594816e+02
2.069000000000000000e+03, 6.508040494858394709e+01, 5.975374569637588138e+02, 8.528981203164325962e+02, 9.930410277184441838e+02, 7.529433214140112796e+01, 6.083389905536753304e+02, 2.621011936887962293e+02, 1.334679884781521082e+02, 3.666897464587887612e+02, 3.235498890730934249e+02, 2.389290383962297142e+02, 2.003909532408404743e+02, 4.132741588849689833e+02
2.070000000000000000e+03, 6.503709808502804890e+01, 5.975460081428105923e+02, 8.527862877087907236e+02, 9.930671262292687516e+02, 7.545718671572292635e+01, 6.082487833537744564e+02, 2.624823285595942934e+02, 1.335955702472063251e+02, 3.670465099045760553e+02, 3.235783338551013912e+02, 2.392098045686412036e+02, 2.004541963193075844e+02, 4.137125944334200085e+02
2.071000000000000000e+03, 6.504338601503111761e+01, 5.975486733882104318e+02, 8.526480936158252462e+02, 9.930681035671960899e+02, 7.561594268198523139e+01, 6.081978405642788630e+02, 2.625697339561953640e+02, 1.336687326304594308e+02, 3.674265632717327890e+02, 3.235799713327593849e+02, 2.395030417933806177e+02, 2.005326620911492341e+02, 4.141957358537354139e+02
2.072000000000000000e+03, 6.505697238752831879e+01, 5.975813172476644013e+02, 8.523831917874128976e+02, 9.930434204857775740e+02, 7.574660490246910172e+01, 6.081375810762569927e+02, 2.627935203208323856e+02, 1.337381666688989412e+02, 3.678169840008912388e+02, 3.236008410699529350e+02, 2.398123390502283314e+02, 2.005903960798979710e+02, 4.145879862871830142e+02
2.073000000000000000e+03, 6.498851230826112158e+01, 5.976047526982069940e+02, 8.521567853056706099e+02, 9.929612373575121183e+02, 7.591471974171807346e+01, 6.080917490401101304e+02, 2.630166108526991025e+02, 1.339222695813396626e+02, 3.682063728209647593e+02, 3.236389715460094294e+02, 2.401246704095630946e+02, 2.006380403840234123e+02, 4.149751773292165353e+02
2.074000000000000000e+03, 6.490733161884674018e+01, 5.976511234228864851e+02, 8.520012537431803139e+02, 9.928549093869827402e+02, 7.605522911007570031e+01, 6.080151736854512592e+02, 2.631350339184419909e+02, 1.340669655537465985e+02, 3.685793292284760696e+02, 3.235746492577077333e+02, 2.404148340716224652e+02, 2.007027118733391831e+02, 4.153258353658163742e+02
2.075000000000000000e+03, 6.486276899771824844e+01, 5.977216132388714414e+02, 8.519119169406062611e+02, 9.927685889894087268e+02, 7.618733868662053510e+01, 6.079122128318042542e+02, 2.632244714906232161e+02, 1.340970687984040524e+02, 3.689812425173532802e+02, 3.235373970957834331e+02, 2.408352672392490206e+02, 2.007600011458590075e+02, 4.157203355047946047e+02
2.076000000000000000e+03, 6.488120352897975351e+01, 5.977693508208870981e+02, 8.517601102094989756e+02, 9.927627831757549757e+02, 7.632139442973671351e+01, 6.077593207034907437e+02, 2.633923188697844466e+02, 1.341352192144232163e+02, 3.694095932140679679e+02, 3.235651376192641919e+02, 2.411720716007120018e+02, 2.008196028379668689e+02, 4.161710280768859320e+02
2.077000000000000000e+03, 6.482363409240809915e+01, 5.977934361202527498e+02, 8.515773708600129339e+02, 9.927686595336977007e+02, 7.645067960104934457e+01, 6.076819205191461606e+02, 2.637374636363695117e+02, 1.342299382784411819e+02, 3.698199866551416903e+02, 3.235903947703886843e+02, 2.414884841841360128e+02, 2.008680641549689767e+02, 4.165851377516212892e+02
2.078000000000000000e+03, 6.473929951761185464e+01, 5.978321680305399468e+02, 8.513568122769696629e+02, 9.927293360350465719e+02, 7.658599544831083961e+01, 6.076357450593590102e+02, 2.639483000050399255e+02, 1.342630568840937144e+02, 3.701700823683172530e+02, 3.235433171127998548e+02, 2.417432928071759193e+02, 2.009024167971759027e+02, 4.169924773247152530e+02
2.079000000000000000e+03, 6.475010372480355159e+01, 5.978626718411420597e+02, 8.512483205040023222e+02, 9.927418118355202523e+02, 7.670636490740672286e+01, 6.075578822026922126e+02, 2.642366229628155452e+02, 1.344679711024058690e+02, 3.705211752730245962e+02, 3.235003228394230632e+02, 2.420268877699095071e+02, 2.009732819950702947e+02, 4.174572305312480012e+02
2.080000000000000000e+03, 6.478212598341961836e+01, 5.978906897234367079e+02, 8.510955076665165961e+02, 9.926923513636953658e+02, 7.684283103091075873e+01, 6.075175459665124436e+02, 2.643724970481707714e+02, 1.347202960719665157e+02, 3.709715702164311892e+02, 3.234659436881139527e+02, 2.422980097591473054e+02, 2.010016226144646510e+02, 4.178256401047863164e+02
2.081000000000000000e+03, 6.474460314970684749e+01, 5.979383889371127907e+02, 8.508675024311473862e+02, 9.926229760843151553e+02, 7.696012137372392203e+01, 6.074146148167819774e+02, 2.644674980683134322e+02, 1.349029189111822404e+02, 3.714541367928828777e+02, 3.235658136652306212e+02, 2.426298644470841168e+02, 2.010332557941631535e+02, 4.181002410118701391e+02
2.082000000000000000e+03, 6.469314879504872806e+01, 5.979825102056668129e+02, 8.506762787638436976e+02, 9.925548347707321000e+02, 7.707590355819050387e+01, 6.072926367311412150e+02, 2.644261958385907860e+02, 1.350818549955470758e+02, 3.719332506891898902e+02, 3.235509181585636043e+02, 2.429500788118052412e+02, 2.010875119167400840e+02, 4.183406885163461197e+02
2.083000000000000000e+03, 6.470302151909100985e+01, 5.980152543641485181e+02, 8.505289546659059852e+02, 9.924769472267761330e+02, 7.719420226652100325e+01, 6.072156656309183518e+02, 2.646920544978818270e+02, 1.352724306525726945e+02, 3.723865858562704148e+02, 3.234698895737109865e+02, 2.433499299477209945e+02, 2.011193868820936643e+02, 4.187346344161257434e+02
2.084000000000000000e+03, 6.468016414688260340e+01, 5.980661850277417670e+02, 8.502902553852821939e+02, 9.923921507556267443e+02, 7.730788084828307660e+01, 6.071653209230889843e+02, 2.646927161738685754e+02, 1.353410782086306199e+02, 3.728040182612658668e+02, 3.233717059516823156e+02, 2.437251382815397847e+02, 2.011024669118813506e+02, 4.191166333720968851e+02
2.085000000000000000e+03, 6.462879981758008796e+01, 5.981088242031258915e+02, 8.500640489407219320e+02, 9.922902086186194310e+02, 7.745104724071835278e+01, 6.070920119602682234e+02, 2.648592509435366082e+02, 1.353144056462859055e+02, 3.732799092411600554e+02, 3.232653030511970087e+02, 2.440822097829975235e+02, 2.010954953365607878e+02, 4.194237979974121231e+02
2.086000000000000000e+03, 6.459221704473978320e+01, 5.981736562825575447e+02, 8.499030350527668816e+02, 9.921699240251411993e+02, 7.756684644692165875e+01, 6.069972320053622070e+02, 2.651437190758758220e+02, 1.353784845278167666e+02, 3.737432369880176566e+02, 3.232079685336860280e+02, 2.444681365377411169e+02, 2.011037300630794107e+02, 4.196812752358712828e+02
2.087000000000000000e+03, 6.454305810132873944e+01, 5.981582831354489826e+02, 8.496051963948269758e+02, 9.920822869787092486e+02, 7.766739370223847061e+01, 6.069011843504582657e+02, 2.652326693850432093e+02, 1.353937345406739894e+02, 3.741546180089923723e+02, 3.231462900248632195e+02, 2.448777759607712881e+02, 2.011233965034190021e+02, 4.199891736475661901e+02
2.088000000000000000e+03, 6.453959762664850075e+01, 5.981490743191521915e+02, 8.492895962499023881e+02, 9.920226874127288283e+02, 7.779143569482479847e+01, 6.068472671977830259e+02, 2.652681195314307843e+02, 1.355578990114444764e+02, 3.745404004211499114e+02, 3.230747484561820215e+02, 2.452318674422921276e+02, 2.011555526512103143e+02, 4.203242434836171810e+02
2.089000000000000000e+03, 6.453909026953665773e+01, 5.981574273425151205e+02, 8.490732464572497520e+02, 9.919142007755972372e+02, 7.791242031848848626e+01, 6.068120714561033537e+02, 2.651090949811028850e+02, 1.357190576908321020e+02, 3.749029534653668065e+02, 3.230237957927253092e+02, 2.455790340332260371e+02, 2.011866418200051214e+02, 4.206525580011790453e+02
