year, INM-CM5-0, CanESM5, MPI-ESM1-2-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-LM, GFDL-ESM4, TaiESM1, MIROC-ES2L, INM-CM4-8, NorESM2-MM, CNRM-ESM2-1
2.051000000000000000e+03, 2.950606910968343186e+02, 2.968541533979445717e+02, 2.951874909611221369e+02, 2.979049162801480293e+02, 2.977095795088206387e+02, 2.972775951485596693e+02, 2.953170682342677082e+02, 2.961108316107813039e+02, 2.970573308172675979e+02, 2.963801073611225547e+02, 2.956826154682034371e+02, 2.968036106822503370e+02, 2.979730138434583182e+02, 2.949551440884189333e+02, 2.966906041262429881e+02, 2.958649102627630327e+02
2.052000000000000000e+03, 2.948298067010443901e+02, 2.977274912404470228e+02, 2.948844472810299635e+02, 2.979614589948561729e+02, 2.984092098660364627e+02, 2.973674067486800254e+02, 2.957624264786068125e+02, 2.953262894517607151e+02, 2.979475357295125946e+02, 2.965044811426851652e+02, 2.955433643931425536e+02, 2.972674407255815936e+02, 2.967476575854736325e+02, 2.948955825902447714e+02, 2.960485003882495789e+02, 2.958520404498962080e+02
2.053000000000000000e+03, 2.945315249106628244e+02, 2.982831865073738413e+02, 2.946023196648058047e+02, 2.973723062415349432e+02, 2.980249282531401036e+02, 2.973837887247749450e+02, 2.958033612009109561e+02, 2.955517973346981080e+02, 2.972703708178439683e+02, 2.973903173077025599e+02, 2.949765575451967834e+02, 2.970283241685221469e+02, 2.962178677966142573e+02, 2.949136792656469765e+02, 2.960406559234086217e+02, 2.958949125232802544e+02
2.054000000000000000e+03, 2.946690021071233900e+02, 2.975709221206570874e+02, 2.947007126057138180e+02, 2.975657275066895409e+02, 2.978678086434601369e+02, 2.971983200381053507e+02, 2.955993245480315750e+02, 2.951937040940653674e+02, 2.975019641913772830e+02, 2.973118417890345313e+02, 2.956710319326122658e+02, 2.969000950133087713e+02, 2.965276869188429600e+02, 2.950197773895278033e+02, 2.961697105632168814e+02, 2.959827011871251443e+02
2.055000000000000000e+03, 2.946691776035242469e+02, 2.983065807288738824e+02, 2.950153453813630904e+02, 2.979858973432744165e+02, 2.970818563979684654e+02, 2.974653017979815672e+02, 2.958866512174880086e+02, 2.954873443054294171e+02, 2.978326124015413257e+02, 2.964175891865510835e+02, 2.961957401689388689e+02, 2.970068488973538479e+02, 2.974026787089171080e+02, 2.947827906199818244e+02, 2.961604193664163063e+02, 2.951793415360331778e+02
2.056000000000000000e+03, 2.946051413279140547e+02, 2.984852829936054945e+02, 2.955056142422153016e+02, 2.978701620798179306e+02, 2.975759453033520572e+02, 2.974422351589318509e+02, 2.960852407135501494e+02, 2.957168666990602333e+02, 2.971435295378935280e+02, 2.968030273097302825e+02, 2.956989256859582156e+02, 2.970744254990091235e+02, 2.973915047236155829e+02, 2.949477318144359970e+02, 2.961713745944803122e+02, 2.949469391573708776e+02
2.057000000000000000e+03, 2.949735833567769419e+02, 2.985017291736278935e+02, 2.955250885418030293e+02, 2.977441954282529082e+02, 2.983186924603732564e+02, 2.970517085624446736e+02, 2.958155374886507616e+02, 2.955787513070318937e+02, 2.973710083145235217e+02, 2.972944694795744454e+02, 2.954457743470726996e+02, 2.970658359925981813e+02, 2.971064000248998695e+02, 2.950088810201324350e+02, 2.964544484972652185e+02, 2.953718096289080108e+02
2.058000000000000000e+03, 2.950309553311880109e+02, 2.978016009692350963e+02, 2.949727161299729232e+02, 2.979608648289433859e+02, 2.988637678811601859e+02, 2.973309556004095384e+02, 2.956724685765788081e+02, 2.956984999090485644e+02, 2.977107085132182647e+02, 2.968898177887891165e+02, 2.950138083037125512e+02, 2.971874699167367453e+02, 2.971490038817040613e+02, 2.948685508962579434e+02, 2.967084244054230453e+02, 2.959873922187268249e+02
2.059000000000000000e+03, 2.948332524566050665e+02, 2.978681721040359207e+02, 2.953750720654132920e+02, 2.981190046648346765e+02, 2.981445655908023014e+02, 2.980841673385701824e+02, 2.969849975321662328e+02, 2.958655045630403038e+02, 2.969451850040089198e+02, 2.972651000051018286e+02, 2.955908193684273328e+02, 2.972922871477989588e+02, 2.972954868117611795e+02, 2.947628182943811339e+02, 2.962577387261342778e+02, 2.960396842843875334e+02
2.060000000000000000e+03, 2.948353261898440110e+02, 2.984045238844345249e+02, 2.959708289918734749e+02, 2.983166095311585764e+02, 2.977593483241316221e+02, 2.969783449292315254e+02, 2.963451632936465217e+02, 2.954350896014527166e+02, 2.975514303837699686e+02, 2.971256273366707887e+02, 2.956882196840582537e+02, 2.965908897597323630e+02, 2.973874281871204630e+02, 2.949784676964346772e+02, 2.962511814733706501e+02, 2.959476092902213509e+02
