year, NorESM2-MM, CESM2-WACCM, GFDL-ESM4, EC-Earth3-Veg, GFDL-ESM4, NorESM2-MM, TaiESM1, CNRM-ESM2-1, MPI-ESM1-2-LR, CNRM-ESM2-1, TaiESM1, NorESM2-LM
2.042000000000000000e+03, 7.776723601029082282e-10, 8.209649550341690463e-10, 3.614341190805419019e-09, 3.203836752329069465e-09, 3.603493196384485069e-09, 7.776723601029082282e-10, 1.505426233620094118e-09, 6.590673845538636663e-10, 9.945626317853091451e-10, 6.590673845538636663e-10, 1.505426233620094118e-09, 6.744553618012762308e-10
2.043000000000000000e+03, 9.999442858138449344e-10, 9.262903476929062329e-10, 2.185085999877486193e-09, 1.988545854917691358e-09, 2.174380085541364439e-09, 9.999442858138449344e-10, 1.430993261902517976e-09, 9.971096500459734318e-10, 8.671136621353858648e-10, 9.971096500459734318e-10, 1.430993261902517976e-09, 5.941722254489764855e-10
2.044000000000000000e+03, 8.049191459784556761e-10, 8.263132849972756456e-10, 2.322619059018158057e-09, 1.933680310919485099e-09, 2.312068410610166479e-09, 8.049191459784556761e-10, 1.414758217093329218e-09, 7.122795390256891476e-10, 7.992886798385956081e-10, 7.122795390256891476e-10, 1.414758217093329218e-09, 7.012995935763383134e-10
2.045000000000000000e+03, 1.092322860087274099e-09, 1.134284676026694691e-09, 3.462956878002920022e-09, 2.192593563519828778e-09, 3.452378445273320352e-09, 1.092322860087274099e-09, 1.761271952547198534e-09, 8.164615581954236154e-10, 9.868267400544625519e-10, 8.164615581954236154e-10, 1.761271952547198534e-09, 6.868136697671287439e-10
2.046000000000000000e+03, 1.225307873792796407e-09, 1.051781157765101768e-09, 3.939746520543766174e-09, 2.261804341619922888e-09, 3.929030061531573176e-09, 1.225307873792796407e-09, 1.282575797358861558e-09, 4.980226760132399271e-10, 8.968760390246564999e-10, 4.980226760132399271e-10, 1.282575797358861558e-09, 6.795852559005101578e-10
2.047000000000000000e+03, 7.349052611195272072e-10, 8.373869047269958694e-10, 2.998029378286165280e-09, 2.435781152175776172e-09, 2.987348266754135805e-09, 7.349052611195272072e-10, 1.319585703625154876e-09, 9.693148429836451098e-10, 9.121680708213320833e-10, 9.693148429836451098e-10, 1.319585703625154876e-09, 7.849708477059673838e-10
2.048000000000000000e+03, 8.223853447269304489e-10, 1.053544625191602006e-09, 2.828620844508695289e-09, 2.126526560628304552e-09, 2.818035727815546825e-09, 8.223853447269304489e-10, 1.700700283033272274e-09, 7.308445073103965560e-10, 9.326984929466022059e-10, 7.308445073103965560e-10, 1.700700283033272274e-09, 5.887740182164212146e-10
2.049000000000000000e+03, 1.157829753241388754e-09, 1.175607966241608614e-09, 2.621747733201050407e-09, 3.072330694728019471e-09, 2.610939972075209372e-09, 1.157829753241388754e-09, 1.841301828233619210e-09, 7.497038095391169045e-10, 8.439459768430947092e-10, 7.497038095391169045e-10, 1.841301828233619210e-09, 9.345305166225859056e-10
2.050000000000000000e+03, 1.192266264501328654e-09, 7.969021105193726436e-10, 2.565475730829095452e-09, 2.956314331211161321e-09, 2.554617711873943296e-09, 1.192266264501328654e-09, 1.393725537299378849e-09, 6.883269532696509874e-10, 8.108009490355029855e-10, 6.883269532696509874e-10, 1.393725537299378849e-09, 8.067372410265669744e-10
2.051000000000000000e+03, 9.265363195481440426e-10, 8.220457616561645847e-10, 3.027604099625245237e-09, 1.924148104424237579e-09, 3.016848002366968392e-09, 9.265363195481440426e-10, 1.621079422788647375e-09, 8.881161484802979294e-10, 9.606370683327131270e-10, 8.881161484802979294e-10, 1.621079422788647375e-09, 9.657736504286650431e-10
2.052000000000000000e+03, 1.170971810259948475e-09, 1.188800576036914787e-09, 3.510799585965998091e-09, 2.009587661631894383e-09, 3.500033102641926901e-09, 1.170971810259948475e-09, 1.886853062705643612e-09, 7.106572262210825200e-10, 8.267109326890857327e-10, 7.106572262210825200e-10, 1.886853062705643612e-09, 7.454983797765686739e-10
2.053000000000000000e+03, 1.148220149358325845e-09, 9.686840889090435150e-10, 2.494202673539951312e-09, 2.216263477195419472e-09, 2.483518084726525168e-09, 1.148220149358325845e-09, 2.088141887437000446e-09, 9.506702382940591213e-10, 8.817913693011695025e-10, 9.506702382940591213e-10, 2.088141887437000446e-09, 5.759299710653007504e-10
