year, CESM2-WACCM, MPI-ESM1-2-LR, EC-Earth3-Veg, TaiESM1, IPSL-CM6A-LR, NorESM2-MM, CMCC-CM2-SR5, CNRM-ESM2-1, INM-CM4-8, GFDL-ESM4, UKESM1-0-LL, ACCESS-ESM1-5, MIROC-ES2L, NorESM2-LM, INM-CM5-0, CanESM5
2.030000000000000000e+03, 1.162257682416667848e+01, 2.096385413960069499e+01, 1.419616860410215153e+01, 1.189872061879998100e+01, 1.316239724250952570e+01, 1.249483405079221221e+01, 1.024831856813678854e+01, 1.035190322266966412e+01, 2.026747487646210644e+01, 1.444910722704459793e+01, 2.139092841597264893e+01, 1.229465670565046587e+01, 1.375600572069786409e+01, 1.256572767772667554e+01, 2.070127656043156605e+01, 1.463383059519507157e+01
2.031000000000000000e+03, 1.210788821790540304e+01, 1.985075125422950748e+01, 1.516855445213659870e+01, 1.249351672546687553e+01, 1.361707517770197029e+01, 1.179043452204835951e+01, 1.042409588850775926e+01, 1.052090693367298257e+01, 1.923027315057058573e+01, 1.416515572763389841e+01, 2.002688843737081470e+01, 1.178825441130750740e+01, 1.404955344495318847e+01, 1.227171774702832074e+01, 1.953838354681105471e+01, 1.434068041474232658e+01
2.032000000000000000e+03, 1.264935690960458814e+01, 2.142610686864970759e+01, 1.539299196095883282e+01, 1.222683590970874334e+01, 1.332319965577490528e+01, 1.224266295588613751e+01, 9.656204652778587416e+00, 9.755581809158208273e+00, 2.050091432096701638e+01, 1.478635597121786383e+01, 2.039318872937878879e+01, 1.127223498872236362e+01, 1.390482986744806304e+01, 1.181299271059125999e+01, 2.005291700543923383e+01, 1.474493791017757438e+01
2.033000000000000000e+03, 1.228590854144310107e+01, 2.380857056973116670e+01, 1.496124447780482747e+01, 1.175463283843352436e+01, 1.318699631380020421e+01, 1.258850685426200577e+01, 1.006204063041023034e+01, 9.382939983656712002e+00, 2.074274784817921358e+01, 1.418342779399653253e+01, 2.008200347264093111e+01, 1.160516289601125450e+01, 1.420664773631581035e+01, 1.258240939641524392e+01, 2.027366768850973600e+01, 1.557375872806216854e+01
2.034000000000000000e+03, 1.190133754752224959e+01, 2.274073320022048961e+01, 1.482073138832506842e+01, 1.229747650762935152e+01, 1.382153877635272110e+01, 1.260398260962553074e+01, 9.928836857893594825e+00, 9.953435775407928787e+00, 2.052336943762905719e+01, 1.404587938001253633e+01, 1.944389458265851900e+01, 1.282306671923584318e+01, 1.333216435658045995e+01, 1.303768893962111974e+01, 2.043511013783659536e+01, 1.488238502417272358e+01
2.035000000000000000e+03, 1.255372714989451488e+01, 2.089278874390729257e+01, 1.567550146685037049e+01, 1.308394625266049438e+01, 1.311196288438044100e+01, 1.215302066318637131e+01, 9.796043787504208566e+00, 1.106098650748783463e+01, 1.977176426783771035e+01, 1.525871581462672211e+01, 2.006476692183762367e+01, 1.223281233504167353e+01, 1.365048564198152370e+01, 1.253312241130143434e+01, 2.046455110535431743e+01, 1.548768654864404404e+01
2.036000000000000000e+03, 1.166757038884604114e+01, 2.159020630261196416e+01, 1.521861576405329508e+01, 1.182882884793928291e+01, 1.416313827367222444e+01, 1.261393044624453630e+01, 1.032862752865215761e+01, 1.017152130503310481e+01, 2.058141421205485599e+01, 1.397816757469155569e+01, 2.027700134188627601e+01, 1.245865586390165092e+01, 1.392811611686960482e+01, 1.223248468942933798e+01, 1.954294096837495331e+01, 1.789695181633834764e+01
2.037000000000000000e+03, 1.228266964819001394e+01, 2.358564943436270056e+01, 1.516261154252039312e+01, 1.137580432186990009e+01, 1.325965358506019776e+01, 1.200450977690628207e+01, 9.706496369243808431e+00, 1.104808794048735265e+01, 2.011122061813733097e+01, 1.445965621931179435e+01, 1.849352487159428904e+01, 1.257015340173382789e+01, 1.406460217528711709e+01, 1.208525688104248985e+01, 2.062771619865616302e+01, 1.703460545883965693e+01
2.038000000000000000e+03, 1.166703663687732195e+01, 2.342977097510008733e+01, 1.605877757294257435e+01, 1.217916503008857632e+01, 1.374327142915070432e+01, 1.234524615467367781e+01, 1.020130404728360496e+01, 1.072005913174355385e+01, 2.058126923958409904e+01, 1.477814006752847042e+01, 2.083470211081453627e+01, 1.162797992545632830e+01, 1.353088294715155016e+01, 1.232016888563484436e+01, 1.983401411011904614e+01, 1.492039862982665355e+01
2.039000000000000000e+03, 1.188758389571808927e+01, 2.226585106351595655e+01, 1.479059496192934020e+01, 1.275138510590302943e+01, 1.445776661878263347e+01, 1.253853640051593388e+01, 9.990969245463977799e+00, 1.095297100398270196e+01, 2.060728682286669056e+01, 1.596166290743552985e+01, 1.950458590531968284e+01, 1.083075199307324787e+01, 1.326815981328121197e+01, 1.226697323171321941e+01, 1.998160462137871107e+01, 1.448895527953265017e+01
2.040000000000000000e+03, 1.198042403028260061e+01, 2.293734198199223684e+01, 1.601196985963021646e+01, 1.246416468378363440e+01, 1.398221328594687840e+01, 1.253860455684044872e+01, 1.022280382990851422e+01, 1.078179903242757831e+01, 2.046173176431284801e+01, 1.589301172921790162e+01, 2.025178052379522597e+01, 1.215595035170619020e+01, 1.361850874540667355e+01, 1.293759928515940416e+01, 2.014141772420544996e+01, 1.530709457971715359e+01
2.041000000000000000e+03, 1.235971221724081559e+01, 2.216170499210985767e+01, 1.523351679905909428e+01, 1.275602281961268503e+01, 1.368143366329069543e+01, 1.208599498678320217e+01, 1.031059565803867528e+01, 1.091786635654391624e+01, 2.034641473224858998e+01, 1.456883833078873280e+01, 2.131412269376907176e+01, 1.173437143378594349e+01, 1.391450887571244621e+01, 1.264718404449691569e+01, 2.051769876203893261e+01, 1.563139347764404086e+01
2.042000000000000000e+03, 1.285741102038098660e+01, 2.131651754872350679e+01, 1.488099698773298307e+01, 1.194993296412691208e+01, 1.308392870023138421e+01, 1.271891103728853167e+01, 1.000187741987663870e+01, 1.156853046679752239e+01, 2.078520323156114102e+01, 1.421892396167447181e+01, 1.944839908433354481e+01, 1.113807970319232865e+01, 1.412807591978279298e+01, 1.207250907353573055e+01, 2.014402969613845684e+01, 1.578721539817335184e+01
2.043000000000000000e+03, 1.198588432768707612e+01, 2.100169943639990322e+01, 1.608992045435042684e+01, 1.229989019536914441e+01, 1.386551710806081772e+01, 1.234989188177154062e+01, 1.016162909791181335e+01, 9.292143390937283698e+00, 2.045648109208946863e+01, 1.526887660215731657e+01, 1.845408858377107819e+01, 1.011128787307621479e+01, 1.361950068336130215e+01, 1.286200389860401039e+01, 2.039236377285034862e+01, 1.694215286343916560e+01
2.044000000000000000e+03, 1.225337150086470039e+01, 2.210339726330569832e+01, 1.598411597451305255e+01, 1.242856619117629435e+01, 1.400433892956925064e+01, 1.271105489284501466e+01, 1.004536386733528452e+01, 1.075348541707998429e+01, 2.057545873577812401e+01, 1.565031426167219664e+01, 1.846375889691467620e+01, 1.219291600252073948e+01, 1.361515065149412962e+01, 1.299545970816569707e+01, 2.089500884780848722e+01, 1.588182855493421464e+01
2.045000000000000000e+03, 1.231611373265494613e+01, 2.212896022253522688e+01, 1.540930218306286292e+01, 1.184768802484695449e+01, 1.355360442444058044e+01, 1.293377502376421795e+01, 1.037923609420521487e+01, 1.083166017481797994e+01, 2.004037859210641770e+01, 1.463663309766788956e+01, 1.729140200372994585e+01, 1.217486780411139158e+01, 1.409029076540637249e+01, 1.338544958872101986e+01, 2.141390214890040866e+01, 1.412027956305999510e+01
2.046000000000000000e+03, 1.180786460154169859e+01, 2.264187178858306382e+01, 1.546047993138017240e+01, 1.295429133119008824e+01, 1.383217810502473277e+01, 1.229573884172037168e+01, 9.737976501960995179e+00, 1.088775565088688602e+01, 2.031400477604502441e+01, 1.365403335751373248e+01, 1.844559567714727777e+01, 1.226942101976054822e+01, 1.400759858363397825e+01, 1.327517469884154089e+01, 2.123490707810823253e+01, 1.256559825189987478e+01
2.047000000000000000e+03, 1.227431389286106977e+01, 2.157514661712584569e+01, 1.528182042090924675e+01, 1.286513539552988128e+01, 1.303177357385637158e+01, 1.212754271885398971e+01, 1.004368858114484375e+01, 1.090622714823086881e+01, 2.086427922513010813e+01, 1.513523979865759905e+01, 1.949443024920336143e+01, 1.267855038674036727e+01, 1.362982726605616968e+01, 1.252160073614786029e+01, 2.149416827136529307e+01, 1.540997619511340666e+01
2.048000000000000000e+03, 1.199081258426337016e+01, 2.185297151276545691e+01, 1.540455044233749504e+01, 1.180196092920223272e+01, 1.442721171147857717e+01, 1.279469325126534152e+01, 1.001132847977891771e+01, 1.053796505524667637e+01, 1.958971722352384504e+01, 1.466043517001377872e+01, 2.127141069433389120e+01, 1.233755985770265085e+01, 1.357696678351923758e+01, 1.291371905070918658e+01, 2.120094917871897167e+01, 1.613206465752137930e+01
2.049000000000000000e+03, 1.131499639275780034e+01, 2.241349875051501073e+01, 1.432141090381529835e+01, 1.199090957022235671e+01, 1.290424994357744026e+01, 1.238440238627118006e+01, 9.463927400190032202e+00, 1.016168414290061150e+01, 2.085646596666823172e+01, 1.463621434301501267e+01, 2.056588239311835409e+01, 1.063747378257581566e+01, 1.367176084757593912e+01, 1.192070830124457714e+01, 2.064060363880740567e+01, 1.526548373643799827e+01
2.050000000000000000e+03, 1.187558973062073697e+01, 2.351657198523414039e+01, 1.522400421996657904e+01, 1.323201596670327262e+01, 1.332821403439930563e+01, 1.215307328114993446e+01, 1.026252591121725821e+01, 1.042289280331891810e+01, 2.043979972812457646e+01, 1.493604574431967080e+01, 1.957502953489474251e+01, 9.433638010029596899e+00, 1.393602323191490200e+01, 1.248319978646611261e+01, 2.097434506991520564e+01, 1.537215841543436134e+01
2.051000000000000000e+03, 1.291185919670156501e+01, 2.216740138104092850e+01, 1.585479079385026679e+01, 1.192549731086949016e+01, 1.281773351605592381e+01, 1.217136730967892078e+01, 1.012657534699741646e+01, 9.621100780702796840e+00, 1.989357612362458028e+01, 1.461821141606266750e+01, 2.023115096565196325e+01, 1.177949997746178923e+01, 1.347353900477366473e+01, 1.247805431120410269e+01, 1.944097682040336039e+01, 1.693331990853620894e+01
2.052000000000000000e+03, 1.175485914631997098e+01, 2.312876109902549970e+01, 1.616465090724929610e+01, 1.170463222386238122e+01, 1.425983142324186481e+01, 1.269404081460925582e+01, 9.754559624998645262e+00, 9.814756253131989183e+00, 2.014631956733714802e+01, 1.470737991607729533e+01, 1.965591340306707124e+01, 1.050210210872260674e+01, 1.379034991985784764e+01, 1.259564282661964185e+01, 2.021366918424279646e+01, 1.629306546890105167e+01
2.053000000000000000e+03, 1.223196969610270024e+01, 2.325926764144250569e+01, 1.525488145846202137e+01, 1.173756414226526701e+01, 1.390563278788661883e+01, 1.293274140450115794e+01, 1.028706686358061795e+01, 9.380829475386384786e+00, 2.071857063982182368e+01, 1.551871798703058403e+01, 2.015935006818067521e+01, 1.116398744747957217e+01, 1.390410348313340805e+01, 1.252479470195464906e+01, 2.109726535898104061e+01, 1.516905086602117692e+01
2.054000000000000000e+03, 1.220429059268538374e+01, 2.325140422692304654e+01, 1.605556786051727869e+01, 1.263228055407229000e+01, 1.361813275399813961e+01, 1.263710608127356139e+01, 9.800852539460134238e+00, 1.019655235370158408e+01, 2.006016906348260775e+01, 1.387538404647438739e+01, 1.963968355866974846e+01, 1.188518607327442034e+01, 1.419804159662908383e+01, 1.267326758583180180e+01, 2.145931617564545135e+01, 1.542789303038804682e+01
2.055000000000000000e+03, 1.233921304156899446e+01, 2.198330909206535111e+01, 1.520479509507973326e+01, 1.236144886581085167e+01, 1.452977793039652354e+01, 1.271901540153666410e+01, 9.961165721987621069e+00, 1.165070555680432740e+01, 2.069639042869470558e+01, 1.385220364607947374e+01, 2.010181997602241566e+01, 1.394705538618780771e+01, 1.390389648660652000e+01, 1.354746592061471233e+01, 2.127368460813762141e+01, 1.403073859512660349e+01
2.056000000000000000e+03, 1.260459442407808872e+01, 2.167057921580250124e+01, 1.531098399291750667e+01, 1.156769664325796221e+01, 1.379206849331130869e+01, 1.288687074573928371e+01, 1.022814455915206011e+01, 1.163245669498995483e+01, 2.041468534154123304e+01, 1.439849933397408854e+01, 1.941933846613090253e+01, 1.325208994525645601e+01, 1.344382108003112286e+01, 1.358466293346108955e+01, 2.192415879992740813e+01, 1.466202555683006281e+01
2.057000000000000000e+03, 1.276743731791538039e+01, 2.099973952489368045e+01, 1.562494111857204793e+01, 1.159065865322916267e+01, 1.397637475541485941e+01, 1.252598038916015355e+01, 1.047096747569284858e+01, 1.101701113169086454e+01, 2.007623646901809522e+01, 1.557682134362910098e+01, 2.006168915679389642e+01, 1.155194609558922103e+01, 1.394344852125585454e+01, 1.308666322340332400e+01, 2.053944990482194299e+01, 1.444248505860471532e+01
2.058000000000000000e+03, 1.256608836679546926e+01, 2.257154474402440769e+01, 1.579292869502877394e+01, 1.217786203397979605e+01, 1.471463043867971443e+01, 1.241418211468800337e+01, 9.996868148308307056e+00, 9.807170700607665381e+00, 2.053408191146271022e+01, 1.544327048587957663e+01, 2.074109406791638577e+01, 1.008444356298255329e+01, 1.389479050389807568e+01, 1.327052014081644771e+01, 2.023975541491144980e+01, 1.614213892488514901e+01
2.059000000000000000e+03, 1.265089800630869377e+01, 2.232663896462794284e+01, 1.307665350734184706e+01, 1.207295979704611177e+01, 1.343596415608983108e+01, 1.290491804093513295e+01, 1.024117264455352938e+01, 9.594448526224413243e+00, 2.092990158710792414e+01, 1.507973760635489313e+01, 1.844462830527232455e+01, 1.095650132388610842e+01, 1.369351031901552496e+01, 1.276785590833618578e+01, 2.048146661213504061e+01, 1.566055573512982591e+01
2.060000000000000000e+03, 1.223315540392086831e+01, 2.154076618490623574e+01, 1.546931892460210811e+01, 1.204821548093747730e+01, 1.394041497651913630e+01, 1.262892248659277605e+01, 9.978698542371217783e+00, 1.079238285130561081e+01, 2.067868760975168385e+01, 1.437339311653089169e+01, 2.120545935567925611e+01, 1.189865221901410663e+01, 1.380032372612104297e+01, 1.331951480297222723e+01, 2.042668686035950998e+01, 1.524418663316756728e+01
